Topic ID,Category,Sub-Category,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,Data Security,Password/Data Storage,693,2068072.0,1636.0,553.0,2380.0,11.787712256490195,417.0,68480.51416666666,2.281449024004516,36.81158134663645
TOPIC 1,Development,Libraries,5,3603.0,14.0,5.0,15.0,8.820503689496771,1.0,0.18055555555555555,0.0009852216748768472,9.71290111923287
TOPIC 2,Development,Libraries,235,568307.0,411.0,133.0,618.0,8.907347046744716,98.0,67778.09083333335,0.28420570023762487,83.00408082643185
TOPIC 3,Cryptography,Algorithms,510,935879.0,843.0,289.0,1071.0,7.751102348929571,260.0,92126.70749999999,0.8805056346065951,58.986153904981826
TOPIC 4,Development,Testing,3,2401.0,5.0,1.0,2.0,4.149318623424153,2.0,2.3113888888888887,0.002092779177162049,11.832602945844512
TOPIC 5,Data Security,Checksums,3,1522.0,4.0,1e-07,7.0,0.08516711113119835,2.0,362.45194444444445,0.014218290250597366,33.68977463360444
TOPIC 6,Data Security,Digital Certificates,203,435336.0,450.0,203.0,369.0,9.6414829410087,89.0,85815.97555555556,0.3464945621590781,82.66580843540545
TOPIC 7,Secure Coding,Memory Leaks,161,175212.0,254.0,89.0,438.0,7.128358680726256,67.0,33042.01972222223,0.32979006898549795,62.20997525970372
TOPIC 8,Network Security,Client/Server,322,562150.0,429.0,160.0,620.0,6.868302636606205,156.0,112014.72249999999,0.6034407797593824,72.63131517703943
TOPIC 9,Secure Coding,Thread/Process Management,240,281786.0,436.0,115.0,712.0,7.420526018042745,132.0,23823.695833333335,0.6005304534041853,41.626554983561874
TOPIC 10,Authentication,Login,136,171988.0,183.0,58.0,239.0,5.975921366774921,53.0,42839.44111111111,0.19302882128407003,82.88861674430856
TOPIC 11,Development,Implementation,4,2864.0,3.0,1.0,8.0,4.047958696451081,2.0,7.528611111111111,0.0189258504940786,9.266089378434664
TOPIC 12,Cryptography,Encryption,446,609725.0,468.0,140.0,1324.0,6.0466399672090185,225.0,55969.86027777778,0.7744357766581524,52.32473672244771
TOPIC 14,Cryptography,Encoding,27,20763.0,37.0,8.0,104.0,5.888979254721316,14.0,2984.4447222222225,0.05624563832447378,46.77388813290876
TOPIC 15,Secure Coding,Stack/Heap Memory,120,219362.0,312.0,71.0,430.0,10.019117106485531,69.0,18906.272222222226,0.39165149383503783,43.787090781215014
TOPIC 16,Network Security,Viruses,24,40759.0,49.0,10.0,47.0,7.293199992470277,14.0,32639.165555555563,0.029101827078852286,124.3466241178033
-,Security,Security,3132.0,6099729.0,5534.0,1836.0000000999999,8384.0,8.572286097806563,1601.0,636793.3825,6.807101921934182,56.77479436765666
-,General,General,3136,6877130.0,8113.0,2159.0,10230.0,10.624370137983647,1807.0,307302.37916666665,15.236255652883544,32.71160532053538
