Topic ID,Category,Sub-Category,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,Cryptography,Encoding,1234,5222630.0,3030.0,1502.0,2889.0,13.118137563750649,697.0,117287.35138888887,3.468833049251659,39.11860755337566
TOPIC 1,Cryptography,Algorithms,145,644530.0,526.0,213.0,312.0,15.025286690548263,65.0,91380.6611111111,0.08783467231628049,132.39786604037852
TOPIC 2,Development,Implementation,84,198368.0,113.0,57.0,102.0,7.152814879991878,28.0,8575.585833333334,0.08828090745886602,66.2988641552581
TOPIC 3,Data Security,Digital Signature,3292,10446482.0,13893.0,5707.0,7582.0,15.206512056707975,1840.0,652794.6686111111,9.536158651314215,49.66095247666824
TOPIC 4,Network Security,Client/Server,1002,3206764.0,1646.0,746.0,1846.0,9.215080153295544,412.0,144276.25194444443,1.5837929813135365,60.50932584541247
TOPIC 5,Development,Testing,10723,41227964.0,22087.0,9592.0,21930.0,10.97116632978386,4376.0,2280155.2625,16.40124432051408,69.84074632749939
TOPIC 6,Cryptography,Encryption,2207,8154060.0,3725.0,4652.0,6158.0,13.838612844238723,1117.0,173671.80666666664,3.631757235911218,45.54638266066178
TOPIC 7,Network Security,Digital Certificates,1018,7951471.0,4154.0,1859.0,1548.0,17.248181018364086,479.0,157018.63027777776,1.339487964988211,62.92282478029245
TOPIC 8,Development,Implementation,911,2185789.0,1583.0,462.0,1834.0,8.077263251142737,400.0,129715.90027777778,1.674895995621116,56.08171058416022
TOPIC 9,Development,Configuration,5349,17073898.0,13827.0,4910.0,8355.0,10.429165277662216,2499.0,940983.2616666667,9.373552150007608,59.89556693169934
TOPIC 10,Authentication,Login,1831,4503336.0,2669.0,1014.0,3138.0,7.637568362769933,752.0,354009.39555555553,3.350545978562061,63.59992010434998
TOPIC 11,Network Security,Exploits,213,693207.0,486.0,161.0,562.0,11.031529905731519,101.0,5399.712500000001,0.6946141419938029,25.403589241042223
TOPIC 12,Authentication,Tokens,1865,4227524.0,3284.0,1436.0,2516.0,8.024347735405113,629.0,281418.3525,2.7317663543539834,67.34608462447395
TOPIC 13,Cryptography,Algorithms,1265,6673469.0,3845.0,2113.0,2438.0,15.073176062274522,578.0,294485.22055555554,1.5650355584665232,74.39903920750376
TOPIC 14,Secure Coding,Thread/Process Management,210,468454.0,451.0,125.0,478.0,8.975859709461714,117.0,18736.01527777778,0.7913728699517927,34.8960686347188
TOPIC 15,Authentication,Access Control,2859,5883457.0,5288.0,2374.0,3673.0,7.982561311999829,1232.0,522109.37444444443,5.64020765210086,59.89031744424717
TOPIC 16,Data Security,Password/Data Storage,1368,5882025.0,3351.0,1653.0,3445.0,13.379957872527001,678.0,96547.52916666667,4.204888202569583,35.915427315304655
-,Security,Security,35576.0,124643428.0,83958.0,38576.0,68806.0,11.475236023082132,16000.0,6268564.980277779,66.1642686866954,59.50140897008676
-,General,General,35576,99233539.0,71002.0,21439.0,80931.0,9.346629053031709,17796.0,3988098.328055556,158.14627814366756,36.94144396269271
