Topic ID,Category,Sub-Category,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,Cryptography,Encryption,221,225288.0,207.0,87.0,473.0,5.325739574898661,76.0,40911.072222222225,0.36966381020736927,68.52844374165956
TOPIC 1,Development,Implementation,44,33757.0,53.0,8.0,56.0,3.8240781172209255,20.0,22587.653888888886,0.10666226669504553,77.52248140184768
TOPIC 2,Authentication,Login,55,37322.0,59.0,16.0,70.0,4.051781771045009,18.0,2666.860277777778,0.12159594278864803,40.61849123381523
TOPIC 3,Development,Testing,30,53358.0,100.0,24.0,51.0,9.475976726625001,14.0,2678.1586111111114,0.04057505596714573,52.10228800347062
TOPIC 4,Network Security,Digital Certificates,233,509867.0,431.0,168.0,381.0,8.311629711889507,89.0,16530.167222222222,0.39721673861024553,47.76083086906804
TOPIC 5,Development,Implementation,63,45672.0,59.0,25.0,114.0,4.698899711210342,36.0,553.2230555555554,0.3704115674081099,13.774777515545864
TOPIC 6,Data Security,Passwords/Data Storage,107,144080.0,194.0,70.0,189.0,7.287986186235702,34.0,9716.621111111113,0.1623994190219219,57.31635350136075
TOPIC 7,Authentication,Tokens,81,77544.0,98.0,36.0,144.0,5.5001533493313275,30.0,2798.108333333334,0.23953529490549288,31.595089612031646
TOPIC 8,Development,Implementation,17,18115.0,25.0,5.0,25.0,5.102384335885895,7.0,921.9888888888889,0.023591654845619998,45.614829335097255
TOPIC 9,Development,Testing,34,32749.0,62.0,13.0,91.0,6.511254975404046,13.0,725.9072222222222,0.0859181498152503,28.061481036240213
TOPIC 10,Development,Libraries,146,117650.0,200.0,84.0,301.0,6.01539390480509,62.0,11147.193055555555,0.5087228715794222,37.229037513099094
TOPIC 11,Development,Configuration,173,123395.0,173.0,75.0,375.0,5.088185617258598,77.0,10475.486388888889,0.49741491220472667,36.16903523269044
TOPIC 12,Development,Implementation,37,37025.0,84.0,28.0,53.0,7.044502692910271,19.0,7106.980833333333,0.08039131003071409,55.62987112401302
TOPIC 13,Authentication,Access Control,55,48658.0,55.0,18.0,128.0,5.094917606098881,25.0,26686.854444444445,0.16476701000222735,70.89516250594065
TOPIC 14,Cryptography,Encoding,147,158909.0,173.0,47.0,318.0,5.446437937524663,71.0,6460.651111111111,0.3723346717785115,32.996453593310235
TOPIC 15,Authentication,Tokens,100,87118.0,120.0,29.0,132.0,4.472653640060038,30.0,3994.563611111111,0.17615785764333314,42.28133476256393
TOPIC 16,Authentication,Login,50,243221.0,337.0,58.0,111.0,17.046117643923136,24.0,3753.073333333333,0.146779855114909,37.626439104716866
TOPIC 17,Cryptography,Encryption,71,179981.0,130.0,65.0,173.0,10.087278685312858,34.0,4371.193888888888,0.16433033225625307,38.15521656842965
TOPIC 18,Data Security,Password/Data Storage,76,205994.0,251.0,85.0,209.0,12.881302635951144,32.0,42863.19805555556,0.16340975029892235,85.40633249256531
TOPIC 19,Development,Implementation,28,34008.0,42.0,10.0,64.0,6.2100422905441715,17.0,543.6155555555556,0.05321989795313914,25.62372802630804
TOPIC 20,Cryptography,Encryption,91,131285.0,176.0,60.0,244.0,8.380613669088968,37.0,10051.274166666668,0.17341786594292577,52.23829376490954
-,Security,Security,1859.0,2544996.0,3029.0,1011.0,3702.0,7.010743808109568,765.0,227543.8452777778,4.418516235069934,50.01906057548413
-,General,General,1859,2827971.0,3164.0,939.0,4052.0,7.306884189884302,918.0,200257.5288888889,8.407923441342252,36.4009125201891
