Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Development,Implementation,533,0.04482004709048099,509.0709270990046,0.04280784788925367
1,Network Security,Viruses,417,0.03506559031281534,495.22411318315426,0.041643467304335206
2,Development,Configuration,221,0.01858392196434578,373.9030535175116,0.03144156184977393
3,Development,Implementation,410,0.034476959300369994,457.2755395511922,0.03845236625892972
4,Development,Libraries,288,0.024217961654894045,467.84104337287135,0.03934082100343688
5,Authentication,Login,729,0.061301715438950556,495.6488146215561,0.041679180509717126
6,Network Security,Client/Server,470,0.03952236797847292,426.77685588918393,0.03588772753861284
7,Network Security,Digital Certificates,183,0.015388496468213926,370.41741024912335,0.03114845360318898
8,Cryptography,Encoding,522,0.04389505549949546,473.3940755579679,0.03980777628304472
9,Authentication,Login,470,0.03952236797847292,446.7646863969276,0.037568507096949845
10,Development,Configuration,271,0.022788429196098216,454.2728353261773,0.038199868426351945
11,Data Security,Checksums,356,0.029936091490077362,438.10870879451977,0.036840624688405633
12,Data Security,Digital Signature,379,0.031870164816683484,386.43120701098815,0.03249505608905047
13,Cryptography,Encryption,627,0.05272452068617558,522.0321434414946,0.04389775844613981
14,Authentication,Tokens,837,0.07038345105953582,530.7635888351069,0.0446319869521617
15,Development,Testing,573,0.04818365287588295,517.7675057536107,0.04353914444614958
16,Development,Configuration,371,0.031197443659603096,452.6053378266224,0.03805964832043579
17,Development,Implementation,529,0.044483686511940804,475.3011133671971,0.03996813936824732
18,Network Security,Digital Certificates,788,0.06626303397241844,473.3461771593138,0.03980374849977412
19,Other,,313,0.026320215270770265,408.1614961028681,0.03432235924174808
20,Authentication,Access Control,185,0.015556676757484024,422.82214206043864,0.035555175080763425
21,Cryptography,Algorithms,439,0.03691557349478641,478.51740699540824,0.040238597964632375
22,Secure Coding,Thread/Process Management,309,0.02598385469223007,452.56307304513757,0.03805609426884776
23,Authentication,Login,849,0.07139253279515641,492.7176872557029,0.04143270158557878
24,Authentication,Tokens,510,0.042885973763874874,445.4571594741137,0.03745855696889621
25,Development,Configuration,313,0.026320215270770265,424.81589897110825,0.03572283038774876
