Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Development,Implementation,5086,0.37268264087345204,3701.6831660930184,0.2712451942619637
1,Development,Testing,2132,0.15622481131384186,1988.8410728679155,0.14573467229925371
2,Development,Configuration,412,0.03018978530079871,590.3550336400422,0.04325896047776377
3,Cryptography,Encryption,721,0.052832124276397746,803.8839776191835,0.05890554536668744
4,Development,Testing,741,0.05429764783468894,938.5670017040466,0.06877460260160083
5,Network Security,Digital Certificates,629,0.04609071590825822,641.3994378204097,0.04699929932002709
6,Cryptography,Encoding,815,0.05972008500036638,891.3260275462344,0.06531296457435586
7,Secure Coding,Thread/Process Management,100,0.007327617791455998,346.4753363574273,0.025388388389933854
8,Authentication,Login,1664,0.1219315600498278,1534.8388543257824,0.11246712495975544
9,Other,,147,0.010771598153440316,386.3620377722109,0.028311133419228467
10,Cryptography,Algorithms,95,0.0069612369018831975,331.49753963934563,0.02429087269285159
11,Development,Libraries,290,0.021250091595222394,349.0296914678365,0.025575561769461165
12,Authentication,Tokens,529,0.03876309811680223,671.4331952988578,0.049200058276460595
13,Development,GitHub/Reports,286,0.020956986883564153,471.3076232567528,0.03453562125425022
