Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Development,Implementation,1005,0.06186138126308014,1170.3099889375735,0.07203680837975954
1,Authentication,Login,881,0.0542287332266404,940.3657119950221,0.05788290729995212
2,Network Security,Exploits,715,0.044010833435922686,885.3725932380767,0.054497882139485206
3,Development,Testing,1427,0.0878370060322541,1333.479381317291,0.08208047404390564
4,Development,Implementation,5820,0.358242028807091,4120.108040567575,0.2536075366593361
5,Cryptography,Encoding,506,0.031146128277729904,579.7812839155958,0.035687632889055514
6,Cryptography,Encryption,188,0.011572079281053797,380.00690685301197,0.023390798156654683
7,Authentication,Access Control,366,0.02252862243013665,439.43347487414667,0.027048718138258442
8,Authentication,Tokens,954,0.05872214699002831,911.499425675851,0.05610608307742527
9,Network Security,Digital Certificates,703,0.04327219007755755,741.3837299424158,0.04563484734349476
10,Network Security,File Transfer,400,0.024621445278837868,574.8453395641172,0.035383807679682217
11,Development,GitHub/Reports,1295,0.0797119290902376,1427.1017190929488,0.08784326720995622
12,Authentication,Login,757,0.04659608519020066,844.055896938351,0.05195469019687006
13,Development,Implementation,279,0.017173458081989414,419.13528297312223,0.025799291085382384
14,Authentication,Access Control,83,0.005108949895358857,316.71558217729944,0.01949498843883414
15,Network Security,Exploits,587,0.03613197094669457,686.1845507449852,0.042237138418379
16,Development,Libraries,280,0.017235011695186507,476.2210876917725,0.029313128628079065
