Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Network Security,Client/Server,256,0.27176220806794055,237.65755194987287,0.2522903948512451
1,Data Security,Password/Data Storage,214,0.22717622080679406,204.90164307814848,0.21751766781119797
2,Cryptography,Encryption,42,0.044585987261146494,48.811414248280926,0.05181678794934281
3,Development,Implementation,15,0.01592356687898089,18.317705559005844,0.019445547302553975
4,Cryptography,Encryption,158,0.16772823779193205,155.15926448229584,0.16471259499182148
5,Development,Implementation,86,0.09129511677282377,80.42794841373689,0.08537998770035762
6,Development,Implementation,41,0.0435244161358811,43.609161992688314,0.046294227168458935
7,Authentication,Login,69,0.0732484076433121,81.3091310767777,0.08631542577152622
8,Network Security,Digital Certificates,55,0.058386411889596604,62.48584493909584,0.06633316872515482
9,Network Security,Exploits,0,0.0,0.8578105966807925,0.0009106269603830069
10,Cryptography,Encoding,6,0.006369426751592357,8.462526994058862,0.008983574303671828
