Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Network Security,Remote Access,779,0.06861622478640007,660.0433601192926,0.058138233076657504
1,Data Security,Password/Data Storage,249,0.021932528847000792,300.5149519590632,0.026470091778302052
2,Development,Testing,2095,0.18453272262838016,2149.864632832585,0.18936533364155597
3,Network Security,Exploits,207,0.01823306614991632,258.74620517555013,0.022790998429978872
4,Cryptography,Algorithms,400,0.03523297806747115,454.3131292030521,0.04001701129243831
5,Authentication,Login,818,0.07205144014797851,884.3618078251457,0.07789675044703125
6,Network Security,Digital Certificates,963,0.0848233946974368,778.3948281393677,0.0685629197691683
7,Development,Libraries,1,8.808244516867788e-05,15.600367451473176,0.0013741185106556132
8,Data Security,Password/Data Storage,705,0.062098123843917906,785.4189192912308,0.06918161889291208
9,Data Security,Digital Signature,6,0.0005284946710120673,82.21130048412306,0.007241372367138471
10,Authentication,Tokens,1697,0.14947590945124636,1407.1732622752024,0.1239472617171851
11,Development,Libraries,0,0.0,22.824726540291522,0.002010457723975295
12,Network Security,Exploits,689,0.06068880472121906,949.6633575329324,0.08364867061859706
13,Network Security,Exploits,931,0.08200475645203911,784.7162162818568,0.06911972309361902
14,Cryptography,Encryption,1374,0.12102527966176341,1086.359721067507,0.09568922056438889
15,Network Security,File Transfer,38,0.0033471329164097593,226.7552866870319,0.019973160106318322
16,Development,Implementation,1,8.808244516867788e-05,36.727275431754606,0.0032350282244124552
17,Authentication,Tokens,400,0.03523297806747115,469.3106506033437,0.041338029648845566
