Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Cryptography,Encryption,53,0.028509951586874662,85.42377109988593,0.045951463743887
1,Development,Implementation,59,0.03173749327595481,80.89512882591225,0.04351540012152354
2,Authentication,Login,60,0.0322754168908015,84.01891444809735,0.04519575817541546
3,Development,Testing,47,0.025282409897794515,82.90822102408856,0.04459828995378621
4,Network Security,Digital Certificates,242,0.1301775147928994,116.17296447511762,0.06249218099791158
5,Development,Implementation,73,0.0392684238838085,84.40121401660144,0.045401406141259516
6,Data Security,Passwords/Data Storage,109,0.0586336740182894,93.12489845696837,0.05009408201020353
7,Authentication,Tokens,95,0.05110274341043572,93.06417228514329,0.05006141596833959
8,Development,Implementation,18,0.009682625067240451,68.92652332410216,0.03707720458531585
9,Development,Testing,37,0.019903173749327596,79.66521286708303,0.04285379928299248
10,Development,Libraries,160,0.08606777837547068,99.64120056992397,0.05359935479823774
11,Development,Configuration,182,0.0979020979020979,109.58079300471582,0.05894609629086381
12,Development,Implementation,45,0.02420656266810113,82.3928324484732,0.044321050268140504
13,Authentication,Access Control,61,0.0328133405056482,83.50733028608374,0.04492056497368679
14,Cryptography,Encoding,155,0.08337816030123722,98.345714017516,0.052902481988981176
15,Authentication,Tokens,119,0.06401291016675632,89.10639445227571,0.04793243380972335
16,Authentication,Login,55,0.029585798816568046,81.55888085043989,0.043872448009919254
17,Cryptography,Encryption,76,0.04088219472834857,84.8529855646193,0.04564442472545417
18,Data Security,Password/Data Storage,83,0.04464766003227542,89.56837032083422,0.04818094153891028
19,Development,Implementation,34,0.01828940290478752,80.46542769460939,0.04328425373566939
20,Cryptography,Encryption,96,0.05164066702528241,91.37904995633289,0.04915494887376702
