Topic ID,Category,Sub-Category,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04
TOPIC 0,Cryptography,Encryption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027393270283937454,0,0,0,0,0,0,0,0,0,0,0,0,0.026620013639330864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022399738430976868,0,0,0,0,0,0,0,0.07168421149253845,0.02764037437736988,0.030643703415989876,0.12796679366793898,0.03856308634082476,0.04556197776562638,0.0358488829806447,0.03653340763412416,0.03813281934708357,0.04789965899868144,0.04221167700986068,0.0370542062446475,0.06386871853222449,0.039242410633180826,0.036733826932807766,0.033649993762373924,0.06574061021208763,0.04527939424983093,0.042499512488789415,0.0793328404595906,0.05083063213775555,0.03869265249730753,0.055029491583506264,0.038195724049821876,0.06907578075633329,0.03547180057145082,0.039532107242848724,0.04110692576344671,0.06617778957669818,0.0682541400341219,0.04974033179669044,0.0369409347737306,0.0424580258670552,0.04046271990655976,0.07513390596517745,0.04199057690460573,0.04993857698584044,0.037296731361291476,0.05762827243994583,0.05069174177267335,0.039381495256337426,0.0498294525725,0.04752213593261937,0.03957787745942672,0.03310483014758896,0.06196134318146975,0.04471951763591041,0.035652284057357826,0.04085513655886506,0.03950680174717778,0.03884030942572281,0.043685199467070175,0.05139076946159968,0.03739441816623394,0.032634768537000605,0.04009142043369432,0.04582919503616936,0.033759439502049376,0.04210533525206541,0.041895807303231336,0.045337151632540755,0.04308694772422314,0.03911057041075669,0.061204492515916455,0.03341818297462117,0.039125991120402305,0.034396688686683774,0.04087739595426963,0.04066312541404078,0.04148896649712697,0.050915171588329894
TOPIC 1,Development,Implementation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03029284067451954,0,0,0,0,0,0,0,0,0,0,0,0,0.05001814663410187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020879285410046577,0,0,0,0,0,0,0,0.0438772551715374,0.028011763468384743,0.06327946484088898,0.03748035906917519,0.038637660443782806,0.033352643665340215,0.05069057014770806,0.04519416205585003,0.039576283656060696,0.0507374390338858,0.05083498110373815,0.03694558852455682,0.04229768288011352,0.052191638720354865,0.04378015746672948,0.056176561117172244,0.03656484581530094,0.042942079050200324,0.042044194305644315,0.03665582962672819,0.041938787093386054,0.03475674430540364,0.04125919917391406,0.046324487775564194,0.040545356076429874,0.05139723642227741,0.03807615669211373,0.03650377157690196,0.044824460413047044,0.03872657118757304,0.04353200777983054,0.04253222327679396,0.044434058897454165,0.061833502231713605,0.04607741047135171,0.04512373651518966,0.0415925948570172,0.0438211828780671,0.03717536123638803,0.037022569216787815,0.03816468599102189,0.04347834369058118,0.040665436846514545,0.04439478548657563,0.047912751269691134,0.03738272953177652,0.047944711602252464,0.057563313585076784,0.04759535887701945,0.06294453516602516,0.04729091554569701,0.046328767061685074,0.03571200771973683,0.04472578467371372,0.03909048663550302,0.04353591841795752,0.035130581078941334,0.03893204743939417,0.04358444862851971,0.04398270253220509,0.03819367799183561,0.04007794938981533,0.041442387982418664,0.0398630350507025,0.042533826533584826,0.05013129547504442,0.04324446147074923,0.05131554632232739,0.036899860707982894,0.04633931565331295,0.038833745657221266
TOPIC 2,Authentication,Login,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03092634491622448,0,0,0,0,0,0,0,0,0,0,0,0,0.02440200001001358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017886292189359665,0,0,0,0,0,0,0,0.056534646078944206,0.024347476661205292,0.05025394633412361,0.03084903820935223,0.03527306392788887,0.034008732375999294,0.035412477096542716,0.046164865139871836,0.04256620984524488,0.049238498943547405,0.04481929515798887,0.049109751255147986,0.04187705942119161,0.03799187172470348,0.045622013478229445,0.040642868578433994,0.031197544485330582,0.05356750232832772,0.03388388537089614,0.037981192200359976,0.034344096280013524,0.04711868742015213,0.04520460683852434,0.055062757804989815,0.044765056768322695,0.06007350859447168,0.06326167925726622,0.03836213630335084,0.042892287095445535,0.044179672644914764,0.03935173879831265,0.05117446747853568,0.04609125781932782,0.05336628947407007,0.03985281332450755,0.04299261178256887,0.05776196111131598,0.041269908814380564,0.047436735931445255,0.04591577776679487,0.04842188425602451,0.04689556760165621,0.03895573768143853,0.04232505098399189,0.0372038306120564,0.04347585021488128,0.03397416857921559,0.04257503755994745,0.047029639312037914,0.052739401985155906,0.03543665890659516,0.046856107811133065,0.06054683681577444,0.050404914296590365,0.0633982346442185,0.03969866109471167,0.060472060323638076,0.04054247560324492,0.0420161512141165,0.03937336054213088,0.043903288483205766,0.06076095893979073,0.05351741185509845,0.03552662863813598,0.03531556546447739,0.042343682809067626,0.046964687295258045,0.04686265524763327,0.05103834129629597,0.039287040068302304,0.044395718404925184
TOPIC 3,Development,Testing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02830871194601059,0,0,0,0,0,0,0,0,0,0,0,0,0.03292589262127876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020586591213941574,0,0,0,0,0,0,0,0.06965507194399834,0.025288471952080727,0.0503485519438982,0.03469899524417189,0.046956089635690056,0.03950292203161451,0.045449303928762674,0.049058138858526945,0.05072957351803779,0.042014760689602956,0.05335745513439179,0.04265166591438982,0.04734561080113053,0.04750633618927428,0.040041752501080434,0.05746439225971699,0.041756839491426945,0.04067489967814514,0.03968614312436651,0.052866983650760216,0.041350501822307706,0.04194707900751382,0.04566329138146506,0.041002571487273924,0.0412481783560532,0.04001264345760529,0.04464019404258579,0.05605342149220664,0.044926675491381525,0.03703162703957213,0.061730444335784666,0.039274231334658044,0.04370681620363531,0.0390253732638324,0.038426322424236464,0.041973224079067055,0.06365685882391753,0.04054393826259507,0.03729002894551465,0.03998799447083112,0.04804505179485967,0.03707913008025464,0.045047230552881956,0.045912568353944354,0.048758388223016966,0.0415258590853022,0.06296765083528083,0.04041368053672281,0.046224239310531906,0.038029899036413746,0.0727852553439637,0.04628241197629408,0.04277945238237198,0.04241746850311756,0.04522793318488096,0.03615563362836838,0.04163902354262331,0.05190603697189578,0.04035466262384465,0.04850161499504385,0.037582819531154305,0.04118145145475864,0.049643532618096,0.052744851768787564,0.041771523984930205,0.04565875544877989,0.0388519963453291,0.047745125320477366,0.0479418266444437,0.04001908778445795,0.040054829227493
TOPIC 4,Network Security,Digital Certificates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03573821857571602,0,0,0,0,0,0,0,0,0,0,0,0,0.01905963569879532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016108717769384384,0,0,0,0,0,0,0,0.028784820809960365,0.019222017377614975,0.03228661045432091,0.09419296578400665,0.039422170569499336,0.03540620870060391,0.09320605616085231,0.09435797249898314,0.048024079948663714,0.05004249378624889,0.06854704072078069,0.07713131192657682,0.10889153865476449,0.05963286464767797,0.05166636885454257,0.11440408781170845,0.14004143005236983,0.08777850791811943,0.0885079509633429,0.051689033692871984,0.09747240164627631,0.06348293439285564,0.06793575268238783,0.05908325474518232,0.06347788108841461,0.05420062956042015,0.08267038007033989,0.06413437316900697,0.07314686412208302,0.07257843020028974,0.049651084563288934,0.06435439495467826,0.05098539822060486,0.043909530648413825,0.04184187452911454,0.07134266412167838,0.047051546129363554,0.06786295673292544,0.07258073858578097,0.04471168650144881,0.0697777506204382,0.04070537581163294,0.04190847960611185,0.053119177050474614,0.03745742186027415,0.046534337043281526,0.04527621270845766,0.05106977081379375,0.04820224306913036,0.062387695045847645,0.06268397672101855,0.06849839572202075,0.08214554935693741,0.07095286436378956,0.08651471304658212,0.08763557185809459,0.048936026937821335,0.04606689088460472,0.07330675158453615,0.06356431274064656,0.046646163824738726,0.040605086088180545,0.049169134716258237,0.05076759552647327,0.07120307904457854,0.07705495952229414,0.050465418738895096,0.04789349537056226,0.06927146708532687,0.051689197309315205,0.04168855901317377
TOPIC 5,Development,Implementation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03611190617084503,0,0,0,0,0,0,0,0,0,0,0,0,0.019543355330824852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024372762069106102,0,0,0,0,0,0,0,0.04517823737114668,0.04034683108329773,0.06836120784282684,0.026948918795420065,0.03743178769946098,0.12156633184187943,0.042924371547997,0.06571219861507416,0.037031066790223124,0.044974325535198055,0.03860356397926808,0.06196481341289149,0.03925624334563812,0.03740974848291704,0.043798160677154856,0.04547687135636806,0.03920908983796835,0.04356009630220277,0.039026423740912884,0.04144722138616172,0.045912868032852806,0.035446081726279645,0.038112787219385304,0.04067120720178653,0.04745037341490388,0.04221368803141209,0.040012496057897806,0.03902359541248659,0.045960202228364555,0.04710897854774406,0.03994142498152378,0.05689238082911623,0.04599496985560861,0.04422735165366355,0.047431540921987855,0.03802559869081685,0.04043255146178934,0.03711255712227689,0.034036515365270054,0.03734735687347976,0.051723612532500296,0.06102347220568096,0.042239005444571376,0.04599564144801763,0.047864007489646185,0.056018961052740776,0.04555961967486402,0.05199606288727876,0.051193019629202106,0.03775296703373131,0.04118797390644128,0.039608335799791596,0.036199922351023324,0.05177262697655421,0.045507127664199,0.04139856831921685,0.03318325079539243,0.04736650873113562,0.04199345674561827,0.04707185108343075,0.03285847516316506,0.046465235948562625,0.051146579857327436,0.03575691111899655,0.04724246272516827,0.057348902869437425,0.06747426022775471,0.04797085474890012,0.04359534917579543,0.05404331721365452,0.05694038131715436
TOPIC 6,Data Security,Passwords/Data Storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750974640250206,0,0,0,0,0,0,0,0,0,0,0,0,0.3995349705219269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023894747719168663,0,0,0,0,0,0,0,0.05504619888961315,0.11520721018314362,0.038266679272055626,0.04597825329336855,0.07050164354344209,0.045134782791137695,0.039946115808561444,0.059158537071198225,0.06975019369274378,0.05667355873932441,0.038163219951093195,0.06659429365148146,0.04772798220316569,0.048573488502630165,0.06503349008659522,0.034277070760726926,0.043763849698007104,0.04509232049541814,0.04869577266714152,0.047809762245213445,0.053707948342586555,0.049719869741238654,0.0439367446427544,0.053283400069444604,0.04608276042648975,0.052819003709233724,0.04329056589631364,0.04419039774300723,0.05047415649561688,0.03849323407599801,0.05841609802192602,0.044587158990141595,0.049976444321459736,0.056142131304916215,0.05243381529169924,0.04212176494977691,0.044946641005851606,0.05397123274289899,0.04794424154203047,0.05234048478869778,0.04954344250502125,0.047137791674365014,0.04530193757576247,0.044053833103842206,0.0500414072371581,0.04298724852983029,0.05227671587920707,0.04327313428291598,0.03972965445030819,0.05720373860707408,0.0467198885162361,0.06127757330735525,0.0648673539981246,0.0646072389701238,0.03844975645800954,0.04350206207844519,0.03158620616201969,0.05450276533762614,0.09124308608864483,0.038655455673819984,0.04027598159801629,0.07336132556200027,0.050365199285902475,0.05655107173490627,0.054856141458355615,0.06729725219442376,0.039984285685932264,0.0507359738724354,0.04338315291510474,0.03470762295182794,0.06174810544440621
TOPIC 7,Authentication,Tokens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026370620355010033,0,0,0,0,0,0,0,0,0,0,0,0,0.07840331643819809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016730865463614464,0,0,0,0,0,0,0,0.024033005349338055,0.09597259759902954,0.09839831478893757,0.03728734256906642,0.0694667212665081,0.039775267553826175,0.03435099287889898,0.03324818005785346,0.05713627133518458,0.04514677791545788,0.07774121463298797,0.04463525933937894,0.03406931941087047,0.05177658989227244,0.04543901983027657,0.04173023454844951,0.04580254606902599,0.051781967974134854,0.04934917751918821,0.04595338307659735,0.051387524620319404,0.04913202236639336,0.04513881179607577,0.04881223081014095,0.05025965000009712,0.0460075823446879,0.04518909001490101,0.053487446159124374,0.05032581976766503,0.04655501471930429,0.05961058350900809,0.05175303545241293,0.04291120190815679,0.04414346321102451,0.04718003660330877,0.04471253050547658,0.05971462424430582,0.04798863476349248,0.06392873634556026,0.05433273498872013,0.050883599767281164,0.04064908273079816,0.05501267003516356,0.04970889181519548,0.038013091475209766,0.04012843128293753,0.048571225174743195,0.046202322065427494,0.06389269989096757,0.04448077886512405,0.04917706983784834,0.04627121434631673,0.043226840547644176,0.04816861550968427,0.03742322933517004,0.054747002619889476,0.0537064094644259,0.048382285706422945,0.045657574640292874,0.04038700904568721,0.054180074793597065,0.04418370597064495,0.04692944457852527,0.07849440107057834,0.054712131439197446,0.05223336835790958,0.07177333868457936,0.052312178776050225,0.05297294505421193,0.04860003187786788,0.05467047297248715
TOPIC 8,Development,Implementation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458388514816761,0,0,0,0,0,0,0,0,0,0,0,0,0.02635776251554489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01900252141058445,0,0,0,0,0,0,0,0.03398462664335966,0.03325999528169632,0.03548464737832546,0.030836512231164508,0.028176650404930115,0.026846385250488918,0.028749916004016995,0.028567081899382174,0.04434421136975288,0.03389156744298008,0.03383356879154841,0.04922216830568181,0.04319762857630849,0.039078372331070046,0.03279621455197533,0.048640931844711306,0.04150368202477694,0.04343232879681247,0.038273380247547346,0.033473653930493376,0.041921834694221616,0.07421691130314555,0.03210953628230426,0.03704194084574015,0.040574715363190454,0.03852102912675876,0.03311721727368422,0.04009108476597687,0.03561343685832134,0.03498087975343591,0.03407183076995306,0.037946302884895554,0.03508028805512806,0.03603649440714542,0.034380560302559066,0.03452032008631663,0.03404342410741029,0.0334675095251037,0.03267117567134626,0.03269049601460045,0.04339863822585152,0.032993921873104924,0.03292404060872892,0.03757605153239436,0.03145468744504101,0.03208185750390253,0.029113468754550686,0.03358137282870106,0.031199762597680092,0.041544874051683826,0.036394950662118696,0.03360619215351163,0.03262097488802213,0.03505959411939749,0.028042098360234184,0.034806799083467455,0.033892495119396376,0.03193528767399214,0.03580581970316799,0.03649792486223681,0.0627401077395512,0.04321497604250908,0.03626786677264854,0.03405455310411494,0.03915296786374623,0.03344369443532612,0.0320101389370393,0.0383845227651107,0.036906457355906884,0.04637373541481793,0.030704439152032137
TOPIC 9,Development,Testing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05438520014286041,0,0,0,0,0,0,0,0,0,0,0,0,0.024650584906339645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028191739693284035,0,0,0,0,0,0,0,0.02961955964565277,0.03342864289879799,0.04380767047405243,0.03444727137684822,0.04555919269720713,0.031025214431186516,0.036673331167548895,0.035298379836604,0.059819957986474034,0.03717265878286627,0.034632833674550056,0.037783087955580816,0.034513674986859165,0.04659581809703793,0.04417523465429743,0.04428031660616398,0.03396993190050125,0.03713453507849148,0.037773779209922344,0.03932161548767577,0.04170552990399301,0.04016671464445868,0.05390794626954529,0.045814637906658344,0.03459999630885089,0.04821894235479144,0.04041985631920397,0.04700734723230888,0.04059423991414004,0.035968131238692684,0.03580901895960172,0.03913460912084893,0.0360917616635561,0.03772868550218204,0.0357477386646411,0.04211426763371988,0.037456612206167646,0.05011374063582884,0.05708005990494381,0.04596936697083892,0.038429156847057805,0.046131503823048925,0.03783044102601707,0.04842266973315014,0.036877335103995657,0.0366284332929119,0.0387981858752344,0.035138935328939476,0.04264396073465997,0.05210012315135253,0.03551481508960327,0.04943438969326742,0.038461134840662665,0.03826666050232374,0.03915545878637778,0.04003211110830307,0.060634929248515296,0.049333335969735076,0.04117738181038907,0.03871446761206306,0.054989594138330884,0.06158857591450215,0.04915917439288214,0.06450433141134422,0.05365846633550621,0.050152404533166973,0.04079440940404311,0.03709634699118443,0.05078931591443477,0.044057376973796636,0.03914297178485676
