user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
9961541,mitchellkrogza,2014-11-26T11:18:52Z,2,3571,3796,2,2,148.63487881981033
428886,philhagen,2010-10-06T00:33:31Z,1,1190,1221,1,1,112.08026208026209
21193898,arismelachroinos,2016-08-23T09:27:19Z,1,307,307,1,3,82.0
278456,marcuswhybrow,2010-05-16T14:50:44Z,1,441,603,1,1,67.28358208955224
31127917,trimstray,2017-08-18T09:18:37Z,1,697,719,1,1,47.500695410292074
67641,martinthomson,2009-03-26T23:16:42Z,1,2919,6992,2,3,45.3658466819222
1047469,tombujok,2011-09-13T14:01:22Z,1,756,986,1,5,44.47058823529412
514871,pakoito,2010-12-08T15:54:51Z,1,1625,4539,1,1,33.65278695747962
627280,lildude,2011-02-19T17:40:07Z,1,506,2295,1,2,30.867102396514163
65675,josegonzalez,2009-03-22T03:10:46Z,1,3672,5952,6,49,28.47975641869651
544911,ftao,2011-01-03T04:43:28Z,1,260,312,2,2,27.5
111569,elgalu,2009-08-03T20:49:35Z,1,712,1157,1,2,27.384615384615387
1457214,commjoen,2012-02-21T12:41:47Z,1,1111,7325,6,12,26.011808873720135
129536,dolmen,2009-09-21T13:51:51Z,1,380,978,1,2,25.644171779141104
162442,rmarquis,2009-12-05T00:15:30Z,1,1611,1731,1,1,25.12824956672444
1441704,mcornella,2012-02-16T00:44:50Z,1,849,5773,3,48,24.559674346093885
319471,geoffharcourt,2010-07-01T00:19:05Z,1,42,414,1,1,23.942028985507246
161631,tianon,2009-12-03T22:30:20Z,2,4630,17392,4,16,23.89273804047838
251467,errordeveloper,2010-04-24T14:31:14Z,1,576,1009,1,1,21.121902874132804
16493199,dcooper16,2015-12-30T20:06:30Z,1,870,3577,67,148,19.378763723186424
7956715,konstruktoid,2014-06-22T14:14:18Z,2,552,3747,4,18,18.10372742638555
633741,richbayliss,2011-02-23T10:44:04Z,1,28,82,1,1,18.097560975609756
8036727,drwetter,2014-07-01T11:53:42Z,1,2394,3577,21,148,16.713809700111067
725456,nemchik,2011-04-12T18:26:39Z,1,1971,2457,2,4,16.445054945054945
434827,bcoles,2010-10-11T02:44:10Z,1,51,152,1,2,15.769736842105264
28480705,MichaIng,2017-05-06T09:52:20Z,1,3358,7818,10,37,15.207386972544302
1911592,petrockblog,2012-07-01T18:24:49Z,1,349,6534,1,2,15.169268441995715
147409,mafredri,2009-11-01T15:57:07Z,1,118,329,1,2,14.346504559270517
4478206,dgibbs64,2013-05-20T11:06:01Z,1,3883,5733,1,7,12.965587700281578
4582016,GermanBluefox,2013-05-31T17:54:38Z,1,226,699,1,2,12.609442060085838
11699655,angristan,2015-03-28T21:26:45Z,1,291,598,3,27,11.841137123745819
4610293,gvenzl,2013-06-04T11:04:02Z,1,302,1649,2,13,11.467462797966133
277251,fornwall,2010-05-14T21:24:58Z,1,6231,11533,1,29,10.675103227021708
7385,demonbane,2008-04-15T07:17:51Z,1,45,236,1,2,9.152542372881356
1521015,benoitchantre,2012-03-09T18:28:44Z,1,28,194,1,2,8.443298969072165
4189968,jlupi,2013-04-18T09:39:47Z,1,141,986,1,5,8.294117647058824
920624,alimakki,2011-07-17T06:54:52Z,1,144,1424,8,68,7.566424322538003
85965,lukas2511,2009-05-18T17:10:50Z,1,427,593,3,57,7.390165971420964
6281704,igorpecovnik,2013-12-29T16:33:37Z,1,3524,7804,1,9,7.325360214135202
58855,tomjn,2009-02-28T13:14:48Z,1,991,2986,2,15,6.814646126367493
886383,solidnerd,2011-06-30T13:00:30Z,1,1036,3184,2,31,6.633490030799157
8805941,UltimateByte,2014-09-17T11:10:30Z,1,951,5733,2,7,6.350900799880392
699993,joshrabinowitz,2011-03-30T19:07:38Z,1,205,598,1,2,6.17056856187291
3068843,osresearch,2012-12-18T03:57:11Z,1,636,1239,2,10,6.159806295399516
1852688,thelamer,2012-06-15T04:00:06Z,1,146,1969,1,1,6.006094464195023
6605174,lujun9972,2014-02-06T13:43:18Z,1,5308,54531,6,17,5.943412651411447
1084449,idcrosby,2011-09-27T17:09:23Z,1,252,1612,1,4,5.705955334987593
25881154,xeffyr,2017-02-19T13:36:56Z,1,551,11533,6,29,5.663920922570016
2816894,ifly53e,2012-11-16T21:08:53Z,1,9,466,1,1,5.330472103004292
17899365,v1s1t0r1sh3r3,2016-03-17T08:25:39Z,1,1331,2212,1,28,5.200561870317748
7077026,Fourdee,2014-03-27T02:55:51Z,1,2849,7818,4,37,5.160910718853927
522200,dnschneid,2010-12-14T05:15:53Z,1,1164,2032,1,50,4.972204724409449
2922783,Samureus,2012-11-29T15:48:00Z,1,91,2311,1,3,4.895860377902784
