repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
AdaptiveConsulting/ReactiveTrader,191,956,512,981443,LeeCampbell,24
AngleSharp/AngleSharp,203,3371,6208,296247,dotnetshadow,0
Azure/azure-powershell,4387,2192,33392,20088724,swi2w,0
Azure/azure-powershell,4387,2192,33392,1747120,trondhindenes,0
Azure/azure-powershell,4387,2192,33392,4787647,bingosummer,0
Azure/azure-sdk-for-net,1206,1910,12487,11322348,schaabs,108
Azure/azure-sdk-for-net,1206,1910,12487,794270,MV10,0
Azure/iotedge,119,1076,2689,833747,myagley,258
BornToBeRoot/NETworkManager,66,1063,1366,38713803,graphik55,0
Caliburn-Micro/Caliburn.Micro,206,2176,1431,5128161,geniovi,0
CodeHubApp/CodeHub,6725,22933,593,7068080,housiliao,0
CodeHubApp/CodeHub,6725,22933,593,20676402,czqhurricnae,0
Covid-19Radar/Covid19Radar,132,1708,9649,10733273,piyokango,0
DotNetOpenAuth/DotNetOpenAuth,232,1677,3500,2170138,marcosb,0
DotNetOpenAuth/DotNetOpenAuth,232,1677,3500,2220085,lorddev,0
DotNetOpenAuth/DotNetOpenAuth,232,1677,3500,622724,bloudraak,0
Dotnet-Boxed/Templates,175,2254,1938,6286594,HugCoder,0
DynamoDS/Dynamo,188,943,29375,5710686,aparajit-pratap,1277
GhostPack/Rubeus,42,1024,127,8066322,whoot,0
GitTools/GitVersion,68,1709,3838,46108,maxild,1
GitTools/GitVersion,68,1709,3838,96201,pvandervelde,0
GitTools/GitVersion,68,1709,3838,5028850,maximpashuk,0
GitTools/GitVersion,68,1709,3838,46577133,bendoyon,0
GlitchEnzo/NuGetForUnity,33,718,478,17389739,ForrestTrepte,57
HTBox/allReady,141,858,3626,1430011,rynowak,3
HTBox/allReady,141,858,3626,15706343,ResaWildermuth,1
HTBox/allReady,141,858,3626,5067595,tonysurma,375
HTBox/allReady,141,858,3626,3669103,stevejgordon,452
HTBox/allReady,141,858,3626,11890711,shahiddev,13
HTBox/allReady,141,858,3626,6615834,ksk100,25
HTBox/allReady,141,858,3626,2531875,dpaquette,153
HTBox/allReady,141,858,3626,7864940,SPConlin,0
HangfireIO/Hangfire,324,6026,3346,2129162,quozd,0
HangfireIO/Hangfire,324,6026,3346,2262364,pieceofsummer,26
HangfireIO/Hangfire,324,6026,3346,5191608,diandsonc,0
IdentityManager/IdentityManager,102,662,291,942409,AlbertoLeon,0
IdentityManager/IdentityManager,102,662,291,6815798,JanWilczak,0
IdentityManager/IdentityManager,102,662,291,13963337,WassMM,0
IdentityManager/IdentityManager,102,662,291,8820302,plemm98,0
IdentityServer/IdentityServer3,244,2054,2607,10283165,michaelbeckersgit,0
IdentityServer/IdentityServer3,244,2054,2607,16041993,Farwell-Liu,0
IdentityServer/IdentityServer3,244,2054,2607,4592105,jageall,3
IdentityServer/IdentityServer3,244,2054,2607,649492,brockallen,979
IdentityServer/IdentityServer3,244,2054,2607,16141655,lpranith,0
IdentityServer/IdentityServer3,244,2054,2607,1710257,totpero,1
IdentityServer/IdentityServer3,244,2054,2607,758620,imperugo,0
IdentityServer/IdentityServer3,244,2054,2607,9596010,kishoreabhishek,0
IdentityServer/IdentityServer3,244,2054,2607,239025,henninga,0
IdentityServer/IdentityServer3,244,2054,2607,1454075,leastprivilege,1462
IdentityServer/IdentityServer3,244,2054,2607,8550960,jheckathorn,0
IdentityServer/IdentityServer3,244,2054,2607,10287604,tesicg,0
IdentityServer/IdentityServer3,244,2054,2607,3847574,jerackista,1
IdentityServer/IdentityServer3,244,2054,2607,1368331,cb55555,0
IdentityServer/IdentityServer3,244,2054,2607,4252493,rklachko,2
IdentityServer/IdentityServer3,244,2054,2607,1517976,gavinharriss,1
IdentityServer/IdentityServer3,244,2054,2607,3934101,jdslavin,0
IdentityServer/IdentityServer3,244,2054,2607,364600,pmhsfelix,1
IdentityServer/IdentityServer3,244,2054,2607,47586,ayoung,0
IdentityServer/IdentityServer3,244,2054,2607,183151,mynkow,0
IdentityServer/IdentityServer3,244,2054,2607,367258,mohanr,0
IdentityServer/IdentityServer3,244,2054,2607,9794183,fbeauche,0
IdentityServer/IdentityServer3,244,2054,2607,1814306,dapug,0
IdentityServer/IdentityServer3,244,2054,2607,7995279,rayph,0
IdentityServer/IdentityServer3,244,2054,2607,22845558,olonga,0
IdentityServer/IdentityServer3,244,2054,2607,12623252,usernameAlreadyTakenByMe,0
IdentityServer/IdentityServer3,244,2054,2607,4618744,huysentruitw,0
IdentityServer/IdentityServer3,244,2054,2607,12095691,snothub,0
IdentityServer/IdentityServer3,244,2054,2607,4221226,vitaly-koltsov,0
IdentityServer/IdentityServer3,244,2054,2607,3061094,mariusandersen,0
IdentityServer/IdentityServer3,244,2054,2607,6706200,CodePh4nt0m,0
IdentityServer/IdentityServer3,244,2054,2607,8503744,marcindzwonnik,0
IdentityServer/IdentityServer3,244,2054,2607,542036,vvolkgang,0
IdentityServer/IdentityServer3,244,2054,2607,21111711,CTDevRic,0
IdentityServer/IdentityServer3,244,2054,2607,8508456,parkinsona,0
IdentityServer/IdentityServer3,244,2054,2607,20829362,dmoughabghab,0
IdentityServer/IdentityServer3,244,2054,2607,5598125,scottbrady91,0
IdentityServer/IdentityServer3,244,2054,2607,4823556,devlz303,0
IdentityServer/IdentityServer3,244,2054,2607,845435,chris1234p,0
IdentityServer/IdentityServer3,244,2054,2607,11557697,chrtsam,0
IdentityServer/IdentityServer3,244,2054,2607,156276,RobRolls,0
IdentityServer/IdentityServer3,244,2054,2607,581018,lukos,0
IdentityServer/IdentityServer3,244,2054,2607,1913766,david-ernstsson-stratsys,0
IdentityServer/IdentityServer3,244,2054,2607,1830474,vinayhfs,0
IdentityServer/IdentityServer3,244,2054,2607,6547794,olee,0
IdentityServer/IdentityServer3,244,2054,2607,4852158,rossiter10,0
IdentityServer/IdentityServer3,244,2054,2607,8033741,programmer-pragmatic,0
IdentityServer/IdentityServer3,244,2054,2607,4573052,wiseman13,0
IdentityServer/IdentityServer3,244,2054,2607,5721138,jackkjhsu,0
IdentityServer/IdentityServer3,244,2054,2607,14100364,RFannin,0
IdentityServer/IdentityServer3,244,2054,2607,10632491,mohammadhammod,0
IdentityServer/IdentityServer3,244,2054,2607,25326912,Thercy,0
IdentityServer/IdentityServer3,244,2054,2607,6683867,evilgamr,0
IdentityServer/IdentityServer3,244,2054,2607,12038183,juhankki,0
IdentityServer/IdentityServer3,244,2054,2607,6834701,mstrong64,0
IdentityServer/IdentityServer3,244,2054,2607,11613589,mirecg,0
IdentityServer/IdentityServer3,244,2054,2607,6733755,jpr1020,0
IdentityServer/IdentityServer3,244,2054,2607,11184575,ChrisVinall,0
IdentityServer/IdentityServer3,244,2054,2607,3694497,jonsamwell,0
IdentityServer/IdentityServer3,244,2054,2607,16225269,dgs-hassaan786,0
IdentityServer/IdentityServer3,244,2054,2607,1970566,iguanaware,0
IdentityServer/IdentityServer3,244,2054,2607,9569179,pramodgehlot,0
IdentityServer/IdentityServer3,244,2054,2607,19465751,mistertown,0
IdentityServer/IdentityServer3,244,2054,2607,15380102,richmond-git,0
IdentityServer/IdentityServer3,244,2054,2607,10266752,Rajafkvp,0
IdentityServer/IdentityServer3,244,2054,2607,5878480,refref,0
IdentityServer/IdentityServer3,244,2054,2607,4573198,cortex93,0
IdentityServer/IdentityServer3,244,2054,2607,11603052,feina,0
IdentityServer/IdentityServer3,244,2054,2607,1265482,mikkark,0
IdentityServer/IdentityServer3,244,2054,2607,11609029,pawepaw,0
IdentityServer/IdentityServer3,244,2054,2607,8389867,dahlsailrunner,0
IdentityServer/IdentityServer3,244,2054,2607,17434217,ben-harper,0
IdentityServer/IdentityServer3,244,2054,2607,219090,Pondidum,1
IdentityServer/IdentityServer3,244,2054,2607,22056199,jonsaxon1977,0
IdentityServer/IdentityServer3,244,2054,2607,2528902,pbujok,0
IdentityServer/IdentityServer3,244,2054,2607,8861436,aedilyan,0
IdentityServer/IdentityServer3,244,2054,2607,1984874,paddyhamilton,0
IdentityServer/IdentityServer3,244,2054,2607,23190567,zoehart,0
IdentityServer/IdentityServer3,244,2054,2607,16962721,RangerDunadan,0
IdentityServer/IdentityServer3,244,2054,2607,838582,zam6ak,0
IdentityServer/IdentityServer3,244,2054,2607,1006327,jaundice,0
IdentityServer/IdentityServer3,244,2054,2607,3558417,rubenlagatie,0
IdentityServer/IdentityServer3,244,2054,2607,1285514,tonyeung,0
IdentityServer/IdentityServer3,244,2054,2607,67829,vidarkongsli,0
IdentityServer/IdentityServer3,244,2054,2607,4059224,IIStevowII,0
IdentityServer/IdentityServer3,244,2054,2607,24475087,manjitsingh91,0
IdentityServer/IdentityServer3,244,2054,2607,5617079,mehdi-mousavi,0
IdentityServer/IdentityServer3,244,2054,2607,10227707,tsladev001,0
IdentityServer/IdentityServer3,244,2054,2607,2718591,pksorensen,1
IdentityServer/IdentityServer3,244,2054,2607,3702036,jishnus,0
IdentityServer/IdentityServer3,244,2054,2607,2207109,pjirsa,0
IdentityServer/IdentityServer3,244,2054,2607,10137,ghost,0
IdentityServer/IdentityServer3,244,2054,2607,10403628,scottpickard,0
IdentityServer/IdentityServer3,244,2054,2607,3601549,smurfolan,0
IdentityServer/IdentityServer3,244,2054,2607,951490,devdigital,0
IdentityServer/IdentityServer3,244,2054,2607,13584130,pankajisgarg,0
IdentityServer/IdentityServer3,244,2054,2607,2846789,mohunt,0
IdentityServer/IdentityServer3,244,2054,2607,28431031,imvigo,0
IdentityServer/IdentityServer3,244,2054,2607,17463064,shuppert,0
IdentityServer/IdentityServer3,244,2054,2607,4406602,Yassine-Khechane,0
IdentityServer/IdentityServer3,244,2054,2607,206726,johnkors,10
IdentityServer/IdentityServer3,244,2054,2607,7668291,glvecino,0
IdentityServer/IdentityServer3,244,2054,2607,10067303,oakuraape,0
IdentityServer/IdentityServer3,244,2054,2607,17205723,tienw,0
IdentityServer/IdentityServer3,244,2054,2607,617529,dimsedane,0
IdentityServer/IdentityServer3,244,2054,2607,329893,extremeboredom,0
IdentityServer/IdentityServer3,244,2054,2607,1742168,akiander,0
IdentityServer/IdentityServer3,244,2054,2607,6815798,JanWilczak,0
IdentityServer/IdentityServer3,244,2054,2607,16717696,gwwebproof,0
IdentityServer/IdentityServer3,244,2054,2607,6452602,Krishna-teja,0
IdentityServer/IdentityServer3,244,2054,2607,6311947,Sonic3R,0
IdentityServer/IdentityServer3,244,2054,2607,7672608,prydzewski,0
IdentityServer/IdentityServer3,244,2054,2607,8146681,tracsorenson,0
IdentityServer/IdentityServer3,244,2054,2607,19304594,AmitCap,0
IdentityServer/IdentityServer3,244,2054,2607,3216734,daishisystems,0
IdentityServer/IdentityServer3,244,2054,2607,24812008,avinashlonkar,0
IdentityServer/IdentityServer3,244,2054,2607,19396090,Kahbazi,0
IdentityServer/IdentityServer3,244,2054,2607,21292425,sajanep,0
IdentityServer/IdentityServer3,244,2054,2607,30316909,davdev82,0
IdentityServer/IdentityServer3,244,2054,2607,8522618,vasilegrafu,0
IdentityServer/IdentityServer3,244,2054,2607,2734580,kevinkuszyk,0
IdentityServer/IdentityServer3,244,2054,2607,6207782,wlafrance,0
IdentityServer/IdentityServer3,244,2054,2607,177969,myaesubi,0
IdentityServer/IdentityServer3,244,2054,2607,3804569,chuongxl,0
IdentityServer/IdentityServer3,244,2054,2607,3992584,harvinder83,0
IdentityServer/IdentityServer3,244,2054,2607,8170379,sellotape,0
IdentityServer/IdentityServer3,244,2054,2607,13974203,pessimca,0
IdentityServer/IdentityServer3,244,2054,2607,6703476,naveenkumarreddy,0
IdentityServer/IdentityServer3,244,2054,2607,13845954,evrardp,0
IdentityServer/IdentityServer3,244,2054,2607,8446155,moharrer,0
IdentityServer/IdentityServer3,244,2054,2607,1568453,LockTar,0
IdentityServer/IdentityServer3,244,2054,2607,4035824,farshid3003,0
IdentityServer/IdentityServer3,244,2054,2607,9447535,henrikniemann,0
IdentityServer/IdentityServer3,244,2054,2607,852995,danjohnso,0
IdentityServer/IdentityServer3,244,2054,2607,12709092,jothikiruthika-jltasia,0
IdentityServer/IdentityServer3,244,2054,2607,26414689,andrewdolg,0
IdentityServer/IdentityServer3,244,2054,2607,1038409,ekeij,0
IdentityServer/IdentityServer3,244,2054,2607,33127340,khadar439,0
IdentityServer/IdentityServer4,435,7007,3153,3955217,snowjim,0
IdentityServer/IdentityServer4,435,7007,3153,6515226,nixa333,0
IdentityServer/IdentityServer4,435,7007,3153,18044751,YINZHU2016,0
IdentityServer/IdentityServer4,435,7007,3153,649492,brockallen,1035
IdentityServer/IdentityServer4,435,7007,3153,4894558,AndersAbel,1
IdentityServer/IdentityServer4,435,7007,3153,39267111,mostafahedawa,0
IdentityServer/IdentityServer4,435,7007,3153,4539406,1Jesper1,0
IdentityServer/IdentityServer4,435,7007,3153,50286240,Simusharp,0
IdentityServer/IdentityServer4,435,7007,3153,19790936,IncRev-Bala,0
IdentityServer/IdentityServer4,435,7007,3153,53963,ipeo,0
IdentityServer/IdentityServer4,435,7007,3153,29952952,manishandankar,0
IdentityServer/IdentityServer4,435,7007,3153,5495297,stombeur,0
IdentityServer/IdentityServer4,435,7007,3153,8892187,ryanelian,0
IdentityServer/IdentityServer4,435,7007,3153,8946667,aaabdul,0
IdentityServer/IdentityServer4,435,7007,3153,5708009,monkeylumps,0
IdentityServer/IdentityServer4,435,7007,3153,239665,Mardoxx,1
IdentityServer/IdentityServer4,435,7007,3153,358684,sergik,0
IdentityServer/IdentityServer4,435,7007,3153,8573706,santiagomolinadecastro,0
IdentityServer/IdentityServer4,435,7007,3153,640095,mortenn,0
IdentityServer/IdentityServer4,435,7007,3153,22603821,testaco23,0
IdentityServer/IdentityServer4,435,7007,3153,30476547,tomasfilipEC,0
IdentityServer/IdentityServer4,435,7007,3153,7000791,Merawza,0
IdentityServer/IdentityServer4,435,7007,3153,10237926,jeanpoelie,0
IdentityServer/IdentityServer4,435,7007,3153,5675337,amiteshs,0
IdentityServer/IdentityServer4,435,7007,3153,7974095,redplane,0
IdentityServer/IdentityServer4,435,7007,3153,642569,AnthonyDewhirst,0
IdentityServer/IdentityServer4,435,7007,3153,3266325,zoeysaurusrex,0
IdentityServer/IdentityServer4,435,7007,3153,1503474,jinder,0
IdentityServer/IdentityServer4,435,7007,3153,25346332,luis-cortina,0
IdentityServer/IdentityServer4,435,7007,3153,5015774,PresidentCamacho,0
IdentityServer/IdentityServer4,435,7007,3153,26047301,sai-nagarjuna-t,0
IdentityServer/IdentityServer4,435,7007,3153,28773589,xubair81,0
IdentityServer/IdentityServer4,435,7007,3153,6452602,Krishna-teja,0
