user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
63502,ferventcoder,2009-03-14T21:52:21Z,1,2749,2989,2,3,146.5397568863611
1054056,markcowl,2011-09-15T18:59:24Z,1,2811,33392,2,8,92.3264329779588
1684561,johanneszab,2012-04-27T08:25:44Z,1,390,399,1,1,79.17293233082707
289607,thiennn,2010-05-28T09:27:42Z,1,715,975,1,3,77.48888888888888
564941,kimsama,2011-01-14T16:36:48Z,1,262,288,1,1,68.22916666666667
3548,AArnott,2008-03-21T16:24:38Z,1,3384,3500,4,16,56.07771428571428
1862641,roji,2012-06-18T13:23:09Z,1,2052,3768,1,2,47.10668789808917
1693688,zooba,2012-04-30T20:07:48Z,1,4284,9121,1,3,46.18572524942441
1510755,kenkendk,2012-03-07T09:14:08Z,1,3912,7583,23,63,35.78480686749182
5019111,AndreiMaz,2013-07-16T06:02:34Z,1,2380,12321,8,29,33.624230008200186
213064,muratcakir,2010-03-01T11:08:43Z,1,3308,8675,2,7,32.902955948950186
18473240,Martin-Molinero,2016-04-14T23:34:02Z,1,898,10465,1,1,31.234782608695653
1271146,gep13,2011-12-18T16:52:45Z,1,755,1379,1,1,29.564902102973168
1020579,niemyjski,2011-09-01T21:59:55Z,1,3000,4224,1,4,25.390625
167819,pchote,2009-12-15T09:06:10Z,1,6922,27448,1,4,24.71422325852521
413544,markus101,2010-09-23T20:58:46Z,1,4713,8490,1,6,24.51796230859835
3605364,Rick-Anderson,2013-02-15T19:23:36Z,1,2354,10988,7,43,23.784923933932156
1766191,FlorianRappl,2012-05-22T17:22:18Z,1,5991,6208,1,9,21.767128436426116
17788297,MiYanni,2016-03-11T18:41:01Z,1,1141,33392,1,8,18.73789755031145
1696845,huguesv,2012-05-01T21:48:31Z,1,1733,9121,1,3,18.68344114314951
756669,Mailaender,2011-04-28T10:38:39Z,1,3864,27448,1,4,13.795977849023608
7962757,mregen,2014-06-23T08:57:26Z,1,485,1110,1,5,13.719819819819818
1350414,tmenier,2012-01-19T00:01:42Z,1,599,717,1,6,13.645281264528125
1178570,Numpsy,2011-11-07T17:55:36Z,1,64,896,1,1,13.428571428571429
1062417,pgermishuys,2011-09-19T15:32:17Z,1,705,6452,1,2,12.729773713577185
1775141,grokys,2012-05-24T18:02:21Z,1,1867,8954,7,27,12.163092844911025
16681184,mariannk,2016-01-13T08:06:19Z,1,1362,12321,5,29,12.026313359025384
11945339,digimezzo,2015-04-14T14:45:51Z,1,625,2496,1,1,12.01923076923077
1035315,hnrkndrssn,2011-09-08T09:20:02Z,1,76,400,1,1,11.4
5375137,PureWeen,2013-09-03T17:33:34Z,1,608,5055,1,5,10.824925816023741
532647,hakusaro,2010-12-22T00:12:14Z,1,1681,4884,1,4,10.755784193284192
1210527,hikalkan,2011-11-21T14:53:45Z,2,8407,19127,2,91,10.751720282645154
417571,StanleyGoldman,2010-09-27T12:57:52Z,2,4196,14144,3,35,10.679864253393664
95136,davidfowl,2009-06-13T22:27:06Z,3,1750,15866,6,69,10.40644747587129
11578325,shoveldev,2015-03-20T20:45:37Z,1,1038,1379,8,82,10.354480977732186
2315687,nirinchev,2012-09-10T07:37:38Z,1,328,2644,1,1,10.048411497730712
1676321,jamesmontemagno,2012-04-24T22:17:27Z,1,345,1262,1,4,9.568145800316957
16416509,vis2k,2015-12-23T16:32:15Z,1,1530,4130,1,3,9.384987893462469
14981676,shaan1337,2015-10-05T16:07:13Z,1,516,6452,1,2,9.317110973341599
781266,tidyui,2011-05-11T11:04:07Z,1,1979,2332,1,8,9.22882718696398
17749498,cedrozor,2016-03-09T18:09:55Z,1,163,178,1,7,9.157303370786517
1750815,TingluoHuang,2012-05-18T00:25:48Z,2,624,2510,2,10,8.999521912350598
103326,hbons,2009-07-09T16:50:39Z,1,3708,4689,2,35,8.992377296408007
981443,LeeCampbell,2011-08-15T16:46:31Z,1,24,512,1,1,8.953125
189547,mrlacey,2010-01-25T17:19:59Z,1,1444,9562,1,3,8.909851495503034
341098,mkrueger,2010-07-22T17:53:09Z,1,15868,65096,1,6,8.531707017328253
191335,peppy,2010-01-28T03:46:31Z,1,13756,31567,1,14,8.248532599595418
5710686,aparajit-pratap,2013-10-17T15:09:35Z,1,1277,29375,1,1,8.1728
310137,shana,2010-06-20T19:35:35Z,2,3083,14144,3,35,7.847002262443438
6999446,sparerd,2014-03-19T14:20:03Z,1,1057,4362,6,50,7.676698762035763
3913124,roncain,2013-03-19T18:56:43Z,1,459,3300,1,7,7.669870129870129
6330857,peske,2014-01-06T15:04:25Z,1,73,601,1,2,7.530782029950084
35664089,skoruba,2018-01-21T17:14:47Z,1,765,1238,1,13,7.41518578352181
8479982,Michael-Herzog,2014-08-18T13:26:51Z,1,1439,8675,1,7,7.156492383696994
4992379,mtuchkov,2013-07-11T20:03:35Z,1,4,253,1,1,6.529644268774703
7566324,tatarincev,2014-05-13T07:02:26Z,1,2048,11514,6,24,6.4478026750043425
8727929,varunpuranik,2014-09-10T19:52:51Z,1,417,2689,1,3,6.151357381926367
