repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
AutoMapper/AutoMapper,404,7424,3621,4517428,lbargaoanu,1012
AutoMapper/AutoMapper,404,7424,3621,33595554,lock[bot],0
Code52/carnac,60,1408,400,1172428,GlassGruber,0
Code52/carnac,60,1408,400,1035315,hnrkndrssn,76
ExcelDataReader/ExcelDataReader,177,2335,371,16575282,andersnm,172
FluentValidation/FluentValidation,289,5581,1855,90130,JeremySkinner,1596
Glimpse/Glimpse,168,2287,2593,199026,nikmd23,753
IdentityServer/IdentityServer3,244,2054,2607,649492,brockallen,979
Jackett/Jackett,156,4636,6301,6933240,garfield69,2260
JamesNK/Newtonsoft.Json,525,7999,1821,303201,JamesNK,1568
MassTransit/MassTransit,236,2889,5248,8988778,JerryNiche,0
MultiPoolMiner/MultiPoolMiner,98,706,3121,669579,grantemsley,322
NLog/NLog,295,4644,5831,5808377,304NotModified,2346
NLog/NLog,295,4644,5831,10137,ghost,0
Nethereum/Nethereum,119,1098,1341,562371,juanfranblanco,1046
Nethereum/Nethereum,119,1098,1341,12769097,morejump,0
Nethereum/Nethereum,119,1098,1341,3112460,tuyen-vuduc,0
Nethereum/Nethereum,119,1098,1341,32246820,ciarmoli-marco,0
Nethereum/Nethereum,119,1098,1341,893301,pushist1y,0
Nethereum/Nethereum,119,1098,1341,1867602,tellamon,0
Nethereum/Nethereum,119,1098,1341,266498,dradovic,0
NuGet/NuGetGallery,111,1258,6278,1427284,clairernovotny,0
NuGet/NuGetGallery,111,1258,6278,485230,maartenba,494
NuGet/NuGetGallery,111,1258,6278,16807822,skofman1,128
NuGet/NuGetGallery,111,1258,6278,14800916,anangaur,6
NuGet/NuGetGallery,111,1258,6278,737941,loic-sharma,104
NuGet/NuGetGallery,111,1258,6278,94054,joelverhagen,367
NuGet/NuGetGallery,111,1258,6278,18014088,scottbommarito,1
NuGet/NuGetGallery,111,1258,6278,880728,xavierdecoster,464
NuGet/NuGetGallery,111,1258,6278,16580006,cristinamanum,75
NuGet/NuGetGallery,111,1258,6278,12734758,dtivel,31
NuGet/NuGetGallery,111,1258,6278,1399677,RanjiniM,1
NuGet/NuGetGallery,111,1258,6278,756703,robertmuehsig,75
NuGet/NuGetGallery,111,1258,6278,1238711,yishaigalatzer,0
NuGet/NuGetGallery,111,1258,6278,6608201,diverdan92,0
NuGet/NuGetGallery,111,1258,6278,7574,anurse,1371
NuGet/NuGetGallery,111,1258,6278,14916339,rido-min,0
NuGetPackageExplorer/NuGetPackageExplorer,100,1626,1975,1427284,clairernovotny,161
NuGetPackageExplorer/NuGetPackageExplorer,100,1626,1975,41759,tmat,0
NuGetPackageExplorer/NuGetPackageExplorer,100,1626,1975,122666,SimonCropp,0
NuGetPackageExplorer/NuGetPackageExplorer,100,1626,1975,67574,kfrancis,0
OPCFoundation/UA-.NETStandard,158,887,1107,13765819,AlinMoldovean,223
OPCFoundation/UA-.NETStandard,158,887,1107,436613,MD-V,3
OPCFoundation/UA-.NETStandard,158,887,1107,8157818,barnstee,292
OPCFoundation/UA-.NETStandard,158,887,1107,6437134,eoursel,0
OneGet/oneget,149,2224,701,192942,Jaykul,0
OneGet/oneget,149,2224,701,10171679,jianyunt,119
OneGet/oneget,149,2224,701,133736,fearthecowboy,347
OneGet/oneget,149,2224,701,794251,nlowe,0
OneGet/oneget,149,2224,701,1662677,Stijnc,0
OneGet/oneget,149,2224,701,4371645,quoctruong,0
OneGet/oneget,149,2224,701,11182111,slimracing,0
OneGet/oneget,149,2224,701,19418093,MichaelStankiewicz,0
OpenCover/opencover,85,1209,1417,43356,rgl,0
OpenRA/OpenRA,391,8488,27423,167819,pchote,6913
OpenRA/OpenRA,391,8488,27423,4861023,Phrohdoh,184
OpenRA/OpenRA,391,8488,27423,7704140,abcdefg30,1464
OrchardCMS/OrchardCore,377,4308,4030,6998306,kevinchalet,44
OrchardCMS/OrchardCore,377,4308,4030,4950766,jersiovic,16
OrchardCMS/OrchardCore,377,4308,4030,13782679,deanmarcussen,203
Perfare/AssetStudio,367,4520,473,12952226,Perfare,430
Perfare/AssetStudio,367,4520,473,29400616,K0lb3,1
PiranhaCMS/piranha.core,85,998,2327,781266,tidyui,1974
PomeloFoundation/Pomelo.EntityFrameworkCore.MySql,114,1667,827,2414837,caleblloyd,347
PomeloFoundation/Pomelo.EntityFrameworkCore.MySql,114,1667,827,14002844,mguinness,18
PowerShell/PowerShell,1165,21202,8266,22290914,iSazonov,398
PowerShell/PowerShell,1165,21202,8266,11859881,SteveL-MSFT,462
PowerShell/PowerShell,1165,21202,8266,32407840,vexx32,38
PowerShell/PowerShell,1165,21202,8266,10873629,TravisEz13,525
PowerShell/PowerShell,1165,21202,8266,7864621,KevinMarquette,10
PowerShell/PowerShell,1165,21202,8266,48340428,msftbot[bot],0
PowerShell/PowerShell,1165,21202,8266,2226434,andschwa,1854
PowerShell/PowerShell,1165,21202,8266,127450,daxian-dbw,592
PrismLibrary/Prism,421,3946,2635,3860573,dansiegel,660
PrismLibrary/Prism,421,3946,2635,835562,brianlagunas,1160
PrismLibrary/Prism,421,3946,2635,33595554,lock[bot],0
Radarr/Radarr,220,4399,9440,376117,Qstick,666
Radarr/Radarr,220,4399,9440,5339762,galli-leo,695
Radarr/Radarr,220,4399,9440,199065,SWu,1
Radarr/Radarr,220,4399,9440,18750515,janipewter,0
Radarr/Radarr,220,4399,9440,15698584,scope999,0
Redth/PushSharp,483,4266,545,6843062,StephenStrickland,0
ShareX/ShareX,503,13528,6254,12771982,Scrxtchy,8
ShareX/ShareX,503,13528,6254,822090,Jaex,4901
SolrNet/SolrNet,120,825,1881,95194,mausch,1179
Squirrel/OldSquirrelForWindows,52,676,914,1396,anaisbetts,415
System-IO-Abstractions/System.IO.Abstractions,30,724,749,6980197,jpreese,6
adamhathcock/sharpcompress,85,1269,810,527620,adamhathcock,413
adamhathcock/sharpcompress,85,1269,810,8589980,Strachu,5
adamhathcock/sharpcompress,85,1269,810,13472989,michalpenka,0
adamhathcock/sharpcompress,85,1269,810,16143702,me-hungry,0
adamhathcock/sharpcompress,85,1269,810,11347847,sepehr1014,0
adamhathcock/sharpcompress,85,1269,810,36700586,rameshyarru,0
adamhathcock/sharpcompress,85,1269,810,27334392,Megamindzzz,0
adamhathcock/sharpcompress,85,1269,810,528515,coderb,54
aspnet/Mvc,845,5734,4596,34246760,mkArtakMSFT,4
aspnet/Mvc,845,5734,4596,6995051,javiercn,143
aspnet/Mvc,845,5734,4596,2008729,NTaylorMullen,256
aspnet/Mvc,845,5734,4596,174281,pranavkm,1024
aspnet/Mvc,845,5734,4596,26821102,jmhmaine,1
aspnet/Mvc,845,5734,4596,19998082,StefanoP73,0
aspnetboilerplate/aspnetboilerplate,815,8693,6542,1210527,hikalkan,3411
aspnetboilerplate/aspnetboilerplate,815,8693,6542,5989020,iyhammad,14
aspnetboilerplate/aspnetboilerplate,815,8693,6542,3433353,ZhaoRd,8
aws/aws-sdk-net,221,1492,6808,1359724,PavelSafronov,0
aws/aws-sdk-net,221,1492,6808,5959235,tejasmanohar,0
aws/aws-sdk-net,221,1492,6808,5553390,gokarnm,173
bitwarden/server,176,6025,2592,1190944,kspearrin,2384
bitwarden/server,176,6025,2592,11571300,CLAassistant,0
cake-build/cake,149,2573,3008,10491957,Dushelov,0
cake-build/cake,149,2573,3008,8715276,BlackstarSolar,0
canton7/SyncTrayzor,137,2310,1227,1133858,FlorianWendelborn,0
canton7/SyncTrayzor,137,2310,1227,568104,canton7,1212
canton7/SyncTrayzor,137,2310,1227,169039,AlexIljin,0
chocolatey/choco,238,6824,2989,63502,ferventcoder,2749
chocolatey/choco,238,6824,2989,834643,mkevenaar,2
chocolatey/choco,238,6824,2989,14026600,bcurran3,0
chocolatey/choco,238,6824,2989,10140165,Bluejanis,0
chocolatey/choco,238,6824,2989,14045904,systemsincode,0
chocolatey/choco,238,6824,2989,1273576,rismoney,1
chocolatey/choco,238,6824,2989,1271146,gep13,74
chocolatey/choco,238,6824,2989,1589068,rednoah,0
chocolatey/choco,238,6824,2989,207759,StefanScherer,0
chocolatey/choco,238,6824,2989,16208159,KurtTheBerner,0
chocolatey/choco,238,6824,2989,5805780,TheFynx,0
chocolatey/choco,238,6824,2989,12024557,vertigo220,0
digimezzo/dopamine-windows,48,893,2495,16912240,Riajyuu,0
digimezzo/dopamine-windows,48,893,2495,11945339,digimezzo,624
domaindrivendev/Swashbuckle.AspNetCore,191,3381,1082,1434343,domaindrivendev,691
domaindrivendev/Swashbuckle.AspNetCore,191,3381,1082,11480481,ac9999,0
dotnet/AspNetCore.Docs,683,7708,10923,1874516,danroth27,520
dotnet/aspnetcore,1479,18855,44341,6995051,javiercn,648
dotnet/aspnetcore,1479,18855,44341,7409981,joeloff,31
dotnet/aspnetcore,1479,18855,44341,2249648,JohnTortugo,0
dotnet/aspnetcore,1479,18855,44341,34246760,mkArtakMSFT,99
dotnet/aspnetcore,1479,18855,44341,1430011,rynowak,1750
dotnet/aspnetcore,1479,18855,44341,1874516,danroth27,95
dotnet/aspnetcore,1479,18855,44341,18965312,comfycoder,0
dotnet/aspnetcore,1479,18855,44341,48340428,msftbot[bot],28
dotnet/aspnetcore,1479,18855,44341,2294732,Praburaj,446
dotnet/aspnetcore,1479,18855,44341,582487,khellang,55
dotnet/aspnetcore,1479,18855,44341,174281,pranavkm,5334
dotnet/corefxlab,299,1429,3321,367554,livarcocc,14
dotnet/docfx,146,2352,3828,3831744,superyyrrzz,589
dotnet/orleans,552,6816,4914,8248806,sergeybykov,871
dotnet/roslyn,1094,13308,63346,4564579,CyrusNajmabadi,13006
dotnet/roslyn,1094,13308,63346,41759,tmat,2185
dotnet/roslyn,1094,13308,63346,146967,jaredpar,3231
dotnet/roslyn,1094,13308,63346,684792,panopticoncentral,129
dotnet/roslyn,1094,13308,63346,9527491,ManishJayaswal,41
dotnet/roslyn,1094,13308,63346,10506730,tmeschter,566
dotnet/roslyn,1094,13308,63346,1333179,heejaechang,2092
dotnet/roslyn,1094,13308,63346,20570,srivatsn,184
dotnet/roslyn,1094,13308,63346,12466233,jcouv,1044
dotnet/roslyn,1094,13308,63346,11078489,gregg-miskelly,0
dotnet/roslyn,1094,13308,63346,10137,ghost,0
dotnet/roslyn,1094,13308,63346,1710369,filipw,32
dotnet/roslyn,1094,13308,63346,10522107,AlekseyTs,1258
dotnet/roslyn,1094,13308,63346,10732005,cston,1118
dotnet/roslyn-analyzers,84,898,7016,20570,srivatsn,247
dotnet/runtime,270,3427,106176,5776068,karelz,120
dotnet/runtime,270,3427,106176,2642209,stephentoub,8851
dotnet/runtime,270,3427,106176,7412651,ViktorHofer,729
dotnet/runtime,270,3427,106176,2212879,leecow,25
dotnet/runtime,270,3427,106176,48340428,msftbot[bot],2
dotnet/runtime,270,3427,106176,8918108,ericstj,1331
dotnet/runtime,270,3427,106176,30635565,AaronRobinsonMSFT,191
dotnet/sdk,179,795,25714,367554,livarcocc,1025
dotnet/sdk,179,795,25714,1857490,rohit21agrawal,45
dotnet/sdk,179,795,25714,2878341,nkolev92,20
dotnet/sdk,179,795,25714,8725170,mmitche,271
dotnet/sdk,179,795,25714,2132567,PatoBeltran,0
dotnet/sdk,179,795,25714,18219758,jainaashish,12
dotnet/sdk,179,795,25714,3115004,blackdwarf,0
dotnet/sdk,179,795,25714,2379589,TheRealPiotrP,840
dotnet/sdk,179,795,25714,509666,peterhuene,557
dotnet/sdk,179,795,25714,75470,nguerrera,1252
dotnet/sdk,179,795,25714,2212879,leecow,1
dotnet/standard,651,2999,1644,8918108,ericstj,136
duplicati/duplicati,189,5346,7567,2793938,avmaksimov,0
duplicati/duplicati,189,5346,7567,30924258,duplicatibot,0
elastic/elasticsearch-net,422,2800,7111,245275,Mpdreamz,3622
elvirbrk/NoteHighlight2016,108,2169,170,20227334,elvirbrk,145
filipw/dotnet-script,59,1434,1305,1034073,seesharper,593
filipw/dotnet-script,59,1434,1305,1710369,filipw,527
git-tfs/git-tfs,93,1611,2409,63502,ferventcoder,0
googleapis/google-api-dotnet-client,112,868,2205,3082873,peleyal,166
googleapis/google-api-dotnet-client,112,868,2205,2431946,panuganti,0
googleapis/google-api-dotnet-client,112,868,2205,21171731,pavelgon28,0
googleapis/google-api-dotnet-client,112,868,2205,17011,jskeet,92
hbons/SparkleShare,199,4451,4689,103326,hbons,3708
hbons/SparkleShare,199,4451,4689,2086809,orien3243,4
hbons/SparkleShare,199,4451,4689,331303,knocte,1
icsharpcode/SharpZipLib,188,2262,896,1178570,Numpsy,64
icsharpcode/SharpZipLib,188,2262,896,807383,piksel,49
jakubgarfield/Bonobo-Git-Server,147,1602,1126,929932,RedX2501,170
jakubgarfield/Bonobo-Git-Server,147,1602,1126,194724,jakubgarfield,355
jakubgarfield/Bonobo-Git-Server,147,1602,1126,1165340,larshg,29
jakubgarfield/Bonobo-Git-Server,147,1602,1126,7102370,StavrosVon,0
jakubgarfield/Bonobo-Git-Server,147,1602,1126,15348012,e-i-n-s,0
jakubgarfield/Bonobo-Git-Server,147,1602,1126,10152200,allipierre,0
jakubgarfield/Bonobo-Git-Server,147,1602,1126,7458214,mkiche,0
jakubgarfield/Bonobo-Git-Server,147,1602,1126,2909476,mmcer,0
jstedfast/MimeKit,87,1114,3129,338984,jstedfast,3078
jwt-dotnet/jwt,85,1394,175,351644,abatishchev,90
lgsvl/simulator,78,1052,1253,17489342,mingw12,0
lgsvl/simulator,78,1052,1253,45106230,EricBoiseLGSVL,197
lgsvl/simulator,78,1052,1253,39178216,martins-mozeiko,261
mRemoteNG/mRemoteNG,264,4518,4362,1351571,benwa,4
mRemoteNG/mRemoteNG,264,4518,4362,6999446,sparerd,1057
mRemoteNG/mRemoteNG,264,4518,4362,22905106,farosch,363
mathnet/mathnet-numerics,212,2235,3035,47147,cdrnet,2030
mbdavid/LiteDB,276,5193,2272,1137197,mbdavid,1906
mbdavid/LiteDB,276,5193,2272,811849,caverna,0
microsoft/MixedRealityToolkit-Unity,422,3752,13783,13281538,NeerajW,0
microsoft/MixedRealityToolkit-Unity,422,3752,13783,1053936,Lordinaire,0
microsoft/MixedRealityToolkit-Unity,422,3752,13783,22268546,S-Hodgson-MMOARgames,0
microsoft/VFSForGit,198,5247,2359,25354985,wilbaker,396
microsoft/azure-pipelines-agent,127,1026,2257,1750815,TingluoHuang,546
microsoft/azure-pipelines-agent,127,1026,2257,919564,bryanmacfarlane,178
microsoft/azure-pipelines-agent,127,1026,2257,16541189,stiliev,0
mono/mono,551,8818,122081,36863,migueldeicaza,7141
mono/mono,551,8818,122081,10201666,dnfclas,0
mono/mono,551,8818,122081,250852,marek-safar,9647
mono/mono,551,8818,122081,308992,directhex,284
mono/mono,551,8818,122081,75403,lewurm,740
mono/mono,551,8818,122081,1376924,akoeplinger,1933
mono/mono,551,8818,122081,11610122,monojenkins,751
mono/monodevelop,209,2558,65096,260349,slluis,11182
nicehash/NiceHashMiner,229,1264,4479,1517233,S74nk0,2230
nicehash/NiceHashMiner,229,1264,4479,1126812,grichter,0
ninject/Ninject,170,2390,851,1913505,scott-xu,168
ninject/Ninject,170,2390,851,2090172,BrunoJuchli,3
nunit/nunit,133,1910,5561,118102,agray,3
nunit/nunit,133,1910,5561,493828,rprouse,1226
octokit/octokit.net,178,1938,4829,19977,haacked,705
octokit/octokit.net,178,1938,4829,359239,shiftkey,1232
oleg-shilo/cs-script,74,904,508,16729806,oleg-shilo,343
openiddict/openiddict-core,79,1134,778,6998306,kevinchalet,731
openiddict/openiddict-core,79,1134,778,916793,Murf,0
openiddict/openiddict-core,79,1134,778,10507120,mishra14,0
paulyoder/LinqToExcel,104,914,245,21057379,jolaoluwaadedeji,0
paulyoder/LinqToExcel,104,914,245,22816480,liam-reilly-zuto,0
paulyoder/LinqToExcel,104,914,245,20093062,mrworkman,86
praeclarum/sqlite-net,205,2680,630,3877005,ericsink,6
praeclarum/sqlite-net,205,2680,630,26073240,clawrenceks,0
praeclarum/sqlite-net,205,2680,630,10047,sjlombardo,1
praeclarum/sqlite-net,205,2680,630,381375,jlcool,0
projectkudu/kudu,198,2626,3235,556238,davidebbo,104
pwntester/ysoserial.net,54,1391,253,125701,pwntester,146
quasar/Quasar,347,3507,1289,18179821,ViCrack,0
ravibpatel/AutoUpdater.NET,91,1319,185,2221060,ravibpatel,144
ravibpatel/AutoUpdater.NET,91,1319,185,234707,wwallace,1
ravibpatel/AutoUpdater.NET,91,1319,185,6878607,JavierCanon,0
robinrodricks/FluentFTP,87,1438,1450,6797866,robinrodricks,568
scriptcs/scriptcs,148,2269,1967,141124,glennblock,354
shadowsocks/shadowsocks-windows,2584,50254,1424,6663097,myliyifei,0
shadowsocks/shadowsocks-windows,2584,50254,1424,1073082,clowwindy,431
sharpdx/SharpDX,169,1381,3004,4345187,RobyDX,1
sharpdx/SharpDX,169,1381,3004,715038,xoofx,1375
shimat/opencvsharp,230,2604,2403,4434824,shimat,2032
snoopwpf/snoopwpf,84,1095,968,1971030,batzen,541
snoopwpf/snoopwpf,84,1095,968,16688828,DevDrake,0
sshnet/SSH.NET,154,2090,1291,5231939,AndrewBragdon,0
sshnet/SSH.NET,154,2090,1291,6487100,apretth,0
sshnet/SSH.NET,154,2090,1291,312863,drieseng,861
stride3d/stride,163,2611,1617,3006525,Kryptos-FR,20
stride3d/stride,163,2611,1617,646501,sebllll,4
umbraco/Umbraco-CMS,249,3052,33305,304656,nul800sebastiaan,3532
umbraco/Umbraco-CMS,249,3052,33305,3634580,abjerner,111
umbraco/Umbraco-CMS,249,3052,33305,1742685,Shazwazza,9807
unosquare/passcore,56,710,508,1775792,geoperez,172
unosquare/passcore,56,710,508,20482930,smegnl,0
unosquare/passcore,56,710,508,35233148,veinom,0
unosquare/passcore,56,710,508,6039010,diogenes25,2
unosquare/passcore,56,710,508,26384082,stale[bot],0
uxmal/reko,60,820,8265,10154465,uxmal,6653
volkanceylan/Serenity,240,1975,3194,2023440,VictorTomaili,22
volkanceylan/Serenity,240,1975,3194,752470,volkanceylan,2162
volkanceylan/Serenity,240,1975,3194,11762092,jsbUSMC,0
volkanceylan/Serenity,240,1975,3194,19669041,RouteTech,0
volkanceylan/Serenity,240,1975,3194,4013722,samdubey,0
volkanceylan/Serenity,240,1975,3194,12236198,mahmoudkheder,0
volkanceylan/Serenity,240,1975,3194,14289564,intnovaction,0
win-acme/win-acme,209,3761,1988,9090595,rkerber,149
win-acme/win-acme,209,3761,1988,304656,nul800sebastiaan,29
winauth/winauth,89,1129,536,12179488,winauth,407
xamarin/xamarin-android,173,1466,3220,155958,jonpryor,700
xceedsoftware/DocX,108,1158,416,29377763,XceedBoucherS,21
0xd4d/dnlib,99,1098,1957,1060731,0xd4d,1925
AElfProject/AElf,155,692,19651,22429695,codecov[bot],0
App-vNext/Polly,382,7883,966,780521,michael-wolfenden,62
AvaloniaUI/Avalonia,430,9286,13536,4672627,danwalmsley,2401
AvaloniaUI/Avalonia,430,9286,13536,5928797,Gillibald,400
AvaloniaUI/Avalonia,430,9286,13536,53627773,SCLD-JBuczkowski,0
Azure/DotNetty,412,2995,253,326939,Aaronontheweb,10
Azure/azure-powershell,4372,2184,33355,1054056,markcowl,2811
Azure/azure-powershell,4372,2184,33355,8137559,maddieclayton,1937
Azure/azure-powershell,4372,2184,33355,4462409,cormacpayne,2595
Azure/azure-powershell,4372,2184,33355,17788297,MiYanni,1141
Azure/azure-sdk-for-net,1198,1892,12353,857688,stankovski,680
Azure/azure-sdk-for-net,1198,1892,12353,457481,andrerod,0
AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,94,687,1522,3172421,brentschmaltz,831
BrighterCommand/Brighter,83,1245,2889,90132,holytshirt,501
BrighterCommand/Brighter,83,1245,2889,45537,iancooper,1431
EWSoftware/SHFB,138,1649,331,10552523,EWSoftware,158
EasyHttp/EasyHttp,70,850,289,1805832,bazzilic,0
EasyNetQ/EasyNetQ,159,1921,1738,3165189,awesley,0
EasyNetQ/EasyNetQ,159,1921,1738,1633595,micdenny,111
EasyNetQ/EasyNetQ,159,1921,1738,303034,zidad,134
EasyNetQ/EasyNetQ,159,1921,1738,24781219,MERamadan,0
Excel-DNA/ExcelDna,95,667,678,414659,govert,288
Fody/Costura,67,1628,848,122666,SimonCropp,289
Fody/Fody,193,3060,1805,122666,SimonCropp,1318
Fody/Fody,193,3060,1805,3323631,Kethku,0
Fody/Fody,193,3060,1805,3248386,IlyaFinkelshteyn,0
HangfireIO/Hangfire,328,5996,3346,73690,thoemmi,0
HangfireIO/Hangfire,328,5996,3346,2660262,sandorfr,2
HangfireIO/Hangfire,328,5996,3346,34245076,milindk0404,0
HangfireIO/Hangfire,328,5996,3346,16882855,luizfbicalho,0
HangfireIO/Hangfire,328,5996,3346,177608,augustoproiete,2
HangfireIO/Hangfire,328,5996,3346,19372423,achimismaili,0
HangfireIO/Hangfire,328,5996,3346,2262364,pieceofsummer,26
IdentityServer/IdentityServer3,244,2054,2607,1454075,leastprivilege,1462
IdentityServer/IdentityServer3,244,2054,2607,29612120,avivanoff,0
JamesNK/Newtonsoft.Json,525,7999,1821,1314477,IanYates,0
JamesNK/Newtonsoft.Json,525,7999,1821,10726573,abkmr,0
JamesNK/Newtonsoft.Json,525,7999,1821,24892137,wickiie,0
JeffreySu/WeiXinMPSDK,665,6362,8408,2281927,JeffreySu,7376
Jessecar96/SteamBot,195,1141,817,2640934,scholtzm,17
MahApps/MahApps.Metro,489,7102,5643,1377993,maggarwal,0
MahApps/MahApps.Metro,489,7102,5643,2422222,simpert,0
MahApps/MahApps.Metro,489,7102,5643,2377914,LaurelJay,0
MassTransit/MassTransit,236,2889,5248,20041,phatboyg,2809
MassTransit/MassTransit,236,2889,5248,105651,jeffdoolittle,1
NLua/NLua,95,1196,574,926868,viniciusjarina,436
NuGet/NuGetGallery,111,1258,6278,679326,KirillOsenkov,0
NuGet/NuGetGallery,111,1258,6278,1646506,shishirx34,111
OfficeDev/Open-XML-SDK,223,2464,613,1280392,EricWhiteDev,77
OfficeDev/Open-XML-SDK,223,2464,613,4629691,k59319,0
OfficeDev/Open-XML-SDK,223,2464,613,10137,ghost,0
OfficeDev/Open-XML-SDK,223,2464,613,1376924,akoeplinger,0
OfficeDev/Open-XML-SDK,223,2464,613,4644198,tomjebo,61
OmniSharp/omnisharp-roslyn,68,918,4932,116161,DustinCampbell,1033
OmniSharp/omnisharp-roslyn,68,918,4932,1710369,filipw,1117
OpenRA/OpenRA,391,8488,27423,14989579,anjew175,1
Particular/NServiceBus,148,1676,11298,122651,johnsimons,69
PistonDevelopers/VisualRust,98,677,562,75894,MaulingMonkey,0
PistonDevelopers/VisualRust,98,677,562,1024333,Boddlnagg,54
PistonDevelopers/VisualRust,98,677,562,1206376,vosen,402
PowerShell/PowerShell,1165,21202,8266,14023826,thezim,10
PrismLibrary/Prism,421,3946,2635,179211,jeremydmiller,0
PrismLibrary/Prism,421,3946,2635,5115577,bartlannoeye,209
Redth/PushSharp,483,4266,545,271950,Redth,479
Redth/ZXing.Net.Mobile,109,826,778,271950,Redth,680
Redth/ZXing.Net.Mobile,109,826,778,3475026,micjahn,0
ServiceStack/ServiceStack,541,4791,11666,89361,mythz,10311
ShareX/ShareX,503,13528,6254,16966979,TheOddball,0
ShareX/ShareX,503,13528,6254,26384082,stale[bot],0
ShareX/ShareX,503,13528,6254,6440374,sylveon,116
ShareX/ShareX,503,13528,6254,1910461,AlbinoGeek,0
StackExchange/StackExchange.Redis,345,4357,1729,17328,mgravell,884
StackExchange/StackExchange.Redis,345,4357,1729,454813,NickCraver,509
SteamRE/SteamKit,137,1661,3048,284592,Netshroud,0
Sustainsys/Saml2,80,695,1734,4894558,AndersAbel,1305
Sustainsys/Saml2,80,695,1734,6493038,k-soze,0
System-IO-Abstractions/System.IO.Abstractions,30,724,749,384747,flcdrg,0
System-IO-Abstractions/System.IO.Abstractions,30,724,749,45753,tathamoddie,230
Tencent/InjectFix,72,918,97,992807,chexiongsheng,71
aspnet/Mvc,845,5734,4596,202643,Eilon,23
