user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
2281927,JeffreySu,2012-09-05T02:35:50Z,1,7376,8408,1,1,583.3777354900095
89361,mythz,2009-05-27T23:44:53Z,1,10311,11666,1,1,478.16312360706326
1073082,clowwindy,2011-09-23T06:06:49Z,1,431,1424,1,2,391.0477528089888
12952226,Perfare,2015-06-18T12:51:49Z,1,430,473,5,6,278.03030303030306
271950,Redth,2010-05-09T23:46:50Z,2,1159,1323,2,4,259.307634164777
90130,JeremySkinner,2009-05-30T09:35:40Z,1,1596,1855,2,2,248.64905660377357
245275,Mpdreamz,2010-04-16T07:33:17Z,1,3622,7111,2,2,214.9464210378287
1396,anaisbetts,2008-02-28T02:26:12Z,2,2455,5329,2,2,208.2304372302496
4434824,shimat,2013-05-15T06:29:10Z,1,2032,2403,1,1,194.4902205576363
303201,JamesNK,2010-06-11T23:08:02Z,2,1911,2322,3,9,174.47545219638243
147668,markheath,2009-11-02T09:38:44Z,1,845,1007,1,1,159.43396226415095
846268,yck1509,2011-06-13T06:39:15Z,1,410,443,6,11,159.01908475271904
47147,cdrnet,2009-01-16T17:45:19Z,1,2030,3035,1,1,141.7990115321252
1210527,hikalkan,2011-11-21T14:53:45Z,1,3411,6542,1,3,141.6470498318557
638167,sailro,2011-02-25T15:49:03Z,1,574,582,1,1,121.30927835051547
1137197,mbdavid,2011-10-19T01:48:00Z,1,1906,2272,1,2,115.7693661971831
103326,hbons,2009-07-09T16:50:39Z,1,3708,4689,5,7,112.4047162051001
1060731,0xd4d,2011-09-19T00:18:38Z,1,1925,1957,1,1,97.38119570771589
20227334,elvirbrk,2016-06-30T14:41:29Z,1,145,170,1,1,92.11764705882352
1054056,markcowl,2011-09-15T18:59:24Z,1,2811,33355,1,4,92.11281666916504
17328,mgravell,2008-07-17T10:34:56Z,1,884,1729,1,2,88.19548872180451
4462409,cormacpayne,2013-05-18T04:28:54Z,1,2595,33355,1,4,85.03477739469345
16575282,andersnm,2016-01-06T11:45:34Z,1,172,371,1,1,82.05929919137466
568104,canton7,2011-01-17T01:21:33Z,1,1212,1227,3,5,81.19511002444987
1190944,kspearrin,2011-11-12T21:39:55Z,1,2384,2592,1,2,80.93827160493827
63502,ferventcoder,2009-03-14T21:52:21Z,2,2749,5398,11,23,80.61849799442626
1454075,leastprivilege,2012-02-20T14:26:08Z,1,1462,2607,4,7,78.19124335580032
95194,mausch,2009-06-14T07:06:26Z,1,1179,1881,1,1,75.21531100478468
926868,viniciusjarina,2011-07-20T03:09:07Z,1,436,574,1,1,72.1602787456446
781266,tidyui,2011-05-11T11:04:07Z,1,1974,2327,1,1,72.10571551353674
1693688,zooba,2012-04-30T20:07:48Z,1,4284,9101,1,2,69.90154928029887
12179488,winauth,2015-04-30T02:38:34Z,1,407,536,1,1,67.58022388059702
10552523,EWSoftware,2015-01-15T20:29:02Z,1,158,331,1,1,65.87311178247735
8137559,maddieclayton,2014-07-11T17:35:56Z,1,1937,33355,1,4,63.47297256783091
122666,SimonCropp,2009-09-03T04:01:37Z,4,1614,5870,7,15,61.333833049403744
1434343,domaindrivendev,2012-02-13T18:54:17Z,1,691,1082,1,2,60.98937153419594
338984,jstedfast,2010-07-20T20:09:58Z,2,3260,11927,10,11,59.63550995830697
5808377,304NotModified,2013-10-29T22:17:35Z,1,2346,5831,1,2,59.344023323615154
425130,lextm,2010-10-03T07:39:30Z,1,266,352,3,3,58.94318181818182
1517233,S74nk0,2012-03-08T18:12:30Z,1,2230,4479,1,2,57.00714445188658
4517428,lbargaoanu,2013-05-24T08:26:40Z,1,1012,3621,1,2,56.45512289422811
822090,Jaex,2011-06-01T02:53:34Z,1,4901,6254,1,7,56.31145780985884
6933240,garfield69,2014-03-12T18:47:52Z,1,2260,6301,1,1,55.95302332963021
92363,nulltoken,2009-06-05T19:19:48Z,1,1074,2587,1,1,55.215307305759566
752470,volkanceylan,2011-04-26T13:33:27Z,1,2162,3194,3,9,54.15153412648716
11578325,shoveldev,2015-03-20T20:45:37Z,1,1038,1379,1,2,53.066715010877445
992807,chexiongsheng,2011-08-20T12:55:55Z,1,71,97,1,1,52.701030927835056
79284,jbevain,2009-04-29T19:33:25Z,1,1096,1242,2,4,52.06441223832528
3172421,brentschmaltz,2013-01-02T21:34:19Z,1,831,1522,3,3,51.32325886990802
454813,NickCraver,2010-10-26T15:16:25Z,1,509,1729,1,2,50.782244071717756
16729806,oleg-shilo,2016-01-16T05:44:32Z,1,343,508,1,1,49.96456692913385
199026,nikmd23,2010-02-07T18:29:45Z,1,753,2593,1,1,48.78673351330506
10154465,uxmal,2014-12-11T12:42:18Z,1,6653,8265,1,1,48.29764065335753
6999446,sparerd,2014-03-19T14:20:03Z,1,1057,4362,6,8,47.97936726272353
1862641,roji,2012-06-18T13:23:09Z,2,2823,4714,2,6,44.31523122613491
20041,phatboyg,2008-08-08T16:27:54Z,1,2809,5248,1,3,42.106453252032516
835562,brianlagunas,2011-06-07T16:32:10Z,1,1160,2635,2,9,41.18574741724646
414659,govert,2010-09-24T17:26:57Z,1,288,678,1,1,40.35398230088496
4894558,AndersAbel,2013-06-30T18:16:50Z,1,1305,1734,2,3,40.13840830449827
715038,xoofx,2011-04-07T10:31:23Z,1,1375,3004,1,2,38.6775965379494
649492,brockallen,2011-03-03T18:14:18Z,2,979,3688,3,9,38.13711135213305
17788297,MiYanni,2016-03-11T18:41:01Z,1,1141,33355,1,4,37.38908709338929
3423981,peterdettman,2013-01-30T04:24:04Z,1,971,1180,2,4,37.029661016949156
8248806,sergeybykov,2014-07-23T17:47:37Z,1,871,4914,3,8,36.69047619047619
260349,slluis,2010-04-30T08:43:48Z,1,11182,65096,1,1,35.901407152513215
2221060,ravibpatel,2012-08-26T08:06:58Z,1,144,185,3,6,35.41621621621622
312863,drieseng,2010-06-23T15:52:25Z,1,861,1291,1,3,34.23547637490317
6797866,robinrodricks,2014-02-26T20:23:58Z,1,568,1450,2,2,34.08
25354985,wilbaker,2017-01-25T21:39:59Z,1,396,2359,2,2,33.23781263247138
857688,stankovski,2011-06-18T01:30:27Z,1,680,12353,1,2,32.97336679349146
1510755,kenkendk,2012-03-07T09:14:08Z,1,3912,7567,1,3,32.56984273820536
10204923,erikzhang,2014-12-16T06:54:13Z,1,260,1004,2,6,31.938911022576363
174281,pranavkm,2009-12-30T17:38:32Z,2,6358,48937,3,29,31.235075639122222
125701,pwntester,2009-09-11T09:46:53Z,1,146,253,1,1,31.16205533596838
4403806,RussKie,2013-05-11T13:14:04Z,1,1629,14025,1,1,30.547379679144385
11719160,jcansdale,2015-03-30T11:52:33Z,1,2355,8954,1,2,29.457225820862185
3347530,rainersigwald,2013-01-23T04:39:09Z,1,1585,5469,1,4,29.416255256902538
1696845,huguesv,2012-05-01T21:48:31Z,1,1722,9101,1,2,28.097681573453468
6998306,kevinchalet,2014-03-19T12:21:03Z,2,775,4808,3,8,27.563435940099833
604263,gluck,2011-02-07T07:33:43Z,1,280,556,1,1,26.69064748201439
4672627,danwalmsley,2013-06-11T17:55:33Z,1,2401,13536,1,3,25.424300630417648
5694676,mike-barnett,2013-10-15T20:12:27Z,1,62,98,1,3,24.884353741496597
780521,michael-wolfenden,2011-05-11T02:11:15Z,1,62,966,1,1,24.5175983436853
2414837,caleblloyd,2012-09-24T20:39:44Z,1,347,827,1,2,23.916565900846436
1971030,batzen,2012-07-13T17:20:56Z,1,541,968,1,2,23.47314049586777
3860573,dansiegel,2013-03-14T03:58:25Z,1,660,2635,2,9,23.433270082226436
14828396,timGerken,2015-09-24T21:37:13Z,1,271,653,1,3,23.378764675855027
1206376,vosen,2011-11-19T12:50:43Z,1,402,562,1,3,23.366548042704625
1775141,grokys,2012-05-24T18:02:21Z,1,1867,8954,1,2,23.35313826222917
562371,juanfranblanco,2011-01-13T09:44:10Z,1,1046,1341,2,8,23.20544369873229
527620,adamhathcock,2010-12-17T18:36:37Z,1,413,810,8,15,23.11440329218107
304656,nul800sebastiaan,2010-06-14T08:42:00Z,2,3561,35293,3,6,23.1056866800782
359239,shiftkey,2010-08-10T00:33:01Z,1,1232,4829,1,2,22.70615034168565
3831744,superyyrrzz,2013-03-11T12:51:08Z,1,589,3828,1,1,22.464472309299897
1821173,Tratcher,2012-06-05T23:20:10Z,1,228,1081,1,2,19.720629047178537
167819,pchote,2009-12-15T09:06:10Z,1,6913,27423,1,5,19.7132552966488
32968,mookid8000,2008-11-06T11:45:17Z,1,2702,3211,1,5,19.18579881656805
155958,jonpryor,2009-11-20T14:38:09Z,1,700,3220,1,2,18.804347826086957
127450,daxian-dbw,2009-09-15T21:48:34Z,1,592,8266,4,18,18.54128021076969
1742685,Shazwazza,2012-05-15T15:35:59Z,1,9807,33305,1,4,18.330153130160635
1142958,benaadams,2011-10-21T11:08:51Z,1,41,80,1,2,17.9375
141124,glennblock,2009-10-17T21:53:03Z,1,354,1967,2,3,17.756990340620234
840039,jonathanpeppers,2011-06-09T13:50:26Z,1,654,3220,1,2,17.56863354037267
351644,abatishchev,2010-08-02T13:14:31Z,1,90,175,4,10,17.485714285714288
326939,Aaronontheweb,2010-07-09T00:34:51Z,1,10,253,1,1,16.284584980237153
