repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
AutoMapper/AutoMapper,401,7460,3626,357589,Tasteful,20
Azure/Azure-Sentinel,174,813,3210,52034287,sagamzu,29
Azure/azure-powershell,4387,2192,33392,1054056,markcowl,2811
Azure/azure-sdk-for-net,1206,1910,12487,37845953,openapi-sdkautomation[bot],0
Azure/azure-sdk-for-net,1206,1910,12487,19298420,sojain,5
Code52/carnac,60,1422,400,359239,shiftkey,48
EventStore/EventStore,233,3879,6452,14981676,shaan1337,516
ExcelDataReader/ExcelDataReader,177,2354,371,25538431,fabri777,0
FluentValidation/FluentValidation,290,5612,1872,813996,gonace,0
Glimpse/Glimpse,168,2287,2593,641685,eamodio,0
GlitchEnzo/NuGetForUnity,33,718,478,12958442,jwittner,97
IdentityServer/IdentityServer3,244,2054,2607,632097,tomdeleu,0
Jackett/Jackett,159,4680,6317,21071450,A-UNDERSCORE-D,0
JamesNK/Newtonsoft.Json,527,8025,1821,517802,xrkolovos,0
MassTransit/MassTransit,238,2916,5258,134303,jeffreyabecker,0
MultiPoolMiner/MultiPoolMiner,98,707,3121,30080938,UselessGuru,1413
NLog/NLog,294,4662,5844,2753247,sulochane,0
Nethereum/Nethereum,118,1102,1343,12546506,sinhashish,0
NuGet/NuGetGallery,111,1260,6278,94054,joelverhagen,367
NuGet/NuGetGallery,111,1260,6278,14800916,anangaur,6
NuGet/NuGetGallery,111,1260,6278,18014088,scottbommarito,1
NuGet/NuGetGallery,111,1260,6278,12734758,dtivel,31
NuGet/NuGetGallery,111,1260,6278,1313522,landaire,0
NuGet/NuGetGallery,111,1260,6278,37404382,karthikanandan,0
NuGet/NuGetGallery,111,1260,6278,326939,Aaronontheweb,0
NuGet/NuGetGallery,111,1260,6278,35961094,Nivitha-Gopalakrishnan,0
NuGet/NuGetGallery,111,1260,6278,803796,tushargupta51,0
NuGet/NuGetGallery,111,1260,6278,15364949,chenriksson,164
NuGet/NuGetGallery,111,1260,6278,11249955,ibrahimuludag,0
NuGet/NuGetGallery,111,1260,6278,2878341,nkolev92,2
NuGet/NuGetGallery,111,1260,6278,1708894,lancehudson,0
NuGet/NuGetGallery,111,1260,6278,33088832,ushabala123,0
NuGet/NuGetGallery,111,1260,6278,737941,loic-sharma,104
NuGetPackageExplorer/NuGetPackageExplorer,100,1632,1993,753669,bording,0
NuGetPackageExplorer/NuGetPackageExplorer,100,1632,1993,5808377,304NotModified,213
OPCFoundation/UA-.NETStandard,157,891,1110,6522774,acer1204,0
OPCFoundation/UA-.NETStandard,157,891,1110,2815398,dergroncki,0
OneGet/oneget,149,2227,701,148754,jstangroome,0
OneGet/oneget,149,2227,701,880728,xavierdecoster,0
OneGet/oneget,149,2227,701,7023258,iainbrighton,0
OpenCover/opencover,86,1210,1417,297165,sawilde,942
OpenRA/OpenRA,392,8532,27448,756669,Mailaender,3864
OpenRA/OpenRA,392,8532,27448,7704140,abcdefg30,1465
OrchardCMS/OrchardCore,379,4341,4047,703248,agriffard,679
OrchardCMS/OrchardCore,379,4341,4047,60764841,thiennv-2147,0
OrchardCMS/OrchardCore,379,4341,4047,1165805,sebastienros,1000
Perfare/AssetStudio,367,4590,475,25166851,questforboobs,0
Perfare/AssetStudio,367,4590,475,9498104,Pyroglyph,0
Perfare/AssetStudio,367,4590,475,30186527,LolHacksRule,0
Perfare/AssetStudio,367,4590,475,8016189,pgw00k,0
Perfare/AssetStudio,367,4590,475,22985016,KekMcGee,0
PiranhaCMS/piranha.core,87,1009,2332,6483075,ecnerwal1234,0
PomeloFoundation/Pomelo.EntityFrameworkCore.MySql,114,1674,827,20870130,LiangZugeng,1
PowerShell/PowerShell,1170,21363,8286,10137,ghost,0
