user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
1644068,thedillonb,2012-04-14T22:11:22Z,1,584,593,1,3,2206.0033726812817
89361,mythz,2009-05-27T23:44:53Z,4,16220,19318,10,11,790.0168472173856
1060731,0xd4d,2011-09-19T00:18:38Z,2,3963,4046,4,5,434.8917449332675
1761249,dodyg,2012-05-21T20:56:27Z,1,1987,2037,1,1,398.9607265586647
528455,cesarsouza,2010-12-18T13:10:48Z,1,2196,2578,1,1,325.3964313421257
5068797,EduardoPires,2013-07-22T23:33:03Z,1,125,140,2,3,304.16666666666663
8205994,yang-xiaodong,2014-07-19T02:11:02Z,1,1402,1483,1,1,285.5050573162508
25851922,alffanclub,2017-02-17T19:17:02Z,1,162,263,4,6,268.1520912547528
7271470,MaxXor,2014-04-12T09:38:20Z,1,870,1289,2,2,234.20480993017844
12952226,Perfare,2015-06-18T12:51:49Z,1,430,473,7,10,233.54545454545453
90130,JeremySkinner,2009-05-30T09:35:40Z,1,1596,1855,22,25,218.81116981132075
307872,amaitland,2010-06-17T17:20:34Z,1,3170,5448,10,16,211.2896934654919
20041,phatboyg,2008-08-08T16:27:54Z,2,2916,5515,5,6,208.85222121486856
243140,dgrunwald,2010-04-13T16:02:28Z,1,1833,6040,1,1,207.8816225165563
822090,Jaex,2011-06-01T02:53:34Z,1,4901,6254,5,11,179.1728203040963
1339626,aelassas,2012-01-17T19:49:30Z,1,2226,2318,1,1,178.61777394305435
385879,JimBobSquarePants,2010-09-02T23:57:52Z,2,6393,10963,5,6,167.65369880507163
490369,brandonlw,2010-11-21T06:22:21Z,1,6,15,1,1,162.8
2270364,RehanSaeed,2012-09-03T11:17:41Z,1,1672,1934,1,1,149.5635987590486
3470892,asadsahi,2013-02-04T11:43:32Z,1,659,706,1,1,142.81444759206798
846268,yck1509,2011-06-13T06:39:15Z,1,410,443,7,15,136.04966139954854
1988321,jasontaylordev,2012-07-17T02:09:26Z,1,170,230,1,1,133.7826086956522
