repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Azure/azure-functions-host,186,1433,2591,645740,ahmelsayed,38
Azure/azure-powershell,4387,2192,33392,1054056,markcowl,2811
Azure/azure-powershell,4387,2192,33392,351644,abatishchev,0
Azure/azure-powershell,4387,2192,33392,19556951,hsrasheed,0
Azure/azure-powershell,4387,2192,33392,8402273,mwassell,0
Azure/azure-sdk-for-net,1206,1910,12487,29564789,Neue-Ziel,0
Azure/azure-sdk-for-net,1206,1910,12487,10508429,jaymin93,0
Azure/azure-sdk-for-net,1206,1910,12487,9724236,KrzysztofCwalina,75
Azure/azure-sdk-for-net,1206,1910,12487,11340526,profesor79,0
Azure/iotedge,119,1076,2689,7548298,m4masood,0
Azure/iotedge,119,1076,2689,3624673,ondrejspilka,0
AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,95,690,1522,7147208,616b2f,3
Demigiant/dotween,107,1303,348,5763551,theshked,0
DotNetOpenAuth/DotNetOpenAuth,232,1677,3500,17932706,ajfleming1,0
DotNetOpenAuth/DotNetOpenAuth,232,1677,3500,601548,paulduran,0
FluentValidation/FluentValidation,290,5612,1872,2044172,acollard,0
GitTools/GitVersion,68,1709,3838,750121,gitfool,11
HTBox/allReady,141,858,3626,152131,jonparker,3
HangfireIO/Hangfire,324,6026,3346,16145998,ClementeGao,0
HearthSim/Hearthstone-Deck-Tracker,217,4044,3866,16553538,appleken,0
IdentityServer/IdentityServer3,244,2054,2607,8049896,eaba,0
IdentityServer/IdentityServer3,244,2054,2607,1830474,vinayhfs,0
IdentityServer/IdentityServer3,244,2054,2607,16953643,osamajaved,0
IdentityServer/IdentityServer3,244,2054,2607,548021,mikeandersun,0
IdentityServer/IdentityServer3,244,2054,2607,18430100,lastbuilders,0
IdentityServer/IdentityServer3,244,2054,2607,987005,fatagun,0
IdentityServer/IdentityServer4,435,7007,3153,3955217,snowjim,0
IdentityServer/IdentityServer4,435,7007,3153,10818648,stt106,0
IdentityServer/IdentityServer4,435,7007,3153,422341,thangchung,0
IdentityServer/IdentityServer4,435,7007,3153,36698156,vjarora,0
IdentityServer/IdentityServer4,435,7007,3153,1366077,anilchinnu21,0
IdentityServer/IdentityServer4,435,7007,3153,17417644,paetobuddy,0
IdentityServer/IdentityServer4,435,7007,3153,1545025,DethGhost,0
IdentityServer/IdentityServer4,435,7007,3153,15118843,mjaber,0
IdentityServer/IdentityServer4,435,7007,3153,7955707,DureSameen,0
IdentityServer/IdentityServer4,435,7007,3153,9930385,crazyfx1,0
IdentityServer/IdentityServer4,435,7007,3153,17959034,Murtuzakabul,0
IdentityServer/IdentityServer4,435,7007,3153,13694867,jocco,0
IdentityServer/IdentityServer4,435,7007,3153,4486709,tweek82,0
IdentityServer/IdentityServer4,435,7007,3153,15861603,KSYMEK,0
IdentityServer/IdentityServer4,435,7007,3153,4663179,muziekklas,0
JabbR/JabbR,154,1483,2964,1416415,Taras611,0
JabbR/JabbR,154,1483,2964,1458518,JuanjoFuchs,0
Jackett/Jackett,159,4680,6317,1552641,JayXon,3
Jackett/Jackett,159,4680,6317,2273360,testarea1,0
Jackett/Jackett,159,4680,6317,13206152,ironblaster,0
Jackett/Jackett,159,4680,6317,5489218,thib3113,0
Jackett/Jackett,159,4680,6317,63698293,zorglan,0
Jackett/Jackett,159,4680,6317,41996367,bradday,0
Jackett/Jackett,159,4680,6317,60718477,CyberPoison,0
Jackett/Jackett,159,4680,6317,34948449,yakzazazord,0
Jackett/Jackett,159,4680,6317,28788893,jcharbo94,0
Jackett/Jackett,159,4680,6317,63551205,jmgriff81,0
Jackett/Jackett,159,4680,6317,56789557,nutty-6,0
Jackett/Jackett,159,4680,6317,3226511,deegan,0
Jackett/Jackett,159,4680,6317,10937987,mowdep,0
Jackett/Jackett,159,4680,6317,10660203,cpaucar3,0
JamesNK/Newtonsoft.Json,527,8025,1821,45521,bbbush,0
JeffreySu/WeiXinMPSDK,667,6374,8413,7054776,Winches,0
JeffreySu/WeiXinMPSDK,667,6374,8413,4414905,robin8588,0
JustArchiNET/ArchiSteamFarm,226,5717,7787,46126063,quoyon,0
MassTransit/MassTransit,238,2916,5258,4212452,Ashtonian,0
NancyFx/Nancy,454,7131,5476,2224189,donnyv,0
NancyFx/Nancy,454,7131,5476,1283959,TaridaGeorge,0
NuGet/NuGetGallery,111,1260,6278,1310872,ddevault,0
OData/WebApi,168,733,2803,31502778,ptrushin,0
OPCFoundation/UA-.NETStandard,157,891,1110,10756198,zlatinejc,0
OPCFoundation/UA-.NETStandard,157,891,1110,3739046,eltigre4jc,0
OpenRA/OpenRA,392,8532,27448,167819,pchote,6922
OrchardCMS/OrchardCore,379,4341,4047,1976647,Piedone,22
OrchardCMS/OrchardCore,379,4341,4047,11973801,anoordende,3
OrchardCMS/OrchardCore,379,4341,4047,164331,petedavis,19
OrchardCMS/OrchardCore,379,4341,4047,43373506,PauloSRH,0
Particular/NServiceBus,148,1678,11310,1454073,TrevorPilley,0
