user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
167819,pchote,2009-12-15T09:06:10Z,1,6922,27448,1,1,98.85689303410084
1054056,markcowl,2011-09-15T18:59:24Z,1,2811,33392,1,4,92.3264329779588
92363,nulltoken,2009-06-05T19:19:48Z,1,1074,2587,1,1,55.215307305759566
7236689,StefanoRaggi,2014-04-09T09:34:04Z,1,1519,10465,1,1,52.834782608695654
12057732,StephenBonikowsky,2015-04-21T21:34:59Z,1,1068,3300,2,5,49.969454545454546
359239,shiftkey,2010-08-10T00:33:01Z,1,1232,4831,1,1,45.39350031049472
1510755,kenkendk,2012-03-07T09:14:08Z,1,3912,7583,2,5,39.207701437425825
95136,davidfowl,2009-06-13T22:27:06Z,1,2259,4691,1,11,30.60097672525726
9250262,bergmeister,2014-10-15T10:40:46Z,1,285,2423,1,1,13.879488237721832
6998306,kevinchalet,2014-03-19T12:21:03Z,1,735,783,1,6,12.672413793103447
1438884,moozzyk,2012-02-15T06:13:39Z,1,279,1914,1,3,12.098746081504702
5084964,iskiselev,2013-07-24T22:51:57Z,1,420,3906,1,1,11.505376344086022
1430078,ajcvickers,2012-02-12T02:18:37Z,1,421,2963,1,2,11.437900776240298
2371880,333fred,2012-09-18T16:36:13Z,1,1445,63726,2,6,8.29912437623576
249088,DamianEdwards,2010-04-21T15:25:16Z,1,445,4691,1,11,6.028080851146296
5692812,TaviTruman,2013-10-15T16:01:10Z,1,55,1652,1,1,4.461259079903147
611219,JoeRobich,2011-02-10T16:54:01Z,1,1045,63726,1,6,3.000894454382826
645740,ahmelsayed,2011-03-01T22:00:07Z,1,38,2591,1,1,2.727904284060209
5921642,victorhurdugaci,2013-11-12T17:17:26Z,1,12,4596,1,1,2.206266318537859
1874516,danroth27,2012-06-20T22:47:18Z,1,64,2596,1,1,1.9476117103235748
9724236,KrzysztofCwalina,2014-11-13T17:27:25Z,1,75,12487,1,4,1.8108833186513973
660779,luhenry,2011-03-09T22:18:21Z,1,1024,122114,1,3,1.5457468704107091
2294732,Praburaj,2012-09-06T21:05:52Z,2,22,2336,2,9,1.040144596651446
2642209,stephentoub,2012-10-24T16:23:53Z,1,8851,106364,1,30,0.7627972496960125
2817543,wldkrd1,2012-11-16T22:54:49Z,1,19,3198,1,2,0.7159161976235148
4741851,rowanmiller,2013-06-19T20:02:43Z,1,21,2963,1,2,0.5705366182922713
2381199,Xiaohongt,2012-09-19T21:45:06Z,1,39,4691,1,11,0.5283037150442822
1976647,Piedone,2012-07-14T21:20:03Z,1,22,4047,1,4,0.5150728935013591
164331,petedavis,2009-12-08T11:21:23Z,1,19,4047,1,4,0.44483568075117375
36649129,solomonfried,2018-02-19T23:15:57Z,1,3,1262,1,1,0.3328050713153724
750121,gitfool,2011-04-25T11:22:07Z,1,11,3838,1,1,0.1948931735278791
7147208,616b2f,2014-04-03T07:13:48Z,1,3,1522,1,1,0.18725361366622867
34246760,mkArtakMSFT,2017-12-04T17:11:58Z,1,105,44514,1,24,0.1460495574426023
6385855,danmosemsft,2014-01-13T02:30:28Z,1,692,106364,2,30,0.11927594549534302
152131,jonparker,2009-11-12T04:46:59Z,1,3,3626,1,1,0.11665747380033095
2093966,manofstick,2012-08-04T10:25:06Z,1,1,1275,1,1,0.10901960784313726
11973801,anoordende,2015-04-16T07:02:50Z,1,3,4047,1,4,0.07023721275018532
2602988,jcondex,2012-10-19T22:42:00Z,1,1,4691,4,11,0.05418499641479817
2193418,hongdai,2012-08-22T02:15:49Z,2,147,109664,2,35,0.05063101838342573
7684835,davidsh,2014-05-23T23:26:12Z,1,527,106364,1,30,0.04541793589309666
2606879,ianhays,2012-10-20T14:45:26Z,1,517,106364,1,30,0.044556115477667885
16406969,Drawaes,2015-12-22T22:46:05Z,1,1,2219,1,3,0.04401382003905663
2190086,mandel-macaque,2012-08-21T14:15:04Z,1,22,122114,1,3,0.03320940541898008
2311734,Fish2,2012-09-09T15:16:06Z,1,1,8490,1,1,0.03121319199057715
14356188,wfurt,2015-09-19T03:11:04Z,1,355,106364,1,30,0.030594624747721663
9159214,jamesqo,2014-10-12T02:17:05Z,1,300,106364,1,30,0.025854612462863375
8328876,doormalena,2014-08-01T09:57:18Z,1,2,1734,1,4,0.02306805074971165
677704,adamralph,2011-03-18T19:35:45Z,1,3,63726,2,6,0.0172300160060258
12518809,geoffkizer,2015-05-19T20:26:19Z,1,157,106364,1,30,0.013530580522231833
1025424,tmds,2011-09-04T13:52:52Z,1,155,106364,1,30,0.013358216439146078
3840695,am11,2013-03-12T09:04:10Z,1,120,106364,1,30,0.01034184498514535
29343466,mr-olson,2017-06-10T21:33:31Z,1,2,6879,1,7,0.009137540755508482
937748,tijoytom,2011-07-25T17:07:42Z,1,63,106364,1,30,0.005429468617201309
1552641,JayXon,2012-03-19T12:13:26Z,1,3,6317,1,14,0.005393609082068793
20086318,NtFreX,2016-06-22T09:00:19Z,1,1,44514,1,24,0.001390948166120022
104498,jbogard,2009-07-13T18:05:22Z,1,3,106364,1,30,0.00025854612462863376
1616847,iamjasonp,2012-04-05T21:26:11Z,1,1,106364,1,30,8.618204154287791e-05
7386638,jrvjrv,2014-04-23T16:36:52Z,1,0,106364,1,30,0.0
67090369,last1warriro,2020-06-18T05:51:57Z,1,0,365,1,1,0.0
34947467,aspnet-hello,2017-12-29T19:58:16Z,1,0,44514,1,24,0.0
2551632,Aaronmsv,2012-10-13T13:21:01Z,1,0,44514,1,24,0.0
438777,erickim007,2010-10-14T02:31:33Z,1,0,44514,1,24,0.0
5054780,msschl,2013-07-20T17:40:21Z,1,0,44514,1,24,0.0
43263527,code2mars,2018-09-14T07:00:36Z,1,0,106364,1,30,0.0
26922961,v-haren,2017-04-05T09:35:30Z,1,0,106364,1,30,0.0
46447092,jaaant,2019-01-07T12:49:06Z,1,0,44514,1,24,0.0
502136,span,2010-11-29T17:22:03Z,1,0,44514,1,24,0.0
31187658,MCFHTAGENTS,2017-08-20T16:38:22Z,1,0,44514,1,24,0.0
681706,JoshSchreuder,2011-03-21T13:58:05Z,1,0,44514,1,24,0.0
22029901,gugray,2016-09-06T14:00:09Z,1,0,106364,1,30,0.0
2090172,BrunoJuchli,2012-08-03T14:49:36Z,1,0,7082,1,1,0.0
23011613,bilalmalik777,2016-10-23T11:30:02Z,1,0,10403,1,1,0.0
1471265,DownGoat,2012-02-24T22:31:52Z,1,0,44514,1,24,0.0
33352130,bszarko,2017-11-03T14:30:29Z,1,0,44514,1,24,0.0
357947,blushingpenguin,2010-08-08T20:55:29Z,1,0,44514,1,24,0.0
12555724,igor-tk,2015-05-22T06:25:18Z,1,0,44514,1,24,0.0
18518616,hosseinnassiri,2016-04-17T20:18:44Z,1,0,44514,1,24,0.0
51238969,RA-Work-A,2019-05-31T14:39:36Z,1,0,44514,1,24,0.0
20983449,KristinXie1,2016-08-12T04:31:31Z,1,0,106364,4,30,0.0
4850159,Jaffacakes82,2013-06-27T11:56:37Z,1,0,44514,1,24,0.0
19915927,dotnet-mc-bot,2016-06-13T19:27:48Z,1,0,106364,5,30,0.0
35536253,jons-aura,2018-01-17T16:35:53Z,1,0,44514,1,24,0.0
18387852,findmoon,2016-04-11T02:25:50Z,1,0,44514,1,24,0.0
32854332,vsfeedback,2017-10-16T22:16:10Z,1,0,63726,1,6,0.0
33805250,Marcele1987,2017-11-19T13:14:36Z,1,0,106364,1,30,0.0
38745321,KiranKumar7834,2018-04-26T04:31:55Z,1,0,230,1,1,0.0
16491038,emailtowalter,2015-12-30T15:54:45Z,1,0,3300,1,5,0.0
8314262,abaazzi,2014-07-30T21:33:48Z,1,0,241,1,6,0.0
1017254,snowping,2011-08-31T15:43:19Z,1,0,783,1,6,0.0
78807,jayrulez,2009-04-28T15:29:15Z,1,0,783,2,6,0.0
2369739,daver77,2012-09-18T11:41:32Z,1,0,783,1,6,0.0
9070710,binq1000,2014-10-08T06:51:13Z,1,0,783,1,6,0.0
5551170,TillAlex,2013-09-26T16:18:55Z,1,0,8372,1,1,0.0
43975,ifolmedo,2009-01-03T18:31:35Z,1,0,1036,1,1,0.0
17174099,VagueGit,2016-02-11T08:07:32Z,1,0,2644,1,1,0.0
644199,51tharea,2011-03-01T07:11:47Z,1,0,1676,1,1,0.0
2285509,azizkap21,2012-09-05T14:54:25Z,1,0,975,1,1,0.0
17291506,maxkonyukh,2016-02-17T10:06:33Z,1,0,241,1,6,0.0
8030830,GingerSquirrel,2014-06-30T21:46:01Z,1,0,241,1,6,0.0
1897006,dprothero,2012-06-27T04:56:26Z,1,0,241,1,6,0.0
985974,jspuij,2011-08-17T11:55:27Z,1,0,241,1,6,0.0
18668070,Srinivas289,2016-04-25T21:23:08Z,1,0,3300,1,5,0.0
12935058,TrueDivinorium,2015-06-17T11:03:40Z,1,0,241,1,6,0.0
8421906,koo9,2014-08-11T22:21:14Z,1,0,1238,1,1,0.0
6043905,Sherif-Ahmed,2013-11-26T19:45:53Z,1,0,8675,1,1,0.0
25023808,bonbon2106,2017-01-10T04:00:06Z,1,0,1291,1,3,0.0
43356396,JuliusChangGitHub,2018-09-17T21:27:15Z,1,0,1291,1,3,0.0
24377592,haopxt,2016-12-05T00:40:52Z,1,0,1291,1,3,0.0
3451696,dephcon,2013-02-01T19:20:13Z,1,0,4579,1,2,0.0
10996990,jarkle,2015-02-13T18:30:42Z,1,0,4579,1,2,0.0
47627853,JeromeD49,2019-02-14T09:32:32Z,1,0,509,1,1,0.0
29952365,billuran,2017-07-06T14:35:07Z,1,0,3198,1,2,0.0
40697038,p3junior,2018-06-29T15:04:51Z,1,0,1204,1,2,0.0
5516763,stefanbg,2013-09-23T07:14:59Z,1,0,1204,1,2,0.0
23115157,peropata,2016-10-28T07:02:35Z,1,0,3768,1,2,0.0
7174232,grassit,2014-04-04T19:13:03Z,1,0,3768,1,2,0.0
1056545,thiagoburgo,2011-09-16T16:59:13Z,1,0,851,1,1,0.0
12141407,jasonla,2015-04-27T18:21:11Z,1,0,876,1,1,0.0
16718510,Energy1190,2016-01-15T11:23:35Z,1,0,7583,1,5,0.0
6662933,sukosevato,2014-02-12T15:37:48Z,1,0,7583,1,5,0.0
4312909,jfml,2013-05-01T15:18:32Z,1,0,7583,1,5,0.0
4993772,JellyMaster,2013-07-12T01:31:52Z,1,0,853,1,3,0.0
14734008,octogondude,2015-09-22T07:32:53Z,1,0,1988,1,1,0.0
35373115,PSfreak,2018-01-12T13:52:50Z,1,0,726,1,1,0.0
48448047,kishorpise,2019-03-11T15:59:13Z,1,0,2208,1,1,0.0
17604460,robdcgnx,2016-03-02T23:16:12Z,1,0,4412,1,1,0.0
20435544,marko033,2016-07-13T08:30:31Z,1,0,1126,1,1,0.0
614672,macubergeek,2011-02-12T17:51:00Z,1,0,217,1,1,0.0
32468283,dushii,2017-10-02T20:48:47Z,1,0,2624,1,6,0.0
1209768,linhth1929,2011-11-21T08:38:08Z,1,0,2624,1,6,0.0
14997010,link27sea,2015-10-06T13:03:50Z,1,0,2624,1,6,0.0
19403962,gogood,2016-05-17T07:43:41Z,1,0,2624,1,6,0.0
16121480,uruscode,2015-12-02T16:40:51Z,1,0,2624,1,6,0.0
30657434,msufyanr,2017-08-02T12:10:37Z,1,0,2624,1,6,0.0
6693310,jaydeflix,2014-02-15T23:32:45Z,1,0,1070,1,1,0.0
24903703,ScorpDiesel,2017-01-03T22:36:44Z,1,0,1987,1,1,0.0
36451503,SrfRfRing,2018-02-13T16:37:38Z,1,0,607,1,2,0.0
54806261,AllCanor,2019-09-02T12:51:38Z,1,0,607,1,2,0.0
32640971,svpudik,2017-10-09T13:00:38Z,1,0,620,1,1,0.0
1505374,TylerJaacks,2012-03-06T02:58:21Z,1,0,9562,1,1,0.0
4066455,KefRisen,2013-04-05T07:19:45Z,1,0,2260,1,1,0.0
18185071,JunWeston,2016-03-31T07:39:11Z,1,0,274,1,1,0.0
27670415,MelihSevsay,2017-04-17T07:31:41Z,1,0,122114,1,3,0.0
3420249,Jonesie,2013-01-29T19:40:42Z,1,0,1382,1,1,0.0
10137,ghost,2008-05-13T06:14:25Z,1,0,1714,1,1,0.0
13853592,manriquelogany2k,2015-08-18T15:03:16Z,1,0,853,1,3,0.0
17417644,paetobuddy,2016-02-22T22:16:22Z,1,0,3153,1,15,0.0
15118843,mjaber,2015-10-14T05:28:34Z,1,0,3153,1,15,0.0
7955707,DureSameen,2014-06-22T10:25:47Z,1,0,3153,1,15,0.0
9930385,crazyfx1,2014-11-24T12:24:00Z,1,0,3153,1,15,0.0
17959034,Murtuzakabul,2016-03-20T05:52:02Z,1,0,3153,1,15,0.0
13694867,jocco,2015-08-07T13:18:43Z,1,0,3153,1,15,0.0
4486709,tweek82,2013-05-21T07:17:42Z,1,0,3153,1,15,0.0
15861603,KSYMEK,2015-11-15T21:29:27Z,1,0,3153,1,15,0.0
4663179,muziekklas,2013-06-10T17:14:20Z,1,0,3153,1,15,0.0
743025,Buildstarted,2011-04-21T04:42:00Z,1,0,4691,1,11,0.0
1416415,Taras611,2012-02-07T15:20:24Z,1,0,2964,1,2,0.0
1458518,JuanjoFuchs,2012-02-21T19:05:01Z,1,0,2964,1,2,0.0
2273360,testarea1,2012-09-03T21:07:21Z,1,0,6317,1,14,0.0
13206152,ironblaster,2015-07-06T18:19:17Z,1,0,6317,1,14,0.0
5489218,thib3113,2013-09-18T18:55:50Z,1,0,6317,1,14,0.0
63698293,zorglan,2020-04-15T05:21:56Z,1,0,6317,1,14,0.0
41996367,bradday,2018-08-01T11:36:10Z,1,0,6317,1,14,0.0
60718477,CyberPoison,2020-02-05T22:55:51Z,1,0,6317,1,14,0.0
34948449,yakzazazord,2017-12-29T21:04:48Z,1,0,6317,1,14,0.0
28788893,jcharbo94,2017-05-18T17:51:20Z,1,0,6317,1,14,0.0
63551205,jmgriff81,2020-04-12T15:17:35Z,1,0,6317,1,14,0.0
56789557,nutty-6,2019-10-20T11:15:02Z,1,0,6317,1,14,0.0
3226511,deegan,2013-01-09T14:49:52Z,1,0,6317,1,14,0.0
10937987,mowdep,2015-02-10T08:49:48Z,1,0,6317,1,14,0.0
10660203,cpaucar3,2015-01-22T21:03:29Z,1,0,6317,1,14,0.0
45521,bbbush,2009-01-10T10:04:45Z,1,0,1821,1,1,0.0
1545025,DethGhost,2012-03-16T18:42:34Z,1,0,3153,1,15,0.0
36698156,vjarora,2018-02-21T11:47:36Z,1,0,3153,1,15,0.0
1761686,digitalgym,2012-05-21T23:42:51Z,1,0,853,1,3,0.0
422341,thangchung,2010-09-30T15:13:31Z,1,0,3153,1,15,0.0
351644,abatishchev,2010-08-02T13:14:31Z,1,0,33392,1,4,0.0
19556951,hsrasheed,2016-05-24T17:20:29Z,1,0,33392,1,4,0.0
8402273,mwassell,2014-08-09T12:53:54Z,1,0,33392,1,4,0.0
29564789,Neue-Ziel,2017-06-20T07:08:33Z,1,0,12487,1,4,0.0
10508429,jaymin93,2015-01-13T01:53:05Z,1,0,12487,1,4,0.0
11340526,profesor79,2015-03-05T22:32:25Z,1,0,12487,1,4,0.0
7548298,m4masood,2014-05-11T10:55:33Z,1,0,2689,1,2,0.0
3624673,ondrejspilka,2013-02-18T09:17:05Z,1,0,2689,1,2,0.0
5763551,theshked,2013-10-24T08:06:53Z,1,0,348,1,1,0.0
17932706,ajfleming1,2016-03-18T17:08:37Z,1,0,3500,1,2,0.0
601548,paulduran,2011-02-05T04:44:52Z,1,0,3500,1,2,0.0
3427270,ajtowf,2013-01-30T11:59:13Z,1,0,10988,1,1,0.0
2044172,acollard,2012-07-26T03:50:51Z,1,0,1872,1,1,0.0
4405210,nenadvicentic,2013-05-11T17:31:33Z,1,0,44514,1,24,0.0
16145998,ClementeGao,2015-12-04T04:10:10Z,1,0,3346,1,1,0.0
16553538,appleken,2016-01-05T06:49:27Z,1,0,3866,1,1,0.0
8049896,eaba,2014-07-02T16:41:11Z,1,0,2607,1,6,0.0
1366077,anilchinnu21,2012-01-22T04:10:54Z,1,0,3153,1,15,0.0
1830474,vinayhfs,2012-06-08T12:08:36Z,1,0,2607,1,6,0.0
16953643,osamajaved,2016-01-29T08:34:52Z,1,0,2607,1,6,0.0
548021,mikeandersun,2011-01-05T02:52:24Z,1,0,2607,1,6,0.0
18430100,lastbuilders,2016-04-12T22:11:29Z,1,0,2607,1,6,0.0
987005,fatagun,2011-08-17T19:59:55Z,2,0,47121,2,30,0.0
3955217,snowjim,2013-03-24T11:03:25Z,1,0,3153,1,15,0.0
10818648,stt106,2015-02-02T21:39:49Z,1,0,3153,1,15,0.0
7054776,Winches,2014-03-25T04:49:55Z,1,0,8413,1,2,0.0
4414905,robin8588,2013-05-13T07:48:37Z,1,0,8413,1,2,0.0
46126063,quoyon,2018-12-25T08:05:02Z,1,0,7787,1,1,0.0
4212452,Ashtonian,2013-04-20T20:46:58Z,1,0,5258,1,1,0.0
8927836,Shyam200408,2014-09-26T11:17:10Z,1,0,1869,1,2,0.0
16805163,AntonStokoz,2016-01-20T19:15:48Z,1,0,1869,1,2,0.0
1332066,stefanhendriks,2012-01-15T19:25:22Z,1,0,1255,1,2,0.0
1302263,jceddy,2012-01-03T21:20:40Z,1,0,2219,1,3,0.0
9937583,toddtsic,2014-11-24T21:38:20Z,1,0,2219,1,3,0.0
1622880,guardrex,2012-04-08T10:14:47Z,1,0,106364,1,30,0.0
6168591,oliverluethi,2013-12-12T09:51:57Z,2,0,45595,2,31,0.0
681472,michaelkrog,2011-03-21T11:43:19Z,1,0,1081,1,7,0.0
7761010,borgdylan,2014-06-01T14:59:27Z,1,0,1081,1,7,0.0
16612644,vinny-Jo,2016-01-08T16:18:09Z,1,0,1081,1,7,0.0
8794555,HongyanShen,2014-09-16T15:29:35Z,1,0,1081,1,7,0.0
319720,marcuslindblom,2010-07-01T06:52:39Z,1,0,44514,1,24,0.0
7934036,Immons,2014-06-19T13:40:35Z,1,0,1914,1,3,0.0
35455244,njangir2,2018-01-15T12:38:43Z,1,0,1914,1,3,0.0
