user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
1644068,thedillonb,2012-04-14T22:11:22Z,1,584,593,1,2,3309.0050590219225
303201,JamesNK,2010-06-11T23:08:02Z,1,1568,1821,1,1,452.0593080724877
17328,mgravell,2008-07-17T10:34:56Z,2,1353,2920,2,2,266.42979452054794
90130,JeremySkinner,2009-05-30T09:35:40Z,1,1596,1855,1,1,248.64905660377357
3548,AArnott,2008-03-21T16:24:38Z,1,3384,3500,1,1,224.31085714285712
19174,mhowlett,2008-07-31T22:17:28Z,1,437,721,1,1,185.46740638002774
1054056,markcowl,2011-09-15T18:59:24Z,1,2811,33355,1,2,184.22563333833008
583206,twsouthwick,2011-01-25T18:25:41Z,1,367,613,1,1,133.5089722675367
20041,phatboyg,2008-08-08T16:27:54Z,1,2809,5248,1,1,126.31935975609755
9608723,reisenberger,2014-11-07T12:07:12Z,1,301,966,1,1,119.02898550724638
2821205,alexeyzimarev,2012-11-17T12:55:57Z,1,448,1797,1,1,113.93210907067335
1866463,matthid,2012-06-19T07:47:23Z,1,388,583,1,1,112.47341337907376
1396,anaisbetts,2008-02-28T02:26:12Z,2,2247,4750,2,4,111.16736842105263
104498,jbogard,2009-07-13T18:05:22Z,1,1953,3621,1,2,108.94946147473074
287744,prabirshrestha,2010-05-26T15:05:46Z,1,1208,1613,1,1,107.09485430874147
11578325,shoveldev,2015-03-20T20:45:37Z,1,1038,1379,2,2,106.13343002175489
312863,drieseng,2010-06-23T15:52:25Z,1,861,1291,1,1,102.70642912470953
146695,thinkingserious,2009-10-30T08:57:25Z,1,507,1340,1,1,96.10298507462686
10204923,erikzhang,2014-12-16T06:54:13Z,1,260,1004,1,1,95.81673306772909
35664089,skoruba,2018-01-21T17:14:47Z,1,765,1238,1,1,94.54361873990307
342712,nblumhardt,2010-07-24T11:12:53Z,1,942,1676,1,1,93.86276849642005
3608762,celeron533,2013-02-16T05:52:22Z,1,206,1424,1,4,93.45224719101124
255007,joemcbride,2010-04-28T01:49:40Z,1,499,1149,1,1,88.59530026109661
6939810,chkr1011,2014-03-13T10:27:15Z,1,972,1381,1,1,86.57204923968139
1261331,niksedk,2011-12-13T20:42:08Z,1,8230,12273,1,1,83.15163366739998
1454075,leastprivilege,2012-02-20T14:26:08Z,2,3128,5750,4,18,82.08355555555555
1350414,tmenier,2012-01-19T00:01:42Z,1,594,712,1,1,81.75842696629213
752470,volkanceylan,2011-04-26T13:33:27Z,1,2162,3194,1,2,81.22730118973074
781266,tidyui,2011-05-11T11:04:07Z,1,1974,2327,1,1,72.10571551353674
245275,Mpdreamz,2010-04-16T07:33:17Z,1,3622,7111,1,3,71.64880701260957
1517233,S74nk0,2012-03-08T18:12:30Z,2,2809,5291,3,8,71.27353052353052
1210527,hikalkan,2011-11-21T14:53:45Z,1,3411,6542,1,6,70.82352491592785
5462232,wongsyrone,2013-09-15T08:21:20Z,1,152,1424,1,4,68.95505617977528
46207,neuecc,2009-01-13T09:16:28Z,1,581,1353,1,1,68.70657797487065
12179488,winauth,2015-04-30T02:38:34Z,1,407,536,1,1,67.58022388059702
1190944,kspearrin,2011-11-12T21:39:55Z,1,2602,2843,3,4,63.83731973267675
7324746,bartdesmet,2014-04-17T08:53:51Z,1,1469,3384,1,2,62.51063829787234
511568,meee1,2010-12-06T14:17:09Z,1,4639,5003,1,3,62.12532480511693
338984,jstedfast,2010-07-20T20:09:58Z,1,3078,3129,5,8,53.488734419942475
1862641,roji,2012-06-18T13:23:09Z,1,2048,3764,1,2,47.06482465462274
649492,brockallen,2011-03-03T18:14:18Z,7,3034,53571,9,31,46.99253387575487
16698464,RomanovM,2016-01-14T06:32:14Z,1,888,12292,1,1,45.58477058249268
