repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
AFNetworking/AFNetworking,1641,32922,2937,198768,kcharwood,332
AFNetworking/AFNetworking,1641,32922,2937,7659,mattt,1538
AFNetworking/AFNetworking,1641,32922,2937,51020,jshier,8
AFNetworking/AFNetworking,1641,32922,2937,44164,kylef,44
AFNetworking/AFNetworking,1641,32922,2937,297156,lxcid,2
AFNetworking/AFNetworking,1641,32922,2937,6657591,hardikdevios,0
AFNetworking/AFNetworking,1641,32922,2937,4712,johnclayton,0
Alamofire/Alamofire,1087,34260,1461,51020,jshier,174
BVLC/caffe,2237,30758,4156,28222152,murrayliu,0
BVLC/caffe,2237,30758,4156,17203018,Noiredd,51
BVLC/caffe,2237,30758,4156,1844189,seanbell,0
BVLC/caffe,2237,30758,4156,12855404,YaoChou,0
BVLC/caffe,2237,30758,4156,311113,shelhamer,1117
BVLC/caffe,2237,30758,4156,9029761,pathak22,0
BoostIO/Boostnote,354,17088,4714,2936813,aquibm,2
BoostIO/Boostnote,354,17088,4714,8602615,kazup01,362
BoostIO/Boostnote,354,17088,4714,11307908,asmsuechan,478
DefinitelyTyped/DefinitelyTyped,644,29544,70820,7585416,dt-bot,0
DefinitelyTyped/DefinitelyTyped,644,29544,70820,874898,basarat,710
DefinitelyTyped/DefinitelyTyped,644,29544,70820,125332,vvakame,4297
DefinitelyTyped/DefinitelyTyped,644,29544,70820,23042052,typescript-bot,59
DefinitelyTyped/DefinitelyTyped,644,29544,70820,194893,gustavderdrache,18
DefinitelyTyped/DefinitelyTyped,644,29544,70820,489742,yuit,198
DefinitelyTyped/DefinitelyTyped,644,29544,70820,461084,pocesar,46
DefinitelyTyped/DefinitelyTyped,644,29544,70820,325325,davidparsson,3
DefinitelyTyped/DefinitelyTyped,644,29544,70820,5273975,paulvanbrenk,788
DefinitelyTyped/DefinitelyTyped,644,29544,70820,11615311,anselmstordeur,1
DefinitelyTyped/DefinitelyTyped,644,29544,70820,11142903,fenying,4
DefinitelyTyped/DefinitelyTyped,644,29544,70820,94334,thorn0,31
DefinitelyTyped/DefinitelyTyped,644,29544,70820,1088987,blakeembrey,10
DefinitelyTyped/DefinitelyTyped,644,29544,70820,19274678,andy-ms,1518
DefinitelyTyped/DefinitelyTyped,644,29544,70820,3180256,Fosol,0
DefinitelyTyped/DefinitelyTyped,644,29544,70820,56907671,iliophanis,0
DefinitelyTyped/DefinitelyTyped,644,29544,70820,46965903,Chrossu,0
DefinitelyTyped/DefinitelyTyped,644,29544,70820,16977587,jony89,5
FezVrasta/bootstrap-material-design,804,20182,1374,5382443,FezVrasta,174
HelloZeroNet/ZeroNet,847,16003,3928,10350359,HelloZeroNet,377
Homebrew/legacy-homebrew,948,27695,63882,125011,MikeMcQuaid,3042
Homebrew/legacy-homebrew,948,27695,63882,3566,adamv,5697
Homebrew/legacy-homebrew,948,27695,63882,780485,mistydemeo,1042
Homebrew/legacy-homebrew,948,27695,63882,568243,jacknagel,7566
Homebrew/legacy-homebrew,948,27695,63882,321291,gawbul,1
Homebrew/legacy-homebrew,948,27695,63882,1908226,kentwait,0
Homebrew/legacy-homebrew,948,27695,63882,79918,fbettag,2
JuliaLang/julia,977,28929,47476,5934628,tkelman,1724
JuliaLang/julia,977,28929,47476,153596,StefanKarpinski,4194
JuliaLang/julia,977,28929,47476,330950,vtjnash,3253
JuliaLang/julia,977,28929,47476,712232,yuyichao,1327
JuliaLang/julia,977,28929,47476,744411,ViralBShah,2806
JuliaLang/julia,977,28929,47476,130920,staticfloat,894
JuliaLang/julia,977,28929,47476,744556,JeffBezanson,9606
JuliaLang/julia,977,28929,47476,2896623,quinnj,263
JuliaLang/julia,977,28929,47476,3909074,AzamatB,6
JuliaLang/julia,977,28929,47476,1282691,KristofferC,731
JuliaLang/julia,977,28929,47476,2822757,diegozea,1
Kong/insomnia,197,14298,2471,30606887,welcome[bot],0
Kong/insomnia,197,14298,2471,587576,gschier,2096
Kong/insomnia,197,14298,2471,26384082,stale[bot],0
Kong/kong,1016,26724,6129,1077043,Tieske,302
Kong/kong,1016,26724,6129,1125431,thibaultcha,2125
Kong/kong,1016,26724,6129,983257,bungle,463
PerfectlySoft/Perfect,646,13785,800,11571300,CLAassistant,0
PowerShell/PowerShell,1169,21290,8274,11859881,SteveL-MSFT,463
PowerShell/PowerShell,1169,21290,8274,10873629,TravisEz13,525
PowerShell/PowerShell,1169,21290,8274,588825,mklement0,13
ReactTraining/react-router,885,41516,4570,1127037,pshrmn,77
