repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
AFNetworking/AFNetworking,1641,32922,2937,198768,kcharwood,332
AFNetworking/AFNetworking,1641,32922,2937,7659,mattt,1538
AFNetworking/AFNetworking,1641,32922,2937,147458,SlaunchaMan,99
AFNetworking/AFNetworking,1641,32922,2937,15206689,hjh920722,0
AFNetworking/AFNetworking,1641,32922,2937,16893312,qijizhuimeng,0
AFNetworking/AFNetworking,1641,32922,2937,9546330,liuwin7,0
AFNetworking/AFNetworking,1641,32922,2937,7475,MSch,0
AFNetworking/AFNetworking,1641,32922,2937,9347686,y1024,0
AFNetworking/AFNetworking,1641,32922,2937,44164,kylef,44
AFNetworking/AFNetworking,1641,32922,2937,1031749,wuqiong,0
AFNetworking/AFNetworking,1641,32922,2937,3677369,tylercasson,0
AFNetworking/AFNetworking,1641,32922,2937,378073,chrisallick,0
AFNetworking/AFNetworking,1641,32922,2937,4359103,aenhsaihan,0
AFNetworking/AFNetworking,1641,32922,2937,7993048,krishnanunni,0
AFNetworking/AFNetworking,1641,32922,2937,10768058,bingxue314159,0
AFNetworking/AFNetworking,1641,32922,2937,5060663,cognitiveflux,0
AFNetworking/AFNetworking,1641,32922,2937,317671,iwasrobbed,0
AFNetworking/AFNetworking,1641,32922,2937,863266,jbelkins,0
AFNetworking/AFNetworking,1641,32922,2937,26384082,stale[bot],0
AFNetworking/AFNetworking,1641,32922,2937,18542347,fanjiduo,0
AFNetworking/AFNetworking,1641,32922,2937,10824925,ManuelSchmitzberger,0
AFNetworking/AFNetworking,1641,32922,2937,710247,fitch,0
Alamofire/Alamofire,1087,34260,1461,51020,jshier,174
Alamofire/Alamofire,1087,34260,1461,169110,cnoon,767
Alamofire/Alamofire,1087,34260,1461,3412692,troypayne,0
Alamofire/Alamofire,1087,34260,1461,2134076,sagark1510,0
Alamofire/Alamofire,1087,34260,1461,2553451,qalandarov,0
Alamofire/Alamofire,1087,34260,1461,18726593,tvich1,0
Alamofire/Alamofire,1087,34260,1461,1652595,tnguyen14,0
Alvin9999/new-pac,1372,25348,478,12132898,Alvin9999,478
Alvin9999/new-pac,1372,25348,478,17378745,bsharkl,0
ApolloAuto/apollo,1098,16880,16925,15767981,siyangy,331
BVLC/caffe,2237,30758,4156,687269,lukeyeager,42
Binaryify/NeteaseCloudMusicApi,321,16693,646,12221718,Binaryify,487
BoostIO/Boostnote,354,17088,4714,4507015,Flexo013,2
ColorlibHQ/gentelella,1131,19472,449,4520629,krzysiekpiasecki,15
DefinitelyTyped/DefinitelyTyped,644,29544,70820,7585416,dt-bot,0
DefinitelyTyped/DefinitelyTyped,644,29544,70820,3889017,ExE-Boss,105
Eugeny/terminus,271,15168,2821,5956320,x1nas,0
Eugeny/terminus,271,15168,2821,161476,Eugeny,2024
FelisCatus/SwitchyOmega,833,15727,576,3608762,celeron533,2
FelisCatus/SwitchyOmega,833,15727,576,6565744,wzshiming,0
FiloSottile/mkcert,425,25472,137,369610,petr-motejlek,0
FiloSottile/mkcert,425,25472,137,835733,gabrielcalderon,0
FiloSottile/mkcert,425,25472,137,1967557,coole106,0
FiloSottile/mkcert,425,25472,137,1876933,vlad2,0
FiloSottile/mkcert,425,25472,137,1225294,FiloSottile,96
FiloSottile/mkcert,425,25472,137,10181090,x4080,0
FiloSottile/mkcert,425,25472,137,33632286,bmitchinson,0
FiloSottile/mkcert,425,25472,137,168240,miguelmota,0
FiloSottile/mkcert,425,25472,137,1439979,Cobs,0
FiloSottile/mkcert,425,25472,137,8676278,healdev,0
FiloSottile/mkcert,425,25472,137,1510274,simongcc,0
FiloSottile/mkcert,425,25472,137,1149744,Kevinlearynet,0
FiloSottile/mkcert,425,25472,137,67054369,netnaps,0
FiloSottile/mkcert,425,25472,137,154439,arafel,0
FiloSottile/mkcert,425,25472,137,2379901,rossPatton,0
FiloSottile/mkcert,425,25472,137,112444,rfay,0
FiloSottile/mkcert,425,25472,137,120951,adamdecaf,7
FiloSottile/mkcert,425,25472,137,748829,Alek5andr,0
FortAwesome/Font-Awesome,1417,63791,70,556268,tagliala,3
FortAwesome/Font-Awesome,1417,63791,70,132895,robmadole,56
FortAwesome/Font-Awesome,1417,63791,70,6602076,kharsha,0
FortAwesome/Font-Awesome,1417,63791,70,14030341,multivoltage,0
Genymobile/scrcpy,810,36441,972,543275,rom1v,873
GoogleChrome/lighthouse,519,20559,4196,24444246,devtools-bot,0
HelloZeroNet/ZeroNet,847,16003,3928,10350359,HelloZeroNet,377
