repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
AFNetworking/AFNetworking,1640,32927,2937,5228056,jaminzzhang,0
AFNetworking/AFNetworking,1640,32927,2937,3865335,sallyahmed,0
AFNetworking/AFNetworking,1640,32927,2937,2115317,tinghuisun,0
AFNetworking/AFNetworking,1640,32927,2937,1369408,lexter,0
AFNetworking/AFNetworking,1640,32927,2937,11807,esad,0
AFNetworking/AFNetworking,1640,32927,2937,3890308,yaoyakun9,0
AFNetworking/AFNetworking,1640,32927,2937,3191603,stilllife00,0
AFNetworking/AFNetworking,1640,32927,2937,1456681,rapinto,0
AFNetworking/AFNetworking,1640,32927,2937,16251479,BaronPod,0
AFNetworking/AFNetworking,1640,32927,2937,2805960,realsurfer,0
AFNetworking/AFNetworking,1640,32927,2937,8161546,SenthilKumarPeriyasamy,0
AFNetworking/AFNetworking,1640,32927,2937,1618181,iltercengiz,0
AFNetworking/AFNetworking,1640,32927,2937,487237,mmerickel,0
AFNetworking/AFNetworking,1640,32927,2937,688377,OliverLetterer,40
AFNetworking/AFNetworking,1640,32927,2937,863266,jbelkins,0
AFNetworking/AFNetworking,1640,32927,2937,1391324,p4checo,1
AFNetworking/AFNetworking,1640,32927,2937,297156,lxcid,2
AFNetworking/AFNetworking,1640,32927,2937,73786,hdoria,0
AFNetworking/AFNetworking,1640,32927,2937,6046400,gtasko,0
AFNetworking/AFNetworking,1640,32927,2937,1449034,nnuvo,0
AFNetworking/AFNetworking,1640,32927,2937,3430965,jmkk,1
AFNetworking/AFNetworking,1640,32927,2937,732751,jiamo,0
AFNetworking/AFNetworking,1640,32927,2937,925756,sarsonj,0
AFNetworking/AFNetworking,1640,32927,2937,3080949,Diken,0
AFNetworking/AFNetworking,1640,32927,2937,2295970,aliang228,0
Alamofire/Alamofire,1088,34279,1462,10137,ghost,0
Alamofire/Alamofire,1088,34279,1462,20637153,PhoenixLeeSin,0
Alamofire/Alamofire,1088,34279,1462,1105813,guidev,0
Alamofire/Alamofire,1088,34279,1462,13914693,KarrePrakash,0
Alamofire/Alamofire,1088,34279,1462,11722240,a5978445,0
Alamofire/Alamofire,1088,34279,1462,353037,psankar,0
Alamofire/Alamofire,1088,34279,1462,16459058,wuaschtikus,0
Alamofire/Alamofire,1088,34279,1462,43604043,sanderdekoning,0
Alamofire/Alamofire,1088,34279,1462,957980,rsaeks,0
Alamofire/Alamofire,1088,34279,1462,20762068,GTMYang,0
Alamofire/Alamofire,1088,34279,1462,5219641,gensmusic,0
Alamofire/Alamofire,1088,34279,1462,1109961,marius-serban,0
Alvin9999/new-pac,1374,25404,478,26861505,ljsdlfjk,0
ApolloAuto/apollo,1095,16904,16994,13678155,zwqaoy,1
BVLC/caffe,2236,30780,4156,311113,shelhamer,1117
Binaryify/NeteaseCloudMusicApi,326,16768,653,41319447,monako97,0
BoostIO/Boostnote,354,17093,4714,14927934,bkkgbkjb,0
ColorlibHQ/gentelella,1130,19483,449,1216855,dr-matt-smith,0
DefinitelyTyped/DefinitelyTyped,646,29629,70924,6943580,igrayson,3
DefinitelyTyped/DefinitelyTyped,646,29629,70924,1400380,douglasg14b,0
DefinitelyTyped/DefinitelyTyped,646,29629,70924,3301112,ericlu88,7
DefinitelyTyped/DefinitelyTyped,646,29629,70924,9551280,jeffrson,7
Eugeny/terminus,270,15227,2823,32959212,sectorogo,0
Eugeny/terminus,270,15227,2823,9463960,wy7980,0
FelisCatus/SwitchyOmega,834,15746,577,48577863,sonofabiscuit97,0
FelisCatus/SwitchyOmega,834,15746,577,11533799,enervated,0
FiloSottile/mkcert,424,25524,137,351469,antong,0
FiloSottile/mkcert,424,25524,137,1441652,Epho,0
FiloSottile/mkcert,424,25524,137,2381461,nattyebola,0
FiloSottile/mkcert,424,25524,137,5529450,TonyStark,0
FiloSottile/mkcert,424,25524,137,177641,binarykitchen,0
FiloSottile/mkcert,424,25524,137,39500356,broizter,0
FiloSottile/mkcert,424,25524,137,1253376,schweikert,0
FiloSottile/mkcert,424,25524,137,14124095,emmtre,0
FiloSottile/mkcert,424,25524,137,89887,dsebastien,0
FiloSottile/mkcert,424,25524,137,2541728,selfagency,0
FiloSottile/mkcert,424,25524,137,32534370,devsumanmdn,0
FortAwesome/Font-Awesome,1415,63824,70,20360579,futurespike,0
Genymobile/scrcpy,816,36719,972,14519745,obenn,0
Genymobile/scrcpy,816,36719,972,12910117,chaooe,0
GoogleChrome/lighthouse,518,20627,4215,1375034,fabiocarneiro,0
HelloZeroNet/ZeroNet,848,16014,3928,10350359,HelloZeroNet,377
HelloZeroNet/ZeroNet,848,16014,3928,13270039,tianlichunhong,0
HelloZeroNet/ZeroNet,848,16014,3928,655681,krzotr,7
HelloZeroNet/ZeroNet,848,16014,3928,3054729,ValdikSS,0
HelloZeroNet/ZeroNet,848,16014,3928,12951711,voteforcoffee,0
HelloZeroNet/ZeroNet,848,16014,3928,17868450,saber28,1
HelloZeroNet/ZeroNet,848,16014,3928,9268789,ilovelinux,0
Homebrew/brew,605,22884,23124,5268928,ilovezfs,262
Homebrew/brew,605,22884,23124,2637951,skunkworker,0
Homebrew/brew,605,22884,23124,108065,soswow,0
