user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
543275,rom1v,2011-01-01T11:57:54Z,1,873,972,2,2,728.3981481481482
56241,agentzh,2009-02-20T11:46:31Z,2,4343,5114,2,4,504.02238951896754
177011,bagder,2010-01-05T21:58:22Z,1,14919,26126,6,6,402.58344178213275
2307945,gentilkiwi,2012-09-08T19:48:50Z,1,268,272,14,30,382.55686274509804
124872,jedisct1,2009-09-09T10:20:57Z,1,3627,3901,1,1,364.4665470392207
2662304,ktsaou,2012-10-27T07:09:49Z,1,5347,11157,6,12,326.6093483911446
2336717,kbengine,2012-09-13T04:41:52Z,1,3814,6616,1,1,321.10006045949217
65632,antirez,2009-03-21T22:29:53Z,1,7037,9597,3,19,318.15330448659944
66832,dormando,2009-03-25T03:32:54Z,1,660,1697,1,1,287.4130819092516
427321,awick,2010-10-05T00:55:11Z,1,2486,3801,1,1,239.3780584056827
946459,wishstudio,2011-07-29T09:57:39Z,1,821,849,1,1,223.38162544169612
3684796,lminiero,2013-02-24T10:49:40Z,1,3097,4662,2,2,223.2072072072072
3004890,KevinOConnor,2012-12-10T04:45:22Z,1,2753,3250,1,1,194.8276923076923
151335,waruqi,2009-11-10T16:13:27Z,2,7658,8444,2,3,185.01089531027947
28882257,guanshengliang,2017-05-23T02:16:51Z,1,3186,7596,2,3,176.7203791469194
601816,cpq,2011-02-05T11:30:08Z,1,1661,2967,3,5,161.90131445904953
524990,edenhill,2010-12-15T22:07:50Z,2,3205,3858,2,4,155.3486262312079
1258619,jorisvink,2011-12-12T21:06:37Z,1,1545,1669,1,1,154.592570401438
1038539,schwabe,2011-09-09T12:36:51Z,1,1565,1632,11,14,151.4449842436975
1431672,mridgers,2012-02-12T21:45:15Z,1,2020,2045,1,1,130.38630806845964
1374472,yatsukhnenko,2012-01-24T10:48:30Z,1,604,2485,1,1,119.82776659959758
39480,tve,2008-12-10T03:32:05Z,1,343,716,1,1,119.76256983240224
679319,mubix,2011-03-19T23:57:53Z,1,88,91,1,1,116.04395604395604
31687149,coolsnowwolf,2017-09-06T07:36:53Z,1,2166,2863,1,4,111.78012574222844
3890945,DavidXanatos,2013-03-17T15:15:25Z,2,25,31,3,3,108.87096774193547
7276,nicolasff,2008-04-14T15:54:51Z,1,402,452,1,1,108.50442477876105
79578,ralight,2009-04-30T14:06:58Z,1,1780,1995,12,25,107.92421052631579
55506,stapelberg,2009-02-18T10:42:23Z,1,4289,7041,3,3,105.99147848317
15689733,pqarmitage,2015-11-06T13:38:08Z,1,3994,5102,5,6,105.68208545668367
7396244,vanhauser-thc,2014-04-24T14:44:32Z,1,404,690,28,44,102.09117259552042
6970250,huntergregal,2014-03-17T01:13:45Z,1,101,150,1,1,98.98
7222768,z3APA3A,2014-04-08T08:47:53Z,1,530,537,2,2,98.69646182495345
15154525,lws-team,2015-10-16T08:13:29Z,1,1993,3709,4,5,96.72148827177138
4318452,t3chn0m4g3,2013-05-02T06:05:26Z,1,1088,1305,14,15,95.71065134099617
12155236,robertswiecki,2015-04-28T14:51:38Z,1,2702,3811,1,1,92.87903437418001
4560438,ibarwick,2013-05-29T14:15:30Z,1,1672,1731,3,4,92.00346620450605
20528,samstokes,2008-08-13T13:20:26Z,1,238,380,1,2,90.50263157894737
4311419,Liryna,2013-05-01T11:59:32Z,1,828,1329,2,3,85.97742663656885
917142,radare,2011-07-15T08:12:25Z,1,12071,24598,3,8,85.93925827303033
10434361,jsteube,2015-01-07T11:50:47Z,1,5311,6999,3,11,84.02236683162529
624195,marcelstoer,2011-02-17T22:20:09Z,1,333,2251,1,1,83.58285206574855
1434008,ladar,2012-02-13T16:59:48Z,1,893,1327,3,3,80.75357950263754
5678977,tbodt,2013-10-14T00:46:59Z,1,1938,2136,4,10,78.02808988764045
7548711,cardigliano,2014-05-11T12:32:25Z,1,2296,2757,1,1,77.449401523395
1195107,mossmann,2011-11-14T23:59:47Z,1,1046,2310,1,3,76.82741702741703
6031938,begeekmyfriend,2013-11-25T14:53:37Z,1,343,387,1,3,76.5176571920758
200121,ggreer,2010-02-09T09:28:13Z,1,1448,2055,1,4,75.92311435523115
878801,LubosD,2011-06-27T13:27:13Z,1,1920,3132,2,4,69.27203065134098
4632905,mike-jumper,2013-06-06T17:32:39Z,1,2638,3288,2,3,62.04541768045417
1680515,tsl0922,2012-04-26T02:30:50Z,1,352,473,4,5,61.91627906976744
4983423,yrutschle,2013-07-10T17:07:43Z,1,250,386,1,1,61.52849740932642
201635,obiltschnig,2010-02-11T08:15:40Z,1,1883,4611,1,3,60.030579050097586
7487321,peterpt,2014-05-05T10:27:55Z,1,293,736,2,6,58.122282608695656
245621,hishamhm,2010-04-16T17:11:31Z,1,829,1077,1,2,57.34493964716806
7935,kjk,2008-04-19T18:36:55Z,1,7396,12127,1,3,55.29567631455979
2008794,johnkerl,2012-07-20T00:51:39Z,1,5539,5725,1,1,55.14812227074236
14097,graydon,2008-06-17T21:32:10Z,1,1259,6151,1,1,54.03609169240774
459736,xaizek,2010-10-29T16:37:11Z,1,10769,10897,2,2,53.36569698082041
304243,nicm,2010-06-13T17:35:08Z,1,4293,8962,3,12,52.0937011827717
932652,samnazarko,2011-07-22T14:53:02Z,1,5777,7772,3,6,51.65999742665981
406245,DaveDavenport,2010-09-18T19:04:37Z,1,2739,3202,6,9,51.32417239225484
159419,baskerville,2009-11-29T10:17:24Z,1,176,187,1,1,49.88235294117648
142006,octalmage,2009-10-20T07:26:17Z,1,442,648,1,3,49.7932098765432
701625,Nikratio,2011-03-31T13:51:43Z,2,574,2104,10,12,49.333808618504435
199429,dvarrazzo,2010-02-08T10:55:03Z,1,1913,2834,1,1,46.57621736062103
6108388,cboxdoerfer,2013-12-04T20:28:09Z,1,451,668,1,1,44.55988023952096
12740416,mintty,2015-06-04T01:59:45Z,2,1842,2608,5,10,44.496165644171775
3225,developernotes,2008-03-17T15:55:12Z,1,219,735,3,5,43.621224489795914
184809,miconda,2010-01-18T18:21:22Z,1,9153,31553,2,2,43.512502773111905
17612,alandekok,2008-07-20T18:03:32Z,1,13363,35663,5,5,43.090738300199085
13182,PromyLOPh,2008-06-10T06:41:57Z,1,761,816,7,11,42.729946524064175
27544,ept,2008-10-04T12:47:20Z,1,112,380,1,2,42.58947368421053
