repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ARM-software/arm-trusted-firmware,259,1049,7778,19822500,davidcunado-arm,437
ARMmbed/mbed-os,325,3412,30764,3165787,40Grit,0
ARMmbed/mbed-os,325,3412,30764,14747535,ciarmcom,0
ARMmbed/mbed-os,325,3412,30764,107253,bulislaw,188
ARMmbed/mbed-os,325,3412,30764,3104794,SeppoTakalo,322
ARMmbed/mbed-os,325,3412,30764,19887319,mbed-ci,0
ARMmbed/mbed-os,325,3412,30764,2963726,0xc0170,4677
ARMmbed/mbed-os,325,3412,30764,496002,sg-,900
ARMmbed/mbed-os,325,3412,30764,409941,pan-,925
ARMmbed/mbed-os,325,3412,30764,11191917,adbridge,471
ARMmbed/mbedtls,199,2575,13608,1132307,jethrogb,0
ARMmbed/mbedtls,199,2575,13608,22030476,RonEld,294
ARMmbed/mbedtls,199,2575,13608,14747535,ciarmcom,0
ARMmbed/mbedtls,199,2575,13608,26596258,gilles-peskine-arm,2340
ARMmbed/mbedtls,199,2575,13608,29195988,AndrzejKurek,230
ARMmbed/mbedtls,199,2575,13608,1226825,jcowgill,7
ARMmbed/mbedtls,199,2575,13608,3746901,andresag01,6
ARMmbed/mbedtls,199,2575,13608,60640,mpg,3522
ARMmbed/mbedtls,199,2575,13608,1267780,pjbakker,95
ARMmbed/mbedtls,199,2575,13608,8195775,sbutcher-arm,729
ARMmbed/mbedtls,199,2575,13608,410816,Patater,813
ARMmbed/mbedtls,199,2575,13608,26892988,hanno-arm,1557
ARMmbed/mbedtls,199,2575,13608,39518861,ronald-cron-arm,51
ARMmbed/mbedtls,199,2575,13608,11300056,fayak,0
ARMmbed/mbedtls,199,2575,13608,7770119,Ender-events,0
ARMmbed/mbedtls,199,2575,13608,6389300,k-a-z-u,0
ARMmbed/mbedtls,199,2575,13608,17623204,Archie1978,0
ARMmbed/mbedtls,199,2575,13608,5684642,danh-arm,20
ARMmbed/mbedtls,199,2575,13608,10880926,simonqhughes,1
ARMmbed/mbedtls,199,2575,13608,54212143,kjeir,0
ARMmbed/mbedtls,199,2575,13608,15192023,carlaageamundsen,0
ARMmbed/mbedtls,199,2575,13608,34487794,joholl,1
ARMmbed/mbedtls,199,2575,13608,6871045,yanesca,409
AdAway/AdAway,147,2379,2284,3620760,0-kaladin,129
ElementsProject/lightning,175,1724,8395,3152756,SimonVrouwe,39
ElementsProject/lightning,175,1724,8395,120117,cdecker,1709
ElementsProject/lightning,175,1724,8395,775844,rustyrussell,4673
ElementsProject/lightning,175,1724,8395,45598,jb55,50
Entware/Entware-ng,98,1132,528,1623091,ryzhovau,239
Entware/Entware-ng,98,1132,528,6533749,zyxmon,278
EricssonResearch/openwebrtc,183,1714,668,302146,superdump,118
EricssonResearch/openwebrtc,183,1714,668,3583824,trollfred,0
EricssonResearch/openwebrtc,183,1714,668,301846,sdroege,119
EricssonResearch/openwebrtc,183,1714,668,1180334,stefhak,42
Ettercap/ettercap,110,1542,3049,4201853,koeppea,526
Ettercap/ettercap,110,1542,3049,7235212,0x6773,0
FeralInteractive/gamemode,87,1908,568,58735918,afayaz-feral,13
FreeRADIUS/freeradius-server,115,1286,35663,2178645,alanbuxey,119
FreeRADIUS/freeradius-server,115,1286,35663,791758,arr2036,11407
FreeRADIUS/freeradius-server,115,1286,35663,17612,alandekok,13363
FreeRDP/FreeRDP,344,4585,14520,3237998,hardening,691
FreeRDP/FreeRDP,344,4585,14520,195793,bmiklautz,898
FreeRDP/FreeRDP,344,4585,14520,855369,azet,0
FreeRDP/FreeRDP,344,4585,14520,3977138,freerdp-bot,0
FreeRDP/FreeRDP,344,4585,14520,3472254,akallabeth,3367
KevinOConnor/klipper,230,2223,3250,3004890,KevinOConnor,2753
Legrandin/pycryptodome,51,1303,2465,29181648,coal0,0
Legrandin/pycryptodome,51,1303,2465,554612,Legrandin,1462
Legrandin/pycryptodome,51,1303,2465,29269770,Ahmed-Salama96,0
Legrandin/pycryptodome,51,1303,2465,5983372,Varbin,0
Legrandin/pycryptodome,51,1303,2465,14230710,lizhaode,0
Legrandin/pycryptodome,51,1303,2465,1009685,frispete,2
Legrandin/pycryptodome,51,1303,2465,16392960,AnitaSP,0
Legrandin/pycryptodome,51,1303,2465,16795224,ganguin,0
Legrandin/pycryptodome,51,1303,2465,11318756,texadactyl,0
Lora-net/LoRaMac-node,267,1218,1365,15831523,djaeckle,441
Netflix/dynomite,547,3505,1584,12148455,shailesh33,424
Netflix/dynomite,547,3505,1584,833560,akbarahmed,54
Netflix/dynomite,547,3505,1584,4562887,ipapapa,273
Netflix/dynomite,547,3505,1584,517093,jokecamp,0
Netflix/dynomite,547,3505,1584,787766,thias,0
Netflix/dynomite,547,3505,1584,8893250,smukil,110
OISF/suricata,154,1634,11433,719366,inliniac,0
OISF/suricata,154,1634,11433,75630,thus,242
OISF/suricata,154,1634,11433,44978420,e-urban,1
OISF/suricata,154,1634,11433,32410611,victorjulien,5921
OpenSC/OpenSC,136,1470,8251,3743372,philipWendland,39
OpenSC/OpenSC,136,1470,8251,865329,dengert,89
OpenSC/OpenSC,136,1470,8251,250674,viktorTarasov,387
OpenSC/OpenSC,136,1470,8251,1266577,frankmorgner,774
OpenSC/OpenSC,136,1470,8251,10865087,hhonkanen,49
OpenSC/OpenSC,136,1470,8251,2694489,Jakuje,432
OpenSC/OpenSC,136,1470,8251,19602650,mor-anshuman,0
OpenSC/OpenSC,136,1470,8251,2071184,CardContact,1
OpenSC/OpenSC,136,1470,8251,46006,martinpaljak,87
OpenSC/OpenSC,136,1470,8251,5923577,mouse07410,7
OpenSC/OpenSC,136,1470,8251,2601727,l1k,5
OpenSC/OpenSC,136,1470,8251,14269094,popovec,9
OpenSC/OpenSC,136,1470,8251,42075,yoe,1
OpenSC/OpenSC,136,1470,8251,1986927,loblik,0
OpenSC/OpenSC,136,1470,8251,1119693,fbezdeka,1
OpenSC/OpenSC,136,1470,8251,264358,bigon,3
OpenSC/OpenSC,136,1470,8251,9434795,amaccuish,0
