repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ARMmbed/mbed-os,325,3412,30764,14747535,ciarmcom,0
ARMmbed/mbed-os,325,3412,30764,107253,bulislaw,188
ARMmbed/mbed-os,325,3412,30764,19887319,mbed-ci,0
ARMmbed/mbed-os,325,3412,30764,2963726,0xc0170,4677
ARMmbed/mbed-os,325,3412,30764,496002,sg-,900
ARMmbed/mbed-os,325,3412,30764,409941,pan-,925
ARMmbed/mbed-os,325,3412,30764,260086,cmonr,1693
ARMmbed/mbed-os,325,3412,30764,15180606,NirSonnenschein,0
ARMmbed/mbed-os,325,3412,30764,1075160,geky,548
ARMmbed/mbedtls,199,2575,13608,22030476,RonEld,294
ARMmbed/mbedtls,199,2575,13608,14747535,ciarmcom,0
ARMmbed/mbedtls,199,2575,13608,26596258,gilles-peskine-arm,2340
ARMmbed/mbedtls,199,2575,13608,8195775,sbutcher-arm,729
ARMmbed/mbedtls,199,2575,13608,410816,Patater,813
ARMmbed/mbedtls,199,2575,13608,26892988,hanno-arm,1557
ARMmbed/mbedtls,199,2575,13608,6871045,yanesca,409
ARMmbed/mbedtls,199,2575,13608,19887319,mbed-ci,0
ARMmbed/mbedtls,199,2575,13608,450800,sthagen,0
ARMmbed/mbedtls,199,2575,13608,716593,kwantam,0
ARMmbed/mbedtls,199,2575,13608,3842049,bmurray7,53
ARMmbed/mbedtls,199,2575,13608,773068,carnil,0
Atmosphere-NX/Atmosphere,436,4854,2551,8676005,SciresM,1894
Atmosphere-NX/Atmosphere,436,4854,2551,20464880,skalfate,0
Atmosphere-NX/Atmosphere,436,4854,2551,7903403,shchmue,0
Atmosphere-NX/Atmosphere,436,4854,2551,20881398,friedkeenan,1
Atmosphere-NX/Atmosphere,436,4854,2551,10835354,WerWolv,0
CTCaer/hekate,170,2026,742,3665130,CTCaer,689
CTCaer/hekate,170,2026,742,11953665,fennectech,0
Cyan4973/xxHash,152,4448,1125,750081,Cyan4973,863
Cyan4973/xxHash,152,4448,1125,564235,wuxb45,1
Cyan4973/xxHash,152,4448,1125,371194,gl-sergei,0
Cyan4973/xxHash,152,4448,1125,621738,lilianmoraru,0
Cyan4973/xxHash,152,4448,1125,898396,t-mat,28
Cyan4973/xxHash,152,4448,1125,27943903,arashams,0
Cyan4973/xxHash,152,4448,1125,6258309,easyaspi314,125
Cyan4973/xxHash,152,4448,1125,1198447,scottcarey,0
Cyan4973/xxHash,152,4448,1125,46378166,Alain2019,0
Cyan4973/xxHash,152,4448,1125,29430014,ranbenbasat,0
Cyan4973/xxHash,152,4448,1125,19559248,OverclockedSanic,0
Cyan4973/xxHash,152,4448,1125,3824869,ytrezq,0
Cyan4973/xxHash,152,4448,1125,238700,sesse,0
DhavalKapil/icmptunnel,101,2606,62,6170016,DhavalKapil,42
DynamoRIO/dynamorio,95,1435,4974,6509618,derekbruening,3292
DynamoRIO/dynamorio,95,1435,4974,25035562,AssadHashmi,7
ElementsProject/lightning,175,1724,8395,120117,cdecker,1709
ElementsProject/lightning,175,1724,8395,775844,rustyrussell,4673
ElementsProject/lightning,175,1724,8395,1097769,niftynei,408
ElementsProject/lightning,175,1724,8395,28175207,ZmnSCPxj,300
ElementsProject/lightning,175,1724,8395,22457751,darosior,274
ElementsProject/lightning,175,1724,8395,107096,devrandom,0
Entware/Entware-ng,98,1132,528,1623091,ryzhovau,239
Entware/Entware-ng,98,1132,528,6533749,zyxmon,278
EtchedPixels/FUZIX,129,1188,7593,6851709,EtchedPixels,666
Ettercap/ettercap,110,1542,3049,4201853,koeppea,526
Ettercap/ettercap,110,1542,3049,8343121,sgeto,17
Ettercap/ettercap,110,1542,3049,2507238,gdrocell,0
Ettercap/ettercap,110,1542,3049,79528,kholia,22
FFmpeg/FFmpeg,1214,20917,98901,1538624,TimothyGu,335
FRRouting/frr,169,1475,20761,19297776,NetDEF-CI,0
FreeRADIUS/freeradius-server,115,1286,35663,791758,arr2036,11407
FreeRADIUS/freeradius-server,115,1286,35663,17612,alandekok,13363
FreeRADIUS/freeradius-server,115,1286,35663,1319836,mcnewton,387
FreeRADIUS/freeradius-server,115,1286,35663,278097,merk,0
FreeRADIUS/freeradius-server,115,1286,35663,914030,cipherboy,7
FreeRADIUS/freeradius-server,115,1286,35663,16961803,mekatum,0
FreeRDP/FreeRDP,344,4585,14520,3977138,freerdp-bot,0
