repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
504ensicsLabs/LiME,73,1022,77,594165,jtsylve,32
ARM-software/CMSIS_5,176,1396,2482,362732,ilg-ul,2
ARM-software/arm-trusted-firmware,259,1049,7778,19822500,davidcunado-arm,437
ARM-software/arm-trusted-firmware,259,1049,7778,5684642,danh-arm,638
ARM-software/arm-trusted-firmware,259,1049,7778,17406011,ssg-bot,0
ARM-software/arm-trusted-firmware,259,1049,7778,10137,ghost,0
ARM-software/arm-trusted-firmware,259,1049,7778,20659864,jeenu-arm,0
ARM-software/arm-trusted-firmware,259,1049,7778,3967646,sorenb-xlnx,43
ARM-software/arm-trusted-firmware,259,1049,7778,534660,hzhuang1,70
ARM-software/arm-trusted-firmware,259,1049,7778,10936277,petegriffin,1
ARMmbed/mbed-os,325,3412,30764,14747535,ciarmcom,0
ARMmbed/mbed-os,325,3412,30764,107253,bulislaw,188
ARMmbed/mbed-os,325,3412,30764,19887319,mbed-ci,0
ARMmbed/mbed-os,325,3412,30764,2963726,0xc0170,4677
ARMmbed/mbed-os,325,3412,30764,496002,sg-,900
ARMmbed/mbed-os,325,3412,30764,409941,pan-,925
ARMmbed/mbed-os,325,3412,30764,11191917,adbridge,471
ARMmbed/mbed-os,325,3412,30764,22030476,RonEld,83
ARMmbed/mbed-os,325,3412,30764,6726745,RobMeades,19
ARMmbed/mbed-os,325,3412,30764,12690234,mbed-bot,0
ARMmbed/mbed-os,325,3412,30764,260086,cmonr,1693
ARMmbed/mbed-os,325,3412,30764,26596258,gilles-peskine-arm,0
ARMmbed/mbed-os,325,3412,30764,8195775,sbutcher-arm,12
ARMmbed/mbed-os,325,3412,30764,410816,Patater,130
ARMmbed/mbed-os,325,3412,30764,25738273,Archcady,100
ARMmbed/mbed-os,325,3412,30764,1060664,adamgreen,55
ARMmbed/mbed-os,325,3412,30764,6871045,yanesca,4
ARMmbed/mbed-os,325,3412,30764,14051363,adustm,268
ARMmbed/mbed-os,325,3412,30764,24318071,loverdeg,0
ARMmbed/mbed-os,325,3412,30764,22920632,amitchone,1
