repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ARM-software/arm-trusted-firmware,259,1049,7778,5684642,danh-arm,638
ARMmbed/mbed-os,325,3412,30764,14747535,ciarmcom,0
ARMmbed/mbedtls,199,2575,13608,22030476,RonEld,294
ARMmbed/mbedtls,199,2575,13608,14747535,ciarmcom,0
ARMmbed/mbedtls,199,2575,13608,26596258,gilles-peskine-arm,2340
ARMmbed/mbedtls,199,2575,13608,1226825,jcowgill,7
ARMmbed/mbedtls,199,2575,13608,60640,mpg,3522
ARMmbed/mbedtls,199,2575,13608,1267780,pjbakker,95
ARMmbed/mbedtls,199,2575,13608,8195775,sbutcher-arm,729
ARMmbed/mbedtls,199,2575,13608,410816,Patater,813
ARMmbed/mbedtls,199,2575,13608,6871045,yanesca,409
ARMmbed/mbedtls,199,2575,13608,1611833,rainierwolfcastle,0
ARMmbed/mbedtls,199,2575,13608,363415,NWilson,20
ARMmbed/mbedtls,199,2575,13608,45053604,jack-fortanix,12
ARMmbed/mbedtls,199,2575,13608,1295048,FarhanAhmad,0
ARMmbed/mbedtls,199,2575,13608,18736637,PravallikaKG,0
ARMmbed/mbedtls,199,2575,13608,14253034,martinius96,0
ARMmbed/mbedtls,199,2575,13608,45248126,Carmeloning,0
ARMmbed/mbedtls,199,2575,13608,1000201,billybednar,0
ARMmbed/mbedtls,199,2575,13608,20897762,mikapak,0
ARMmbed/mbedtls,199,2575,13608,36489577,recvfrom,0
ARMmbed/mbedtls,199,2575,13608,4371528,sg0993,0
ARMmbed/mbedtls,199,2575,13608,50636,wolfeidau,0
AdAway/AdAway,147,2379,2284,3620760,0-kaladin,129
AdAway/AdAway,147,2379,2284,321888,dschuermann,1
AppImage/AppImageKit,178,5836,1628,2480569,probonopd,577
AppImage/AppImageKit,178,5836,1628,11011881,shoogle,0
AppImage/AppImageKit,178,5836,1628,4503202,TheAssassin,776
AppImage/AppImageKit,178,5836,1628,43502441,RalphPfeiffer,0
AppImage/AppImageKit,178,5836,1628,26665,zot,0
DynamoRIO/dynamorio,95,1435,4974,6509618,derekbruening,3292
EasyHook/EasyHook,155,1916,83,933730,spazzarama,74
EasyHook/EasyHook,155,1916,83,17507867,fmiceli24,0
ElementsProject/lightning,175,1724,8395,120117,cdecker,1709
Entware/Entware-ng,98,1132,528,1623091,ryzhovau,239
Entware/Entware-ng,98,1132,528,6742180,IanNorris,0
Ettercap/ettercap,110,1542,3049,4201853,koeppea,526
FeralInteractive/gamemode,87,1908,568,1228218,mdiluz,221
FeralInteractive/gamemode,87,1908,568,11407922,kevinsmia1939,0
FeralInteractive/gamemode,87,1908,568,15175043,Dragon20C,0
FreeRADIUS/freeradius-server,115,1286,35663,791758,arr2036,11407
FreeRADIUS/freeradius-server,115,1286,35663,17612,alandekok,13363
FreeRDP/FreeRDP,344,4585,14520,3237998,hardening,691
FreeRDP/FreeRDP,344,4585,14520,195793,bmiklautz,898
FreeRDP/FreeRDP,344,4585,14520,3977138,freerdp-bot,0
FreeRDP/FreeRDP,344,4585,14520,3472254,akallabeth,3367
FreeRDP/FreeRDP,344,4585,14520,1256587,ilammy,46
FreeRDP/FreeRDP,344,4585,14520,295841,awakecoding,4548
FreeRDP/FreeRDP,344,4585,14520,2544867,agowa338,0
FreeRDP/FreeRDP,344,4585,14520,30553910,adityasood11,0
FreeRDP/FreeRDP,344,4585,14520,791692,informatimago,15
FreeRDP/FreeRDP,344,4585,14520,4179112,MartinHaimberger,131
Genymobile/scrcpy,811,36449,972,543275,rom1v,873
Genymobile/scrcpy,811,36449,972,39767844,cvanstone,0
Genymobile/scrcpy,811,36449,972,52223435,stilljack,0
