user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
2307945,gentilkiwi,2012-09-08T19:48:50Z,1,268,272,4,6,546.5098039215686
729648,cloudwu,2011-04-14T15:57:13Z,2,1747,2116,2,6,400.69817265280403
65632,antirez,2009-03-21T22:29:53Z,1,7037,9597,6,32,377.80704907783684
2084112,jp9000,2012-08-02T14:32:40Z,1,5028,8586,1,2,370.98043326345214
124872,jedisct1,2009-09-09T10:20:57Z,1,3627,3901,2,2,364.4665470392207
56241,agentzh,2009-02-20T11:46:31Z,2,4343,5114,15,44,343.6516292174778
94529,wg,2009-06-12T00:04:53Z,1,76,76,4,9,334.22222222222223
543275,rom1v,2011-01-01T11:57:54Z,1,873,972,4,10,291.35925925925926
6031938,begeekmyfriend,2013-11-25T14:53:37Z,1,343,387,1,1,229.5529715762274
917142,radare,2011-07-15T08:12:25Z,1,12071,24598,1,1,229.17135539474754
275871,bnoordhuis,2010-05-13T20:10:19Z,1,1371,4705,1,1,208.34537725823594
524990,edenhill,2010-12-15T22:07:50Z,2,3205,3858,19,32,184.4764936495594
41567,kazuho,2008-12-19T12:47:03Z,1,5177,7970,12,19,171.48406524466748
3684796,lminiero,2013-02-24T10:49:40Z,1,3097,4662,3,4,167.40540540540542
1269164,Steveice10,2011-12-17T04:06:05Z,1,485,517,2,2,164.16827852998065
1174709,akopytov,2011-11-05T17:32:32Z,1,1169,1288,2,2,163.36956521739128
7396244,vanhauser-thc,2014-04-24T14:44:32Z,1,404,690,7,7,160.42898550724638
177011,bagder,2010-01-05T21:58:22Z,1,14919,26126,72,185,156.6811232881814
5005367,allinurl,2013-07-14T03:33:48Z,1,2810,3191,5,8,156.30680037605765
5763295,mluis1,2013-10-24T07:32:48Z,1,795,1365,1,1,155.5054945054945
148917,behlendorf,2009-11-04T18:19:16Z,1,1957,6195,1,1,148.15706214689266
729390,michaelni,2011-04-14T13:57:59Z,1,23582,98901,1,2,144.7333596222485
201635,obiltschnig,2010-02-11T08:15:40Z,1,1883,4611,4,5,144.07338972023422
1295229,gdamore,2011-12-30T16:06:22Z,2,1525,3053,4,8,143.6087454962332
5766837,raysan5,2013-10-24T15:41:54Z,1,3275,4229,1,1,143.26672972333884
134307,ahojnnes,2009-10-02T18:22:47Z,1,1265,1365,1,1,141.7912087912088
10434361,jsteube,2015-01-07T11:50:47Z,1,5311,6999,5,11,140.0372780527088
835728,bbcallen,2011-06-07T18:14:41Z,1,2062,2584,1,7,139.07784166298097
689211,jacek-marchwicki,2011-03-24T21:53:29Z,1,187,197,1,1,133.84263959390864
349696,manjuraj,2010-07-30T22:20:22Z,1,181,495,3,7,133.36017316017316
1525381,cuber,2012-03-11T10:50:19Z,1,63,70,2,3,133.2
427321,awick,2010-10-05T00:55:11Z,1,2486,3801,6,11,130.5698500394633
1431672,mridgers,2012-02-12T21:45:15Z,1,2020,2045,1,1,130.38630806845964
696656,gafferongames,2011-03-29T06:43:28Z,1,1224,1314,3,3,127.61643835616438
5745,slact,2008-04-08T02:54:01Z,1,3436,3498,2,2,126.71355060034304
66832,dormando,2009-03-25T03:32:54Z,1,660,1697,3,7,123.17703510396497
7487321,peterpt,2014-05-05T10:27:55Z,1,293,736,9,13,120.71551003344482
613451,blp,2011-02-11T20:32:51Z,1,6138,18259,1,1,119.67402376910017
245621,hishamhm,2010-04-16T17:11:31Z,1,829,1077,1,1,114.68987929433612
4777488,erankor,2013-06-22T19:35:35Z,1,1148,1296,1,1,109.8395061728395
153753,yaoweibin,2009-11-16T03:41:08Z,1,161,198,2,2,109.77272727272727
601816,cpq,2011-02-05T11:30:08Z,1,1661,2967,4,10,107.93420963936636
59477474,ventoy,2020-01-03T13:39:40Z,1,118,142,3,5,107.19718309859155
3275997,pymumu,2013-01-15T14:30:52Z,1,346,354,1,1,105.55932203389831
77272,charris,2009-04-24T04:37:21Z,1,4569,23805,1,1,104.98815374921234
5965536,aquynh,2013-11-18T05:03:12Z,1,2922,4123,1,2,104.5343196701431
1206968,pbatard,2011-11-19T18:50:38Z,1,1206,1696,6,19,103.06988579940416
750081,Cyan4973,2011-04-25T10:46:52Z,1,4045,7884,1,2,101.07369355657026
754445,gfwilliams,2011-04-27T11:16:54Z,1,4917,6706,1,1,96.78556516552341
79578,ralight,2009-04-30T14:06:58Z,1,1780,1995,18,43,94.11995104039168
127790,dscho,2009-09-16T16:04:04Z,1,516,1245,1,1,93.66746987951807
2662304,ktsaou,2012-10-27T07:09:49Z,1,5347,11157,11,77,93.31695668318416
6187689,dpgeorge,2013-12-15T00:16:16Z,1,6051,11635,6,25,93.23792694456381
933730,spazzarama,2011-07-23T04:52:01Z,1,74,83,2,3,92.1285140562249
70927,akheron,2009-04-06T09:50:18Z,1,711,1006,1,1,91.87872763419485
5959286,jarun,2013-11-17T05:30:04Z,1,2434,2974,1,1,91.66375252185608
15154525,lws-team,2015-10-16T08:13:29Z,1,1993,3709,37,49,91.29324148100869
30760636,ssrlive,2017-08-05T23:12:28Z,1,270,270,3,3,88.0
4318452,t3chn0m4g3,2013-05-02T06:05:26Z,1,1088,1305,9,11,83.90219435736678
4698669,idrassi,2013-06-14T14:27:42Z,1,1597,1726,2,4,83.73609501738123
623062,chobits,2011-02-17T11:03:15Z,1,306,1497,3,7,79.98225021471514
1101448,nesbox,2011-10-04T10:41:47Z,1,1057,1290,1,1,79.47984496124032
7548711,cardigliano,2014-05-11T12:32:25Z,1,2296,2757,1,1,77.449401523395
1195107,mossmann,2011-11-14T23:59:47Z,1,1046,2310,1,3,76.82741702741703
3816189,irtimmer,2013-03-09T09:57:53Z,1,428,545,1,1,74.60550458715596
3826044,spacehuhn,2013-03-10T20:23:34Z,1,105,668,1,1,74.5059880239521
1236368,arut,2011-12-02T15:37:19Z,1,923,955,1,9,73.13123909249563
5394955,s0lst1c3,2013-09-05T21:31:48Z,1,223,235,2,2,72.11914893617022
5619191,bel2125,2013-10-05T19:02:07Z,1,2926,4995,10,10,70.29429429429429
182937,plusvic,2010-01-15T13:25:33Z,1,1845,2565,1,3,69.53216374269005
7222768,z3APA3A,2014-04-08T08:47:53Z,1,530,537,7,10,69.08752327746741
1310872,ddevault,2012-01-07T04:09:03Z,2,2936,10662,2,3,67.00681548177326
3421732,nkolban,2013-01-29T22:49:01Z,1,323,618,1,1,64.80906148867314
87268,bradking,2009-05-21T17:55:31Z,1,21136,49611,1,1,64.75725141601662
4311419,Liryna,2013-05-01T11:59:32Z,1,828,1329,3,6,64.48306997742664
305718,sustrik,2010-06-15T11:47:06Z,1,1183,1315,1,1,63.87300380228137
142960,piem,2009-10-22T02:38:56Z,1,3576,4109,1,1,63.530786079338036
6509618,derekbruening,2014-01-26T22:55:34Z,1,3292,4974,3,3,62.874949738640936
627917,madeye,2011-02-20T05:08:06Z,1,66,130,1,1,62.44615384615384
4560438,ibarwick,2013-05-29T14:15:30Z,1,1672,1731,1,2,61.33564413633737
948029,chamnit,2011-07-30T04:13:23Z,1,325,637,1,5,60.30612244897959
1374472,yatsukhnenko,2012-01-24T10:48:30Z,1,604,2485,1,2,59.91388329979879
5975,antenore,2008-04-09T07:22:23Z,1,2765,6122,1,1,59.16612218229337
612270,basil00,2011-02-11T06:12:07Z,1,267,272,9,15,58.89705882352941
170281,djmdjm,2009-12-21T00:10:55Z,1,5441,10649,1,1,56.203399380223495
7418842,osqzss,2014-04-27T08:04:48Z,1,117,176,1,2,54.51136363636363
262958,juhovh,2010-05-03T09:15:11Z,1,148,158,1,1,53.392405063291136
3412526,xiaokai-wang,2013-01-29T03:17:23Z,1,143,195,1,2,52.43333333333333
1680515,tsl0922,2012-04-26T02:30:50Z,1,352,473,2,3,51.596899224806194
430798,azat,2010-10-07T10:44:24Z,1,802,4468,3,5,51.26481647269471
3054729,ValdikSS,2012-12-16T09:09:59Z,2,99,250,3,11,50.436
749226,droe,2011-04-24T20:27:04Z,1,742,885,9,15,49.802033898305076
31687149,coolsnowwolf,2017-09-06T07:36:53Z,1,2166,2863,1,9,49.68005588543486
4983423,yrutschle,2013-07-10T17:07:43Z,1,250,386,4,5,49.22279792746114
2226611,irungentoo,2012-08-27T10:16:14Z,1,2183,3771,3,21,48.95768458536954
369718,edsiper,2010-08-19T14:24:00Z,1,4186,5516,8,11,48.568527918781726
23146169,Lienol,2016-10-30T04:26:37Z,1,275,374,1,1,47.794117647058826
25357353,shadow-1,2017-01-26T00:42:28Z,1,33,34,3,11,47.647058823529406
1815,stephane,2008-02-29T20:43:41Z,1,664,766,1,4,45.0757180156658
