repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ARMmbed/mbed-os,323.0,3421.0,30804.0,33840200.0,paul-szczepanek-arm,856.0
ARMmbed/mbed-os,323.0,3421.0,30804.0,4178389.0,amq,35.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,26892988.0,hanno-arm,1557.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,3746901.0,andresag01,6.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,16042701.0,JayaraghavendranK,0.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,22030476.0,RonEld,294.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,8195775.0,sbutcher-arm,729.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,1132307.0,jethrogb,0.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,62069445.0,paul-elliott-arm,7.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,1097148.0,icefrog,0.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,10801249.0,eliteraspberries,10.0
ARMmbed/mbedtls,201.0,2581.0,13683.0,3345061.0,leitec,0.0
AppImage/AppImageKit,179.0,5839.0,1628.0,4503202.0,TheAssassin,776.0
Boscop/web-view,33.0,1290.0,210.0,378622.0,green-s,9.0
DynamoRIO/drmemory,119.0,1565.0,2486.0,6509618.0,derekbruening,1940.0
DynamoRIO/drmemory,119.0,1565.0,2486.0,1645580.0,zhaoqin,238.0
DynamoRIO/dynamorio,95.0,1438.0,4978.0,43382901.0,hgreving2304,182.0
DynamoRIO/dynamorio,95.0,1438.0,4978.0,6509618.0,derekbruening,3295.0
DynamoRIO/dynamorio,95.0,1438.0,4978.0,570095.0,Carrotman42,27.0
DynamoRIO/dynamorio,95.0,1438.0,4978.0,7396244.0,vanhauser-thc,0.0
ElementsProject/lightning,174.0,1728.0,8441.0,120117.0,cdecker,1720.0
ElementsProject/lightning,174.0,1728.0,8441.0,775844.0,rustyrussell,4703.0
ElementsProject/lightning,174.0,1728.0,8441.0,7826565.0,practicalswift,153.0
Entware/Entware-ng,99.0,1132.0,528.0,5819480.0,Karnith,0.0
EyalAr/lwip,61.0,2262.0,289.0,1146412.0,EyalAr,241.0
FRRouting/frr,168.0,1482.0,20816.0,205063.0,rzalamena,566.0
FRRouting/frr,168.0,1482.0,20816.0,1490788.0,mwinter-osr,389.0
FRRouting/frr,168.0,1482.0,20816.0,29517169.0,RootUp,0.0
FeralInteractive/gamemode,87.0,1919.0,569.0,17684.0,kakra,41.0
FreeRADIUS/freeradius-server,116.0,1291.0,35700.0,2082536.0,alejandro-perez,7.0
FreeRADIUS/freeradius-server,116.0,1291.0,35700.0,254448.0,jpereira,721.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,195793.0,bmiklautz,898.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,3472254.0,akallabeth,3370.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,12591752.0,hendwolt,2.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,56855299.0,hac425xxx,0.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,610304.0,llyzs,39.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,791692.0,informatimago,15.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,3237998.0,hardening,691.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,2134112.0,Ghost99,0.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,40351335.0,pnowack,1.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,11874580.0,roukydesbois,0.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,487050.0,shlevy,55.0
FreeRDP/FreeRDP,342.0,4601.0,14527.0,8046158.0,ganeshjkale,0.0
Genymobile/scrcpy,819.0,36771.0,972.0,5494432.0,npes87184,27.0
ImageMagick/ImageMagick,176.0,4288.0,17578.0,1484292.0,jgj212,20.0
ImageMagick/ImageMagick,176.0,4288.0,17578.0,929715.0,henices,1.0
ImageMagick/ImageMagick,176.0,4288.0,17578.0,5211744.0,bestshow,0.0
ImageMagick/ImageMagick,176.0,4288.0,17578.0,25733418.0,birdg0,0.0
Meituan-Dianping/DBProxy,208.0,2025.0,146.0,25026905.0,jixianliang,48.0
OISF/suricata,154.0,1642.0,11463.0,75630.0,thus,242.0
OISF/suricata,154.0,1642.0,11463.0,308616.0,regit,1378.0
OISF/suricata,154.0,1642.0,11463.0,35799796.0,catenacyber,141.0
OISF/suricata,154.0,1642.0,11463.0,644115.0,jasonish,746.0
OISF/suricata,154.0,1642.0,11463.0,101933.0,glongo,59.0
OISF/suricata,154.0,1642.0,11463.0,45717383.0,jlucovsky,241.0
OISF/suricata,154.0,1642.0,11463.0,250673.0,norg,66.0
OpenKinect/libfreenect,224.0,3086.0,717.0,425560.0,dvolgyes,0.0
OpenSC/OpenSC,136.0,1473.0,8260.0,1266577.0,frankmorgner,774.0
OpenSC/OpenSC,136.0,1473.0,8260.0,3947299.0,germanblanco,14.0
OpenSC/OpenSC,136.0,1473.0,8260.0,20627117.0,sgayou,0.0
OpenSC/OpenSC,136.0,1473.0,8260.0,29517169.0,RootUp,0.0
OpenSC/OpenSC,136.0,1473.0,8260.0,6815655.0,ASPj,0.0
OpenVisualCloud/SVT-AV1,77.0,1123.0,1990.0,6667546.0,xuguangxin,58.0
OpenVisualCloud/SVT-AV1,77.0,1123.0,1990.0,4695527.0,luigi311,6.0
RIOT-OS/RIOT,265.0,3469.0,31419.0,5160052.0,bergzand,727.0
RIOT-OS/RIOT,265.0,3469.0,31419.0,739129.0,cgundogan,877.0
RT-Thread/rt-thread,511.0,4700.0,9901.0,36101.0,grissiom,306.0
SanderMertens/flecs,47.0,1295.0,1428.0,13607441.0,Maykeye,0.0
SoftEtherVPN/SoftEtherVPN,646.0,7278.0,1283.0,5897523.0,davidebeatrici,106.0
SoftEtherVPN/SoftEtherVPN,646.0,7278.0,1283.0,7937718.0,Dwebtron,0.0
SoftEtherVPN/SoftEtherVPN,646.0,7278.0,1283.0,14833904.0,fefewolf,0.0
SuperHouse/esp-open-rtos,133.0,1277.0,958.0,205573.0,projectgus,349.0
ThrowTheSwitch/Unity,146.0,1666.0,1075.0,16673187.0,drbartling,0.0
VirusTotal/yara,290.0,3880.0,2567.0,182937.0,plusvic,1846.0
VirusTotal/yara,290.0,3880.0,2567.0,6515725.0,CaldurG,3.0
VirusTotal/yara,290.0,3880.0,2567.0,445054.0,pozdnychev,5.0
VirusTotal/yara,290.0,3880.0,2567.0,213059.0,cblichmann,10.0
VirusTotal/yara,290.0,3880.0,2567.0,1035583.0,metthal,10.0
abrasive/shairport,135.0,2347.0,476.0,545502.0,davidmurray,0.0
acassen/keepalived,162.0,2307.0,5112.0,48020967.0,HW-lj,8.0
acassen/keepalived,162.0,2307.0,5112.0,15689733.0,pqarmitage,4004.0
acassen/keepalived,162.0,2307.0,5112.0,1588149.0,rohara,33.0
acassen/keepalived,162.0,2307.0,5112.0,5836803.0,azryve,2.0
aircrack-ng/aircrack-ng,125.0,1771.0,3722.0,4042925.0,aircrack-ng,23.0
allinurl/goaccess,284.0,12034.0,3196.0,5005367.0,allinurl,2812.0
apache/guacamole-server,116.0,1444.0,3288.0,4706000.0,necouchman,301.0
apache/guacamole-server,116.0,1444.0,3288.0,10353316.0,sanhex,3.0
apple/cups,96.0,1050.0,2463.0,488103.0,michaelrsweet,937.0
apple/swift-corelibs-foundation,265.0,3978.0,6062.0,63311.0,compnerd,676.0
apple/swift-corelibs-foundation,265.0,3978.0,6062.0,1786033.0,johnno1962,34.0
apple/swift-corelibs-foundation,265.0,3978.0,6062.0,4682516.0,mark1smi,1.0
arnaud-lb/php-rdkafka,78.0,1394.0,399.0,15966615.0,fighthorse,0.0
astropy/astropy,155.0,2498.0,29068.0,14200878.0,MSeifert04,362.0
attractivechaos/klib,201.0,3041.0,375.0,797368.0,timothy-king,0.0
attractivechaos/klib,201.0,3041.0,375.0,3660033.0,piki,1.0
awslabs/s2n,185.0,3791.0,3363.0,379703.0,xonatius,86.0
awslabs/s2n,185.0,3791.0,3363.0,22861302.0,lrstewart,79.0
awslabs/s2n,185.0,3791.0,3363.0,118789.0,rday,76.0
awslabs/s2n,185.0,3791.0,3363.0,10620513.0,baldwinmatt,194.0
awslabs/s2n,185.0,3791.0,3363.0,1103832.0,lomew,0.0
awslabs/s2n,185.0,3791.0,3363.0,2013707.0,RalphCorderoy,0.0
axboe/fio,147.0,2415.0,7006.0,9316527.0,ColinIanKing,1.0
baskerville/bspwm,141.0,4066.0,1453.0,310393.0,Stebalien,21.0
betaflight/betaflight,394.0,3889.0,16213.0,32913423.0,KoDaKrom,0.0
bumptech/stud,72.0,1416.0,196.0,913544.0,EmericBr,0.0
bumptech/stud,72.0,1416.0,196.0,39716.0,perusio,0.0
cesanta/mongoose,484.0,6533.0,2969.0,15155239.0,rantoniello,0.0
cesanta/mongoose,484.0,6533.0,2969.0,1626684.0,nthparameter,0.0
cesanta/mongoose,484.0,6533.0,2969.0,10076028.0,RobertDiPaolo,0.0
checkpoint-restore/criu,70.0,1193.0,10247.0,8302449.0,0x7f454c46,469.0
citusdata/citus,186.0,4306.0,3898.0,7829470.0,onderkalaci,490.0
citusdata/citus,186.0,4306.0,3898.0,159546.0,serprex,298.0
citusdata/citus,186.0,4306.0,3898.0,9413470.0,mtuncer,195.0
civetweb/civetweb,120.0,1543.0,4999.0,10509138.0,zlr3538,0.0
cleanflight/cleanflight,324.0,2253.0,16573.0,489642.0,nebbian,17.0
cleanflight/cleanflight,324.0,2253.0,16573.0,1668170.0,dave-pitman,23.0
cleanflight/cleanflight,324.0,2253.0,16573.0,11059099.0,digitalentity,36.0
cleanflight/cleanflight,324.0,2253.0,16573.0,57075.0,hydra,2550.0
cleanflight/cleanflight,324.0,2253.0,16573.0,619517.0,akomic,0.0
cleanflight/cleanflight,324.0,2253.0,16573.0,3822131.0,ethomas997,10.0
cleanflight/cleanflight,324.0,2253.0,16573.0,199018.0,NullVoxPopuli,0.0
cleanflight/cleanflight,324.0,2253.0,16573.0,13999040.0,ghostsharp,0.0
cloudwu/skynet,1289.0,9285.0,1908.0,1612266.0,hwangcc23,2.0
cmusphinx/pocketsphinx,166.0,2657.0,1526.0,6846644.0,guidovranken,1.0
collectd/collectd,138.0,2500.0,11605.0,116087.0,octo,4258.0
collectd/collectd,138.0,2500.0,11605.0,47338.0,rubenk,1391.0
collectd/collectd,138.0,2500.0,11605.0,138573.0,deric,0.0
