Language,Set,Category,Users,Median Expertise,Mean Expertise,Median Age,Mean Age
java,general,total,asker,0.01919450037934986,6.3552260269675065,22005.15,20522.22909723749
java,general,total,answer,0.14249168025073347,20.337799892897934,30131.4,31493.45081959263
java,security,total,asker,0.019704749679075737,2.559377927516499,34365.28,33039.74059590999
java,security,total,answer,0.1394740350359071,16.587800843684963,40759.095,41847.312306802414
java,security,Authentication,asker,0.1274005968450413,5.253774924201718,28792.23,28269.692577554742
java,security,Authentication,answer,1.5879451314277993,34.81129166555484,40127.645000000004,41245.27074898785
java,security,Cryptography,asker,0.24018662328370965,10.536004311787353,29160.504999999997,28159.34582822086
java,security,Cryptography,answer,4.569094880805395,44.278039969806706,37218.32,38803.03455874937
java,security,Development,asker,0.030725355654889014,3.2809000408574622,36561.205,35006.756380505256
java,security,Development,answer,0.17454910978308497,17.081996259727624,41378.850000000006,42258.3562667224
java,security,Network Security,asker,0.5345770836743311,8.518213482213248,39353.395000000004,38929.131512738844
java,security,Network Security,answer,4.1845917486825925,35.873976923505595,45300.09,46545.27127198917
java,security,Other,asker,7.25055850619607,35.986208182607626,2786.39,9682.603265306121
java,security,Other,answer,20.667897727272727,59.17005155607434,31146.96,33009.39810344828
java,security,Secure Coding,asker,3.5533813339851705,45.47209677734217,38742.14,38530.0127
java,security,Secure Coding,answer,44.05260809814667,132.47329411735805,35285.485,37341.76115384615
php,general,total,asker,0.003360804702875888,1.6582685873214855,18145.755,17919.6177829541
php,general,total,answer,0.008302452395498157,7.085375524372042,26796.7,28719.819211044094
php,security,total,asker,0.0030996062662310463,0.8656317173977021,28891.739999999998,29750.35856743227
php,security,total,answer,0.00898078529657477,5.998498281550145,37364.59,39119.89255062538
php,security,Authentication,asker,0.012670565302144249,2.161306835145348,25652.72,24788.51235007496
php,security,Authentication,answer,0.06104280546793145,11.934675520759608,36466.07,38306.65599329041
php,security,Cryptography,asker,0.051987767584097865,4.32636272528344,30148.22,31779.126297485283
php,security,Cryptography,answer,0.2181151205396525,14.22209327983721,37378.765,38600.14615529286
php,security,Development,asker,0.006936655056378771,1.3475802930534277,33959.665,35489.55110363924
php,security,Development,answer,0.03118562874251497,7.622776322646098,37910.655,39827.42455884426
php,security,Network Security,asker,0.030069576468377796,1.9033820050498111,27907.7,30968.623208104684
php,security,Network Security,answer,0.2532254353674076,14.238240321347961,39050.33500000001,40178.50492047204
php,security,Other,asker,0.227243603434283,10.529827977902295,12992.505000000001,10678.986036363634
php,security,Other,answer,1.6837202690331405,21.46616296986507,32423.66,34716.83163292847
javascript,general,total,asker,0.019032475667341238,6.8348938378087,27601.46,28890.542685014163
javascript,general,total,answer,0.03434258723899779,18.126453852597074,32622.46,33243.79581859525
javascript,security,total,asker,0.012704329419349712,2.5095495038150593,35712.520000000004,37150.045850985225
javascript,security,total,answer,0.08039576528002453,14.43125726847456,41028.68,41606.7177092833
javascript,security,Authentication,asker,0.03632355073678824,3.656948932560028,29462.379999999997,32392.790872284397
javascript,security,Authentication,answer,0.2887067395264117,22.83863336754526,39518.915,40095.56963908822
javascript,security,Cryptography,asker,0.2490925589836661,17.668832610781525,34145.6,35719.99426512969
javascript,security,Cryptography,answer,6.024515660815116,46.54685573231255,41400.104999999996,42137.64468539325
javascript,security,Development,asker,0.019533763644618146,3.0143536113473988,37707.11,38809.772684882686
javascript,security,Development,answer,0.14545396578985223,15.71269020426285,41041.865000000005,41573.11695026313
javascript,security,Network Security,asker,0.34013157894736845,11.513839544833544,35969.1,36596.67874428274
javascript,security,Network Security,answer,3.2382307967300408,39.96145353620773,43296.98,43579.97515998925
c#,general,total,asker,0.02370723131954887,4.642104477746694,22662.565000000002,25112.94874137641
c#,general,total,answer,0.13965255523697084,14.467697351274252,29183.43,30954.90302144597
c#,security,total,asker,0.035233398309883694,2.54808107896025,31245.18,33208.435098914044
c#,security,total,answer,0.12415374410010566,11.572262749785228,39055.185,39479.33312948077
c#,security,Authentication,asker,0.0814687320711417,3.3759873824241624,28678.89,30721.71943978531
c#,security,Authentication,answer,0.29192917912163713,14.163693189209969,39625.47,39383.57917540687
c#,security,Cryptography,asker,0.3689589162126344,8.083558357349126,34850.535,35970.399454113925
c#,security,Cryptography,answer,0.6197476609150779,24.842286695176323,39664.79,40424.254381156316
c#,security,Data Security,asker,1.2478557600411695,16.166520389920976,32861.94,35835.80915254237
c#,security,Data Security,answer,3.8237973671259837,25.903531434659563,39997.880000000005,41848.170369863015
c#,security,Development,asker,0.1047068087993298,4.358855840023537,33265.135,34910.524877081676
c#,security,Development,answer,0.6304864236361944,18.13429699762191,38939.83,39466.358246329524
c#,security,Network Security,asker,0.29343189395638714,7.825892869367915,27909.62,30235.177311688312
c#,security,Network Security,answer,1.3945909035194748,26.550272284246144,37433.26,38168.899352285
c#,security,Other,asker,0.44483568075117375,9.900692013564454,27773.285000000003,29851.113321428573
c#,security,Other,answer,2.9719574780058653,21.80219977092291,38965.5,40255.35690114069
c#,security,Secure Coding,asker,0.7545027709359606,11.662735278835763,28206.42,30949.71987447698
c#,security,Secure Coding,answer,9.059321343764822,52.987416399654414,38835.994999999995,39235.66835078534
python,general,total,asker,0.0016941032708690609,2.3412348388398967,27752.33,29319.148773996225
python,general,total,answer,0.005644551166080061,10.988115744984704,31553.36,32497.41455786647
python,security,total,asker,0.0022090356810017127,1.5943459577048746,36401.03,37739.0061426949
python,security,total,answer,0.010512208218556144,10.073814614918302,41477.244999999995,41849.56164454405
python,security,Authentication,asker,0.04594594594594595,3.771694839604962,30549.589999999997,33917.66478333333
python,security,Authentication,answer,0.7243639692460263,22.224503984985915,38771.37,39407.71569636136
python,security,Cryptography,asker,0.07058823529411765,6.255323236941162,40515.34,40764.710648148146
python,security,Cryptography,answer,0.8372093023255813,38.04246427319121,44307.78,44320.00130773511
python,security,Data Security,asker,0.03683777424137321,12.708728825570011,20659.6,25060.733427561838
python,security,Data Security,answer,13.11896462875815,41.11870922700256,27630.59,31183.41022727273
python,security,Development,asker,0.0030140553672572757,2.302379113917364,37977.065,39180.54501652683
python,security,Development,answer,0.018542554085099937,10.113628824642957,43310.92,43309.09541799362
python,security,Network Security,asker,0.03597864929903151,4.584028087960117,35245.44,36109.4200604534
python,security,Network Security,answer,0.10677666606183764,18.324934633816493,40487.8,40849.70226410051
python,security,Other,asker,0.005122132620584525,3.900696412130023,31821.14,33779.573737270875
python,security,Other,answer,0.25901985081412954,17.16830989413431,36051.85,38250.3777005827
bash,general,total,asker,0.028844327905265872,3.669808022197027,28030.06,29548.545366922233
bash,general,total,answer,0.18253968253968253,12.12620156852562,32205.33,33855.03049931093
bash,security,total,asker,0.022103148024112524,1.919580079705087,35634.95,37212.12268055773
bash,security,total,answer,0.12117004311914395,10.287406950464232,40047.895000000004,41480.14311461964
bash,security,Data Security,asker,0.2793547824673973,6.768631254027778,46446.285,46518.86183206107
bash,security,Data Security,answer,1.1748348974626348,20.278441442309028,48964.56,49449.30429069767
bash,security,Development,asker,0.03670411985018727,2.6884179015931604,37252.31,38365.360291454446
bash,security,Development,answer,0.2430939226519337,12.964248031544972,39001.27,40847.59189319521
bash,security,Network Security,asker,0.05813953488372092,3.166972247147306,31075.71,33361.68266666666
bash,security,Network Security,answer,1.9922658939267452,18.45151934637725,39842.59,40475.0370986343
c++,general,total,asker,0.00280541245402743,3.1098133340310308,26560.09,27821.84161409571
c++,general,total,answer,0.005402381639967124,15.590551154272573,31026.845,32407.024853948024
c++,security,total,asker,0.0034688865355219393,1.5312993379659043,36119.45,37539.44644776779
c++,security,total,answer,0.009653096840921492,11.335359292554777,40637.35,41730.146205283774
c++,security,Authentication,asker,0.018636003172085643,3.5118717225643326,33156.270000000004,35271.31095793901
c++,security,Authentication,answer,0.1365682099189449,26.393875286063608,40121.295,41654.30701132754
c++,security,Cryptography,asker,0.3350357507660879,14.29481622300611,35681.43,37496.16471009772
c++,security,Cryptography,answer,2.5746433518598617,62.82622313608559,39140.595,40746.72394451147
c++,security,Development,asker,0.006148352939533489,2.0573085083633855,37345.295,38568.27559441177
c++,security,Development,answer,0.016818778413851376,13.03374827454665,40648.59,41717.16670928286
c++,security,Network Security,asker,0.026900331746718596,4.272301236887736,32500.305,34690.62020842195
c++,security,Network Security,answer,0.14750581288625098,20.767283154331583,41541.64,42108.58092459225
c,general,total,asker,0.009468573875699696,3.2741934996307194,24522.714999999997,25630.37695530393
c,general,total,answer,0.0738614485245213,13.676292835962641,29068.92,30780.741022640057
c,security,total,asker,0.0104419947211974,2.0502392939746628,33598.275,35458.0831384817
c,security,total,answer,0.08230070995994741,11.057328010261205,41275.1,42537.602406431935
c,security,Authentication,asker,0.05575895226805755,5.407479747414553,29718.05,31904.45305084746
c,security,Authentication,answer,1.3871429568853841,24.561475087934976,41009.78,41593.805676712334
c,security,Cryptography,asker,0.0764132655263256,5.379786751185943,31690.5,34513.440550868494
c,security,Cryptography,answer,1.4623691696923458,21.434930191086195,43048.16,43546.64929257978
c,security,Data Security,asker,0.16803023321145588,7.273477299575882,32088.98,34670.258150614754
c,security,Data Security,answer,0.5714991319676895,17.54242149509686,38830.68,40183.671688097595
c,security,Development,asker,0.02207305273343009,2.9791651536454973,35614.740000000005,37010.87026005297
c,security,Development,answer,0.2343784952601657,14.27197721017786,41549.520000000004,42941.074366686524
c,security,Network Security,asker,0.05351141749246014,5.036117884587941,30724.275,33645.142097197895
c,security,Network Security,answer,1.0293222346884079,21.580808831893563,42545.71,43103.071918229325
c,security,Secure Coding,asker,0.3705634151585966,7.812418549237149,33481.23,34699.94781014024
c,security,Secure Coding,answer,4.010044972115464,32.73879513043771,41062.54,42926.99621495328
ruby,general,total,asker,0.0031659882406151058,0.987805650904084,24508.735,26263.1792356907
ruby,general,total,answer,0.02089406179953181,4.1400965921880335,30291.74,30927.490305626303
ruby,security,total,asker,0.003227038796782279,0.8599859212708937,33754.86,36419.34877461104
ruby,security,total,answer,0.021928960482095264,3.427821941357902,39778.125,41121.03202249631
ruby,security,Authentication,asker,0.013793103448275862,1.5140683270502984,32017.97,35484.384744104806
ruby,security,Authentication,answer,0.1653932001810875,6.1964830540092315,40630.975000000006,41906.00926317067
ruby,security,Development,asker,0.010576923076923078,1.7202948774558433,37348.43,39390.10151905626
ruby,security,Development,answer,0.06384148892173214,4.615136213415975,40457.33,42003.13861414229
ruby,security,Network Security,asker,0.005669471692136944,1.936026353878226,30873.27,33067.82142553192
ruby,security,Network Security,answer,0.1669639218021466,6.96300130691466,36985.235,38533.857891180654
objective-c,general,total,asker,0.13481681081316008,5.098932269967331,20929.325,23437.073021844662
objective-c,general,total,answer,1.0250301813313862,21.73979189154635,27840.815,29514.38725701403
objective-c,security,total,asker,0.09642857142857143,2.366973087737015,29167.09,31728.14525698098
objective-c,security,total,answer,1.070973612374886,18.815906632347392,37222.49,39108.86344435633
objective-c,security,Authentication,asker,0.31618291396176473,4.1108409464533695,28436.695,29490.71614186851
objective-c,security,Authentication,answer,2.3175639166168978,26.84859220898421,36349.98,37489.56241770715
objective-c,security,Cryptography,asker,1.0583811310709792,12.155493955027582,30621.26,33106.76243542435
objective-c,security,Cryptography,answer,3.3538706083190437,34.476287991004966,36357.009999999995,37985.928125
objective-c,security,Data Security,asker,0.6900369003690037,5.161512112647339,33024.869999999995,34456.80600985222
objective-c,security,Data Security,answer,6.758322580645162,24.439962518584636,43003.0,43028.804165477886
objective-c,security,Development,asker,0.24384149092829735,2.8939668383564343,29684.12,32876.36027450981
objective-c,security,Development,answer,1.9415744014528866,25.542888802259334,34984.695,39342.168620689656
objective-c,security,Network Security,asker,0.18358383189843866,5.445357221610041,26097.085,30460.882173913047
objective-c,security,Network Security,answer,4.096189955003538,21.411529416461985,35999.62,38916.003778857834
objective-c,security,Secure Coding,asker,0.5539165818921669,5.032020803039546,26413.864999999998,31065.335099999997
objective-c,security,Secure Coding,answer,9.442877291960508,45.594647110347296,34950.85,35138.82455357142
swift,general,total,asker,0.1947583341385527,9.814934729612789,31151.56,33176.60575011831
swift,general,total,answer,1.5676738178142198,19.27987711229482,35581.91499999999,36588.496735751294
swift,security,total,asker,0.14235004102795784,4.116610023213685,38039.23,38988.35250355619
swift,security,total,answer,2.3966647732053787,18.60862218764935,42125.57,42306.98305769231
swift,security,Authentication,asker,0.3731324031439331,5.499145939463121,38759.41,40956.24808290156
swift,security,Authentication,answer,2.7058823529411757,24.81756139096037,43102.365,42625.76561643836
swift,security,Cryptography,asker,0.5555961255092312,24.38990385837977,28746.27,30227.93537537538
swift,security,Cryptography,answer,7.612724757952972,28.891790199373226,45353.325,43848.452197309416
swift,security,Data Security,asker,2.0471380471380467,14.929424369520568,46701.02,45816.85377777777
swift,security,Data Security,answer,3.4816390113763034,21.113493816326756,50090.11,52423.73924050633
swift,security,Development,asker,0.2929292929292929,7.646726834211207,41562.76,42454.710665658095
swift,security,Development,answer,2.8990384615384617,24.130056192692482,39626.405,40056.33246085011
swift,security,Network Security,asker,0.29386759183362243,5.934986086632063,37825.09,38343.71201754386
swift,security,Network Security,answer,7.7428371767994415,28.119704617088907,41628.02,42826.143082099596
powershell,general,total,asker,0.0002855139673078236,1.2485849833093192,24475.65,27412.85974920867
powershell,general,total,answer,0.003972152942264186,4.133639379404194,17423.65,22630.08527014652
powershell,security,total,asker,0.00019041863122120438,1.2302671982788695,26088.15,29993.220670241288
powershell,security,total,answer,0.008922462352531729,3.881556539228293,22112.84,27197.457916849013
powershell,security,Development,asker,0.00019041863122120438,1.2302671982788695,26088.15,29993.220670241288
powershell,security,Development,answer,0.008922462352531729,3.881556539228293,22112.84,27197.457916849013
perl,general,total,asker,0.040453249976931976,2.2415128665341735,20040.260000000002,13139.552372029251
perl,general,total,answer,0.9845877925171764,8.643775577304323,26525.84,28548.053104999995
perl,security,total,asker,0.03425578331340288,1.2341290504786186,32834.755,28825.694048490393
perl,security,total,answer,0.471556886227545,6.53695715330885,41579.41,41873.15207379135
perl,security,Data Security,asker,0.03437738731856378,1.2382109420069436,33078.72,29656.05397113594
perl,security,Data Security,answer,0.46973642153512396,6.523201471452901,41589.96,41910.21170439983
perl,security,Development,asker,10.942189006724444,11.261914567876138,8649.645,-18111.493157894736
perl,security,Development,answer,36.12739513205593,65.12310042233493,36592.35,36769.82294117647
go,general,total,asker,0.012250915600903316,3.4269006982438506,36523.89,37007.4565393962
go,general,total,answer,0.01854849609400138,6.920792110577262,35945.34,36855.25238102402
go,security,total,asker,0.010859036274573722,1.3598219651513757,43978.05,43971.14240990156
go,security,total,answer,0.020315835620978332,5.774571290318993,45035.78,45260.30760426966
go,security,Authentication,asker,0.09997314955396486,4.411556236153457,40666.744999999995,40737.04992063492
go,security,Authentication,answer,0.24109409033201806,15.705945210902815,38220.7,40499.54770391061
go,security,Cryptography,asker,0.8974920183068187,8.481323049781837,41278.36,40603.775284787305
go,security,Cryptography,answer,2.878594249201278,31.04675437051015,45625.62,44989.06915438821
go,security,Data Security,asker,4.121902426432628,16.519618873635565,47041.41,45186.6768997669
go,security,Data Security,answer,6.709617620448591,35.57627981772008,49210.53999999999,47885.897764423076
go,security,Development,asker,0.016932975912314602,1.773742775920286,45057.26,45062.89698765713
go,security,Development,answer,0.03133857338700032,6.126657494106598,45540.8,45875.230997121784
go,security,Network Security,asker,0.2161992613827601,5.937265961287941,41708.575,42025.07735978837
go,security,Network Security,answer,0.622343885516045,17.304970793069035,46531.33,45750.02675296656
go,security,Other,asker,0.5599451303155007,5.264236872098551,32814.65,35453.756861826696
go,security,Other,answer,1.6554784555023443,25.882196603987666,40266.62,40604.255468956406
go,security,Secure Coding,asker,8.132797783933519,25.531195953300365,44259.425,43833.5114117647
go,security,Secure Coding,answer,12.059249595105273,43.507379105073596,43830.87,44841.07462184874
typescript,general,total,asker,0.020005884083553985,4.196620911525418,35343.41,35723.125587946604
typescript,general,total,answer,0.06846782090034079,6.562930520625631,36521.78,37294.99735538632
typescript,security,total,asker,0.021959516604957992,1.9753444432235092,40505.14,41122.96448488406
typescript,security,total,answer,0.0996569588350602,6.420552292602089,42179.19,42915.89993384718
typescript,security,Authentication,asker,0.06235763097949886,3.864864905262771,38543.81,39486.6024609233
typescript,security,Authentication,answer,0.25969880901239867,10.101190206363759,43681.58,44087.467705196184
typescript,security,Development,asker,0.04936176430681237,2.7823938394135865,40820.03,41057.75216971224
typescript,security,Development,answer,0.30838903944595003,7.350904411423463,42489.435,42878.82623074916
typescript,security,Network Security,asker,0.1168661181750187,3.5758757135987933,41888.28,42899.30548172758
typescript,security,Network Security,answer,0.5146726862302483,12.199703512990991,40467.16499999999,41637.87960975609
