repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
0xced/XCDYouTubeKit,126,2717,1410,51363,0xced,941
0xced/XCDYouTubeKit,126,2717,1410,10137,ghost,0
0xced/XCDYouTubeKit,126,2717,1410,602883,anil03,0
1and2papa/CTAssetsPickerController,77,2193,133,327273,1and2papa,100
1and2papa/CTAssetsPickerController,77,2193,133,1305356,jinseokoh,0
3lvis/Form,61,1676,2675,10735853,RyanKim01,0
AFNetworking/AFNetworking,1640,32927,2937,7659,mattt,1538
AFNetworking/AFNetworking,1640,32927,2937,181361,morgz,0
AFNetworking/AFNetworking,1640,32927,2937,1259453,honus,0
AFNetworking/AFNetworking,1640,32927,2937,143737,myell0w,2
AFNetworking/AFNetworking,1640,32927,2937,258,kommen,0
AFNetworking/AFNetworking,1640,32927,2937,5177,evanlong,1
AFNetworking/AFNetworking,1640,32927,2937,245886,zbowling,0
AFNetworking/AFNetworking,1640,32927,2937,353158,indragiek,0
AFNetworking/AFNetworking,1640,32927,2937,964558,Shukuyen,0
AFNetworking/AFNetworking,1640,32927,2937,611181,waaronw,0
AFNetworking/AFNetworking,1640,32927,2937,748714,Maguszin,0
AFNetworking/AFNetworking,1640,32927,2937,2246764,wlisac,0
AFNetworking/AFNetworking,1640,32927,2937,10311,jparise,9
AFNetworking/AFNetworking,1640,32927,2937,242848,grgcombs,0
AFNetworking/AFNetworking,1640,32927,2937,108576,itavor,0
AFNetworking/AFNetworking,1640,32927,2937,648819,jaishankar,0
AFNetworking/AFNetworking,1640,32927,2937,55424,seivan,0
AFNetworking/AFNetworking,1640,32927,2937,526195,gurgeous,0
AFNetworking/AFNetworking,1640,32927,2937,503795,tomasikp,0
AFNetworking/AFNetworking,1640,32927,2937,1144262,kirsplatrick,9
AFNetworking/AFNetworking,1640,32927,2937,198768,kcharwood,332
AFNetworking/AFNetworking,1640,32927,2937,148608,quique123,0
AFNetworking/AFNetworking,1640,32927,2937,356611,crivera,0
AFNetworking/AFNetworking,1640,32927,2937,47326,bdmac,1
AFNetworking/AFNetworking,1640,32927,2937,1697654,cooksimo,0
AFNetworking/AFNetworking,1640,32927,2937,108401,badeen,0
AFNetworking/AFNetworking,1640,32927,2937,986415,kylerobson,0
AFNetworking/AFNetworking,1640,32927,2937,15225,travisjeffery,0
AFNetworking/AFNetworking,1640,32927,2937,49620,marcammann,0
AFNetworking/AFNetworking,1640,32927,2937,2331641,jonathan2708,0
AFNetworking/AFNetworking,1640,32927,2937,13697,tcurdt,0
AFNetworking/AFNetworking,1640,32927,2937,829783,delebedev,0
AFNetworking/AFNetworking,1640,32927,2937,1191649,the4thfloor,0
AFNetworking/AFNetworking,1640,32927,2937,446371,linktoming,0
AFNetworking/AFNetworking,1640,32927,2937,297156,lxcid,2
AFNetworking/AFNetworking,1640,32927,2937,3380927,Boosten,0
AFNetworking/AFNetworking,1640,32927,2937,82214,sradu,0
AFNetworking/AFNetworking,1640,32927,2937,516243,qiulang,0
AFNetworking/AFNetworking,1640,32927,2937,4175,lansing,8
AFNetworking/AFNetworking,1640,32927,2937,934792,alexkarpenko,0
AFNetworking/AFNetworking,1640,32927,2937,758033,krzyzanowskim,0
AFNetworking/AFNetworking,1640,32927,2937,11172,pierrevalade,0
AFNetworking/AFNetworking,1640,32927,2937,12789,ross,0
AFNetworking/AFNetworking,1640,32927,2937,8392,blakewatters,27
AFNetworking/AFNetworking,1640,32927,2937,522281,farhanpatel,0
AFNetworking/AFNetworking,1640,32927,2937,1755751,ronak2121,0
AFNetworking/AFNetworking,1640,32927,2937,846358,olivierto,0
AFNetworking/AFNetworking,1640,32927,2937,10137,ghost,0
AFNetworking/AFNetworking,1640,32927,2937,2145676,sanielfishawy,0
AFNetworking/AFNetworking,1640,32927,2937,1086260,kostiakoval,0
AFNetworking/AFNetworking,1640,32927,2937,11748454,sudhanshutil,0
AFNetworking/AFNetworking,1640,32927,2937,1763276,rapand1000,0
AFNetworking/AFNetworking,1640,32927,2937,332855,emonster,0
AFNetworking/AFNetworking,1640,32927,2937,789832,ijoshsmith,0
AFNetworking/AFNetworking,1640,32927,2937,181006,andrewroycarter,0
AFNetworking/AFNetworking,1640,32927,2937,7328271,satish25,0
AFNetworking/AFNetworking,1640,32927,2937,1362010,mrjomp,0
AFNetworking/AFNetworking,1640,32927,2937,20510174,vikrantLeeway,0
AFNetworking/AFNetworking,1640,32927,2937,1564701,couchdeveloper,0
AFNetworking/AFNetworking,1640,32927,2937,924764,guykogus,2
AFNetworking/AFNetworking,1640,32927,2937,19172785,ERbittuu,0
AFNetworking/AFNetworking,1640,32927,2937,58493,steipete,23
AFNetworking/AFNetworking,1640,32927,2937,1046777,Fl0p,0
AFNetworking/AFNetworking,1640,32927,2937,247346,shibuya246,0
AFNetworking/AFNetworking,1640,32927,2937,2933522,OE8CLR,0
AFNetworking/AFNetworking,1640,32927,2937,1730803,magnett,0
AFNetworking/AFNetworking,1640,32927,2937,44164,kylef,44
AFNetworking/AFNetworking,1640,32927,2937,604788,grangej,0
AFNetworking/AFNetworking,1640,32927,2937,3452507,dennisaschmidt,0
AFNetworking/AFNetworking,1640,32927,2937,2394,timshadel,0
AFNetworking/AFNetworking,1640,32927,2937,688377,OliverLetterer,40
AFNetworking/AFNetworking,1640,32927,2937,291077,donholly,0
AFNetworking/AFNetworking,1640,32927,2937,232113,Reflejo,0
AFNetworking/AFNetworking,1640,32927,2937,1425808,ddaddy,0
AFNetworking/AFNetworking,1640,32927,2937,246933,corybohon,0
AFNetworking/AFNetworking,1640,32927,2937,923899,gcrabtree,0
AFNetworking/AFNetworking,1640,32927,2937,43241,snej,0
AFNetworking/AFNetworking,1640,32927,2937,3108737,cheshuangchun,0
AFNetworking/AFNetworking,1640,32927,2937,1712848,arnaudoli,0
AFNetworking/AFNetworking,1640,32927,2937,677820,adamfraser,4
AFNetworking/AFNetworking,1640,32927,2937,3807802,vluciano,0
AFNetworking/AFNetworking,1640,32927,2937,2588189,Omarj,0
AFNetworking/AFNetworking,1640,32927,2937,199720,AquaGeek,2
AFNetworking/AFNetworking,1640,32927,2937,51363,0xced,56
AFNetworking/AFNetworking,1640,32927,2937,1487036,paulmelnikow,5
AFNetworking/AFNetworking,1640,32927,2937,1748458,mythodeia,0
AFNetworking/AFNetworking,1640,32927,2937,753652,joshuafeldman,0
AFNetworking/AFNetworking,1640,32927,2937,3157411,JD-,0
AFNetworking/AFNetworking,1640,32927,2937,626713,fjbelchi,0
AFNetworking/AFNetworking,1640,32927,2937,1259452,Woody17,0
AFNetworking/AFNetworking,1640,32927,2937,197446,mattyohe,0
AFNetworking/AFNetworking,1640,32927,2937,4582818,MiGsA,0
AFNetworking/AFNetworking,1640,32927,2937,115822,qnoid,0
AFNetworking/AFNetworking,1640,32927,2937,194122,JonasNielsen,0
AFNetworking/AFNetworking,1640,32927,2937,382042,chaitanyapandit,0
AFNetworking/AFNetworking,1640,32927,2937,2171011,micfok,0
AFNetworking/AFNetworking,1640,32927,2937,2725358,alexkotenko,0
AFNetworking/AFNetworking,1640,32927,2937,1333734,arsonik,0
AFNetworking/AFNetworking,1640,32927,2937,1284873,shahdhiren,0
AFNetworking/AFNetworking,1640,32927,2937,108106,tewha,23
AFNetworking/AFNetworking,1640,32927,2937,24247,joshvera,1
AFNetworking/AFNetworking,1640,32927,2937,217368,yas375,0
AFNetworking/AFNetworking,1640,32927,2937,116200,tomguthrie,0
AFNetworking/AFNetworking,1640,32927,2937,52870,soffes,3
AFNetworking/AFNetworking,1640,32927,2937,4802,tonyarnold,0
AFNetworking/AFNetworking,1640,32927,2937,283886,keith,0
AFNetworking/AFNetworking,1640,32927,2937,49038,orta,4
AFNetworking/AFNetworking,1640,32927,2937,919613,LarryRyan0824,0
AFNetworking/AFNetworking,1640,32927,2937,94526,isutton,0
AFNetworking/AFNetworking,1640,32927,2937,789577,getaaron,3
AFNetworking/AFNetworking,1640,32927,2937,666807,JaviSoto,0
AFNetworking/AFNetworking,1640,32927,2937,2320,alloy,1
AFNetworking/AFNetworking,1640,32927,2937,71180,dtorres,5
AFNetworking/AFNetworking,1640,32927,2937,4621383,Objective-Cloud,0
AFNetworking/AFNetworking,1640,32927,2937,41570871,Nehal-29,0
AFNetworking/AFOAuth2Manager,47,1176,128,7659,mattt,52
AFNetworking/AFOAuth2Manager,47,1176,128,44164,kylef,0
AFNetworking/AFOAuth2Manager,47,1176,128,1058408,ay8s,0
AFNetworking/AFOAuth2Manager,47,1176,128,886,dennisreimann,0
AFNetworking/AFOAuth2Manager,47,1176,128,170649,conradev,26
AlanQuatermain/AQGridView,98,2416,157,11450,AlanQuatermain,51
AlanQuatermain/AQGridView,98,2416,157,309574,hanky6,0
AlanQuatermain/AQGridView,98,2416,157,355048,woutergoossens,0
AlanQuatermain/AQGridView,98,2416,157,424670,shizam,0
AlexBarinov/UIBubbleTableView,92,860,36,1235739,ipeisong,0
AlexBarinov/UIBubbleTableView,92,860,36,180276,NiNJAPiND,0
AlexBarinov/UIBubbleTableView,92,860,36,2834691,sibahota059,0
AlexBarinov/UIBubbleTableView,92,860,36,3785570,SaifAlDilaimi,0
AliSoftware/OHAttributedLabel,86,1536,247,216089,AliSoftware,173
AliSoftware/OHAttributedLabel,86,1536,247,368226,gon,0
AliSoftware/OHAttributedLabel,86,1536,247,108430,jdandrea,0
AliSoftware/OHAttributedLabel,86,1536,247,59564,joshuatbrown,0
AliSoftware/OHAttributedLabel,86,1536,247,57162,wbyoung,0
AliSoftware/OHAttributedLabel,86,1536,247,355086,mflint,0
AliSoftware/OHAttributedLabel,86,1536,247,993574,eventomer,0
AliSoftware/OHHTTPStubs,114,4562,753,254198,netbe,0
AliSoftware/OHHTTPStubs,114,4562,753,216089,AliSoftware,456
AliSoftware/OHHTTPStubs,114,4562,753,40697,aceysmith,0
AloneMonkey/MonkeyDev,147,4742,198,5118864,AloneMonkey,0
AloneMonkey/MonkeyDev,147,4742,198,26478957,iOSleep,0
AloneMonkey/MonkeyDev,147,4742,198,2680393,isbase,0
Automattic/simplenote-ios,63,1707,2920,154014,bummytime,61
Automattic/simplenote-ios,63,1707,2920,1195260,jleandroperez,2186
Automattic/simplenote-ios,63,1707,2920,789137,roundhill,95
Automattic/simplenote-ios,63,1707,2920,11873759,KokkieH,0
B-Sides/ELCImagePickerController,92,1666,129,556648,enigma100,0
B-Sides/ELCImagePickerController,92,1666,129,654023,prasannaguna,0
B-Sides/ELCImagePickerController,92,1666,129,9520,cschep,5
BoltsFramework/Bolts-ObjC,223,5604,481,1392500,bklimt,24
BradLarson/GPUImage,761,19441,1082,1750955,hansoong,0
