repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
0xced/XCDYouTubeKit,126,2717,1410,666807,JaviSoto,1
0xced/XCDYouTubeKit,126,2717,1410,4051353,peoplecallmefrancois,0
0xced/XCDYouTubeKit,126,2717,1410,2966293,adrientruong,0
0xced/XCDYouTubeKit,126,2717,1410,4722391,ninjatronic,0
0xced/XCDYouTubeKit,126,2717,1410,6926979,karthisiva,0
0xced/XCDYouTubeKit,126,2717,1410,3633045,dapheasophea,0
0xced/XCDYouTubeKit,126,2717,1410,1905298,winterlovesong,0
1and2papa/CTAssetsPickerController,77,2193,133,548763,duanefields,0
1and2papa/CTAssetsPickerController,77,2193,133,5998370,donesc,0
2ndalpha/gasmask,100,3083,112,2319203,2ndalpha,85
3lvis/Form,61,1676,2675,1088217,3lvis,1211
AFNetworking/AFNetworking,1641,32933,2937,97944,adamjernst,1
AFNetworking/AFNetworking,1641,32933,2937,58493,steipete,23
AFNetworking/AFNetworking,1641,32933,2937,656,tomislav,0
AFNetworking/AFNetworking,1641,32933,2937,31787,seymores,0
AFNetworking/AFNetworking,1641,32933,2937,489948,mgp,3
AFNetworking/AFNetworking,1641,32933,2937,52870,soffes,3
AFNetworking/AFNetworking,1641,32933,2937,1228,ericflo,1
AFNetworking/AFNetworking,1641,32933,2937,245886,zbowling,0
AFNetworking/AFNetworking,1641,32933,2937,395836,kgn,7
AFNetworking/AFNetworking,1641,32933,2937,964558,Shukuyen,0
AFNetworking/AFNetworking,1641,32933,2937,7659,mattt,1538
AFNetworking/AFNetworking,1641,32933,2937,143737,myell0w,2
AFNetworking/AFNetworking,1641,32933,2937,83539,jakeboxer,0
AFNetworking/AFNetworking,1641,32933,2937,198768,kcharwood,332
AFNetworking/AFNetworking,1641,32933,2937,48717,emanuelef,0
AFNetworking/AFNetworking,1641,32933,2937,29741,jpm,0
AFNetworking/AFNetworking,1641,32933,2937,541713,aaronpeterson,0
AFNetworking/AFNetworking,1641,32933,2937,296876,tleyden,0
AFNetworking/AFNetworking,1641,32933,2937,55348,akosma,0
AFNetworking/AFNetworking,1641,32933,2937,604196,eikemeier,0
AFNetworking/AFNetworking,1641,32933,2937,214061,blackgold9,0
AFNetworking/AFNetworking,1641,32933,2937,1522056,KimSamHyun,0
AFNetworking/AFNetworking,1641,32933,2937,199720,AquaGeek,2
AFNetworking/AFNetworking,1641,32933,2937,1555168,ElderFain,0
AFNetworking/AFNetworking,1641,32933,2937,202431,nonamelive,0
AFNetworking/AFNetworking,1641,32933,2937,507058,idpaterson,0
AFNetworking/AFNetworking,1641,32933,2937,22190,samkrishna,0
AFNetworking/AFNetworking,1641,32933,2937,1641247,note173,0
AFNetworking/AFNetworking,1641,32933,2937,621373,mhergon,0
AFNetworking/AFNetworking,1641,32933,2937,785715,Glnn,0
AFNetworking/AFNetworking,1641,32933,2937,961592,daveanderson,1
AFNetworking/AFNetworking,1641,32933,2937,163957,tomwans,0
AFNetworking/AFNetworking,1641,32933,2937,108106,tewha,23
AFNetworking/AFNetworking,1641,32933,2937,483853,freekmurze,0
AFNetworking/AFNetworking,1641,32933,2937,163181,achainan,0
AFNetworking/AFNetworking,1641,32933,2937,59140,subdigital,1
AFNetworking/AFNetworking,1641,32933,2937,186390,RonMidthun,0
AFNetworking/AFNetworking,1641,32933,2937,1392315,adamwlarson,0
AFNetworking/AFNetworking,1641,32933,2937,1020312,nutritious,0
AFNetworking/AFNetworking,1641,32933,2937,310784,LeonS,0
AFNetworking/AFNetworking,1641,32933,2937,10137,ghost,0
AFNetworking/AFNetworking,1641,32933,2937,2622,dittos,1
AFNetworking/AFNetworking,1641,32933,2937,339897,lbstephane,0
AFNetworking/AFNetworking,1641,32933,2937,7475,MSch,0
AFNetworking/AFNetworking,1641,32933,2937,123805,yosit,0
AFNetworking/AFNetworking,1641,32933,2937,200448,wlue,1
AFNetworking/AFNetworking,1641,32933,2937,978112,m619,0
AFNetworking/AFNetworking,1641,32933,2937,10311,jparise,9
AFNetworking/AFNetworking,1641,32933,2937,2136434,jatleti,0
AFNetworking/AFNetworking,1641,32933,2937,831183,smokinguns,0
AFNetworking/AFNetworking,1641,32933,2937,668129,elpuerco63,0
AFNetworking/AFNetworking,1641,32933,2937,82501,michaelmior,0
AFNetworking/AFNetworking,1641,32933,2937,249488,garethson,2
AFNetworking/AFNetworking,1641,32933,2937,150634,aitskovi,1
AFNetworking/AFNetworking,1641,32933,2937,2252326,surida,0
AFNetworking/AFNetworking,1641,32933,2937,8392,blakewatters,27
AFNetworking/AFNetworking,1641,32933,2937,195724,x2on,0
AFNetworking/AFNetworking,1641,32933,2937,2474989,Jomell,0
AFNetworking/AFNetworking,1641,32933,2937,2106006,abshih,0
AFNetworking/AFNetworking,1641,32933,2937,1247906,mefilt,0
AFNetworking/AFNetworking,1641,32933,2937,1155482,asxasxasx,0
