repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ARCANEDEV/LogViewer,50,1847,639,3282340,arcanedev-maroc,553
ARCANEDEV/LogViewer,50,1847,639,3512953,lorvent,0
ARCANEDEV/LogViewer,50,1847,639,10044093,blomdahldaniel,3
ApiGen/ApiGen,103,2021,3404,260445,kukulich,775
Atlantic18/DoctrineExtensions,97,3361,2145,328303,julesbou,8
Atlantic18/DoctrineExtensions,97,3361,2145,439401,stof,83
Atlantic18/DoctrineExtensions,97,3361,2145,545872,szjani,0
Atlantic18/DoctrineExtensions,97,3361,2145,332800,pavelkucera,0
Atlantic18/DoctrineExtensions,97,3361,2145,46281,dator,0
Attendize/Attendize,191,2956,1138,17337376,Attendize,0
Attendize/Attendize,191,2956,1138,11446771,markwalet,16
Attendize/Attendize,191,2956,1138,6353795,VigWatch,0
Attendize/Attendize,191,2956,1138,6217994,bretto36,0
Attendize/Attendize,191,2956,1138,16189630,yhorian,0
Attendize/Attendize,191,2956,1138,9913839,jncampbell,4
Attendize/Attendize,191,2956,1138,1076366,tugis,0
Attendize/Attendize,191,2956,1138,624330,pelim,0
Attendize/Attendize,191,2956,1138,1866809,ylecuyer,17
Audi-1/sqli-labs,188,2953,52,10137,ghost,0
Automattic/jetpack,218,1228,22419,58855,tomjn,3
Automattic/jetpack,218,1228,22419,5368857,NikV,1
Automattic/jetpack,218,1228,22419,426388,jeherve,1860
Automattic/jetpack,218,1228,22419,88897,kraftbj,691
Automattic/jetpack,218,1228,22419,806179,blobaugh,230
Automattic/jetpack,218,1228,22419,216672,joostdekeijzer,0
Automattic/jetpack,218,1228,22419,6342455,karenalma,0
Automattic/jetpack,218,1228,22419,1303628,mattcleg,0
Automattic/jetpack,218,1228,22419,3676359,richardmtl,10
Automattic/jetpack,218,1228,22419,3120801,aahan,0
Automattic/jetpack,218,1228,22419,480667,mrjarbenne,0
Automattic/jetpack,218,1228,22419,373804,xyu,129
Automattic/jetpack,218,1228,22419,607639,brohde,1
Automattic/jetpack,218,1228,22419,59976,kerim,0
Automattic/jetpack,218,1228,22419,941023,georgestephanis,1184
Automattic/jetpack,218,1228,22419,6315977,TheJeffr0,0
Automattic/jetpack,218,1228,22419,221570,bonny,0
Automattic/jetpack,218,1228,22419,1203110,xsynaptic,0
Automattic/jetpack,218,1228,22419,339488,rowatt,0
Automattic/jetpack,218,1228,22419,1238696,mrwweb,0
Automattic/jetpack,218,1228,22419,2649903,HardeepAsrani,0
Automattic/jetpack,218,1228,22419,3495861,leopoldwilson,0
Automattic/jetpack,218,1228,22419,1220601,rase-,35
Automattic/jetpack,218,1228,22419,1909677,robertdall,0
Automattic/jetpack,218,1228,22419,7581925,mydany,0
Automattic/jetpack,218,1228,22419,79667,pderksen,1
Automattic/jetpack,218,1228,22419,3819579,mkrdip,0
Automattic/jetpack,218,1228,22419,353790,markjaquith,2
Automattic/jetpack,218,1228,22419,7814940,honzaskypala,3
Automattic/jetpack,218,1228,22419,3424762,khitrenovich,0
Automattic/jetpack,218,1228,22419,1398,keegnotrub,1
Automattic/jetpack,218,1228,22419,7854671,sbscomp,1
Automattic/jetpack,218,1228,22419,115071,enejb,844
Automattic/jetpack,218,1228,22419,451892,shadyvb,2
Automattic/jetpack,218,1228,22419,4856235,macmanx2,2
Automattic/jetpack,218,1228,22419,942359,michaeldcain,53
Automattic/jetpack,218,1228,22419,508485,cathyjf,130
Automattic/jetpack,218,1228,22419,104869,lezama,804
Automattic/jetpack,218,1228,22419,5611966,scotchfield,20
Automattic/jetpack,218,1228,22419,173229,andrej1c,2
Automattic/jetpack,218,1228,22419,3660715,shield-9,31
Automattic/jetpack,218,1228,22419,195089,mattwiebe,34
Automattic/jetpack,218,1228,22419,5512652,aheckler,43
Automattic/jetpack,218,1228,22419,3651036,david-binda,1
Automattic/jetpack,218,1228,22419,10137,ghost,0
Automattic/jetpack,218,1228,22419,7585054,jenhooks,0
Automattic/jetpack,218,1228,22419,1784526,emiluzelac,0
Automattic/jetpack,218,1228,22419,3220162,mikeyarce,14
Automattic/jetpack,218,1228,22419,709662,sc0ttkclark,1
Automattic/jetpack,218,1228,22419,260253,jkudish,14
Automattic/jetpack,218,1228,22419,374293,zinigor,794
Automattic/jetpack,218,1228,22419,2694219,roccotripaldi,440
Automattic/jetpack,218,1228,22419,1564974,camaran,0
Automattic/jetpack,218,1228,22419,86784,paulschreiber,3
Automattic/jetpack,218,1228,22419,682201,clifgriffin,2
Automattic/jetpack,218,1228,22419,1123119,MichaelArestad,363
Automattic/jetpack,218,1228,22419,4209733,orliesaurus,0
Automattic/jetpack,218,1228,22419,107779,ivannovak,0
Automattic/jetpack,218,1228,22419,251545,pathawks,0
Automattic/jetpack,218,1228,22419,831377,chaselivingston,70
Automattic/jetpack,218,1228,22419,1608474,sigginet,0
Automattic/jetpack,218,1228,22419,10836702,jjbte,0
Automattic/jetpack,218,1228,22419,4636317,ryanmarkel,0
Automattic/jetpack,218,1228,22419,2029878,patschi,0
Automattic/jetpack,218,1228,22419,34067,naokomc,0
Automattic/jetpack,218,1228,22419,1760168,ChaosExAnima,25
Automattic/jetpack,218,1228,22419,1421894,RCowles,7
Automattic/jetpack,218,1228,22419,541093,ryelle,9
Automattic/jetpack,218,1228,22419,1452285,jwenerd,2
Automattic/jetpack,218,1228,22419,2474435,bobbingwide,3
Automattic/jetpack,218,1228,22419,841956,swissspidy,2
Automattic/jetpack,218,1228,22419,3876198,AntonioGiovanniSchiavone,0
Automattic/jetpack,218,1228,22419,7129409,dereksmart,2033
Automattic/jetpack,218,1228,22419,3216640,maxinacube,0
Automattic/jetpack,218,1228,22419,1100,niallkennedy,3
Automattic/jetpack,218,1228,22419,3078931,jjgh,0
Automattic/jetpack,218,1228,22419,214813,jeffgolenski,470
Automattic/jetpack,218,1228,22419,481776,danielwrobert,13
Automattic/jetpack,218,1228,22419,6578378,mrmccarrin,0
Automattic/jetpack,218,1228,22419,300429,joshbetz,11
Automattic/jetpack,218,1228,22419,150348,BrookeDot,0
Automattic/jetpack,218,1228,22419,9401878,odie2,6
Automattic/jetpack,218,1228,22419,5777161,jeiseman,3
Automattic/jetpack,218,1228,22419,96308,ockham,76
Automattic/jetpack,218,1228,22419,665992,goldenapples,6
Automattic/jetpack,218,1228,22419,2738252,dllh,13
Automattic/jetpack,218,1228,22419,1126811,ebinnion,685
Automattic/jetpack,218,1228,22419,5835847,kellychoffman,3
Automattic/jetpack,218,1228,22419,9104635,nickyfoto,0
Automattic/jetpack,218,1228,22419,911277,kitchin,2
Automattic/jetpack,218,1228,22419,574752,samhotchkiss,743
Automattic/jetpack,218,1228,22419,1441538,elliott-stocks,5
Automattic/jetpack,218,1228,22419,1878977,WillJW,0
Automattic/jetpack,218,1228,22419,7050515,ChrisBegley,0
Automattic/jetpack,218,1228,22419,916023,coreymckrill,3
Automattic/jetpack,218,1228,22419,484068,iandunn,24
Automattic/jetpack,218,1228,22419,352291,pento,49
Automattic/jetpack,218,1228,22419,394675,ChrisWiegman,1
Automattic/jetpack,218,1228,22419,1596859,webservices-nm,0
Automattic/jetpack,218,1228,22419,1041600,eliorivero,1167
Automattic/jetpack,218,1228,22419,184938,bisko,56
Automattic/jetpack,218,1228,22419,1302030,bradyvercher,3
Automattic/jetpack,218,1228,22419,1705549,turtlepod,1
Automattic/jetpack,218,1228,22419,908665,iamtakashi,13
Automattic/jetpack,218,1228,22419,2846578,melchoyce,0
Automattic/jetpack,218,1228,22419,10125810,mahangu,14
Automattic/jetpack,218,1228,22419,435369,cfinke,256
BOINC/boinc,106,1227,34162,985772,romw,7834
Behat/Behat,164,3435,2967,47728,ThePixelDeveloper,0
Behat/Transliterator,11,1625,60,439401,stof,20
Bit-Wasp/bitcoin-php,70,825,2808,5617245,afk11,1627
Bit-Wasp/bitcoin-php,70,825,2808,649160,rubensayshi,49
Bit-Wasp/bitcoin-php,70,825,2808,590602,willgriffin,10
Bit-Wasp/bitcoin-php,70,825,2808,58816,josecelano,0
BookStackApp/BookStack,164,5266,2205,8343178,ssddanbrown,1623
BookStackApp/BookStack,164,5266,2205,13102061,CTM-AlexBatorykLeliw,0
BookStackApp/BookStack,164,5266,2205,16775406,Di2g10,0
BookStackApp/BookStack,164,5266,2205,1617620,nwalke,7
BookStackApp/BookStack,164,5266,2205,6557665,cpressland,0
BookStackApp/BookStack,164,5266,2205,886383,solidnerd,1
BookStackApp/BookStack,164,5266,2205,2873885,leomartinez,15
BookStackApp/BookStack,164,5266,2205,5213667,sebastianlau,0
BookStackApp/BookStack,164,5266,2205,9112811,dvnrsn,0
BookStackApp/BookStack,164,5266,2205,23038635,Hauptquartier,0
BookStackApp/BookStack,164,5266,2205,5260563,ateliermedia,0
BookStackApp/BookStack,164,5266,2205,907195,tmikaeld,0
BookStackApp/BookStack,164,5266,2205,7362263,Shackelford-Arden,0
BookStackApp/BookStack,164,5266,2205,1685517,Abijeet,123
BookStackApp/BookStack,164,5266,2205,10137,ghost,0
BookStackApp/BookStack,164,5266,2205,21125058,xeals,0
BookStackApp/BookStack,164,5266,2205,5905603,s0n-,0
BookStackApp/BookStack,164,5266,2205,5660265,tuaris,0
BookStackApp/BookStack,164,5266,2205,13356760,RantMaster,0
BookStackApp/BookStack,164,5266,2205,6248902,Agent01,0
BookStackApp/BookStack,164,5266,2205,2026675,arietimmerman,0
BookStackApp/BookStack,164,5266,2205,6692938,DeviantEng,0
BookStackApp/BookStack,164,5266,2205,13438489,m3579,0
BookStackApp/BookStack,164,5266,2205,1813327,jacksonp2008,0
Bottelet/DaybydayCRM,134,1438,401,15610490,Bottelet,260
CMB2/CMB2,155,2472,2672,2526939,nlemoine,1
CMB2/CMB2,155,2472,2672,7871006,cnasikas,0
CMB2/CMB2,155,2472,2672,1530203,ejoubaud,0
CachetHQ/Cachet,304,11445,7259,259487,manavo,42
CachetHQ/Cachet,304,11445,7259,3051193,HipsterBrown,1
CachetHQ/Cachet,304,11445,7259,668804,Grummfy,0
CachetHQ/Cachet,304,11445,7259,246103,jbrooksuk,4432
CachetHQ/Cachet,304,11445,7259,2099988,synth3tk,0
CachetHQ/Cachet,304,11445,7259,2829600,GrahamCampbell,911
CachetHQ/Cachet,304,11445,7259,3158363,demlasjr,3
CachetHQ/Cachet,304,11445,7259,253237,Jamesking56,6
CachetHQ/Cachet,304,11445,7259,1622940,jaxxstorm,0
CachetHQ/Cachet,304,11445,7259,1803556,joecohens,204
CachetHQ/Cachet,304,11445,7259,10363041,mcvic1rj,0
CachetHQ/Cachet,304,11445,7259,223015,gjuric,0
CachetHQ/Cachet,304,11445,7259,1107936,Crash--,1
CachetHQ/Cachet,304,11445,7259,528976,ajtrichards,2
CachetHQ/Cachet,304,11445,7259,6786817,brianjking,0
CachetHQ/Cachet,304,11445,7259,217628,willdurand,2
CachetHQ/Cachet,304,11445,7259,5137059,wingZero21,0
CachetHQ/Cachet,304,11445,7259,518090,Finkregh,1
CachetHQ/Cachet,304,11445,7259,166466,dspangenberg,0
CachetHQ/Cachet,304,11445,7259,4148567,JMousqueton,1
CachetHQ/Cachet,304,11445,7259,1720477,jdl031,0
Chumper/Zipper,22,806,142,7512843,antony-o,0
Codeception/Codeception,154,4128,6888,12743,jonphipps,4
Codeception/Codeception,154,4128,6888,1628237,precariouspanther,0
Codeception/Codeception,154,4128,6888,13464,petr,0
Codeception/Codeception,154,4128,6888,528545,synchrone,5
Codeception/Codeception,154,4128,6888,380055,anton-kasperovich,0
Codeception/Codeception,154,4128,6888,398720,tiger-seo,188
Codeception/Codeception,154,4128,6888,90388,KingCrunch,0
Codeception/Codeception,154,4128,6888,2015218,awsp,0
Codeception/Codeception,154,4128,6888,142090,FrancisVarga,0
Codeception/Codeception,154,4128,6888,3482534,Anchita,0
Codeception/Codeception,154,4128,6888,3495811,Jakeee,0
Codeception/Codeception,154,4128,6888,2665015,gorbunovav,0
Codeception/Codeception,154,4128,6888,179066,Incubatio,0
Codeception/Codeception,154,4128,6888,457472,jamesmoey,1
Codeception/Codeception,154,4128,6888,1912892,vonj,0
Codeception/Codeception,154,4128,6888,349690,jwest,0
Codeception/Codeception,154,4128,6888,352539,parhamdoustdar,0
Codeception/Codeception,154,4128,6888,842252,g-alonso,0
Codeception/Codeception,154,4128,6888,65171,kirkbushell,0
Codeception/Codeception,154,4128,6888,643509,slykar,1
Codeception/Codeception,154,4128,6888,3931179,ikovalyov,0
Codeception/Codeception,154,4128,6888,1748844,Ragazzo,13
Codeception/Codeception,154,4128,6888,649031,schmunk42,6
Codeception/Codeception,154,4128,6888,903833,tommey,0
Codeception/Codeception,154,4128,6888,4103625,Qazzy,0
Codeception/Codeception,154,4128,6888,242104,mikebell,0
Codeception/Codeception,154,4128,6888,650192,srosato,5
Codeception/Codeception,154,4128,6888,532299,igorsantos07,8
Codeception/Codeception,154,4128,6888,1452141,svsool,2
Codiad/Codiad,218,2696,1670,1153376,Fluidbyte,412
Codiad/Codiad,218,2696,1670,1691742,alunz,0
Codiad/Codiad,218,2696,1670,1449492,lorefnon,53
Codiad/Codiad,218,2696,1670,2079976,x-nz,0
Codiad/Codiad,218,2696,1670,807787,tablatronix,11
Codiad/Codiad,218,2696,1670,2245023,jacobm001,0
Codiad/Codiad,218,2696,1670,1089942,Flolagale,129
Codiad/Codiad,218,2696,1670,2900150,Verdier,106
Codiad/Codiad,218,2696,1670,2093759,newsocialifecom,30
Codiad/Codiad,218,2696,1670,968926,marcodeluca,0
Codiad/Codiad,218,2696,1670,3243629,BenderASS,2
Codiad/Codiad,218,2696,1670,578509,maitai,3
Codiad/Codiad,218,2696,1670,817230,MAWoodMain,0
Codiad/Codiad,218,2696,1670,1182954,royzino,0
Codiad/Codiad,218,2696,1670,3421051,wikkiewikkie,0
Codiad/Codiad,218,2696,1670,2708311,jsturgill,0
Codiad/Codiad,218,2696,1670,3081888,snathan99,0
Codiad/Codiad,218,2696,1670,10137,ghost,0
Codiad/Codiad,218,2696,1670,3939648,ccvca,32
ConsoleTVs/Charts,66,2081,130,4510058,minedun6,0
ConsoleTVs/Charts,66,2081,130,6124435,ConsoleTVs,86
DarkaOnLine/L5-Swagger,28,1328,236,8836210,mpetrunic,0
DarkaOnLine/L5-Swagger,28,1328,236,11271991,pefahimi,0
