repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
A-mIn3/WINspect,55,534,39,26440598,big-bad-wolfe,0
A-mIn3/WINspect,55,534,39,2004217,Mipam,0
Ash258/Scoop-Ash258,5,121,4260,13260377,Ash258,4223
Ash258/Scoop-Ash258,5,121,4260,220772,rasa,2
AtlassianPS/ConfluencePS,18,105,449,17778043,vzabawski,3
AtlassianPS/JiraPS,32,230,1092,5345525,luc-pitipuis,0
AtlassianPS/JiraPS,32,230,1092,2040123,lukhase,0
AtlassianPS/JiraPS,32,230,1092,6364323,hornygranny,0
AtlassianPS/JiraPS,32,230,1092,18325144,sleonard1983,0
AtlassianPS/JiraPS,32,230,1092,3308726,ebekker,5
AtlassianPS/JiraPS,32,230,1092,102953,alexsuslin,3
AutomatedLab/AutomatedLab,76,1016,3105,16491101,carfesh,15
AutomatedLab/AutomatedLab,76,1016,3105,3314671,andlo,0
AutomatedLab/AutomatedLab,76,1016,3105,11280760,raandree,1605
AutomatedLab/AutomatedLab,76,1016,3105,1373436,BristleBeard,0
AutomatedLab/AutomatedLab,76,1016,3105,19172911,nyanhp,1374
AutomatedLab/AutomatedLab,76,1016,3105,1870879,ziembor,0
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,97,510,659,5592837,pablitofernandez,0
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,97,510,659,37509463,skorpionet100,0
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,97,510,659,13203188,jmprieur,229
Azure-Samples/powerbi-powershell,50,125,32,17440249,PatAltimore,1
Azure/AzureStack-QuickStart-Templates,96,382,1110,15469392,dipakvadnere,187
Azure/AzureStack-Tools,79,187,916,15950143,MatthewMcGlynn,184
Azure/AzureStack-Tools,79,187,916,3135708,alexandair,5
Azure/AzureStack-Tools,79,187,916,16934655,victorar,2
Azure/RDS-Templates,43,210,1170,11985571,mmarch,37
Azure/RDS-Templates,43,210,1170,13803789,Alan-AcutePath,21
