repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
24pullrequests/24pullrequests,67,1249,4362,1060,andrew,1752
AaronLasseigne/active_interaction,35,1466,1550,297205,AaronLasseigne,445
AaronLasseigne/active_interaction,35,1466,1550,1152367,justinsteffy,0
AaronLasseigne/active_interaction,35,1466,1550,14217,clifton,0
Apipie/apipie-rails,33,2153,781,624416,Pajk,153
Apipie/apipie-rails,33,2153,781,190443,iNecas,324
Apipie/apipie-rails,33,2153,781,25322,barmstrong,0
Apipie/apipie-rails,33,2153,781,125620,ronen,4
Apipie/apipie-rails,33,2153,781,2089978,zuuno,0
Apipie/apipie-rails,33,2153,781,204460,pitr-ch,1
Arachni/arachni,198,2764,9270,375743,Zapotek,9191
Arachni/arachni,198,2764,9270,1192431,virilefool,0
Arachni/arachni,198,2764,9270,910293,antisnatchor,0
Arachni/arachni,198,2764,9270,6480197,elakshi,0
Arachni/arachni,198,2764,9270,12646971,bardelch,0
Arachni/arachni,198,2764,9270,37418,vpereira,0
Arachni/arachni,198,2764,9270,111603,mateusprado,0
Arachni/arachni,198,2764,9270,966592,cclements,0
Arachni/arachni,198,2764,9270,856273,beunwa,0
AssetSync/asset_sync,35,1798,634,1971,davidjrice,250
AssetSync/asset_sync,35,1798,634,309286,hamstarr,0
AssetSync/asset_sync,35,1798,634,158177,arvida,0
AssetSync/asset_sync,35,1798,634,100767,mmack,0
AssetSync/asset_sync,35,1798,634,6336,aaronchi,0
AssetSync/asset_sync,35,1798,634,20461,mattvanhorn,0
AssetSync/asset_sync,35,1798,634,169076,winfred,0
AssetSync/asset_sync,35,1798,634,22678,Papipo,0
AssetSync/asset_sync,35,1798,634,1099513,ryanlindsey,0
AssetSync/asset_sync,35,1798,634,160118,danmelnick,0
AssetSync/asset_sync,35,1798,634,8793,jamienadeau,0
AssetSync/asset_sync,35,1798,634,415,kevinansfield,0
AssetSync/asset_sync,35,1798,634,1558637,zerror,0
AssetSync/asset_sync,35,1798,634,612,wpiekutowski,1
AssetSync/asset_sync,35,1798,634,10546,synth,0
AssetSync/asset_sync,35,1798,634,178890,assembler,0
AssetSync/asset_sync,35,1798,634,6658,rgarver,0
AssetSync/asset_sync,35,1798,634,941998,tzoro,0
AssetSync/asset_sync,35,1798,634,169285,hoverlover,1
AssetSync/asset_sync,35,1798,634,860644,StephenPower,0
AssetSync/asset_sync,35,1798,634,264590,dgilperez,0
AssetSync/asset_sync,35,1798,634,16745,chrisdurtschi,0
AssetSync/asset_sync,35,1798,634,786157,luxerama,0
AssetSync/asset_sync,35,1798,634,212369,drewda,0
AssetSync/asset_sync,35,1798,634,278,gnufied,0
AssetSync/asset_sync,35,1798,634,529,auser,0
AssetSync/asset_sync,35,1798,634,69304,apavlyut,0
AssetSync/asset_sync,35,1798,634,2780,andycroll,0
AssetSync/asset_sync,35,1798,634,3384,jhubert,0
AssetSync/asset_sync,35,1798,634,145506,juandazapata,0
AssetSync/asset_sync,35,1798,634,25966,reconbot,0
AssetSync/asset_sync,35,1798,634,16360,the-architect,0
AssetSync/asset_sync,35,1798,634,139095,karlfreeman,3
AssetSync/asset_sync,35,1798,634,845636,jontonsoup,0
AssetSync/asset_sync,35,1798,634,646665,mull,0
AssetSync/asset_sync,35,1798,634,6268,markus,0
AssetSync/asset_sync,35,1798,634,7711,benbonnet,0
AssetSync/asset_sync,35,1798,634,3228221,IslamAzab,0
BetterErrors/better_errors,176,6635,625,179065,charliesome,289
CanCanCommunity/cancancan,101,4730,1134,829668,bryanrite,182
ClosureTree/closure_tree,36,1514,938,216377,mceachen,715
CocoaPods/CocoaPods,548,12659,8965,1048705,fabiopelosin,1767
CocoaPods/CocoaPods,548,12659,8965,707703,JanC,0
CocoaPods/CocoaPods,548,12659,8965,613,lukeredpath,59
CocoaPods/CocoaPods,548,12659,8965,148608,quique123,0
CocoaPods/CocoaPods,548,12659,8965,44164,kylef,256
CocoaPods/CocoaPods,548,12659,8965,2320,alloy,979
CocoaPods/CocoaPods,548,12659,8965,124000,jweinberg,9
CocoaPods/CocoaPods,548,12659,8965,177228,nolanw,29
CocoaPods/CocoaPods,548,12659,8965,603056,SevInf,0
CocoaPods/CocoaPods,548,12659,8965,258,kommen,16
CocoaPods/CocoaPods,548,12659,8965,50583,webdevotion,0
CocoaPods/CocoaPods,548,12659,8965,59140,subdigital,15
CocoaPods/CocoaPods,548,12659,8965,52936,peelman,0
CocoaPods/CocoaPods,548,12659,8965,8608,siuying,23
CocoaPods/CocoaPods,548,12659,8965,50223,elsurudo,0
CocoaPods/CocoaPods,548,12659,8965,1936396,jasonsilberman,0
CocoaPods/CocoaPods,548,12659,8965,217368,yas375,15
CocoaPods/CocoaPods,548,12659,8965,192120,kylefleming,0
CocoaPods/CocoaPods,548,12659,8965,1255755,goonzoid,28
CocoaPods/CocoaPods,548,12659,8965,223396,cellularmitosis,1
CocoaPods/CocoaPods,548,12659,8965,446371,linktoming,0
CocoaPods/CocoaPods,548,12659,8965,51363,0xced,11
CocoaPods/CocoaPods,548,12659,8965,98260,rulien,0
CocoaPods/CocoaPods,548,12659,8965,94505,phillbaker,0
CocoaPods/CocoaPods,548,12659,8965,1516820,travisbot,0
CocoaPods/CocoaPods,548,12659,8965,886155,nickynick,0
CocoaPods/CocoaPods,548,12659,8965,324819,hunt3r,0
CocoaPods/CocoaPods,548,12659,8965,54219,groue,5
CocoaPods/CocoaPods,548,12659,8965,48797,Palleas,0
CocoaPods/CocoaPods,548,12659,8965,2354108,coveralls,0
CocoaPods/CocoaPods,548,12659,8965,966500,yvbeek,0
CocoaPods/CocoaPods,548,12659,8965,685561,BenjaminDigeon,0
CocoaPods/Xcodeproj,50,1741,2016,2320,alloy,278
ConradIrwin/pry-rescue,25,788,230,94272,ConradIrwin,123
ConradIrwin/pry-rescue,25,788,230,339861,Holek,0
DatabaseCleaner/database_cleaner,38,2615,1168,1837,bmabey,299
DavyJonesLocker/client_side_validations,56,2519,1259,66844,morganchristiansson,0
DavyJonesLocker/client_side_validations,56,2519,1259,18524,bcardarella,516
DavyJonesLocker/client_side_validations,56,2519,1259,55628,shanebdavis,0
DavyJonesLocker/client_side_validations,56,2519,1259,242861,msaspence,0
DavyJonesLocker/client_side_validations,56,2519,1259,307597,hartator,0
DavyJonesLocker/client_side_validations,56,2519,1259,10308,sferik,0
DavyJonesLocker/client_side_validations,56,2519,1259,708980,robhunter,0
DavyJonesLocker/client_side_validations,56,2519,1259,336549,techieBrandon,0
DavyJonesLocker/client_side_validations,56,2519,1259,495030,naive,0
DavyJonesLocker/client_side_validations,56,2519,1259,163584,sairam,0
DavyJonesLocker/client_side_validations,56,2519,1259,439314,laleshii,0
