user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
4723115,dkhamsing,2013-06-17T23:20:58Z,1,2361,4680,1,1,682.571153846154
2310221,qiuyuzhou,2012-09-09T08:17:23Z,1,445,559,11,26,336.7964772258153
484656,vsouza,2010-11-16T22:52:40Z,1,913,6151,10,10,275.48821329865063
1019875,onevcat,2011-09-01T16:27:21Z,1,1660,2030,6,6,272.30541871921184
366926,danielgindi,2010-08-17T07:59:15Z,1,1027,1713,3,5,221.58739054290717
1641148,kzaher,2012-04-13T17:53:24Z,2,1955,3798,8,14,184.71977732641238
346853,hollance,2010-07-28T11:28:14Z,2,267,2599,6,6,163.4463255098115
235645,malcommac,2010-04-02T11:34:52Z,2,1283,1649,2,2,149.38508186779868
1755579,kjessup,2012-05-19T20:46:50Z,1,596,800,4,15,128.33866666666665
1548468,mortenjust,2012-03-17T23:28:26Z,1,84,107,1,1,127.96261682242991
1287724,zhuhaow,2011-12-27T07:55:39Z,1,254,269,1,1,125.58364312267658
214288,robertjpayne,2010-03-02T23:28:25Z,1,383,510,2,5,119.55607843137255
8478049,lhc70000,2014-08-18T09:27:16Z,1,1499,2840,6,14,119.4374245472837
2439146,patchthecode,2012-09-27T17:58:16Z,1,950,1025,1,1,114.0
1435250,yanue,2012-02-14T01:20:02Z,1,268,297,6,10,112.07272727272728
1165044,1024jp,2011-11-01T14:42:19Z,1,9608,10055,1,1,111.7987071108901
758033,krzyzanowskim,2011-04-28T23:56:37Z,1,1082,1272,132,190,102.82760675273089
1660804,srdanrasic,2012-04-19T20:59:44Z,2,1232,1742,2,2,101.13432835820896
432536,jspahrsummers,2010-10-08T15:39:49Z,2,3434,12863,22,82,90.67771240256133
1342803,tanner0101,2012-01-18T04:24:17Z,1,2757,5463,22,68,90.12772555480183
329318,ashleymills,2010-07-12T08:05:20Z,1,217,335,1,1,87.44776119402985
212270,ianyh,2010-02-28T01:35:51Z,1,965,1196,1,1,83.1061872909699
852375,jamztang,2011-06-15T18:08:02Z,1,40,254,1,1,76.06299212598425
1198882,dabbott,2011-11-16T08:39:09Z,1,1685,2194,3,6,74.88035551504102
272929,LukeTangPL,2010-05-11T02:18:30Z,1,157,734,2,4,70.2649863760218
658,stephencelis,2008-02-22T22:26:04Z,1,374,860,7,10,68.79860465116278
810189,shogo4405,2011-05-25T16:00:59Z,1,1147,1325,4,4,67.52150943396227
429858,rnapier,2010-10-06T17:02:31Z,1,477,551,35,53,66.88747731397459
169110,cnoon,2009-12-17T20:09:04Z,2,1188,1982,17,179,66.09078353223705
58962,mxcl,2009-02-28T22:54:13Z,2,1444,6501,11,24,65.96954314720811
6917,sauliusgrigaitis,2008-04-12T10:43:02Z,1,90,108,1,1,62.5
954279,BradLarson,2011-08-02T14:26:48Z,1,108,135,1,2,61.199999999999996
2039987,yoavlt,2012-07-25T11:20:52Z,1,63,83,1,1,59.204819277108435
546885,nicklockwood,2011-01-04T11:44:48Z,1,1127,1317,3,3,59.04555808656037
1211049,nuclearace,2011-11-21T18:46:47Z,1,1508,1704,22,40,58.89518779342723
6221298,FlexMonkey,2013-12-19T08:52:10Z,1,184,195,1,1,57.55897435897436
2995438,Econa77,2012-12-08T11:16:22Z,1,277,455,1,1,56.61758241758242
16192914,alexaubry,2015-12-07T15:35:17Z,1,243,316,1,1,53.82911392405063
474794,jpsim,2010-11-09T22:03:40Z,2,2899,6677,5,13,49.42938445409615
40610,kishikawakatsumi,2008-12-15T20:44:05Z,1,504,546,1,2,49.38461538461539
7659,mattt,2008-04-17T03:18:54Z,2,283,1799,45,178,49.15483633229447
492449,damian-kolakowski,2010-11-22T21:28:56Z,1,283,612,3,3,48.55392156862745
1746532,mtnbarreto,2012-05-16T17:34:28Z,2,627,1162,3,14,48.447196951069586
899487,SCENEE,2011-07-07T01:03:34Z,1,547,595,1,1,47.80504201680672
