repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
3lvis/Networking,26,1237,792,1088217,3lvis,770
52inc/Pulley,36,1805,172,2217486,sonolumin,0
64characters/Telephone,52,852,2349,188413,eofster,1891
64characters/Telephone,52,852,2349,10258,lukaseppler,0
64characters/Telephone,52,852,2349,693586,hansmeiser,0
Alamofire/Alamofire,1086,34285,1462,519433,kaishin,0
Alamofire/Alamofire,1086,34285,1462,3412692,troypayne,0
Alamofire/Alamofire,1086,34285,1462,8332399,mikecole20,0
Alamofire/Alamofire,1086,34285,1462,498212,ashfurrow,0
Alamofire/Alamofire,1086,34285,1462,2551877,Isuru-Nanayakkara,0
Alamofire/Alamofire,1086,34285,1462,287033,zhfish,0
Alamofire/Alamofire,1086,34285,1462,106738,rkeniger,0
Alamofire/Alamofire,1086,34285,1462,413855,agassiyzh,0
Alamofire/Alamofire,1086,34285,1462,3041153,AlBirdie,0
Alamofire/Alamofire,1086,34285,1462,619602,johngibb,3
Alamofire/Alamofire,1086,34285,1462,118588,sger,0
Alamofire/Alamofire,1086,34285,1462,489138,duemunk,0
Alamofire/Alamofire,1086,34285,1462,4413253,aunzo,0
Alamofire/Alamofire,1086,34285,1462,1184094,mustafa,0
Alamofire/Alamofire,1086,34285,1462,2934694,skasriel,0
Alamofire/Alamofire,1086,34285,1462,1133950,PhiloNL,0
Alamofire/Alamofire,1086,34285,1462,16154,marcopompei,0
Alamofire/Alamofire,1086,34285,1462,921390,StabbarN,0
Alamofire/Alamofire,1086,34285,1462,1636440,Katafalkas,0
Alamofire/Alamofire,1086,34285,1462,248861,nvh,1
Alamofire/Alamofire,1086,34285,1462,1590527,felipevolpone,0
Alamofire/Alamofire,1086,34285,1462,1386966,yagudaev,0
Alamofire/Alamofire,1086,34285,1462,1327812,buddhistpirate,0
Alamofire/Alamofire,1086,34285,1462,184510,bendjones,0
Alamofire/Alamofire,1086,34285,1462,359712,westerlund,0
Alamofire/Alamofire,1086,34285,1462,1051674,dmur,0
Alamofire/Alamofire,1086,34285,1462,2359114,jqsilver,0
Alamofire/Alamofire,1086,34285,1462,452219,masterkrang,0
Alamofire/Alamofire,1086,34285,1462,8254443,AaronZhang2015,0
Alamofire/Alamofire,1086,34285,1462,1592573,HamGuy,0
Alamofire/Alamofire,1086,34285,1462,661647,mackoj,0
Alamofire/Alamofire,1086,34285,1462,6539031,JGiola,0
Alamofire/Alamofire,1086,34285,1462,2519801,jaernouts,0
Alamofire/Alamofire,1086,34285,1462,3043068,Reza-Rg,0
Alamofire/Alamofire,1086,34285,1462,38920,tkareine,0
Alamofire/Alamofire,1086,34285,1462,232113,Reflejo,0
Alamofire/Alamofire,1086,34285,1462,1106855,obohrer,1
Alamofire/Alamofire,1086,34285,1462,2466729,jpotts18,0
Alamofire/Alamofire,1086,34285,1462,5118009,rjjohnpatrickcruz,0
Alamofire/Alamofire,1086,34285,1462,241660,lvillani,0
Alamofire/Alamofire,1086,34285,1462,6243461,AnthonyMDev,0
Alamofire/Alamofire,1086,34285,1462,10771237,HOLLIZHAO,0
Alamofire/Alamofire,1086,34285,1462,5292428,slizeray,1
Alamofire/Alamofire,1086,34285,1462,3356474,skywinder,2
Alamofire/Alamofire,1086,34285,1462,177228,nolanw,0
Alamofire/Alamofire,1086,34285,1462,789577,getaaron,2
Alamofire/Alamofire,1086,34285,1462,7053374,natecook1000,1
Alamofire/Alamofire,1086,34285,1462,3459462,ylisr,0
Alamofire/Alamofire,1086,34285,1462,1318176,harshcs,0
Alamofire/Alamofire,1086,34285,1462,5417284,rmzr7,0
Alamofire/Alamofire,1086,34285,1462,8210075,n2b8,0
Alamofire/Alamofire,1086,34285,1462,7545099,theluxury,0
Alamofire/Alamofire,1086,34285,1462,169110,cnoon,767
Alamofire/Alamofire,1086,34285,1462,3779079,aemreunal,0
Alamofire/Alamofire,1086,34285,1462,205733,zkirill,0
Alamofire/Alamofire,1086,34285,1462,67347,subicura,1
Alamofire/Alamofire,1086,34285,1462,8456093,pantsulaZA,0
Alamofire/Alamofire,1086,34285,1462,213293,psobot,2
Alamofire/Alamofire,1086,34285,1462,9424982,sisuc,0
Alamofire/Alamofire,1086,34285,1462,4208695,dickwu,0
Alamofire/Alamofire,1086,34285,1462,887851,mossila,0
Alamofire/Alamofire,1086,34285,1462,5190296,avismarahl,0
Alamofire/Alamofire,1086,34285,1462,5865205,gtd138,0
Alamofire/AlamofireImage,73,3550,520,165385,troya2,0
Alamofire/AlamofireImage,73,3550,520,1100408,dwightwatson,0
AliSoftware/Dip,24,862,552,1488293,ilyapuchka,438
Anviking/Decodable,18,1056,382,191970,jordanekay,3
Anviking/Decodable,18,1056,382,304423,Anviking,318
ArtSabintsev/Siren,58,3622,842,1845482,ceyhun,0
Automattic/simplenote-macos,40,1090,2066,789137,roundhill,235
Awesome-Server-Side-Swift/TheList,55,855,54,3322446,NathanFlurry,1
Boris-Em/BEMCheckBox,47,2483,186,2869093,zhw511006,0
BradLarson/GPUImage2,153,4481,135,240258,rounak,3
Brightify/Cuckoo,31,1268,445,759248,adamszeptycki,0
Brightify/Cuckoo,31,1268,445,2283896,JRG-Developer,2
C4Labs/C4iOS,51,941,1053,1447498,C4Framework,648
CVCalendar/CVCalendar,107,3357,359,7033996,quattrogecko,0
Caldis/Mos,81,4875,295,5327960,CeresCa,0
Carthage/Carthage,392,13877,4225,59671,robrix,78
Carthage/Carthage,392,13877,4225,432536,jspahrsummers,939
Carthage/Carthage,392,13877,4225,283886,keith,1
Carthage/Carthage,392,13877,4225,265363,premedios,0
Carthage/Carthage,392,13877,4225,212465,robb,102
Carthage/Carthage,392,13877,4225,148758,mrgrauel,0
Carthage/Carthage,392,13877,4225,474794,jpsim,3
Carthage/Carthage,392,13877,4225,759730,pietbrauer,0
Carthage/Carthage,392,13877,4225,949286,RuiAAPeres,0
Carthage/Carthage,392,13877,4225,15866,casademora,0
Clipy/Clipy,93,4169,455,12798,shin1ogawa,0
Clipy/Clipy,93,4169,455,2995438,Econa77,277
CocoaDebug/CocoaDebug,58,3483,952,438943,kashiftriffort,0
Codigami/CFAlertViewController,30,1031,229,2585057,khalilleo,0
CosmicMind/Material,283,11597,2498,9982123,danieldahan,775
Danie1s/Tiercel,28,1822,138,21478687,MustangYM,1
DaveWoodCom/XCGLogger,98,3548,413,7332832,codervietnam,0
DeclarativeHub/Bond,98,4080,1234,1053150,smadbe,1
DeclarativeHub/Bond,98,4080,1234,606411,juhaelee,0
DeclarativeHub/ReactiveKit,45,1141,508,3139429,startupthekid,0
Ekhoo/Device,32,1371,187,1118875,florianchrometz,0
Finb/Bark,17,969,40,1001246,metrue,0
FlexMonkey/Filterpedia,61,2072,195,108899,leberwurstsaft,0
GitHawkApp/GitHawk,81,2713,1908,739696,rnystrom,554
GitHawkApp/GitHawk,81,2713,1908,15193942,Sherlouk,62
GitHawkApp/GitHawk,81,2713,1908,1036685,bigfish24,0
GitHawkApp/GitHawk,81,2713,1908,4190298,BasThomas,126
GitHawkApp/GitHawk,81,2713,1908,4723115,dkhamsing,8
Haneke/HanekeSwift,154,5031,543,912531,hpique,359
HearthSim/HSTracker,63,1040,2142,3922182,kleebaker,0
HearthSim/HSTracker,63,1040,2142,235510,bmichotte,1428
HearthSim/HSTracker,63,1040,2142,1130966,rdbell,1
HearthSim/HSTracker,63,1040,2142,16798,jpalermo,0
HearthSim/HSTracker,63,1040,2142,639,barrym,0
HearthSim/HSTracker,63,1040,2142,13068598,TimmyTurnUp,0
HearthSim/HSTracker,63,1040,2142,6070959,ElCharismo,0
HeroTransitions/Hero,369,18828,500,77759,pborreli,1
IBM-Swift/BlueSocket,68,1161,676,5926222,aotgc,0
IBM-Swift/BlueSocket,68,1161,676,693487,piyushchauhan2011,2
IBM-Swift/Kitura,268,7389,1160,5191832,dfirsht,166
IBM-Swift/Kitura,268,7389,1160,1310293,rfdickerson,106
IBM-Swift/Kitura,268,7389,1160,6609246,rolivieri,100
IBM-Swift/Kitura,268,7389,1160,16784982,vadimeisenbergibm,194
IBM-Swift/Kitura,268,7389,1160,1293950,siejkowski,0
IBM-Swift/Kitura,268,7389,1160,8682846,akimacho,0
IBM-Swift/Kitura,268,7389,1160,3672932,dewib,0
IBM-Swift/Kitura,268,7389,1160,12674288,mars-rover,0
IBM-Swift/Kitura,268,7389,1160,24727,korzonek,0
IBM-Swift/Kitura,268,7389,1160,16103068,shmuelk,112
IBM-Swift/Kitura,268,7389,1160,9628216,da-na,0
JadenGeller/Helium,67,3517,253,4544152,JadenGeller,189
JensRavens/Interstellar,28,1081,142,6581089,nRewik,0
Ji4n1ng/OpenInTerminal,25,3113,212,26346635,hsingll,0
Ji4n1ng/OpenInTerminal,25,3113,212,12479824,idejie,0
JiriTrecak/Laurine,28,1260,117,8090436,Vaberer,0
JohnCoates/Aerial,406,18500,1213,517257,nheagy,0
JohnCoates/Aerial,406,18500,1213,15344569,lllMPower,0
JohnCoates/Aerial,406,18500,1213,11500057,janost,1
JohnEstropia/CoreStore,69,2573,1076,1944847,mrichtsfeld,0
JohnEstropia/CoreStore,69,2573,1076,195169,PaulWoodIII,0
JohnEstropia/CoreStore,69,2573,1076,618233,mac-cain13,1
JohnEstropia/CoreStore,69,2573,1076,12937516,tomasgibas,0
JohnEstropia/CoreStore,69,2573,1076,3029684,JohnEstropia,1011
JohnSundell/Files,50,1895,178,346164,garriguv,3
JohnSundell/SwiftPlate,29,1715,117,3658887,BalestraPatrick,0
Jounce/Surge,149,4769,337,59671,robrix,3
LeonardoCardoso/SwiftLinkPreview,28,1163,198,1775157,LeonardoCardoso,150
Lision/WKWebViewJavascriptBridge,17,777,51,20411648,wendux,0
LoopKit/Loop,385,797,1286,212876,loudnate,592
MengTo/Spring,483,13720,254,1065452,MengTo,124
MessageKit/MessageKit,126,4330,1636,7445580,SD10,629
MessageKit/MessageKit,126,4330,1636,6182351,MacMeDan,18
MonitorControl/MonitorControl,58,5001,87,4009175,the0neyouseek,17
Mortennn/Dozer,43,3853,93,4361724,oiahoon,0
Moya/Moya,256,12419,3257,498212,ashfurrow,689
Moya/Moya,256,12419,3257,1035653,lipka,1
Moya/Moya,256,12419,3257,785920,retsohuang,0
Moya/Moya,256,12419,3257,432536,jspahrsummers,1
Moya/Moya,256,12419,3257,3356474,skywinder,8
Moya/Moya,256,12419,3257,759730,pietbrauer,1
Nightonke/Gitee,19,1086,66,26114458,NightonkeTest001,0
Nightonke/Gitee,19,1086,66,10706318,ecmadao,0
OAuthSwift/OAuthSwift,88,2691,719,57712,crw,0
OAuthSwift/OAuthSwift,88,2691,719,195806,cybercent,0
OAuthSwift/OAuthSwift,88,2691,719,74731,pieterclaerhout,0
OAuthSwift/OAuthSwift,88,2691,719,194593,munkius,0
OAuthSwift/OAuthSwift,88,2691,719,6347821,anbarasu0504,0
OAuthSwift/OAuthSwift,88,2691,719,2574318,rvangraan,3
OAuthSwift/OAuthSwift,88,2691,719,5062944,TarangKhanna,0
OAuthSwift/OAuthSwift,88,2691,719,376998,quintonwall,0
OAuthSwift/OAuthSwift,88,2691,719,2831901,larabear,0
OAuthSwift/OAuthSwift,88,2691,719,957336,khoogheem,3
OAuthSwift/OAuthSwift,88,2691,719,2235481,gburgyan,2
OAuthSwift/OAuthSwift,88,2691,719,9845073,Niels-P,0
OAuthSwift/OAuthSwift,88,2691,719,11369361,gabriel-jones,0
OAuthSwift/OAuthSwift,88,2691,719,11611462,jonas-andersson-stratsys,0
OAuthSwift/OAuthSwift,88,2691,719,7969126,acoleman-apc,0
OAuthSwift/OAuthSwift,88,2691,719,6060582,hopye,0
OAuthSwift/OAuthSwift,88,2691,719,2402782,alikazim,0
OAuthSwift/OAuthSwift,88,2691,719,846617,pschneider,0
OAuthSwift/OAuthSwift,88,2691,719,182851,ozgurersil,0
OAuthSwift/OAuthSwift,88,2691,719,1372292,derrickshowers,0
OAuthSwift/OAuthSwift,88,2691,719,7026025,orkhanalizade,0
OAuthSwift/OAuthSwift,88,2691,719,545878,sephethus,0
OAuthSwift/OAuthSwift,88,2691,719,4497992,mattiabugossi,0
OAuthSwift/OAuthSwift,88,2691,719,140584,s-aska,5
OAuthSwift/OAuthSwift,88,2691,719,1759113,srna,1
OAuthSwift/OAuthSwift,88,2691,719,12915080,matt-walker,0
OAuthSwift/OAuthSwift,88,2691,719,14161,ts,0
OAuthSwift/OAuthSwift,88,2691,719,5331101,benjaminboxler,0
OAuthSwift/OAuthSwift,88,2691,719,5002769,pculligan,2
OAuthSwift/OAuthSwift,88,2691,719,15814162,FridaySG,0
OAuthSwift/OAuthSwift,88,2691,719,15647722,SokichiFujita,0
OAuthSwift/OAuthSwift,88,2691,719,2245012,mattfaluotico,5
OAuthSwift/OAuthSwift,88,2691,719,701909,patoroco,0
OAuthSwift/OAuthSwift,88,2691,719,5035155,FareedQ,1
OAuthSwift/OAuthSwift,88,2691,719,6642141,cameronbarker,0
OAuthSwift/OAuthSwift,88,2691,719,8573865,mats-claassen,0
OAuthSwift/OAuthSwift,88,2691,719,5416288,itchingpixels,3
OAuthSwift/OAuthSwift,88,2691,719,4990835,sourov2008,0
OAuthSwift/OAuthSwift,88,2691,719,3265981,alexandreraulin,2
OAuthSwift/OAuthSwift,88,2691,719,15813674,dbmrq,0
OAuthSwift/OAuthSwift,88,2691,719,2462969,FGoessler,0
OAuthSwift/OAuthSwift,88,2691,719,8534039,jwrigh26,0
OAuthSwift/OAuthSwift,88,2691,719,18175997,SamL98,0
OAuthSwift/OAuthSwift,88,2691,719,1422491,ElvisYang,0
OAuthSwift/OAuthSwift,88,2691,719,22646,nighthawk,8
OAuthSwift/OAuthSwift,88,2691,719,927274,martinpilch,0
OAuthSwift/OAuthSwift,88,2691,719,8098077,back2mach,0
OAuthSwift/OAuthSwift,88,2691,719,9804821,dfclark,0
OAuthSwift/OAuthSwift,88,2691,719,15628215,ivanruizscm,0
OAuthSwift/OAuthSwift,88,2691,719,108218,jstart,0
OAuthSwift/OAuthSwift,88,2691,719,20831177,Mahadev77,0
OAuthSwift/OAuthSwift,88,2691,719,42468,ktakayama,3
OAuthSwift/OAuthSwift,88,2691,719,2880819,brdimattia,0
OAuthSwift/OAuthSwift,88,2691,719,7195235,idelfonsog2,0
OAuthSwift/OAuthSwift,88,2691,719,17547,mikegray,0
OAuthSwift/OAuthSwift,88,2691,719,12656790,lanza,0
OAuthSwift/OAuthSwift,88,2691,719,16155920,SwiftyGuerrero,0
OAuthSwift/OAuthSwift,88,2691,719,1233795,bzmario,1
OnionBrowser/OnionBrowser,119,1346,1051,53129,mtigas,112
OnionBrowser/OnionBrowser,119,1346,1051,1680587,aresando,0
OnionBrowser/OnionBrowser,119,1346,1051,4698657,vinnyx,0
OnionBrowser/OnionBrowser,119,1346,1051,4954079,ahappyman,0
OnionBrowser/OnionBrowser,119,1346,1051,518687,chrisballinger,0
OnionBrowser/OnionBrowser,119,1346,1051,7230974,Matb2,0
