user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
1128849,mholt,2011-10-14T18:37:00Z,1,635,831,1,2,287.31648616125153
6358735,alexellis,2014-01-09T11:26:40Z,1,1289,1918,1,2,168.349582898853
353371,miekg,2010-08-03T21:51:11Z,1,1204,2456,1,1,107.3599348534202
808475,deliahu,2011-05-24T20:42:59Z,1,890,1453,1,1,98.61665519614591
125426,calmh,2009-09-10T16:30:28Z,1,3738,6002,1,7,86.39020326557812
86922,evilsocket,2009-05-20T23:39:53Z,1,1556,1859,1,3,84.25892056661287
577672,egtann,2011-01-22T06:02:19Z,1,679,705,1,1,83.79148936170212
780807,iyangsj,2011-05-11T06:06:16Z,1,325,720,1,1,81.25
95166,ejholmes,2009-06-14T02:23:53Z,1,1345,2301,3,3,79.49587136027813
1108049,italolelis,2011-10-06T16:43:34Z,1,1246,1874,1,2,73.4701173959445
109109,rade,2009-07-27T14:49:34Z,1,2242,7255,1,1,72.00358373535492
90097,derekcollison,2009-05-30T05:06:40Z,1,1461,3114,1,3,59.42838792549776
1766515,samarabbas,2012-05-22T18:33:59Z,1,153,2137,1,2,58.24309780065512
1573114,mcuadros,2012-03-25T11:48:31Z,1,776,1540,1,1,50.38961038961038
3372410,aeneasr,2013-01-24T17:38:20Z,2,955,2662,25,51,47.83370899073378
726426,fujita,2011-04-13T06:55:40Z,1,1065,2786,3,3,47.78356066044508
6976628,Ullaakut,2014-03-17T15:22:08Z,1,118,185,2,3,45.49909909909909
71051,sosedoff,2009-04-06T17:11:11Z,1,899,1011,1,3,44.75733597098583
585223,tonistiigi,2011-01-26T19:58:17Z,1,1436,2578,1,1,44.004654771140416
482364,justincormack,2010-11-15T15:02:38Z,2,3089,10521,4,10,43.68816652409467
16295283,yaron2,2015-12-14T20:15:15Z,1,336,1081,1,2,42.73820536540241
238885,tsandall,2010-04-07T16:34:08Z,1,1704,2675,2,3,42.467289719626166
1420062,tiancaiamao,2012-02-08T15:54:22Z,1,725,11679,2,4,41.715900333932694
2230599,stgraber,2012-08-27T23:09:53Z,1,6334,15999,4,7,40.72111649835257
3248,zimbatm,2008-03-17T16:16:50Z,1,367,797,1,1,37.75909661229611
6604151,johanbrandhorst,2014-02-06T11:23:21Z,1,128,1003,1,1,35.47756729810568
960845,menghanl,2011-08-05T08:54:37Z,1,718,3435,2,6,34.41940805434255
393494,jdolitsky,2010-09-09T15:46:27Z,1,316,469,1,1,33.68869936034115
