repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
BurntSushi/toml,87,3296,263,456674,BurntSushi,148
BurntSushi/toml,87,3296,263,318501,cespare,44
DNSCrypt/dnscrypt-proxy,264,6426,1520,124872,jedisct1,1290
GoogleCloudPlatform/golang-samples,137,2289,1277,26876514,tbpg,371
Jeffail/benthos,71,2441,1946,3921142,Jeffail,1772
NebulousLabs/Sia,306,2705,9428,2316841,DavidVorick,3971
Shopify/sarama,410,6163,2416,1706826,eapache,907
StackExchange/dnscontrol,60,1735,838,6293917,tlimoncelli,354
TykTechnologies/tyk,262,5715,3406,14009,buger,257
TykTechnologies/tyk,262,5715,3406,3155222,letzya,8
TykTechnologies/tyk,262,5715,3406,8557292,ilijabojanovic,4
TykTechnologies/tyk,262,5715,3406,26384082,stale[bot],0
TykTechnologies/tyk,262,5715,3406,2444409,lonelycode,910
TykTechnologies/tyk,262,5715,3406,65402192,educroquet,0
TykTechnologies/tyk,262,5715,3406,52760096,tykbot[bot],0
TykTechnologies/tyk,262,5715,3406,3576549,mvdan,644
adnanh/webhook,136,5590,445,82367,adnanh,286
ahmetb/go-linq,73,2171,163,2354108,coveralls,0
anacrolix/torrent,135,3583,2393,988750,anacrolix,2254
ant0ine/go-json-rest,160,3427,547,40227,ant0ine,508
apache/dubbo-go,132,2236,2744,8655789,codecov-io,0
apache/dubbo-go,132,2236,2744,3828072,zouyx,319
apache/dubbo-go,132,2236,2744,13016899,hxmhlt,368
apex/up,134,7871,239,25254,tj,216
argoproj/argo-cd,92,3670,2383,426437,alexmt,967
asaskevich/govalidator,103,4344,570,170709,jmunson,0
asaskevich/govalidator,103,4344,570,16253529,AlexAslan,0
asaskevich/govalidator,103,4344,570,2610297,dulumao,0
asaskevich/govalidator,103,4344,570,1743646,bitsofinfo,0
asaskevich/govalidator,103,4344,570,11388205,rezaghanbari,0
asaskevich/govalidator,103,4344,570,5049590,asaskevich,288
asobti/kube-monkey,45,1798,386,1537954,asobti,128
astaxie/build-web-application-with-golang,2476,35452,5111,26186461,ch812248495,0
astaxie/build-web-application-with-golang,2476,35452,5111,233907,astaxie,1644
attic-labs/noms,203,7243,3981,657134,kalman,357
attic-labs/noms,203,7243,3981,80388,aboodman,969
attic-labs/noms,203,7243,3981,12848669,rafael-atticlabs,0
aws/aws-sdk-go,261,6037,4202,961963,jasdel,1180
aws/aws-sdk-go,261,6037,4202,1964445,xibz,496
aws/aws-sdk-go,261,6037,4202,55577,dgouldin,1
aws/aws-sdk-go,261,6037,4202,6450899,NeelamAggarwal,0
aws/aws-sdk-go,261,6037,4202,3298329,jeffb4,0
aws/aws-sdk-go,261,6037,4202,686,lsegal,447
aws/aws-sdk-go,261,6037,4202,655937,dthuering,0
bitly/oauth2_proxy,158,4976,386,649835,ploxiln,16
boramalper/magnetico,122,2292,298,5618038,boramalper,229
boramalper/magnetico,122,2292,298,5336,richardkiss,23
brigadecore/brigade,68,1979,1491,89193,technosophos,476
btcsuite/btcd,265,3924,3252,1420313,jrick,231
btcsuite/btcd,265,3924,3252,1701220,domgolonka,0
btcsuite/btcd,265,3924,3252,47253594,jmacxx,0
buzzfeed/sso,52,2475,313,1697250,shrayolacrayon,51
buzzfeed/sso,52,2475,313,187441,mreiferson,9
census-instrumentation/opencensus-go,83,1742,639,108380,rakyll,243
chain/chain,169,1668,3354,4178,kr,637
chain/chain,169,1668,3354,867352,jbowens,559
chain/chain,169,1668,3354,331061,bobg,246
chain/chain,169,1668,3354,1313716,erykwalder,396
chain/chain,169,1668,3354,773524,tessr,317
cockroachdb/cockroach,730,18672,50592,20559710,cockroach-teamcity,0
cockroachdb/cockroach,730,18672,50592,37807150,craig[bot],57
cockroachdb/cockroach,730,18672,50592,642886,knz,2726
cockroachdb/cockroach,730,18672,50592,160562,bdarnell,1625
cockroachdb/cockroach,730,18672,50592,5901480,mberhault,302
cockroachdb/cockroach,730,18672,50592,43821,jordanlewis,1313
cockroachdb/cockroach,730,18672,50592,6201335,petermattis,3458
cockroachdb/cockroach,730,18672,50592,1535036,tamird,3213
cockroachdb/cockroach,730,18672,50592,41181,mjibson,1095
cockroachdb/cockroach,730,18672,50592,16544120,RaduBerinde,2485
cockroachdb/cockroach,730,18672,50592,10560359,asubiotto,430
cockroachdb/cockroach,730,18672,50592,409075,justinj,165
cockroachdb/cockroach,730,18672,50592,4778111,isoos,0
cockroachdb/cockroach,730,18672,50592,15331872,rohany,363
cockroachdb/cockroach,730,18672,50592,5135385,yuzefovich,734
cockroachdb/cockroach,730,18672,50592,1565833,rjnn,38
cockroachdb/cockroach,730,18672,50592,1564582,cuongdo,101
cockroachdb/cockroach,730,18672,50592,63125349,blathers-crl[bot],0
containerd/containerd,268,5949,6109,9248427,AkihiroSuda,256
coredns/coredns,219,6483,2445,353371,miekg,1202
coredns/coredns,219,6483,2445,19671699,ekleiner,5
coreos/prometheus-operator,142,4627,3734,375856,s-urbaniak,68
cosmos/cosmos-sdk,159,1828,7084,6440154,ValarDragon,213
cosmos/cosmos-sdk,159,1828,7084,5265989,alexanderbez,557
cosmos/cosmos-sdk,159,1828,7084,932636,kwunyeung,3
cosmos/cosmos-sdk,159,1828,7084,1282182,melekes,18
cosmos/cosmos-sdk,159,1828,7084,5869273,faboweb,50
cosmos/cosmos-sdk,159,1828,7084,229356,alessio,382
cosmos/cosmos-sdk,159,1828,7084,4323424,joe-bowman,1
devopsfaith/krakend,91,2999,540,2354108,coveralls,0
devopsfaith/krakend,91,2999,540,1307694,kpacha,428
dexidp/dex,170,4846,1277,2342749,ericchiang,297
dexidp/dex,170,4846,1277,374301,andybrucenet,0
dexidp/dex,170,4846,1277,3858939,rithujohn191,144
dgraph-io/dgraph,379,13810,4729,1782324,manishrjain,847
dgraph-io/dgraph,379,13810,4729,7247941,pawanrawal,724
dgrijalva/jwt-go,154,8205,327,23713,dgrijalva,241
dgrijalva/jwt-go,154,8205,327,17508881,ErikYu,0
dgrijalva/jwt-go,154,8205,327,102987,mrbanzai,0
docker/deploykit,100,2222,854,22429695,codecov[bot],0
docker/distribution,263,5504,2823,1804568,thaJeztah,19
drakkan/sftpgo,42,1889,440,553263,drakkan,396
drakkan/sftpgo,42,1889,440,8655789,codecov-io,0
drone/drone,586,21606,3701,817538,bradrydzewski,2514
dutchcoders/transfer.sh,197,9786,426,221530,aspacca,144
elastic/beats,625,9107,11606,15837671,elasticmachine,0
elastic/beats,625,9107,11606,4565752,andrewkroh,1016
elastic/beats,625,9107,11606,244900,ruflin,1736
elastic/beats,625,9107,11606,14206422,dedemorton,772
elastic/beats,625,9107,11606,3876218,kvch,227
etcd-io/etcd,1350,32436,16293,6799218,gyuho,4272
ethereum/go-ethereum,1998,26550,11943,129561,karalabe,2150
ethereum/go-ethereum,1998,26550,11943,6264126,obscuren,3893
ethereum/go-ethereum,1998,26550,11943,6915,fjl,1160
ethereum/go-ethereum,1998,26550,11943,769725,zelig,377
ethereum/go-ethereum,1998,26550,11943,15710697,mention-bot,0
ethereum/go-ethereum,1998,26550,11943,731472,tgerring,569
ethereum/go-ethereum,1998,26550,11943,3272758,gballet,126
ethereum/go-ethereum,1998,26550,11943,8452011,CJentzsch,226
ethereum/go-ethereum,1998,26550,11943,4280775,bas-vk,75
ethereum/go-ethereum,1998,26550,11943,13557850,robotally,0
ethereum/go-ethereum,1998,26550,11943,8655789,codecov-io,0
ethereum/go-ethereum,1998,26550,11943,1474978,kumavis,1
fabiolb/fabio,219,6422,1049,1444686,leprechau,62
fabiolb/fabio,219,6422,1049,512783,tuempeltaucher,0
fatedier/frp,1438,38304,844,7346661,fatedier,713
fatedier/frp,1438,38304,844,5261491,vashstorm,9
flynn/flynn,277,7720,7411,605591,josephglanville,424
fullstorydev/grpcurl,46,3716,102,2035234,jhump,78
gilbertchen/duplicacy,96,3384,692,733361,adrianmihalko,0
gilbertchen/duplicacy,96,3384,692,605732,uj,0
gilbertchen/duplicacy,96,3384,692,373898,robbat2,0
gilbertchen/duplicacy,96,3384,692,15116283,uup4,0
gin-gonic/gin,1299,40986,1397,4488261,thinkerou,155
gin-gonic/gin,1299,40986,1397,2457529,javierprovecho,221
gin-gonic/gin,1299,40986,1397,1865832,thinkong,0
