issue_link,repo_name,user_id,user_login,user_role,creation date,account_createdate
https://api.github.com/repos/mikefarah/yq/issues/383,mikefarah/yq,7524528,030,questioner,2020-03-02T20:02:50Z,2014-05-08T14:30:16Z
https://api.github.com/repos/mikefarah/yq/issues/383,mikefarah/yq,1151925,mikefarah,commenter,2020-03-03T02:17:03Z,2011-10-25T22:18:17Z
https://api.github.com/repos/twpayne/chezmoi/issues/283,twpayne/chezmoi,6942,twpayne,questioner,2019-05-03T21:37:48Z,2008-04-12T14:22:40Z
https://api.github.com/repos/roboll/helmfile/issues/654,roboll/helmfile,488213,varac,questioner,2019-06-05T12:03:42Z,2010-11-19T09:16:58Z
https://api.github.com/repos/roboll/helmfile/issues/654,roboll/helmfile,24241455,loktionovam,commenter,2020-05-22T16:09:59Z,2016-11-29T06:03:16Z
https://api.github.com/repos/go-jira/jira/issues/243,go-jira/jira,3670674,delucks,questioner,2019-04-02T15:01:32Z,2013-02-22T15:11:23Z
https://api.github.com/repos/kyleconroy/sqlc/issues/452,kyleconroy/sqlc,4595459,soroushj,questioner,2020-04-10T15:25:51Z,2013-06-02T22:14:56Z
https://api.github.com/repos/kyleconroy/sqlc/issues/452,kyleconroy/sqlc,34893,kyleconroy,commenter,2020-04-10T17:44:31Z,2008-11-17T05:28:29Z
https://api.github.com/repos/helm/helm/issues/7568,helm/helm,62991,mattfarina,questioner,2020-02-10T18:42:56Z,2009-03-13T02:15:47Z
https://api.github.com/repos/helm/helm/issues/7568,helm/helm,1360539,bacongobbler,commenter,2020-02-10T19:22:48Z,2012-01-20T21:19:08Z
https://api.github.com/repos/bitly/oauth2_proxy/issues/503,bitly/oauth2_proxy,709220,talam,questioner,2017-11-20T19:51:55Z,2011-04-04T19:37:45Z
https://api.github.com/repos/bitly/oauth2_proxy/issues/503,bitly/oauth2_proxy,649835,ploxiln,commenter,2017-11-20T23:27:55Z,2011-03-03T21:50:21Z
https://api.github.com/repos/syncthing/syncthing/issues/1849,syncthing/syncthing,12550453,aliassmoller,questioner,2015-05-21T20:08:29Z,2015-05-21T20:02:26Z
https://api.github.com/repos/syncthing/syncthing/issues/1849,syncthing/syncthing,125426,calmh,commenter,2015-05-21T20:34:33Z,2009-09-10T16:30:28Z
https://api.github.com/repos/caddyserver/caddy/issues/1039,caddyserver/caddy,15530,ijt,questioner,2016-08-16T01:00:13Z,2008-06-30T08:55:09Z
https://api.github.com/repos/caddyserver/caddy/issues/1039,caddyserver/caddy,1128849,mholt,commenter,2016-08-16T04:14:07Z,2011-10-14T18:37:00Z
https://api.github.com/repos/cloudreve/Cloudreve/issues/371,cloudreve/Cloudreve,7188738,lujiaxing,questioner,2020-05-10T19:03:42Z,2014-04-05T12:21:07Z
https://api.github.com/repos/cloudreve/Cloudreve/issues/371,cloudreve/Cloudreve,7813681,zjsth92,commenter,2020-05-10T20:24:14Z,2014-06-06T08:22:48Z
https://api.github.com/repos/hashicorp/packer/issues/8182,hashicorp/packer,4372440,hlein,questioner,2019-10-02T19:23:22Z,2013-05-08T04:53:48Z
https://api.github.com/repos/etcd-io/etcd/issues/7449,etcd-io/etcd,33113,tpot,questioner,2017-03-08T04:43:29Z,2008-11-07T05:39:57Z
https://api.github.com/repos/etcd-io/etcd/issues/7449,etcd-io/etcd,6799218,gyuho,commenter,2017-03-08T16:47:53Z,2014-02-26T23:35:10Z
https://api.github.com/repos/etcd-io/etcd/issues/7449,etcd-io/etcd,16294350,heyitsanthony,commenter,2017-03-08T17:01:25Z,2015-12-14T18:51:56Z
https://api.github.com/repos/etcd-io/etcd/issues/7449,etcd-io/etcd,4479947,xiang90,commenter,2017-03-09T00:39:19Z,2013-05-20T14:48:28Z
