user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
2946214,unknwon,2012-12-02T20:02:58Z,1,3552,5404,1,1,710.5314581791265
1128849,mholt,2011-10-14T18:37:00Z,2,723,984,3,3,587.0701219512196
394382,bep,2010-09-10T09:21:18Z,1,3274,5889,1,1,579.8577007980981
125426,calmh,2009-09-10T16:30:28Z,1,3727,5974,6,8,451.9938901908269
4533203,snail007,2013-05-26T14:38:11Z,1,273,276,1,1,414.44565217391306
124872,jedisct1,2009-09-09T10:20:57Z,1,1290,1520,4,4,224.0526315789474
353371,miekg,2010-08-03T21:51:11Z,2,4532,6427,2,3,181.92873813598877
676724,dennwc,2011-03-18T08:50:05Z,1,496,1743,1,1,173.8703384968445
536803,ncw,2010-12-26T09:44:50Z,1,3490,4691,5,12,161.1951964755205
5447088,hacdias,2013-09-12T19:56:29Z,1,1593,2028,1,1,153.17307692307693
8456633,jesseduffield,2014-08-15T09:18:18Z,1,1183,1852,1,1,143.0842332613391
770982,coreybutler,2011-05-05T21:03:39Z,1,179,241,2,4,135.54979253112032
71051,sosedoff,2009-04-06T17:11:11Z,1,899,1011,1,1,135.16122650840754
817538,bradrydzewski,2011-05-29T20:33:45Z,1,2514,3701,1,3,132.68522021075384
3416908,chanxuehong,2013-01-29T12:55:05Z,1,28,42,1,1,113.33333333333333
589370,sougou,2011-01-29T02:08:10Z,1,4444,20446,1,1,110.63269099090287
7496278,panjf2000,2014-05-06T04:33:07Z,1,412,426,1,1,106.3849765258216
129561,karalabe,2009-09-21T15:01:01Z,1,2150,11943,3,11,98.09549907515243
2419214,lowzj,2012-09-25T10:12:19Z,1,639,1726,1,1,74.78447276940904
2230599,stgraber,2012-08-27T23:09:53Z,1,6300,15858,1,1,72.70147559591373
28627,jefferai,2008-10-12T13:55:28Z,1,4043,12543,1,3,71.98729703154481
55211,smira,2009-02-17T12:13:05Z,1,1653,1910,5,6,70.67801047120419
120601,stevvooe,2009-08-28T17:35:39Z,1,733,2823,2,2,68.2886999645767
2432,mmcgrana,2008-03-06T18:29:50Z,1,861,1076,1,2,67.61570631970261
6783261,aelsabbahy,2014-02-25T14:28:48Z,1,295,418,1,1,66.33971291866028
