repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
AdguardTeam/AdGuardHome,165,5018,2417,8759201,happyhater,0
Azure/draft,148,3929,1415,1360539,bacongobbler,467
CodisLabs/codis,918,11347,1688,29562397,zxin-git,0
DNSCrypt/dnscrypt-proxy,272,6480,1526,6985180,zhizhongzhiwai,0
DNSCrypt/dnscrypt-proxy,272,6480,1526,6761903,SilmorSenedlen,0
DNSCrypt/dnscrypt-proxy,272,6480,1526,63152795,impervius,0
DNSCrypt/dnscrypt-proxy,272,6480,1526,12475110,drduh,0
DNSCrypt/dnscrypt-proxy,272,6480,1526,32977942,taoje,0
Dreamacro/clash,271,11274,488,38127923,cottonchen,0
GoogleContainerTools/container-diff,70,2546,495,896032,r2d4,22
OpenDiablo2/OpenDiablo2,185,8471,772,936440,gravestench,86
TykTechnologies/tyk,262,5737,3417,14009,buger,258
XiaoMi/soar,283,6526,378,1827047,martianzhang,288
aelsabbahy/goss,93,4044,418,1928266,taurus-forever,0
alecthomas/gometalinter,68,3553,448,40799,docwhat,0
ansible-semaphore/semaphore,218,3403,614,5472821,ha02148,0
apex/up,134,7891,239,1527816,quocnguyen,0
aptly-dev/aptly,97,1875,1910,926226,ryanolson,0
aptly-dev/aptly,97,1875,1910,55211,smira,1653
aptly-dev/aptly,97,1875,1910,1359352,x539,0
aptly-dev/aptly,97,1875,1910,1980544,fxcoudert,0
aptly-dev/aptly,97,1875,1910,578441,thebwt,0
aptly-dev/aptly,97,1875,1910,1381633,steven-aerts,0
aptly-dev/aptly,97,1875,1910,4625327,tjmerritt,0
argoproj/argo-cd,92,3773,2440,8511577,yann-soubeyrand,1
astaxie/beego,1259,24785,3650,2841473,wy65701436,2
attic-labs/noms,203,7256,3981,80388,aboodman,969
attic-labs/noms,203,7256,3981,12848669,rafael-atticlabs,0
aws/aws-sdk-go,259,6051,4214,161517,slooker,0
bitly/oauth2_proxy,158,4979,386,709220,talam,10
bitly/oauth2_proxy,158,4979,386,7912669,natlibfi-arlehiko,0
brigadecore/brigade,68,1990,1491,1360539,bacongobbler,106
btcsuite/btcd,262,3933,3269,2115102,davecgh,1596
btcsuite/btcd,262,3933,3269,6586275,dabura667,0
btcsuite/btcd,262,3933,3269,588327,nustiueudinastea,0
btcsuite/btcd,262,3933,3269,6881563,lorenzodisidoro,0
btcsuite/btcd,262,3933,3269,43928,ishbir,2
caddyserver/caddy,752,29878,831,15530,ijt,0
caddyserver/caddy,752,29878,831,707839,bobobo1618,0
cayleygraph/cayley,610,13544,1743,10741833,dogfoodsilo4,0
census-instrumentation/opencensus-go,83,1746,639,108380,rakyll,243
chain/chain,168,1668,3354,698,oleganza,26
chain/chain,168,1668,3354,1313716,erykwalder,396
chanxuehong/wechat,170,2120,42,3872209,fmzquant,0
chrislusf/seaweedfs,529,10212,4044,1543151,chrislusf,3386
chubaofs/chubaofs,71,1940,1391,47099843,awzhgw,518
chubaofs/chubaofs,71,1940,1391,5708406,mervinkid,250
cilium/cilium,222,6280,14049,3858271,ianvernon,1122
cilium/cilium,222,6280,14049,5714066,aanm,2444
cilium/cilium,222,6280,14049,677393,borkmann,586
claudiodangelis/qrcp,107,7320,179,314435,zub,0
cli/cli,151,11486,2260,20295545,jmairboeck,0
cloudflare/cfssl,196,5491,1267,1222706,lziest,219
cloudflare/cfssl,196,5491,1267,41777,dol,1
cloudreve/Cloudreve,144,5930,493,7188738,lujiaxing,0
