user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
187441,mreiferson,2010-01-22T04:32:09Z,1,1335,2116,1,1,530.5931001890359
4533203,snail007,2013-05-26T14:38:11Z,1,273,276,2,2,414.44565217391306
536803,ncw,2010-12-26T09:44:50Z,1,3490,4691,1,1,386.8684715412492
233907,astaxie,2010-03-31T06:07:58Z,1,1851,3643,3,6,320.1015646445237
2946214,unknwon,2012-12-02T20:02:58Z,1,3552,5404,7,17,292.57177689728735
33192,yudai,2008-11-07T14:42:48Z,1,197,230,1,1,286.9347826086957
7346661,fatedier,2014-04-19T13:31:28Z,1,713,844,3,14,260.3149966147596
3665700,lifei6671,2013-02-22T03:26:07Z,1,663,705,1,1,236.9872340425532
125426,calmh,2009-09-10T16:30:28Z,1,3727,5974,3,8,225.99694509541345
536312,otoolep,2010-12-25T15:28:51Z,1,1682,1726,1,1,198.7995365005794
3161529,coyove,2013-01-01T01:50:28Z,1,371,387,1,1,180.22739018087856
33411,garyburd,2008-11-08T23:29:55Z,1,183,292,3,4,179.08304794520546
1196565,FZambia,2011-11-15T13:16:56Z,1,1075,1156,2,2,177.61678200692043
1543151,chrislusf,2012-03-16T07:17:44Z,1,3309,3948,2,5,176.6811550151976
6550035,schollz,2014-01-31T01:31:11Z,1,306,338,1,1,168.39053254437871
1156077,tidwall,2011-10-27T16:32:43Z,1,699,874,1,1,163.95308924485124
1241807,txthinking,2011-12-05T13:48:18Z,1,282,292,1,3,163.21232876712327
2801795,ginuerzh,2012-11-15T04:23:53Z,1,527,569,5,8,161.50373462214412
134848,olivere,2009-10-04T13:37:22Z,1,1121,1278,1,1,147.36150234741785
21,technoweenie,2008-01-14T04:33:35Z,1,2606,7729,1,1,143.2979686893518
817538,bradrydzewski,2011-05-29T20:33:45Z,1,2514,3701,3,9,132.68522021075384
1128849,mholt,2011-10-14T18:37:00Z,2,671,1809,17,41,131.18918955358708
22343354,cookieY,2016-09-21T10:00:59Z,1,33,53,1,1,127.64150943396226
836692,inconshreveable,2011-06-08T04:44:32Z,1,279,328,4,18,122.86585365853658
25254,tj,2008-09-18T22:37:28Z,1,216,239,1,1,121.10460251046025
12163055,ouqiang,2015-04-29T02:46:01Z,1,287,298,1,1,120.38590604026845
796136,wolfy-j,2011-05-18T15:51:49Z,1,1042,1386,1,1,118.78499278499278
2626530,schachmat,2012-10-22T23:05:37Z,1,121,143,2,3,102.1025641025641
13736691,kozlovic,2015-08-10T19:34:06Z,2,1937,4604,2,4,98.65910078192876
7319658,caffix,2014-04-16T21:00:57Z,1,926,1222,1,1,97.75286415711948
808475,deliahu,2011-05-24T20:42:59Z,1,880,1434,1,1,96.95955369595536
3372410,aeneasr,2013-01-24T17:38:20Z,2,918,2611,3,3,93.87437763309077
1317288,jordan-wright,2012-01-10T03:43:37Z,1,610,748,3,7,92.96791443850266
28627,jefferai,2008-10-12T13:55:28Z,1,4043,12543,30,72,89.98412128943103
298370,markmandel,2010-06-07T02:07:36Z,1,678,1291,1,1,84.55305964368706
1804568,thaJeztah,2012-06-01T10:11:02Z,1,4036,38899,7,27,84.54567145875406
1080370,siddontang,2011-09-26T11:23:58Z,1,248,464,1,1,84.44827586206897
60973,coryb,2009-03-07T02:36:13Z,1,534,718,1,1,81.81058495821726
10550069,gilbertchen,2015-01-15T16:59:49Z,1,557,692,1,1,77.27167630057802
86922,evilsocket,2009-05-20T23:39:53Z,1,1556,1859,4,13,76.23221748665536
39825,dominikh,2008-12-11T13:56:56Z,1,1347,1396,1,1,72.36747851002865
2052966,drk1wi,2012-07-27T16:22:39Z,1,92,102,2,3,71.55555555555556
673509,slackpad,2011-03-16T17:09:50Z,1,1808,12314,1,2,71.50365437713172
131818,jordansissel,2009-09-27T08:35:11Z,1,557,638,2,9,71.20132358063393
4479947,xiang90,2013-05-20T14:48:28Z,2,4059,17217,8,46,65.51948907929724
129561,karalabe,2009-09-21T15:01:01Z,1,2150,11943,2,11,65.39699938343496
633843,jpillora,2011-02-23T11:59:12Z,1,85,135,3,4,65.16666666666666
2270010,hlandau,2012-09-03T10:12:40Z,1,390,419,1,1,62.362768496420045
524990,edenhill,2010-12-15T22:07:50Z,1,207,290,1,3,62.33793103448276
1810977,42wim,2012-06-02T22:54:36Z,1,1127,1336,2,2,61.580089820359284
552817,tylertreat,2011-01-08T02:48:03Z,1,747,910,1,1,61.565934065934066
353371,miekg,2010-08-03T21:51:11Z,2,4532,6427,2,9,60.64291271199625
129742,fiorix,2009-09-22T01:02:43Z,1,335,369,5,16,59.861957994579946
90097,derekcollison,2009-05-30T05:06:40Z,1,1455,3088,1,3,59.36852331606218
6799218,gyuho,2014-02-26T23:35:10Z,1,4272,16293,7,42,58.99466028355735
905501,brendensoares,2011-07-10T02:22:53Z,1,174,1618,1,1,58.82447466007416
1144861,AudriusButkevicius,2011-10-22T11:42:46Z,1,965,5974,3,8,58.51544191496484
917931,BenTheElder,2011-07-15T15:26:58Z,1,1379,2580,1,1,57.19108527131783
343539,jzelinskie,2010-07-25T14:34:38Z,1,401,1031,2,3,56.526349822179114
26574873,DarienRaymond,2017-03-21T14:20:11Z,1,4137,5112,5,100,55.19237089201879
229005,magiconair,2010-03-23T21:56:17Z,1,799,1049,2,7,47.65926732942939
28896,OJ,2008-10-14T10:22:40Z,1,119,284,1,1,46.09154929577465
104030,rsc,2009-07-12T01:32:28Z,1,6502,44516,16,180,45.37592476113458
15870,wvanbergen,2008-07-03T04:28:50Z,1,267,2416,1,1,45.31043046357616
123276,fd0,2009-09-04T14:39:10Z,1,3592,4676,1,4,44.93840889649273
1048079,danielnelson,2011-09-13T18:01:46Z,1,1977,5046,1,3,44.66468489892984
20407524,k8s-ci-robot,2016-07-11T21:15:57Z,5,24487,155724,28,441,44.27852003524347
2199726,pleshakov,2012-08-22T22:57:42Z,1,334,786,5,5,44.19338422391857
94029,moul,2009-06-10T16:36:20Z,1,552,610,1,1,43.4360655737705
7115638,brian-brazil,2014-03-31T12:59:18Z,3,645,10557,15,30,41.8513782324524
507354,iaguis,2010-12-03T00:49:47Z,1,1029,5569,1,2,40.83479978452146
622699,harshavardhana,2011-02-17T05:54:41Z,1,2218,7128,1,4,40.685115039281705
1034429,lkysow,2011-09-08T00:22:40Z,1,1096,1610,2,2,40.16397515527951
2601015,jonboulle,2012-10-19T16:51:11Z,1,1009,5569,1,2,40.04112048841803
52241,andrewsmedina,2009-02-06T03:13:28Z,1,2809,14892,1,1,38.29082728982004
57224,dunglas,2009-02-23T20:14:55Z,1,356,417,3,4,37.77697841726619
2230599,stgraber,2012-08-27T23:09:53Z,1,6300,15858,1,2,36.35073779795687
1478487,marten-seemann,2012-02-27T14:00:51Z,1,3925,4808,1,4,36.32747504159734
4488261,thinkerou,2013-05-21T10:27:51Z,1,155,1397,1,4,36.03167501789549
3523016,yurishkuro,2013-02-10T04:27:05Z,1,354,1104,1,3,35.59239130434783
6915,fjl,2008-04-12T10:37:15Z,1,1160,11943,2,11,35.283962458039326
6635,tomdee,2008-04-11T14:40:14Z,1,259,924,2,4,34.75757575757576
1048514,travisn,2011-09-13T20:48:08Z,1,1911,5494,1,3,31.305060065526025
20172653,wlahti,2016-06-27T18:33:00Z,1,388,13248,1,1,30.898248792270532
22956341,cwen0,2016-10-20T10:03:34Z,1,161,537,1,1,30.880819366852887
5674651,ldez,2013-10-13T05:39:36Z,2,1184,4657,10,68,30.621076431431494
260258,elazarl,2010-04-30T05:46:13Z,1,169,292,2,6,30.28881278538813
444037,tomwilkie,2010-10-18T14:02:57Z,1,999,3409,1,1,29.304781460838957
161571,aledbf,2009-12-03T20:27:14Z,2,2558,9244,47,199,29.214126669696384
