user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
865763,smallnest,2011-06-22T02:01:20Z,1,469,507,1,1,308.0414201183432
21979,appleboy,2008-08-26T02:05:56Z,1,714,761,1,1,177.32720105124835
1804568,thaJeztah,2012-06-01T10:11:02Z,3,5546,52110,7,23,114.43862564975429
1690273,sgotti,2012-04-29T15:55:04Z,1,764,844,1,1,95.95260663507108
2300911,ebuchman,2012-09-07T16:25:37Z,1,2843,8243,1,1,90.36345990537427
1478487,marten-seemann,2012-02-27T14:00:51Z,1,3942,4825,5,9,79.8839378238342
90097,derekcollison,2009-05-30T05:06:40Z,2,2072,4209,2,7,76.51413637443572
129561,karalabe,2009-09-21T15:01:01Z,1,2160,11968,1,5,72.22860962566845
17530,asim,2008-07-19T16:29:57Z,1,1583,3646,1,3,70.19153410129823
6976628,Ullaakut,2014-03-17T15:22:08Z,1,118,185,1,1,68.24864864864864
8446613,adg,2014-08-14T08:09:35Z,1,666,2302,1,1,66.83145091225022
13736691,kozlovic,2015-08-10T19:34:06Z,2,1064,4209,3,7,58.936564504632926
622699,harshavardhana,2011-02-17T05:54:41Z,1,2239,7184,1,3,55.37244803266518
2230599,stgraber,2012-08-27T23:09:53Z,1,6334,15999,9,13,49.33519883454254
726426,fujita,2011-04-13T06:55:40Z,1,1065,2786,2,2,47.78356066044508
1196565,FZambia,2011-11-15T13:16:56Z,1,1079,1160,1,4,44.648275862068964
187441,mreiferson,2010-01-22T04:32:09Z,1,383,586,1,1,42.48293515358362
26254420,breezelxp,2017-03-07T15:35:42Z,1,4810,26699,1,1,42.15663507996555
3523016,yurishkuro,2013-02-10T04:27:05Z,1,284,1132,1,2,41.897526501766784
891222,coocood,2011-07-03T04:32:17Z,1,1077,11679,1,3,41.31312612381197
456109,casualjim,2010-10-27T10:00:43Z,1,1796,2727,1,2,41.16244957829117
780807,iyangsj,2011-05-11T06:06:16Z,1,325,720,3,6,40.625
16449274,nejisama,2015-12-27T04:15:42Z,1,932,4113,1,1,39.20155604181862
5609886,beorn7,2013-10-04T08:42:18Z,1,625,1154,1,1,35.745233968804165
1573114,mcuadros,2012-03-25T11:48:31Z,1,776,1540,2,3,33.59307359307358
11863108,youngbupark,2015-04-09T01:29:38Z,1,257,1081,1,2,32.68963922294172
2270010,hlandau,2012-09-03T10:12:40Z,1,390,419,1,2,31.181384248210023
7171,davecheney,2008-04-14T04:00:20Z,1,1609,2808,11,17,28.919934640522875
3308,ddollar,2008-03-17T20:57:12Z,1,4124,8164,3,3,27.782949534541892
2801795,ginuerzh,2012-11-15T04:23:53Z,1,527,569,1,10,26.118453427065027
591127,ccojocar,2011-01-30T11:52:26Z,1,183,583,2,2,25.4253859348199
3308193,dajohi,2013-01-18T17:16:43Z,1,316,3269,1,1,25.326399510553685
6799218,gyuho,2014-02-26T23:35:10Z,1,4273,16297,2,28,25.3205936237169
3372410,aeneasr,2013-01-24T17:38:20Z,1,628,2036,1,3,23.339227242960053
585223,tonistiigi,2011-01-26T19:58:17Z,1,1436,2578,1,2,22.002327385570208
1312331,jeremyje,2012-01-08T01:39:48Z,1,214,918,1,1,21.91285403050109
42219498,ospillinger,2018-08-08T19:08:33Z,1,193,1453,1,1,21.38540949759119
238885,tsandall,2010-04-07T16:34:08Z,1,1704,2675,2,6,21.233644859813083
395454,yesnault,2010-09-11T09:58:45Z,1,1207,4284,1,1,21.13095238095238
1963463,ngtuna,2012-07-12T13:55:46Z,1,363,1017,1,3,20.70206489675516
18437,wadey,2008-07-25T22:20:47Z,1,49,164,1,3,20.516260162601625
75886,urso,2009-04-20T21:36:34Z,1,961,11664,3,8,19.402906378600825
101424,tstromberg,2009-07-03T14:32:35Z,1,3072,11773,2,13,18.666962868101066
229005,magiconair,2010-03-23T21:56:17Z,1,799,1051,1,9,18.5833597631885
104030,rsc,2009-07-12T01:32:28Z,1,6502,44638,3,86,17.834960722796406
13026,titanous,2008-06-08T23:38:34Z,1,3195,7411,3,21,17.059872390462054
8125524,bboreham,2014-07-10T14:28:41Z,1,574,3445,1,1,16.661828737300436
1693482,mrjana,2012-04-30T18:47:39Z,1,538,2980,1,2,16.338590604026844
10080882,aboch,2014-12-04T23:47:00Z,1,535,2980,1,2,16.24748322147651
20172653,wlahti,2016-06-27T18:33:00Z,1,389,13275,1,2,15.501393596986816
1476820,nathanleclaire,2012-02-26T23:19:45Z,1,700,3463,1,4,15.362402541149292
1417913,tgraf,2012-02-07T23:34:33Z,1,2557,14049,4,11,14.692834818395356
