repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
DNSCrypt/dnscrypt-proxy,272,6480,1526,10137,ghost,0
DNSCrypt/dnscrypt-proxy,272,6480,1526,41778946,leeee-me,0
DNSCrypt/dnscrypt-proxy,272,6480,1526,1784328,uzen,0
GoogleContainerTools/kaniko,123,6455,1542,31992054,bryanhuntesl,0
GoogleContainerTools/kaniko,123,6455,1542,18001624,lvjiangzhao,0
GoogleContainerTools/kaniko,123,6455,1542,896032,r2d4,12
GoogleContainerTools/kaniko,123,6455,1542,6324394,cchanley2003,0
GoogleContainerTools/kaniko,123,6455,1542,7206343,rishka,0
aerokube/selenoid,96,1697,987,487261,vgrigoruk,1
alibaba/pouch,270,4293,2988,12136478,changyaowei,1
ansible-semaphore/semaphore,218,3403,614,1575876,irongomme,0
cheat/cheat,189,6612,1141,3707485,ppiersonbt,0
chrislusf/seaweedfs,529,10212,4044,32614138,nxsre,0
chubaofs/chubaofs,71,1940,1391,2278418,ZhuZhengyi,73
cockroachdb/cockroach,731,18750,51111,642886,knz,2758
cockroachdb/cockroach,731,18750,51111,5901480,mberhault,302
cockroachdb/cockroach,731,18750,51111,20559710,cockroach-teamcity,0
containerd/containerd,272,6003,6163,5595220,thockin,0
containerd/containerd,272,6003,6163,7887287,penglongli,0
containerd/containerd,272,6003,6163,1010944,linxiulei,3
containerd/containerd,272,6003,6163,16984932,qianzhangxa,0
containers/buildah,79,3199,2365,2000835,rhatdan,514
containers/buildah,79,3199,2365,1200159,nalind,576
containers/buildah,79,3199,2365,23665824,QiWang19,29
containers/libpod,142,5216,9044,25613829,TomSweeneyRedHat,148
containers/libpod,142,5216,9044,29377163,umohnani8,95
containers/libpod,142,5216,9044,2612193,grzegorzk,0
containers/libpod,142,5216,9044,721894,edwintorok,0
containers/libpod,142,5216,9044,42019725,coderwangke,0
containers/skopeo,87,2479,1500,9638307,mickey-stratoscale,0
containers/skopeo,87,2479,1500,1387249,Kenzku,0
containers/skopeo,87,2479,1500,24595090,ezaluzec,0
containers/skopeo,87,2479,1500,849915,runcom,449
coreos/fleet,137,2442,2952,548759,bcwaldon,1596
coreos/fleet,137,2442,2952,4670056,anthdm,0
cri-o/cri-o,126,2595,5041,1043863,sameo,64
cyfdecyf/cow,429,8124,1059,11171020,sunshineplan,0
dgraph-io/dgraph,382,13868,4788,2251820,danielmai,313
docker-slim/docker-slim,151,9062,500,236589,solarnz,1
docker/classicswarm,339,5819,3570,15192206,luka5z,0
docker/classicswarm,339,5819,3570,3927123,bklau,0
docker/cli,112,2351,7046,1804568,thaJeztah,1325
docker/cli,112,2351,7046,3338098,rn,0
docker/cli,112,2351,7046,6213926,olljanat,5
docker/cli,112,2351,7046,4493281,clnperez,6
docker/cli,112,2351,7046,694733,marcofranssen,0
docker/cli,112,2351,7046,15428948,RotemEmergi,0
docker/distribution,262,5521,2829,7446428,shyr,1
docker/distribution,262,5521,2829,6697905,renaborges,0
docker/distribution,262,5521,2829,3006298,tomwillfixit,0
docker/distribution,262,5521,2829,53462537,shoaibbutt50,0
docker/distribution,262,5521,2829,8278682,margana,0
docker/distribution,262,5521,2829,6760834,batwicket,0
docker/distribution,262,5521,2829,7944659,susandiamond,0
docker/distribution,262,5521,2829,12129046,BradleyA,0
docker/distribution,262,5521,2829,27260541,gsainagendraprasad,0
docker/distribution,262,5521,2829,4284791,Davidrjx,0
docker/distribution,262,5521,2829,2367184,six0h,0
docker/distribution,262,5521,2829,3621892,annirg,0
docker/distribution,262,5521,2829,808906,HugoKuo,0
docker/distribution,262,5521,2829,13506816,AltairCA,0
docker/distribution,262,5521,2829,9094255,Ten0,0
docker/distribution,262,5521,2829,3181426,robertglen,0
docker/distribution,262,5521,2829,9573356,nklmilojevic,0
docker/distribution,262,5521,2829,19549904,nanab4u,0
docker/machine,304,6045,3463,2944739,andrestc,26
docker/machine,304,6045,3463,5950433,pdxjohnny,0
docker/machine,304,6045,3463,11721615,jeffellin,1
docker/machine,304,6045,3463,8956643,allamand,0
docker/machine,304,6045,3463,33425802,violetaDo,0
docker/machine,304,6045,3463,13143081,rhim,0
docker/machine,304,6045,3463,914122,martinheidegger,0
docker/machine,304,6045,3463,6590065,dexterddit,0
docker/machine,304,6045,3463,916201,CpuID,0
docker/machine,304,6045,3463,76129,xiaohui,4
docker/machine,304,6045,3463,20139902,vivek020,0
docker/machine,304,6045,3463,106493,dmlond,0
docker/machine,304,6045,3463,204682,usmanismail,0
docker/machine,304,6045,3463,24589936,MaxCCC,0
docker/machine,304,6045,3463,1491381,matt-deboer,0
docker/machine,304,6045,3463,786334,brynmathias,0
docker/machine,304,6045,3463,22998887,viveky4d4v,0
docker/machine,304,6045,3463,13634757,apunraghu,0
docker/machine,304,6045,3463,10433387,TrumanLing,0
docker/machine,304,6045,3463,3390457,vpusher,0
docker/machine,304,6045,3463,154890,jeffcharles,0
docker/machine,304,6045,3463,21375475,nshCore,0
docker/machine,304,6045,3463,42426867,M1178475702,0
docker/machine,304,6045,3463,13252991,dommgifer,0
docker/machine,304,6045,3463,2238844,Deviad,0
docker/machine,304,6045,3463,6828182,jitakirin,0
docker/machine,304,6045,3463,19273,FireballDWF,0
docker/machine,304,6045,3463,6366270,zchee,26
docker/machine,304,6045,3463,854034,Sudharma,0
docker/machine,304,6045,3463,70608,tgoeke,0
docker/machine,304,6045,3463,2095125,lisa-lionheart,0
docker/machine,304,6045,3463,1136514,hsingh23,0
docker/machine,304,6045,3463,90617,beatlevic,0
docker/machine,304,6045,3463,62266,jylin,0
docker/machine,304,6045,3463,10137,ghost,0
docker/machine,304,6045,3463,18049879,ldshi,0
docker/swarmkit,156,2439,3918,120601,stevvooe,401
drakkan/sftpgo,43,1907,452,1888927,amitm02,0
drone/drone,586,21685,3706,26023,masarakki,0
drone/drone,586,21685,3706,17022851,lixwlixw,0
drone/drone,586,21685,3706,289678,strk,10
dunglas/mercure,59,2132,420,18901909,JoergSommer,0
elastic/beats,628,9149,11664,15056957,adriansr,265
elastic/beats,628,9149,11664,36844889,ormam,0
elastic/beats,628,9149,11664,714592,fkelbert,1
elastic/beats,628,9149,11664,5400788,kuisathaverat,52
elastic/beats,628,9149,11664,38509299,leopucci,1
etcd-io/etcd,1352,32626,16297,17100665,cnkuyan,0
ethereum/go-ethereum,2001,26654,11968,16664698,MariusVanDerWijden,38
ethereum/go-ethereum,2001,26654,11968,9427688,janke99,0
fatedier/frp,1443,38604,845,23058912,ghsa1994,0
flynn/flynn,277,7740,7411,1836094,SystemZ,0
flynn/flynn,277,7740,7411,6832123,mbukosky,0
flynn/flynn,277,7740,7411,4683469,pinkencryption,0
future-architect/vuls,348,7877,1012,534611,kotakanbe,718
future-architect/vuls,348,7877,1012,4568424,E-M,0
future-architect/vuls,348,7877,1012,8997330,sadayuki-matsuno,49
genuinetools/img,67,2831,395,38552897,DmitriyMurzin,0
genuinetools/img,67,2831,395,22639159,hashwing,0
genuinetools/img,67,2831,395,1853961,drzero42,0
gogs/gogs,1077,35325,5432,1393676,Sfinx,0
goharbor/harbor,502,12750,9823,2696760,stonezdj,193
goharbor/harbor,502,12750,9823,2390463,reasonerjt,1620
goharbor/harbor,502,12750,9823,5835782,ywk253100,1712
goharbor/harbor,502,12750,9823,30279340,jiananjiang,0
goharbor/harbor,502,12750,9823,18019889,272909106,0
goharbor/harbor,502,12750,9823,23101283,sigsbee,31
goharbor/harbor,502,12750,9823,19393273,mhagen-vmware,0
goharbor/harbor,502,12750,9823,416967,ft20082,0
goharbor/harbor,502,12750,9823,23731520,yn425611317,0
goharbor/harbor,502,12750,9823,4530798,symgryph,0
goharbor/harbor,502,12750,9823,3355018,chjhaijiang,0
goharbor/harbor,502,12750,9823,34396437,tongying123456,0
goharbor/harbor,502,12750,9823,18567901,eagle2016,0
goharbor/harbor,502,12750,9823,16286789,gradywang,0
goharbor/harbor,502,12750,9823,20383007,xiaonizi-github,0
goharbor/harbor,502,12750,9823,35091104,PushpalathaT,0
goharbor/harbor,502,12750,9823,50829841,thegasmann,0
goharbor/harbor,502,12750,9823,17763421,dar9468,0
golang/go,3510,76145,44638,2621,bradfitz,2325
golang/go,3510,76145,44638,135652,minux,924
golang/go,3510,76145,44638,108380,rakyll,57
golang/go,3510,76145,44638,26773527,giuliocomi,0
golang/go,3510,76145,44638,3063869,jeremyfaller,91
google/cadvisor,400,11129,2946,10067,deedubs,0
google/cadvisor,400,11129,2946,153052,sylr,0
google/cadvisor,400,11129,2946,16666942,katarzyna-z,34
google/gops,107,4274,170,1210201,bruceauyeung,0
google/gvisor,328,10308,4074,56741989,copybara-service[bot],0
google/gvisor,328,10308,4074,17879791,zhuangel,9
google/gvisor,328,10308,4074,34124929,lubinszARM,65
hashicorp/consul,977,20100,12392,9139171,knizami,0
hashicorp/nomad,394,6682,19377,11617406,sbkumar007,0
hashicorp/nomad,394,6682,19377,436622,benbuzbee,3
hashicorp/packer,435,11198,15987,55601285,palmsnow,0
hashicorp/packer,435,11198,15987,705836,dantran,1
hashicorp/packer,435,11198,15987,152904,tylert,30
hashicorp/packer,435,11198,15987,15112920,jeanmonet,0
hashicorp/packer,435,11198,15987,1609739,belonesox,0
hashicorp/packer,435,11198,15987,25671374,jl98800,0
hashicorp/packer,435,11198,15987,2308444,jmgilman,0
hashicorp/packer,435,11198,15987,9017352,james-portman,1
hashicorp/packer,435,11198,15987,16012238,richardfelkl,0
hashicorp/packer,435,11198,15987,180840,karianna,0
hashicorp/packer,435,11198,15987,1390364,skoblenick,0
hashicorp/packer,435,11198,15987,4142,huitseeker,0
hashicorp/packer,435,11198,15987,34285431,dan-at-teza,0
hashicorp/terraform,1148,23616,26593,9615847,james-s-nduka,0
hashicorp/terraform,1148,23616,26593,5270036,rifaterdemsahin,0
hpcng/singularity,97,1753,12878,5226161,schebro,14
hpcng/singularity,97,1753,12878,38078774,WestleyK,9
hpcng/singularity,97,1753,12878,2129743,DrDaveD,290
hpcng/singularity,97,1753,12878,4522799,dctrud,601
hpcng/singularity,97,1753,12878,39019449,jscook2345,213
hpcng/singularity,97,1753,12878,17029296,thdesy,0
hpcng/singularity,97,1753,12878,16855772,vincentlabonte,0
hpcng/singularity,97,1753,12878,15327579,marc1uk,0
hpcng/singularity,97,1753,12878,3835536,C-Elegans,0
hpcng/singularity,97,1753,12878,3274134,cclerget,1875
hpcng/singularity,97,1753,12878,57729116,skatragadda-nygc,0
hpcng/singularity,97,1753,12878,22173995,ponomarevsy,0
hpcng/singularity,97,1753,12878,15378237,tbugfinder,0
hyperhq/hyperd,100,1972,1200,1132167,carmark,85
influxdata/influxdb,752,19471,34060,10937678,ebb-tide,1123
influxdata/influxdb,752,19471,34060,3493668,bogdanveres,0
intelsdi-x/snap,146,1794,2684,1395030,geauxvirtual,292
istio/istio,993,24103,13368,13022859,maxkondr,0
jenkins-x/jx,139,3668,9595,19438751,riazvm,0
jenkins-x/jx,139,3668,9595,20730186,ysaakpr,1
jesseduffield/lazygit,224,17200,2009,821550,rayluo,0
juju/juju,89,1745,68089,4424127,hpidcock,143
justjanne/powerline-go,39,1775,265,66092,beppler,4
kata-containers/runtime,128,1973,2547,7387737,mcastelino,27
kata-containers/runtime,128,1973,2547,14800035,lifupan,94
kata-containers/runtime,128,1973,2547,45746212,eryugey,2
kata-containers/runtime,128,1973,2547,5461336,darfux,9
kata-containers/runtime,128,1973,2547,929620,remyd1,0
keybase/client,268,7048,36100,42730183,eyalarg,0
keybase/client,268,7048,36100,6101839,rewtd,0
kiali/kiali,73,2100,2444,2029470,jmazzitelli,518
kiali/kiali,73,2100,2444,208246,pilhuhn,31
kubernetes/autoscaler,140,3541,4505,22009,mumoshu,8
kubernetes/kubernetes,3261,69702,93900,10137,ghost,0
kubernetes/kubernetes,3261,69702,93900,1787169,mikedanese,1097
kubernetes/kubernetes,3261,69702,93900,10524058,yujuhong,681
kubernetes/kubernetes,3261,69702,93900,5821883,Random-Liu,424
kubernetes/kubernetes,3261,69702,93900,14965729,DevasiaThomas,0
kubernetes/kubernetes,3261,69702,93900,1716915,hustcat,1
kubernetes/kubernetes,3261,69702,93900,4402424,Pensu,4
kubernetes/kubernetes,3261,69702,93900,5075923,curiousjit,0
kubernetes/kubernetes,3261,69702,93900,3980984,karlkfi,47
kubernetes/minikube,465,19008,11773,4564227,medyagh,2271
kubernetes/minikube,465,19008,11773,5893405,JuliusTZM,0
kubernetes/minikube,465,19008,11773,17237716,scienebitch,0
kubernetes/minikube,465,19008,11773,51510,jaysonsantos,0
kubernetes/minikube,465,19008,11773,22466555,gouravbansal11,0
kubernetes/test-infra,125,2296,34042,8061296,ixdy,523
kubesphere/kubesphere,115,4136,1786,36988708,kalivenis,0
linuxkit/linuxkit,256,6456,7583,482364,justincormack,3014
linuxkit/linuxkit,256,6456,7583,3338098,rn,2212
linuxkit/linuxkit,256,6456,7583,29669302,arm64b,19
linuxkit/linuxkit,256,6456,7583,5579640,jadametz,2
lxc/lxd,180,2666,15999,2230599,stgraber,6334
lxc/lxd,180,2666,15999,785111,tych0,384
lxc/lxd,180,2666,15999,92801,nkabir,0
lxc/lxd,180,2666,15999,1151442,iam-TJ,0
lxc/lxd,180,2666,15999,5774881,gaetanquentin,0
lxc/lxd,180,2666,15999,25361010,vv0iadyk,0
lxc/lxd,180,2666,15999,6955465,chuegel,0
lxc/lxd,180,2666,15999,4131711,unikmhz,0
lxc/lxd,180,2666,15999,5011760,tim-seoss,0
lxc/lxd,180,2666,15999,167440,earnubs,0
mattermost/mattermost-server,538,18876,12822,1731074,ccbrown,196
minio/minio,533,23677,7184,144562,alexanderjulo,1
minishift/minishift,97,2061,1766,11285975,jjwallaby,0
minishift/minishift,97,2061,1766,18241061,get2arun,0
minishift/minishift,97,2061,1766,44088459,ivekpi,0
minishift/minishift,97,2061,1766,19554649,akaradzha,0
minishift/minishift,97,2061,1766,1191285,sabre1041,1
mlabouardy/komiser,50,2476,267,15815967,sk3pp3r,0
moby/buildkit,79,2878,2578,585223,tonistiigi,1436
moby/buildkit,79,2878,2578,7973318,nlg521,0
moby/buildkit,79,2878,2578,2044532,lgarithm,0
moby/buildkit,79,2878,2578,15888093,WTFKr0,0
moby/buildkit,79,2878,2578,3880043,xiaoshao,0
moby/libnetwork,181,1717,2980,10080882,aboch,535
moby/libnetwork,181,1717,2980,1693482,mrjana,538
moby/moby,3149,57973,38901,28492,SvenDowideit,542
moby/moby,3149,57973,38901,1397980,estesp,266
moby/moby,3149,57973,38901,10522484,lowenna,691
moby/moby,3149,57973,38901,9958621,HuKeping,59
moby/moby,3149,57973,38901,9248427,AkihiroSuda,421
moby/moby,3149,57973,38901,10137,ghost,0
moby/moby,3149,57973,38901,10601430,aaronlehmann,341
moby/moby,3149,57973,38901,8814974,azurezk,11
moby/moby,3149,57973,38901,3019665,jakirkham,0
moby/moby,3149,57973,38901,1032519,vieux,1833
moby/moby,3149,57973,38901,18064711,sburnwal,0
moby/moby,3149,57973,38901,990736,alexlarsson,295
moby/moby,3149,57973,38901,53798,mrunalp,24
moby/moby,3149,57973,38901,3993518,leonhartX,2
moby/moby,3149,57973,38901,17765697,HamidEDD,0
moby/moby,3149,57973,38901,427738,jpanganiban,0
moby/moby,3149,57973,38901,2048526,bodenr,0
moby/moby,3149,57973,38901,20769256,huandong-gohigh,0
moby/moby,3149,57973,38901,13194078,kuriousengineer,0
moby/moby,3149,57973,38901,5642395,ahmed-bacha,0
moby/moby,3149,57973,38901,12622610,zxf969175364,0
moby/moby,3149,57973,38901,819,FooBarWidget,0
moby/moby,3149,57973,38901,5869462,adeelahmadch,0
moby/moby,3149,57973,38901,3732079,rafalkrupinski,0
moby/moby,3149,57973,38901,3320660,cgcgbcbc,0
moby/moby,3149,57973,38901,482425,vikstrous,4
moby/moby,3149,57973,38901,22998887,viveky4d4v,0
moby/moby,3149,57973,38901,1488006,cc272309126,1
moby/moby,3149,57973,38901,2390463,reasonerjt,0
moby/moby,3149,57973,38901,6038325,Jingtian1989,0
