user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
233907,astaxie,2010-03-31T06:07:58Z,1,1851,3643,1,1,640.2031292890474
33411,garyburd,2008-11-08T23:29:55Z,1,183,292,1,1,238.77739726027397
28627,jefferai,2008-10-12T13:55:28Z,1,4043,12543,1,1,215.96189109463447
290976,vmihailenco,2010-05-29T21:36:43Z,1,1291,1559,1,1,202.05516356638873
5520,deadprogram,2008-04-07T05:52:30Z,1,1521,2639,1,1,193.07881773399015
4488261,thinkerou,2013-05-21T10:27:51Z,1,155,1397,1,1,144.12670007158195
6799218,gyuho,2014-02-26T23:35:10Z,1,4272,16293,1,3,117.9893205671147
4479947,xiang90,2013-05-20T14:48:28Z,1,4059,16293,1,3,112.10642607254648
1804568,thaJeztah,2012-06-01T10:11:02Z,1,4036,38899,8,24,108.70157758982664
17530,asim,2008-07-19T16:29:57Z,1,1572,3625,1,2,104.51089655172414
1299,mitchellh,2008-02-27T23:27:54Z,1,3182,15907,1,1,81.21531401269881
134848,olivere,2009-10-04T13:37:22Z,1,1121,1278,1,2,73.68075117370893
378683,niemeyer,2010-08-28T03:10:25Z,1,551,677,1,1,65.11078286558346
104030,rsc,2009-07-12T01:32:28Z,1,6502,44516,2,19,53.73464774344884
129561,karalabe,2009-09-21T15:01:01Z,1,2150,11943,2,14,51.38335665841318
310393,Stebalien,2010-06-21T04:59:57Z,1,2052,11980,1,2,47.10350584307178
6264126,obscuren,2013-12-26T10:54:54Z,1,3893,11943,1,14,46.51986220260523
5663952,klauspost,2013-10-11T11:58:51Z,1,568,590,1,1,45.24745762711864
522870,erikdubbelboer,2010-12-14T15:39:00Z,1,150,1297,1,1,45.10408635312259
5056191,mavenugo,2013-07-21T00:50:34Z,1,652,2978,1,1,39.62793821356615
749551,crosbymichael,2011-04-25T02:27:34Z,1,1714,6109,2,4,37.59633327876903
3576549,mvdan,2013-02-12T17:52:26Z,1,260,513,1,2,37.251461988304094
2213,Zariel,2008-03-04T21:19:39Z,1,842,1909,1,1,34.84442116291252
169601,dmcgowan,2009-12-18T22:15:47Z,1,367,2823,1,1,34.19093163301453
17348,bai,2008-07-17T15:43:16Z,1,195,2416,1,1,33.091887417218544
461020,kontsevoy,2010-10-30T19:04:41Z,1,1352,5313,1,2,29.64577451533973
1703842,gmarek,2012-05-03T20:54:45Z,1,830,93343,1,1,28.783197454549352
1420062,tiancaiamao,2012-02-08T15:54:22Z,1,722,11531,1,3,28.009250426386842
6915,fjl,2008-04-12T10:37:15Z,1,1160,11943,2,14,27.72311335988804
11757159,monicasarbu,2015-04-01T16:04:39Z,1,894,11606,1,2,24.07160089608823
536312,otoolep,2010-12-25T15:28:51Z,1,2145,33927,2,4,23.77221681846317
1535036,tamird,2012-03-14T01:31:01Z,1,3213,50592,1,2,23.180443548387096
12995347,adwpc,2015-06-22T05:57:41Z,1,157,625,1,1,22.8592
54124,gnawux,2009-02-13T01:15:07Z,1,346,1200,1,2,14.416666666666666
2508,patrickxb,2008-03-07T16:40:45Z,1,3727,36099,1,2,13.731433003684312
11410997,deniseschannon,2015-03-10T16:38:38Z,1,107,5053,1,1,13.531169602216506
4324516,robpike,2013-05-02T18:16:36Z,1,2975,44516,1,19,12.293184945921277
799078,cpuguy83,2011-05-19T20:38:00Z,1,1791,38899,2,24,12.059249595105271
160562,bdarnell,2009-12-01T22:24:44Z,1,1625,50592,1,2,11.723691492726124
10522484,lowenna,2015-01-13T22:04:44Z,1,691,38899,5,24,11.631688261052126
12077877,disksing,2015-04-23T03:07:05Z,1,283,11531,1,3,10.978695111727806
866815,maxtaco,2011-06-22T12:53:26Z,1,2973,36099,1,2,10.95346131471786
11448595,guptasu,2015-03-12T22:18:16Z,1,145,13235,1,1,10.84624102757839
2259282,Kubuxu,2012-09-01T06:56:16Z,1,463,11980,1,2,10.62813021702838
2621,bradfitz,2008-03-09T05:08:14Z,1,2325,44516,1,19,9.607278991350242
481307,vtolstov,2010-11-15T01:55:40Z,1,142,3625,1,2,9.440551724137931
101445,LK4D4,2009-07-03T15:46:49Z,1,1369,38899,2,24,9.21781836722452
