user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
90097,derekcollison,2009-05-30T05:06:40Z,1,1461,3114,1,1,178.28516377649328
13653959,k8s-github-robot,2015-08-05T04:37:13Z,1,4953,93900,1,1,172.00993610223642
8762893,wxing1292,2014-09-13T20:09:23Z,1,416,2137,1,2,158.36031820308844
4479947,xiang90,2013-05-20T14:48:28Z,2,4328,16849,2,5,151.34771203038756
13026,titanous,2008-06-08T23:38:34Z,1,3195,7411,1,1,119.41910673323439
1095328,dvyukov,2011-10-01T19:06:04Z,1,3564,5421,1,1,115.71001660210293
1754002,ibuildthecloud,2012-05-19T01:59:06Z,1,898,5129,1,1,111.87794891791773
1478487,marten-seemann,2012-02-27T14:00:51Z,1,3942,4825,2,3,95.86072538860103
16950,hajimehoshi,2008-07-13T19:11:52Z,1,5027,5369,1,1,94.56639970199294
2300911,ebuchman,2012-09-07T16:25:37Z,1,2843,8243,1,1,90.36345990537427
1283368,vancexu,2011-12-24T07:34:57Z,1,225,2137,1,2,85.65161441272812
961963,jasdel,2011-08-05T19:57:14Z,1,1181,4214,1,1,72.58637873754152
13736691,kozlovic,2015-08-10T19:34:06Z,1,1130,1516,3,3,67.82981530343008
6264126,obscuren,2013-12-26T10:54:54Z,1,3893,11968,1,10,65.0893465909091
1243164,whyrusleeping,2011-12-05T23:52:11Z,1,2671,12011,2,4,60.93197901923237
55506,stapelberg,2009-02-18T10:42:23Z,1,230,255,1,1,60.43137254901961
13717,klizhentas,2008-06-14T14:18:58Z,1,1245,5331,1,1,54.41474395047833
1804568,thaJeztah,2012-06-01T10:11:02Z,3,5431,49865,3,21,53.165624328544205
17530,asim,2008-07-19T16:29:57Z,1,1583,3646,1,4,52.64365057597367
585223,tonistiigi,2011-01-26T19:58:17Z,1,1436,2578,1,1,44.004654771140416
3919251,michael-berlin,2013-03-20T09:52:25Z,1,1769,20616,1,1,43.761641443539
4565752,andrewkroh,2013-05-30T02:00:54Z,1,1017,11664,3,4,41.06712962962963
220205,jsha,2010-03-10T23:22:14Z,1,1476,5167,2,2,39.42094058447842
3765732,halseth,2013-03-04T14:53:58Z,1,1254,10149,2,2,39.41531185338457
16294350,heyitsanthony,2015-12-14T18:51:56Z,1,1788,16297,1,4,37.08314413695773
129561,karalabe,2009-09-21T15:01:01Z,1,2160,11968,1,10,36.11430481283423
2230599,stgraber,2012-08-27T23:09:53Z,1,6334,15999,1,2,35.6309769360585
120601,stevvooe,2009-08-28T17:35:39Z,1,733,2829,1,2,33.942382467302934
726426,fujita,2011-04-13T06:55:40Z,1,1065,2786,2,3,31.855707106963386
5663952,klauspost,2013-10-11T11:58:51Z,1,570,592,2,3,30.81081081081081
14985073,dongluochen,2015-10-05T19:44:24Z,1,263,3570,1,1,24.97394957983193
22780957,geeknoid,2016-10-11T23:32:40Z,1,326,13368,1,1,24.21588868940754
4903,rboyer,2008-04-04T03:48:56Z,1,305,12392,1,1,24.04656229825694
444037,tomwilkie,2010-10-18T14:02:57Z,1,156,8138,1,1,21.79552715654952
960845,menghanl,2011-08-05T08:54:37Z,1,718,3435,1,5,20.65164483260553
1417913,tgraf,2012-02-07T23:34:33Z,1,2557,14049,1,2,20.202647875293614
24760279,cwgoes,2016-12-25T04:56:26Z,1,868,7139,1,1,19.575290656954756
5268763,zz-jason,2013-08-20T09:56:16Z,1,340,11679,1,2,19.563318777292576
6915,fjl,2008-04-12T10:37:15Z,1,1163,11968,1,10,19.44487800802139
649798,cbednarski,2011-03-03T21:27:39Z,1,684,15987,1,1,18.611371739538374
2213,Zariel,2008-03-04T21:19:39Z,1,842,1909,1,2,17.642744892613933
10080882,aboch,2014-12-04T23:47:00Z,1,535,2980,1,2,16.24748322147651
26072277,dfawley,2017-02-27T20:59:06Z,1,268,3435,2,5,15.416826783114992
54124,gnawux,2009-02-13T01:15:07Z,1,346,1200,1,2,14.416666666666666
51218664,gvisor-bot,2019-05-31T01:14:39Z,1,349,4074,1,2,14.049091801669123
3383143,andrewrynhard,2013-01-25T16:18:34Z,1,1000,1751,1,2,13.420902341519133
1212129,jsternberg,2011-11-22T05:34:18Z,1,1398,34060,2,5,12.346400469759248
109109,rade,2009-07-27T14:49:34Z,1,494,5773,1,1,12.236618742421618
50872,szuecs,2009-02-01T11:41:32Z,1,281,1750,2,2,11.882285714285715
9796621,alexbrainman,2014-11-17T06:34:15Z,1,766,44638,1,6,10.038756216676374
918034,lucas-clemente,2011-07-15T16:04:08Z,1,823,4825,1,3,10.006770293609671
481307,vtolstov,2010-11-15T01:55:40Z,1,142,3646,2,4,9.444596818431158
219935,jwilder,2010-03-10T16:01:54Z,1,1938,34060,1,5,8.557698179682912
8516691,strib,2014-08-21T18:54:55Z,1,4382,36100,1,4,8.132797783933519
160562,bdarnell,2009-12-01T22:24:44Z,1,1626,51111,1,3,7.751795112598071
2508,patrickxb,2008-03-07T16:40:45Z,1,3727,36100,1,4,6.917146814404433
49969036,shuoranliu,2019-04-25T03:06:12Z,1,122,1391,1,1,6.227174694464414
24982,broady,2008-09-17T09:27:55Z,1,51,1227,1,1,5.65281173594132
3029160,jbrady42,2012-12-12T22:42:26Z,1,76,629,1,2,5.558028616852146
55211,smira,2009-02-17T12:13:05Z,1,343,1751,1,2,4.603369503141063
152008,michael-k,2009-11-11T22:33:11Z,1,82,7748,1,1,4.4767681982447085
12985147,estroz,2015-06-21T06:29:59Z,1,27,1293,1,1,3.5498839907192576
2669,gabriel,2008-03-10T01:39:38Z,1,1652,36100,1,4,3.066038781163435
1359441,hallyn,2012-01-20T17:40:14Z,1,523,15999,1,2,2.9420588786799176
11968340,buoyad,2015-04-15T20:59:56Z,1,1304,36100,1,4,2.42016620498615
14114019,darstahl,2015-09-03T18:01:41Z,1,101,38901,4,18,1.8168570359516607
1247472,jrfastab,2011-12-07T15:26:45Z,1,209,14049,1,2,1.651291906897288
9465626,allencloud,2014-10-30T16:19:27Z,2,195,40101,2,20,1.5798982569013242
3900799,kargakis,2013-03-18T16:18:14Z,1,364,34042,1,1,1.3365842194935669
755121,kardianos,2011-04-27T16:54:03Z,1,98,44638,1,6,1.2843317352927999
3584893,jadekler,2013-02-13T14:21:52Z,1,41,3435,1,5,1.179272197962154
234019,kevinburke,2010-03-31T10:15:03Z,1,73,44638,1,6,0.9566960885344324
35653129,overbool,2018-01-21T09:19:38Z,1,82,12011,1,4,0.935309299808509
4603901,skidder,2013-06-03T18:54:10Z,1,11,2418,1,2,0.9303143093465673
1136739,szkl,2011-10-18T20:37:07Z,1,738,97504,1,1,0.6812028224483099
96535,mpobrien,2009-06-18T03:11:21Z,1,5,677,1,1,0.5834564254062038
181535,zombiezen,2010-01-13T16:30:10Z,1,1,814,1,1,0.5110565110565111
7056530,iangudger,2014-03-25T08:58:03Z,1,2,626,1,1,0.5047923322683706
4416772,gaplyk,2013-05-13T12:06:52Z,1,1,1413,1,1,0.48124557678697805
10990210,hxiaodon,2015-02-13T08:56:55Z,1,3,4044,1,1,0.392433234421365
8926823,namtruong,2014-09-26T09:19:54Z,1,13,11487,1,1,0.38591451205710803
13297975,kjzz,2015-07-12T09:04:03Z,1,31,12011,1,4,0.3535925401715095
6673546,Shitaibin,2014-02-13T15:40:58Z,1,4,13275,1,1,0.3187947269303201
1158548,bobvawter,2011-10-28T19:09:50Z,1,56,51111,1,3,0.26697449342281176
