repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ACRA/acra,316,5381,1440,670599,william-ferguson-au,372
ACRA/acra,316,5381,1440,779147,KevinGaudin,376
ACRA/acra,316,5381,1440,1053078,nelenkov,0
ACRA/acra,316,5381,1440,166954,mhsmith,0
Activiti/Activiti,659,6933,10670,756530,frederikheremans,384
Activiti/Activiti,659,6933,10670,271966,salaboy,337
Activiti/Activiti,659,6933,10670,11571300,CLAassistant,0
Activiti/Activiti,659,6933,10670,16251291,daisuke-yoshimoto,86
Activiti/Activiti,659,6933,10670,26007058,erdemedeiros,218
Activiti/Activiti,659,6933,10670,22754674,ryandawsonuk,116
Activiti/Activiti,659,6933,10670,21080352,CTI777,116
Activiti/Activiti,659,6933,10670,642389,jbarrez,1382
Activiti/Activiti,659,6933,10670,151025,mteodori,95
Activiti/Activiti,659,6933,10670,2126270,balsarori,258
Alluxio/alluxio,431,4701,31230,45953825,ns1123,50
Alluxio/alluxio,431,4701,31230,3464508,ZacBlanco,144
Alluxio/alluxio,431,4701,31230,23385895,rastogiasr,7
Alluxio/alluxio,431,4701,31230,429032,gpang,1729
Alluxio/alluxio,431,4701,31230,4282133,pi9nc,0
Alluxio/alluxio,431,4701,31230,4031291,AmplabJenkins,0
Alluxio/alluxio,431,4701,31230,5876435,ooq,60
Alluxio/alluxio,431,4701,31230,1413748,apc999,4003
AntennaPod/AntennaPod,168,2980,6753,6860662,mfietz,1122
AntennaPod/AntennaPod,168,2980,6753,968613,danieloeh,1535
AntennaPod/AntennaPod,168,2980,6753,5811634,ByteHamster,1831
AntennaPod/AntennaPod,168,2980,6753,229379,e2jk,0
AntennaPod/AntennaPod,168,2980,6753,5216560,TomHennen,971
AntennaPod/AntennaPod,168,2980,6753,38255,tbleher,0
Anuken/Mindustry,224,5083,8163,10100000,Anuken,6246
AsyncHttpClient/async-http-client,371,5509,4081,849197,slandelle,1356
AsyncHttpClient/async-http-client,371,5509,4081,51285,jfarcand,1170
AsyncHttpClient/async-http-client,371,5509,4081,12836996,n-miles,3
AsyncHttpClient/async-http-client,371,5509,4081,317471,vmalladi,0
AsyncHttpClient/async-http-client,371,5509,4081,71236,wsargent,9
AsyncHttpClient/async-http-client,371,5509,4081,745973,maikgreubel,0
AsyncHttpClient/async-http-client,371,5509,4081,1173057,bootstraponline,0
Atmosphere/atmosphere,255,3441,5947,51285,jfarcand,5220
Atmosphere/atmosphere,255,3441,5947,484059,JoernT,0
Atmosphere/atmosphere,255,3441,5947,500900,jeffcrilly,0
Atmosphere/atmosphere,255,3441,5947,1095042,flowersinthesand,19
Atmosphere/atmosphere,255,3441,5947,459724,rlubke,11
