repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ACRA/acra,315,5383,1440,670599,william-ferguson-au,372
ACRA/acra,315,5383,1440,1381743,reubenscratton,0
ACRA/acra,315,5383,1440,207716,yvolk,0
ACRA/acra,315,5383,1440,768184,afflux,0
ACRA/acra,315,5383,1440,1281790,naku,0
Activiti/Activiti,658,6960,10673,151025,mteodori,95
Activiti/Activiti,658,6960,10673,22754674,ryandawsonuk,116
Activiti/Activiti,658,6960,10673,972242,lukakama,1
Activiti/Activiti,658,6960,10673,26007058,erdemedeiros,218
Activiti/Activiti,658,6960,10673,20428629,igdianov,181
Activiti/Activiti,658,6960,10673,1480177,christopherdcunha,0
Activiti/Activiti,658,6960,10673,271966,salaboy,337
Activiti/Activiti,658,6960,10673,2126270,balsarori,258
Activiti/Activiti,658,6960,10673,24308171,dingziyang,0
Activiti/Activiti,658,6960,10673,4144156,deanwong,0
Activiti/Activiti,658,6960,10673,16250867,any-how,0
Activiti/Activiti,658,6960,10673,1827994,sagitsofan,0
Alluxio/alluxio,430,4707,31252,2949045,copperybean,0
Alluxio/alluxio,430,4707,31252,1181877,dborkar,4
Alluxio/alluxio,430,4707,31252,1413748,apc999,4004
Alluxio/alluxio,430,4707,31252,26170335,broussea1901,0
Alluxio/alluxio,430,4707,31252,29311643,bf8086,223
Alluxio/alluxio,430,4707,31252,8003874,dongche,124
Alluxio/alluxio,430,4707,31252,2223813,calvinjia,3643
Alluxio/alluxio,430,4707,31252,2262458,madanadit,991
Angel-ML/angel,455,5972,2312,13943417,ouyangwen-it,44
AntennaPod/AntennaPod,166,2989,6757,5216560,TomHennen,971
AntennaPod/AntennaPod,166,2989,6757,4076243,eirikv,1
AntennaPod/AntennaPod,166,2989,6757,48329535,matdb,3
AntennaPod/AntennaPod,166,2989,6757,4700043,QNZ,0
AntennaPod/AntennaPod,166,2989,6757,30691,mchelen,6
AntennaPod/AntennaPod,166,2989,6757,10266826,zsteinmetz,0
Anuken/Mindustry,258,5428,8236,21345269,ThibaultLemaire,0
Anuken/Mindustry,258,5428,8236,9363761,linglan512572354,1
Anuken/Mindustry,258,5428,8236,13720625,willis936,0
AsyncHttpClient/async-http-client,370,5524,4081,4284884,dontgitit,0
AsyncHttpClient/async-http-client,370,5524,4081,80994,harbulot,0
AsyncHttpClient/async-http-client,370,5524,4081,71236,wsargent,9
AsyncHttpClient/async-http-client,370,5524,4081,1280853,unoexperto,1
AsyncHttpClient/async-http-client,370,5524,4081,43899031,patpatpat123,0
AsyncHttpClient/async-http-client,370,5524,4081,2238777,nddipiazza,2
AsyncHttpClient/async-http-client,370,5524,4081,1747694,AmauryEsparza,0
AsyncHttpClient/async-http-client,370,5524,4081,972209,fistons,0
AsyncHttpClient/async-http-client,370,5524,4081,2325080,elFarto,2
AsyncHttpClient/async-http-client,370,5524,4081,232606,jannic,0
AsyncHttpClient/async-http-client,370,5524,4081,372063,haed,3
AsyncHttpClient/async-http-client,370,5524,4081,420750,oleksiys,1
Atmosphere/atmosphere,253,3443,5949,2384248,gdrouet,10
Atmosphere/atmosphere,253,3443,5949,51285,jfarcand,5221
Atmosphere/atmosphere,253,3443,5949,3531183,fanste,0
Atmosphere/atmosphere,253,3443,5949,10849535,Vitalidov,0
Atmosphere/atmosphere,253,3443,5949,2150068,krskrs,0
Atmosphere/atmosphere,253,3443,5949,6000411,elusive-code,0
Atmosphere/atmosphere,253,3443,5949,150717,DamianFekete,0
Atmosphere/atmosphere,253,3443,5949,4387263,ajaychandran,1
Atmosphere/atmosphere,253,3443,5949,684752,cwesdorp,0
Blankj/AndroidUtilCode,1175,27779,1290,13960397,vijayakumar52,0
CalebFenton/simplify,123,3420,886,1356658,CalebFenton,710
CalebFenton/simplify,123,3420,886,27600008,ihbing,0
CalebFenton/simplify,123,3420,886,14809754,enovella,0
CellularPrivacy/Android-IMSI-Catcher-Detector,521,3841,2608,6069961,larsgrefer,311
ChrisRM/material-theme-jetbrains,143,7624,2886,16909558,satish-vellanki,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,180,13411,184,4579613,joriszwart,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,180,13411,184,2671462,POMATu,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,180,13411,184,42113892,hiobmon,0
Exrick/xboot,158,2947,127,39806792,islamazhar,0
FasterXML/jackson-databind,161,2625,7034,49567860,doublefishlily,0
FasterXML/jackson-databind,161,2625,7034,170103,lukaszlenart,0
FasterXML/jackson-databind,161,2625,7034,2503784,stevebread,0
FasterXML/jackson-databind,161,2625,7034,663583,ffang,0
FasterXML/jackson-databind,161,2625,7034,56438722,shyamalendukar,0
FasterXML/jackson-databind,161,2625,7034,26436064,AKGarland,0
FasterXML/jackson-databind,161,2625,7034,55065,cowtowncoder,6458
FasterXML/jackson-databind,161,2625,7034,9295957,OneSourceCat,0
Freeyourgadget/Gadgetbridge,197,3562,5840,13675545,SebastianApel,0
Freeyourgadget/Gadgetbridge,197,3562,5840,14378320,Incog5,0
Freeyourgadget/Gadgetbridge,197,3562,5840,6266037,Findus23,0
Freeyourgadget/Gadgetbridge,197,3562,5840,13153084,ogbaba,0
FudanNLP/fnlp,256,2347,85,4383952,tesseract2048,0
Genymobile/gnirehtet,90,2721,657,4084684,jonybuzz,0
GoogleContainerTools/jib,333,9561,1575,1304826,loosebazooka,142
GoogleContainerTools/jib,333,9561,1575,10523105,chanseokoh,380
GoogleContainerTools/jib,333,9561,1575,4852522,coollog,425
GoogleContainerTools/jib,333,9561,1575,521881,TadCordle,397
GoogleContainerTools/jib,333,9561,1575,1951518,edthorne,0
GoogleContainerTools/jib,333,9561,1575,202851,briandealwis,74
GoogleContainerTools/jib,333,9561,1575,1249546,rmannibucau,1
GoogleContainerTools/jib,333,9561,1575,20699573,mboldysh,0
GoogleContainerTools/jib,333,9561,1575,9915187,rameshvenk,0
GoogleContainerTools/jib,333,9561,1575,1499780,Hi-Fi,0
Graylog2/graylog2-server,255,5436,17113,43951,joschi,538
Graylog2/graylog2-server,255,5436,17113,461,bernd,1313
Graylog2/graylog2-server,255,5436,17113,404238,jalogisch,11
Graylog2/graylog2-server,255,5436,17113,52014,kroepke,1731
Graylog2/graylog2-server,255,5436,17113,716185,edmundoa,2085
Graylog2/graylog2-server,255,5436,17113,6331205,florianpopp,0
Graylog2/graylog2-server,255,5436,17113,7376695,mikkolehtisalo,7
Graylog2/graylog2-server,255,5436,17113,200123,philomory,0
Graylog2/graylog2-server,255,5436,17113,52645,filmaj,0
Graylog2/graylog2-server,255,5436,17113,4696166,sjkeerthi,0
Graylog2/graylog2-server,255,5436,17113,1318986,cmeury,0
Graylog2/graylog2-server,255,5436,17113,17475270,hc4,1
Graylog2/graylog2-server,255,5436,17113,433020,drexin,3
Graylog2/graylog2-server,255,5436,17113,5985348,p53,0
