repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
PhilJay/MPAndroidChart,1135,31522,2064,1266308,S0und,0
PhilJay/MPAndroidChart,1135,31522,2064,14003120,NunoPontes,0
alibaba/fastjson,1391,22207,3699,1166785,wenshao,2872
alibaba/fastjson,1391,22207,3699,11571300,CLAassistant,0
alibaba/fastjson,1391,22207,3699,14800684,colin-lee,0
alibaba/fastjson,1391,22207,3699,807508,kimmking,70
alibaba/fastjson,1391,22207,3699,6212737,qulei841026,0
alibaba/fastjson,1391,22207,3699,10684520,SpeedRn,0
alibaba/fastjson,1391,22207,3699,5319937,liwenxian,0
alibaba/fastjson,1391,22207,3699,27458785,guochangFree,0
apache/dubbo,3270,33295,4384,18097545,chickenlj,852
apache/dubbo,3270,33295,4384,533114,mercyblitz,113
arduino/Arduino,1033,10577,7275,8843437,facchinm,504
arduino/Arduino,1033,10577,7275,462844,RobTillaart,0
baomidou/mybatis-plus,9,9313,4313,1481125,qmdx,908
baomidou/mybatis-plus,9,9313,4313,5449501,pyzheng,0
checkstyle/checkstyle,221,5443,9570,812984,romani,2388
checkstyle/checkstyle,221,5443,9570,8655789,codecov-io,0
checkstyle/checkstyle,221,5443,9570,7242568,MEZk,243
eclipse-vertx/vert.x,598,11278,4615,1500598,tsegismont,367
eclipse/che,319,6204,8774,39771996,che-bot,4
elastic/elasticsearch,2808,50622,54219,15837671,elasticmachine,4
google/closure-compiler,251,5623,15803,286890,dimvar,998
google/closure-compiler,251,5623,15803,23114905,sher53,0
google/closure-compiler,251,5623,15803,11694638,rishipal,92
google/error-prone,186,5300,4439,4733401,eaftan,618
google/guava,2516,38517,5318,1703908,cpovirk,1404
google/guava,2516,38517,5318,792797,ronshapiro,31
google/guava,2516,38517,5318,45393,jschneider,0
google/guice,577,9571,1831,2145042,sameb,287
google/guice,577,9571,1831,1692591,tavianator,8
google/guice,577,9571,1831,26540808,blling,0
google/guice,577,9571,1831,1834666,synergiator,0
greenrobot/greenDAO,547,12175,880,13865709,greenrobot-team,133
greenrobot/greenDAO,547,12175,880,242242,greenrobot,684
greenrobot/greenDAO,547,12175,880,542297,halzhang,0
greenrobot/greenDAO,547,12175,880,8711413,q979713444,0
hazelcast/hazelcast,307,3889,30390,7523732,devOpsHazelcast,77
hazelcast/hazelcast,307,3889,30390,1201712,mdogan,3965
jersey/jersey,356,2915,3167,15908245,jansupol,19
mockito/mockito,430,10944,5325,803621,bric3,598
neo4j/neo4j,488,8072,68990,66090,jayniz,0
pmd/pmd,133,3007,17028,1573684,adangel,4975
pxb1988/dex2jar,420,7827,558,540253,pxb1988,283
querydsl/querydsl,170,2929,7236,574167,timowest,6067
roboguice/roboguice,321,3829,1054,310880,emmby,42
roboguice/roboguice,321,3829,1054,1832925,stephanenicolas,127
springfox/springfox,270,4649,3751,26384082,stale[bot],0
swagger-api/swagger-core,333,6467,3849,5042215,arthurdm,0
thingsboard/thingsboard,489,6847,4397,5016373,ashvayka,896
wildfly/wildfly,206,2421,29994,328571,stuartwdouglas,3153
zaproxy/zaproxy,395,7681,7469,33595554,lock[bot],0
