repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
PhilJay/MPAndroidChart,1134,31578,2064,11244877,lbtrace,0
TheAlgorithms/Java,1865,29715,1178,5149308,Pusty,2
alibaba/ARouter,362,12337,273,14327779,yylyingy,1
alibaba/fastjson,1396,22303,3718,6791078,ChangRuihe,0
alibaba/fastjson,1396,22303,3718,5528514,dwing4g,0
alibaba/fastjson,1396,22303,3718,7206469,wangwangchen,0
alibaba/spring-cloud-alibaba,903,15353,1555,13148364,flystar32,246
androidannotations/androidannotations,688,11068,2924,204013,dodgex,347
apache/druid,634,10024,10545,25593207,ceastman-ibm,0
apache/dubbo,3275,33403,4392,20149740,kirayunfei,0
apereo/cas,607,7933,17483,5788241,DavidRG13,95
arduino/Arduino,1029,10609,7275,423515,cmaglie,1888
azkaban/azkaban,266,3349,2514,5283042,davidzchen,437
ballerina-platform/ballerina-lang,167,2595,88039,15685415,pranavan15,359
baomidou/mybatis-plus,13,9396,4322,13364729,qq29oo,0
bigbluebutton/bigbluebutton,397,5392,27532,184672,ritzalam,7074
checkstyle/checkstyle,219,5459,9596,5427943,rnveach,763
crate/crate,171,2801,11243,219690,seut,1248
crate/crate,171,2801,11243,38700,mfussenegger,4432
eclipse-vertx/vert.x,597,11304,4625,29441887,andre2i,1
eclipse/che,319,6226,8785,12394651,FanJiaqing92,0
elastic/elasticsearch,2808,50820,54362,2244393,tvernum,291
elastic/elasticsearch,2808,50820,54362,289412,rjernst,2132
eugenp/tutorials,1503,22604,20259,63337,mateuszmrozewski,3
google/closure-compiler,251,5634,15841,10280734,supersteves,8
google/closure-compiler,251,5634,15841,63648,sebmarkbage,0
google/error-prone,186,5309,4447,478458,cushon,1384
google/google-authenticator,349,4231,216,6056,ThomasHabets,70
google/gson,748,18468,1485,9614759,GoogleCodeExporter,0
google/guava,2523,38627,5323,8091570,gissuebot,0
google/guice,578,9592,1840,8091570,gissuebot,0
google/guice,578,9592,1840,1237233,jtwigg,0
google/guice,578,9592,1840,8368122,michalradziwon,0
google/guice,578,9592,1840,2966682,pabloromanelli,0
google/guice,578,9592,1840,6698758,QStormDS,0
google/j2objc,318,5682,5114,54158072,j2objc-copybara,13
greenrobot/greenDAO,547,12192,880,16175964,MaXiaoWu2015,0
hazelcast/hazelcast,308,3912,30434,1891681,joeplanisky-temboo,0
hazelcast/hazelcast,308,3912,30434,4196298,Donnerbart,1884
jersey/jersey,356,2916,3167,6104758,glassfishrobot,0
jersey/jersey,356,2916,3167,2765066,mhorejsi,0
mockito/mockito,434,10978,5338,2021274,soulcub,0
naver/pinpoint,779,10732,11380,10057874,koo-taejin,1023
neo4j/neo4j,489,8095,69081,408167,digitalstain,1759
orientechnologies/orientdb,300,4197,19754,105066,laa,2891
orientechnologies/orientdb,300,4197,19754,508566,logart,33
pentaho/pentaho-kettle,440,4255,22208,18165598,AliaksandrShuhayeu,51
pmd/pmd,132,3018,17098,35695811,blackmamo,0
pxb1988/dex2jar,423,7863,558,13148692,TamilanPeriyasamy,0
querydsl/querydsl,172,2950,7236,1511370,HansiFransi404,0
roboguice/roboguice,321,3829,1054,564654,mknudsen,0
ronmamo/reflections,205,3339,145,4357720,nevenr,0
seata/seata,870,17040,1060,5875104,xianlaioy,2
spring-projects/spring-framework,3504,39059,21447,16028288,spring-issuemaster,0
spring-projects/spring-security,444,5148,8997,362503,rwinch,2230
spring-projects/spring-security,444,5148,8997,16028288,spring-issuemaster,0
spring-projects/spring-security,444,5148,8997,9383134,murrayw24,0
spring-projects/spring-security-oauth,412,4194,1394,362503,rwinch,25
springfox/springfox,272,4664,3751,23255260,Borewit,0
swagger-api/swagger-core,334,6472,3849,18212657,a-saf,0
thingsboard/thingsboard,490,6911,4446,1818153,janbols,10
undertow-io/undertow,211,2809,4860,352192,pferraro,18
vavr-io/vavr,174,3986,4304,743833,danieldietrich,1285
wildfly/wildfly,206,2432,30052,32375624,ashley-abdelsayed98,5
wildfly/wildfly,206,2432,30052,1104559,ochaloup,160
zaproxy/zaproxy,390,7712,7487,12745184,zapbot,1
