user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
423515,cmaglie,2010-10-01T14:41:20Z,1,1888,7275,1,1,267.0449484536083
13148364,flystar32,2015-07-02T09:01:33Z,1,246,1555,1,1,142.85401929260448
6056,ThomasHabets,2008-04-09T17:17:08Z,1,70,216,1,1,113.10185185185185
184672,ritzalam,2010-01-18T15:11:09Z,1,7074,27532,1,1,102.00414063635043
362503,rwinch,2010-08-12T18:08:04Z,2,2255,10391,2,4,92.88230199210855
204013,dodgex,2010-02-15T15:18:44Z,1,347,2924,1,1,81.6470588235294
289412,rjernst,2010-05-28T05:57:16Z,1,2132,54362,2,3,73.41716640300208
10057874,koo-taejin,2014-12-03T07:52:43Z,1,1023,11380,1,1,70.02785588752197
478458,cushon,2010-11-12T07:14:07Z,1,1384,4447,1,1,57.887114908927366
743833,danieldietrich,2011-04-21T13:35:45Z,1,1285,4304,1,1,51.94934944237918
5283042,davidzchen,2013-08-22T01:38:18Z,1,437,2514,1,1,46.23786793953859
38700,mfussenegger,2008-12-06T13:38:00Z,1,4432,11243,1,2,33.70417148447923
105066,laa,2009-07-15T04:42:37Z,1,2891,19754,1,2,21.95251594613749
5427943,rnveach,2013-09-10T14:27:02Z,1,763,9596,1,1,17.413192997082117
408167,digitalstain,2010-09-20T11:29:10Z,1,1759,69081,1,1,12.451339731619402
4196298,Donnerbart,2013-04-18T23:48:43Z,1,1884,30434,1,2,9.533285141617927
219690,seut,2010-03-10T08:55:25Z,1,1248,11243,1,2,9.490705327759494
2244393,tvernum,2012-08-29T21:50:28Z,1,291,54362,1,3,5.010411684632647
5788241,DavidRG13,2013-10-27T18:15:17Z,1,95,17483,1,1,3.2983469656237485
5149308,Pusty,2013-08-02T17:04:45Z,1,2,1178,1,1,3.166383701188455
5875104,xianlaioy,2013-11-07T01:09:17Z,1,2,1060,1,1,1.6415094339622642
14327779,yylyingy,2015-09-17T08:53:24Z,1,1,273,1,1,1.326007326007326
1818153,janbols,2012-06-05T06:21:36Z,1,10,4446,1,1,1.1021142600089968
18165598,AliaksandrShuhayeu,2016-03-30T11:00:17Z,1,51,22208,1,1,1.0104466858789625
54158072,j2objc-copybara,2019-08-15T22:46:38Z,1,13,5114,1,1,0.8083691826359014
352192,pferraro,2010-08-02T22:46:44Z,1,18,4860,1,1,0.7814814814814814
15685415,pranavan15,2015-11-06T08:30:12Z,1,359,88039,1,1,0.6809822919387999
1104559,ochaloup,2011-10-05T11:15:58Z,1,160,30052,1,3,0.36558853542748126
508566,logart,2010-12-03T21:03:58Z,1,33,19754,1,2,0.2505821605750734
63337,mateuszmrozewski,2009-03-14T08:41:10Z,1,3,20259,1,1,0.2225677476677032
29441887,andre2i,2017-06-14T21:12:20Z,1,1,4625,1,1,0.12908108108108107
10280734,supersteves,2014-12-23T13:51:59Z,1,8,15841,1,2,0.06337983713149423
12745184,zapbot,2015-06-04T09:30:18Z,1,1,7487,7,7,0.05209028983571524
32375624,ashley-abdelsayed98,2017-09-28T22:20:56Z,1,5,30052,2,3,0.02284928346421758
564654,mknudsen,2011-01-14T13:22:39Z,1,0,1054,1,1,0.0
4357720,nevenr,2013-05-06T19:29:39Z,1,0,145,1,1,0.0
1511370,HansiFransi404,2012-03-07T12:38:14Z,1,0,7236,1,1,0.0
13148692,TamilanPeriyasamy,2015-07-02T09:25:04Z,1,0,558,1,1,0.0
35695811,blackmamo,2018-01-22T14:54:43Z,1,0,17098,1,1,0.0
16028288,spring-issuemaster,2015-11-26T06:49:04Z,2,0,30444,8,10,0.0
9383134,murrayw24,2014-10-24T15:16:42Z,1,0,8997,1,3,0.0
23255260,Borewit,2016-11-04T07:52:00Z,1,0,3751,1,1,0.0
18212657,a-saf,2016-04-01T12:01:58Z,1,0,3849,1,1,0.0
11244877,lbtrace,2015-02-28T13:01:51Z,1,0,2064,1,1,0.0
2021274,soulcub,2012-07-22T09:30:25Z,1,0,5338,1,1,0.0
63648,sebmarkbage,2009-03-15T15:25:49Z,1,0,15841,1,2,0.0
6791078,ChangRuihe,2014-02-26T07:34:27Z,1,0,3718,1,3,0.0
5528514,dwing4g,2013-09-24T15:01:21Z,1,0,3718,1,3,0.0
7206469,wangwangchen,2014-04-07T13:49:19Z,1,0,3718,1,3,0.0
25593207,ceastman-ibm,2017-02-06T18:50:01Z,1,0,10545,1,1,0.0
20149740,kirayunfei,2016-06-26T08:18:12Z,1,0,4392,1,1,0.0
13364729,qq29oo,2015-07-16T11:20:00Z,1,0,4322,1,1,0.0
12394651,FanJiaqing92,2015-05-11T12:43:42Z,1,0,8785,1,1,0.0
9614759,GoogleCodeExporter,2014-11-07T19:46:28Z,1,0,1485,1,1,0.0
2765066,mhorejsi,2012-11-10T09:28:08Z,1,0,3167,1,23,0.0
8091570,gissuebot,2014-07-07T14:53:23Z,2,0,7163,48,52,0.0
1237233,jtwigg,2011-12-02T23:46:04Z,1,0,1840,1,35,0.0
2966682,pabloromanelli,2012-12-05T00:22:29Z,1,0,1840,1,35,0.0
6698758,QStormDS,2014-02-16T20:38:40Z,1,0,1840,1,35,0.0
16175964,MaXiaoWu2015,2015-12-06T12:18:40Z,1,0,880,1,1,0.0
1891681,joeplanisky-temboo,2012-06-25T22:08:47Z,1,0,30434,1,2,0.0
6104758,glassfishrobot,2013-12-04T12:32:51Z,1,0,3167,22,23,0.0
8368122,michalradziwon,2014-08-05T22:40:18Z,1,0,1840,1,35,0.0
