repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
CameraKit/blurkit-android,72,3226,86,21062067,SergeyBurlaka,0
CameraKit/blurkit-android,72,3226,86,13784188,emersoncloud,34
LWJGL/lwjgl3,182,2833,3298,1545420,Spasi,3052
Nepxion/Discovery,210,3249,2588,42354711,HaojunRen,2564
alibaba/fastjson,1391,22207,3699,1166785,wenshao,2872
alibaba/fastjson,1391,22207,3699,807508,kimmking,70
alibaba/fastjson,1391,22207,3699,9250084,vipcxj,0
apache/druid,633,9983,10529,2704460,dganguli,0
apache/incubator-dolphinscheduler,248,4270,3200,48329107,boandai,136
apache/incubator-pinot,221,2652,7258,3443182,raviarin,13
apache/incubator-pinot,221,2652,7258,19693933,npawar,337
azkaban/azkaban,266,3332,2511,12962188,moranrr,0
azkaban/azkaban,266,3332,2511,42117313,wmy1997,0
bastillion-io/Bastillion,131,2524,535,3192731,skavanagh,487
brettwooldridge/HikariCP,732,13559,2730,1538661,brettwooldridge,2310
brettwooldridge/HikariCP,732,13559,2730,28728087,nunnrlc,0
cryptomator/cryptomator,148,4474,2297,1204330,overheadhunter,1406
dbeaver/dbeaver,411,14702,16990,6398845,serge-rider,14328
eclipse/che,319,6204,8774,3472912,codenvy-ci,0
eclipse/deeplearning4j,826,11752,997,33595554,lock[bot],0
eclipse/deeplearning4j,826,11752,997,2360237,AlexDBlack,274
eclipse/deeplearning4j,826,11752,997,12250879,raver119,292
eclipse/deeplearning4j,826,11752,997,3328023,saudet,26
eclipse/jetty.project,274,2928,21273,70829,gregw,5287
elastic/elasticsearch,2808,50622,54219,15837671,elasticmachine,4
elastic/elasticsearch,2808,50622,54219,19060,dakrone,938
elastic/elasticsearch,2808,50622,54219,4744941,jasontedor,2809
elastic/elasticsearch,2808,50622,54219,3718355,ywelsch,781
elastic/elasticsearch,2808,50622,54219,4568420,albertzaharovits,149
elastic/elasticsearch,2808,50622,54219,862472,tbrooks8,409
elastic/elasticsearch,2808,50622,54219,29205940,andyb-elastic,78
elastic/elasticsearch,2808,50622,54219,29038686,iverase,67
elastic/elasticsearch,2808,50622,54219,3016277,bjm88,0
elastic/elasticsearch,2808,50622,54219,732751,jiamo,0
elastic/elasticsearch,2808,50622,54219,6826559,gaurav36,0
facebook/stetho,390,12002,580,83791,jasta,298
hazelcast/hazelcast,307,3889,30390,105243,pveentjer,3747
intuit/karate,187,3857,1994,915480,ptrthomas,1835
intuit/karate,187,3857,1994,45164228,TumagoleNed,0
jankotek/mapdb,337,4064,2175,359021,jankotek,2093
jhy/jsoup,405,8128,1363,2490505,wtesler,0
lenve/vhr,836,18198,143,24491006,walker911,0
looly/hutool,559,14797,920,1432613,looly,800
meefik/linuxdeploy,206,2978,145,1306682,meefik,96
meefik/linuxdeploy,206,2978,145,30704361,cmdwhoami,0
meefik/linuxdeploy,206,2978,145,39030139,rohand2290,0
navasmdc/MaterialDesignLibrary,531,9130,74,671781,emileb,0
navasmdc/MaterialDesignLibrary,531,9130,74,3724776,itsalltoomuch,0
navasmdc/MaterialDesignLibrary,531,9130,74,354073,filipc,0
netty/netty,1841,24508,9943,439362,normanmaurer,2220
netty/netty,1841,24508,9943,39312450,netty-bot,0
perwendel/spark,431,8811,985,1521451,tipsy,79
real-logic/aeron,363,5141,13116,15662089,JPWatson,116
redisson/redisson,885,14024,5868,1104661,mrniko,764
signalapp/Signal-Android,754,13591,5993,512439,moxie0,2253
spring-projects/spring-boot,3439,49997,28337,914682,wilkinsona,8877
spring-projects/spring-boot,3439,49997,28337,124075,dsyer,669
spring-projects/spring-security,442,5115,8900,10884212,jgrandja,532
spring-projects/spring-security,442,5115,8900,195367,ArloL,0
square/okhttp,1688,38059,4681,133019,swankjesse,2560
square/picasso,903,17607,1366,2638816,rahulrj,0
square/picasso,903,17607,1366,4401269,seekforwings,0
square/retrofit,1622,36360,1855,133019,swankjesse,280
square/retrofit,1622,36360,1855,8246218,MichaelJokAr,0
yasserg/crawler4j,317,3949,513,2644,jd,0
zaproxy/zaproxy,395,7681,7469,4639210,thc202,2419
zaproxy/zaproxy,395,7681,7469,33595554,lock[bot],0
zaproxy/zaproxy,395,7681,7469,26646037,waeller,0
