user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
1627211,sjudd,2012-04-09T21:48:24Z,1,1759,2519,2,2,759.7427550615323
173918,trustin,2009-12-30T00:30:26Z,2,5495,12550,2,4,444.85418326693224
124075,dsyer,2009-09-07T08:52:49Z,1,603,1394,1,1,178.2180774748924
439362,normanmaurer,2010-10-14T13:33:48Z,1,2224,9957,1,3,137.2177697432292
1661769,bbakerman,2012-04-20T05:29:52Z,1,627,2379,1,1,61.67213114754098
191721,joakime,2010-01-28T17:57:06Z,1,4567,21338,1,1,58.85860905426938
701906,purplefox,2011-03-31T16:05:22Z,1,903,4625,1,2,58.2801081081081
10873410,rickbrew,2015-02-05T22:47:38Z,1,85,580,1,1,57.1551724137931
2934284,vladak,2012-11-30T21:45:52Z,1,1639,5199,1,1,56.11502211963839
967132,artem-zinnatullin,2011-08-08T18:27:35Z,1,579,1073,1,1,53.96085740913327
362503,rwinch,2010-08-12T18:08:04Z,1,2230,8997,1,3,36.683338890741354
963093,scottdraves,2011-08-06T14:15:09Z,1,394,1684,2,2,29.2458432304038
9151616,danielsun1106,2014-10-11T12:30:52Z,1,1619,17481,1,1,21.76448715748527
461,bernd,2008-02-19T22:26:44Z,1,1313,17113,1,1,19.5649506223339
459289,luigidellaquila,2010-10-29T10:00:40Z,1,2152,19754,1,2,16.340994229016907
557033,pyricau,2011-01-11T08:20:19Z,1,22,1366,1,1,14.575402635431917
12656787,MishaDemianenko,2015-05-29T08:34:04Z,1,3790,69081,1,2,13.414035697224996
4715748,varshavaradarajan,2013-06-17T07:11:32Z,1,549,12135,1,1,10.224474660074165
1725611,gregaubert,2012-05-10T07:26:58Z,1,803,30013,1,1,7.892746476526838
850791,kishoreg,2011-06-15T02:03:01Z,1,247,7290,1,1,7.521810699588478
849467,pmlopes,2011-06-14T13:43:27Z,1,89,4625,1,2,5.744108108108108
8612161,martinfurmanski,2014-09-01T07:38:37Z,1,1042,69081,1,2,3.6879749858861337
5887312,sleshchenko,2013-11-08T09:59:32Z,1,492,8785,1,5,3.5730904951622087
879468,amandle,2011-06-27T18:13:10Z,1,18,1574,1,1,3.5336721728081324
2244393,tvernum,2012-08-29T21:50:28Z,1,291,54362,4,20,3.006247010779589
56599,clintongormley,2009-02-21T14:58:24Z,1,1090,54362,1,20,2.8151282145616423
7405510,droberts195,2014-04-25T12:52:51Z,1,538,54362,2,20,2.7789706044663554
1614429,skabashnyuk,2012-04-05T06:12:59Z,1,365,8785,1,5,2.6507683551508254
6310786,olexii4,2014-01-03T12:01:10Z,1,350,8785,1,5,2.541832669322709
323497,johnou,2010-07-05T17:50:46Z,1,16,5901,1,1,2.391459074733096
25210,lukhnos,2008-09-18T16:45:38Z,1,70,5114,1,2,2.176378568635119
655851,imotov,2011-03-07T16:00:49Z,1,804,54362,1,20,2.0764798940436333
13474362,dnhatn,2015-07-23T21:03:58Z,1,768,54362,1,20,1.9835031823700378
41417,ender672,2008-12-19T00:04:59Z,1,48,4796,1,1,1.5012510425354462
2353640,davidkyle,2012-09-15T18:32:05Z,1,450,54362,1,20,1.162208895919944
4568420,albertzaharovits,2013-05-30T08:23:17Z,1,150,54362,3,20,1.162208895919944
862472,tbrooks8,2011-06-20T18:59:40Z,1,410,54362,1,20,1.058901438504838
5061845,zhongwuzw,2013-07-22T03:58:09Z,1,1,372,1,1,1.0376344086021505
76245,costin,2009-04-21T19:25:55Z,1,371,54362,1,20,0.9581766675251094
3342020,N0odlez,2013-01-22T17:56:55Z,1,3,986,1,2,0.6556795131845842
7126422,hendrikmuhs,2014-04-01T11:46:17Z,1,222,54362,1,20,0.5733563886538391
2175611,aikebah,2012-08-18T17:12:08Z,1,24,6606,1,1,0.4359673024523161
