repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Automattic/kue,302,9175,1127,2151889,behrad,444
Automattic/mongoose,537,21337,12627,1620265,vkarpov15,7157
Automattic/mongoose,537,21337,12627,166834,aheckmann,2218
Automattic/mongoose,537,21337,12627,47661466,vladilsav10,0
Automattic/mongoose,537,21337,12627,20891,lgomez,0
Automattic/mongoose,537,21337,12627,6443098,NicolasBlois,0
Automattic/mongoose,537,21337,12627,9358409,ezamelczyk,0
Automattic/mongoose,537,21337,12627,31112737,aaronfulkerson,0
Automattic/mongoose,537,21337,12627,10395746,cyonder,0
Automattic/mongoose,537,21337,12627,857186,aminnaggar,0
Automattic/mongoose,537,21337,12627,37461830,ar-rahimi,0
Automattic/mongoose,537,21337,12627,34046056,juancarloselorriaga,0
Automattic/mongoose,537,21337,12627,6015453,lineus,128
Automattic/mongoose,537,21337,12627,22108833,FilipeNMarques,0
Automattic/mongoose,537,21337,12627,17096109,MuhammadAta,0
Automattic/wp-calypso,507,11529,42529,14350,blowery,1196
Automattic/wp-calypso,507,11529,42529,18333116,matticbot,0
Automattic/wp-calypso,507,11529,42529,25137612,a8ci18n,0
Automattic/wp-calypso,507,11529,42529,26384082,stale[bot],0
Automattic/wp-calypso,507,11529,42529,1248436,fabianapsimoes,11
Automattic/wp-calypso,507,11529,42529,275961,scruffian,874
Automattic/wp-calypso,507,11529,42529,128826,alisterscott,93
Automattic/wp-calypso,507,11529,42529,66797,lancewillett,76
Automattic/wp-calypso,507,11529,42529,1119271,designsimply,8
Automattic/wp-calypso,507,11529,42529,594356,stephanethomas,736
Automattic/wp-calypso,507,11529,42529,1270189,gwwar,656
Automattic/wp-calypso,507,11529,42529,1126811,ebinnion,746
Automattic/wp-calypso,507,11529,42529,326402,yurynix,112
Automattic/wp-calypso,507,11529,42529,437258,rickybanister,85
Automattic/wp-calypso,507,11529,42529,448298,danhauk,116
Automattic/wp-calypso,507,11529,42529,87168,simison,234
Automattic/wp-calypso,507,11529,42529,1123119,MichaelArestad,50
Automattic/wp-calypso,507,11529,42529,205419,adamziel,246
Automattic/wp-calypso,507,11529,42529,1130674,drewblaisdell,582
Automattic/wp-calypso,507,11529,42529,230230,Tug,801
Automattic/wp-calypso,507,11529,42529,1041600,eliorivero,255
Automattic/wp-calypso,507,11529,42529,9620684,benhuberman,0
Automattic/wp-calypso,507,11529,42529,699132,gziolo,608
Automattic/wp-calypso,507,11529,42529,266376,hafizrahman,2
Automattic/wp-calypso,507,11529,42529,416133,jordwest,143
Automattic/wp-calypso,507,11529,42529,1779930,aduth,1463
Automattic/wp-calypso,507,11529,42529,22080,timmyc,546
Automattic/wp-calypso,507,11529,42529,1500769,p-jackson,119
Automattic/wp-calypso,507,11529,42529,746152,oskosk,69
Automattic/wp-calypso,507,11529,42529,6458278,ramonjd,289
Automattic/wp-calypso,507,11529,42529,2694219,roccotripaldi,397
Automattic/wp-calypso,507,11529,42529,1715800,DanReyLop,152
Automattic/wp-calypso,507,11529,42529,574752,samhotchkiss,2
Automattic/wp-calypso,507,11529,42529,2738252,dllh,51
Automattic/wp-calypso,507,11529,42529,7767559,seear,451
Automattic/wp-calypso,507,11529,42529,844866,yoavf,189
Automattic/wp-calypso,507,11529,42529,2098816,mattsherman,71
Automattic/wp-calypso,507,11529,42529,204742,joanrho,21
Automattic/wp-calypso,507,11529,42529,5558824,elibud,0
Automattic/wp-calypso,507,11529,42529,1396552,mattmiklic,7
Automattic/wp-calypso,507,11529,42529,352291,pento,71
Automattic/wp-calypso,507,11529,42529,27954,nb,67
Automattic/wp-calypso,507,11529,42529,2600397,singerb,0
Automattic/wp-calypso,507,11529,42529,1277682,johngodley,158
Automattic/wp-calypso,507,11529,42529,1554855,johnHackworth,729
Automattic/wp-calypso,507,11529,42529,32000025,mrgenesis,0
Automattic/wp-calypso,507,11529,42529,4550351,alaczek,32
Automattic/wp-calypso,507,11529,42529,1587282,jblz,220
BrowserSync/browser-sync,271,11188,1976,1643522,shakyShane,1627
DevExpress/testcafe,187,8406,2304,30019338,Farfurix,21
DevExpress/testcafe,187,8406,2304,33595554,lock[bot],0
DevExpress/testcafe,187,8406,2304,12047804,AlexanderMoskovkin,264
DevExpress/testcafe,187,8406,2304,5373460,LavrovArtem,48
DevExpress/testcafe,187,8406,2304,995726,AlexSkorkin,39
DevExpress/testcafe,187,8406,2304,14822473,aleks-pro,7
DevExpress/testcafe,187,8406,2304,15101695,maximkoev,0
DevExpress/testcafe,187,8406,2304,24777868,Dmitry-Ostashev,6
DevExpress/testcafe,187,8406,2304,28919867,Ogurecher,8
DevExpress/testcafe,187,8406,2304,453071,inikulin,244
DevExpress/testcafe,187,8406,2304,703150,TatriX,0
FortAwesome/Font-Awesome,1417,63731,70,556268,tagliala,3
FortAwesome/Font-Awesome,1417,63731,70,340415,jasonkhanlar,0
FredrikNoren/ungit,260,9194,3685,4009570,campersau,244
FredrikNoren/ungit,260,9194,3685,5281068,jung-kim,1865
FredrikNoren/ungit,260,9194,3685,1288009,FredrikNoren,1224
FredrikNoren/ungit,260,9194,3685,597310,nikolowry,0
Freeboard/freeboard,312,5970,280,1099607,Emmo213,0
GeekyAnts/NativeBase,263,14168,2485,10998047,sankhadeeproy007,117
GetStream/Winds,220,7647,3268,1328388,nparsons08,949
GoogleChrome/chrome-app-samples,610,6789,1406,634478,beaufortfrancois,282
GoogleChrome/lighthouse,518,20534,4171,39191,paulirish,1175
GoogleChrome/lighthouse,518,20534,4171,2301202,patrickhulce,581
GoogleChrome/lighthouse,518,20534,4171,6906827,hrvojegolcic,0
GoogleChrome/lighthouse,518,20534,4171,7329073,esoyke,0
HabitRPG/habitica,304,7758,21410,589911,paglias,3195
HabitRPG/habitica,304,7758,21410,195202,lefnire,4436
HabitRPG/habitica,304,7758,21410,1495809,Alys,969
HabitRPG/habitica,304,7758,21410,2916945,crookedneighbor,2910
HabitRPG/habitica,304,7758,21410,12386291,MathWhiz,60
HabitRPG/habitica,304,7758,21410,3326182,wc8,7
HabitRPG/habitica,304,7758,21410,6274734,deilann,84
HabitRPG/habitica,304,7758,21410,267868,thepeopleseason,22
HabitRPG/habitica,304,7758,21410,1253400,TheHollidayInn,801
HabitRPG/habitica,304,7758,21410,3202339,horusofoz,0
HabitRPG/habitica,304,7758,21410,3494081,lemoness,1
HabitRPG/habitica,304,7758,21410,5641207,khipkin,28
HabitRPG/habitica,304,7758,21410,10137,ghost,0
HabitRPG/habitica,304,7758,21410,6640915,quin-jay,4
HabitRPG/habitica,304,7758,21410,19853022,legitmaxwu,1
HabitRPG/habitica,304,7758,21410,9218855,beffymaroo,0
HabitRPG/habitica,304,7758,21410,26879448,andrzejZdobywca,1
HabitRPG/habitica,304,7758,21410,3428149,luanmuniz,2
HabitRPG/habitica,304,7758,21410,834880,ineffyble,0
HabitRPG/habitica,304,7758,21410,4502295,BanktownUSA,0
HabitRPG/habitica,304,7758,21410,39242483,ChesterSng,5
HabitRPG/habitica,304,7758,21410,20314203,pllearns,0
HabitRPG/habitica,304,7758,21410,17391810,rachel-ftw,0
HabitRPG/habitica,304,7758,21410,298062,phillipthelen,121
HabitRPG/habitica,304,7758,21410,24384407,mdanlowski,0
Kong/insomnia,197,14265,2459,4312346,develohpanda,114
Laverna/laverna,354,8609,1667,2404615,wwebfor,920
Laverna/laverna,354,8609,1667,11945003,persianphilosopher,0
Marak/faker.js,334,24689,1063,8665094,agarwalkartik,0
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,277,8500,1446,6634592,MarshallOfSound,1111
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,277,8500,1446,30606887,welcome[bot],0
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,277,8500,1446,760989,jostrander,34
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,277,8500,1446,451461,Glench,0
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,277,8500,1446,852075,sjaensch,0
