user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
5070345,haizhilin2013,2013-07-23T05:18:11Z,1,681,848,2,2,467.38443396226415
5715368,cs01,2013-10-18T04:25:32Z,1,378,415,1,1,170.3277108433735
25254,tj,2008-09-18T22:37:28Z,2,6037,9185,4,43,129.80264587104858
1187447,jondubois,2011-11-10T23:34:28Z,1,1167,1237,1,2,91.5109135004042
674727,ngokevin,2011-03-17T08:56:11Z,1,1576,5874,3,5,86.12461695607762
1290832,interactivellama,2011-12-28T17:11:56Z,1,755,3318,1,1,76.91078963230862
51083,knolleary,2009-02-02T11:03:58Z,1,3547,5724,2,9,74.08517742060718
27856297,dependabot-preview[bot],2017-04-21T12:03:36Z,13,2501,54555,20,81,55.431191311067884
101513,ErisDS,2009-07-03T22:21:25Z,1,3384,11584,11,76,46.93252035475429
587576,gschier,2011-01-28T01:25:26Z,1,2096,2476,4,16,41.69143780290791
552910,Tryneus,2011-01-08T05:22:38Z,1,183,985,1,2,38.36497461928934
71468,arikfr,2009-04-07T18:25:43Z,1,4066,7134,4,36,37.046537706756375
22879524,blockmood,2016-10-17T05:13:02Z,1,9,250,1,1,36.864000000000004
17382885,ibuler,2016-02-21T14:20:22Z,1,3025,5379,3,30,35.65439672801636
746130,aslushnikov,2011-04-22T16:40:25Z,1,914,1940,1,17,35.390479078229234
37303,chrisdickinson,2008-11-30T03:41:02Z,1,44,199,1,1,35.37688442211056
380914,tommoor,2010-08-30T16:21:38Z,1,1440,2532,3,6,33.838862559241704
262560,NumEricR,2010-05-02T20:03:24Z,1,25,263,1,1,31.749049429657795
338316,daffl,2010-07-20T08:00:07Z,1,1831,3430,9,46,28.30402459120294
63387,majek,2009-03-14T13:27:12Z,1,443,923,1,5,28.221451787648974
2692120,Snuffleupagus,2012-10-31T15:08:37Z,1,2612,12869,2,16,26.969422643562048
985197,QuincyLarson,2011-08-17T04:08:08Z,1,2900,26040,1,35,26.6899275839368
808227,jeddy3,2011-05-24T18:42:05Z,1,1301,4796,2,2,24.68536280233528
