user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
13041,rauchg,2008-06-09T02:22:48Z,1,1023,1730,1,1,981.0156069364162
25254,tj,2008-09-18T22:37:28Z,2,6037,9185,3,6,696.0460533478498
999588,nolimits4web,2011-08-23T17:45:14Z,2,6238,7212,2,4,631.844009983361
629429,hakimel,2011-02-21T07:33:44Z,1,2054,2699,1,2,614.5257502778807
12550607,oldnewthing,2015-05-21T20:16:37Z,1,175,179,1,2,497.1368715083799
1294454,kroitor,2011-12-30T04:22:10Z,1,19746,32444,3,3,466.20133152508936
144427,marijnh,2009-10-25T14:34:39Z,1,4437,6743,1,1,438.89648524395665
35128,sorrycc,2008-11-18T05:04:27Z,1,578,742,1,1,364.56064690026955
872310,JedWatson,2011-06-24T02:12:21Z,1,4790,8790,1,1,289.3617747440273
1123439,liftoff,2011-10-12T19:15:59Z,1,805,859,1,1,282.0779976717113
21918,carhartl,2008-08-25T17:42:05Z,2,562,989,6,10,277.19271991911023
2200494,star7th,2012-08-23T01:42:59Z,1,829,1016,1,1,245.59940944881888
67512,dougwilson,2009-03-26T18:16:14Z,3,1577,8023,4,11,227.7235674707942
438516,lutzroeder,2010-10-13T20:55:16Z,1,3355,3355,1,1,220.0
9595985,jimfb,2014-11-06T19:04:24Z,1,444,13518,1,1,219.4380825565912
633557,antelle,2011-02-23T08:25:53Z,1,2868,3108,1,1,213.16216216216216
757747,Unitech,2011-04-28T20:38:41Z,1,2875,4821,1,2,205.44233561501764
141167,scottgonzalez,2009-10-18T02:49:54Z,1,2168,7193,1,1,202.84498818295566
17382885,ibuler,2016-02-21T14:20:22Z,1,3024,5377,4,7,202.46233959456944
330895,imsky,2010-07-13T15:05:36Z,1,449,507,1,1,192.17554240631165
11450939,avwo,2015-03-13T02:02:50Z,1,9197,9315,1,1,185.61846484165324
635902,luin,2011-02-24T12:36:28Z,1,289,304,1,1,172.06907894736844
71468,arikfr,2009-04-07T18:25:43Z,1,4064,7126,1,2,166.52932921695202
51083,knolleary,2009-02-02T11:03:58Z,1,3547,5724,1,2,166.38181341719078
1365881,sokra,2012-01-22T02:18:14Z,1,7194,11737,1,6,165.18556701030928
1991850,kevin-brown,2012-07-17T14:18:49Z,1,830,2609,2,3,161.82189855627954
