user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
121766,feross,2009-09-01T06:06:14Z,1,2094,2666,1,1,578.0885221305326
1162160,Rich-Harris,2011-10-31T10:36:05Z,1,4206,5893,2,2,495.32733751909046
5070345,haizhilin2013,2013-07-23T05:18:11Z,1,681,848,2,2,467.38443396226415
1620265,vkarpov15,2012-04-07T02:31:53Z,1,7200,12676,1,1,303.8813505837804
157858,dmethvin,2009-11-25T01:39:34Z,1,587,6511,1,2,152.58754415604363
674727,ngokevin,2011-03-17T08:56:11Z,1,1576,5874,1,1,143.54102826012937
19343,ai,2008-08-02T16:34:20Z,1,563,674,1,1,109.42581602373888
6775919,BerkeleyTrue,2014-02-24T21:26:33Z,1,331,26040,1,1,106.6216589861751
923011,julianlam,2011-07-18T14:20:29Z,1,4941,20105,1,1,98.79542402387466
56631,hueniverse,2009-02-21T16:45:35Z,2,4445,7796,2,8,89.37323627501283
71468,arikfr,2009-04-07T18:25:43Z,1,4066,7134,1,4,83.35470984020185
633973,mattgodbolt,2011-02-23T13:46:48Z,1,1980,5265,1,1,80.85470085470085
617641,zadam,2011-02-14T16:56:40Z,1,3717,3759,1,2,76.13966480446928
160354,jaubourg,2009-12-01T14:21:56Z,1,286,6511,1,2,74.34418676086624
1268976,brian-mann,2011-12-16T23:52:04Z,1,7040,13269,1,3,70.21076695053634
2641335,smblott-github,2012-10-24T14:26:37Z,1,2096,4391,1,2,69.69164199498975
317464,saghul,2010-06-29T13:49:31Z,1,1053,7733,1,1,67.67632225526962
1197144,redmunds,2011-11-15T16:37:43Z,1,1842,17845,1,3,54.226057719249084
338316,daffl,2010-07-20T08:00:07Z,1,1831,3430,1,3,48.22167152575315
17175484,PicoCreator,2016-02-11T09:51:51Z,1,187,1230,1,1,37.5520325203252
22770796,n1474335,2016-10-11T13:31:06Z,1,1558,2818,7,28,36.766146202980835
835857,FagnerMartinsBrack,2011-06-07T19:15:26Z,1,283,752,2,8,34.15192819148936
30335,dduponchel,2008-10-22T07:29:10Z,1,339,638,1,2,33.474921630094045
1060119,gruehle,2011-09-18T16:31:37Z,1,1003,17845,1,3,29.527001027365273
11674,braddunbar,2008-05-27T18:52:26Z,1,415,3386,3,19,27.228448409861034
1160712,kirrg001,2011-10-30T12:13:31Z,1,1111,11584,1,4,26.614511395027623
1006268,goto-bus-stop,2011-08-26T10:11:02Z,1,1719,7790,1,3,25.523876765083443
35589221,haltman-at,2018-01-19T05:04:02Z,1,1550,9705,2,4,25.47398248325605
462228,ritch,2010-11-01T02:54:50Z,1,399,2407,1,3,25.417532197756543
680248,shockey,2011-03-20T17:51:44Z,1,1331,4427,1,8,25.217444093065282
4157103,Cellule,2013-04-15T04:51:28Z,1,1304,12831,2,4,23.679526147611256
1297597,azz,2012-01-01T16:48:17Z,1,241,4629,1,1,21.449989198531
495768,dwrensha,2010-11-25T00:56:18Z,1,692,7588,1,1,20.79283078545071
335567,Carreau,2010-07-18T14:33:12Z,1,1333,11852,1,2,18.33268646641917
151065,gnidan,2009-11-10T02:01:08Z,1,2093,9705,1,4,17.199046883049974
146979,notmasteryet,2009-10-31T01:09:19Z,1,522,12869,3,8,16.169263346025332
1847343,mrmr1993,2012-06-13T17:33:07Z,1,454,4391,1,2,15.095422455021634
502810,sunag,2010-11-30T03:11:35Z,1,417,34774,1,2,14.893713694139299
88735,tbarbugli,2009-05-26T13:44:43Z,1,219,3268,1,1,14.80997552019584
87619,dannycoates,2009-05-22T16:41:39Z,1,1070,3543,1,5,10.63053909116568
539213,sebgie,2010-12-28T16:28:38Z,1,443,11584,1,4,10.612266919889501
4009570,campersau,2013-03-29T23:32:22Z,1,247,3689,1,2,8.70425589590675
1120926,wardpeet,2011-10-11T23:42:46Z,1,293,16602,1,2,8.683050234911457
13243,steveluscher,2008-06-10T18:08:12Z,1,194,5395,1,2,7.012048192771084
2294695,caitp,2012-09-06T20:58:48Z,1,196,9020,1,13,6.7344704076411395
178512,jfromaniello,2010-01-08T12:44:17Z,1,177,433,1,19,6.368299501640938
6562944,0x777,2014-02-01T18:20:29Z,1,88,2179,1,2,5.674162459843965
