repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
11ty/eleventy,86,6922,1157,4206232,slice,0
AliasIO/wappalyzer,192,6404,4914,18178678,brohlson,1
AliasIO/wappalyzer,192,6404,4914,2470175,q--,114
Automattic/mongoose,535,21403,12676,848609,cleverca22,0
Automattic/mongoose,535,21403,12676,53233,justmoon,13
Automattic/mongoose,535,21403,12676,23424570,weeco,0
Automattic/mongoose,535,21403,12676,580492,Swatinem,0
Automattic/mongoose,535,21403,12676,15280150,erwanv,0
Automattic/mongoose,535,21403,12676,41547687,rocksmash1,0
Automattic/wp-calypso,503,11535,42706,2124984,sixhours,286
Automattic/wp-calypso,503,11535,42706,17325,bluefuton,860
Automattic/wp-calypso,503,11535,42706,664258,jsnajdr,890
Automattic/wp-calypso,503,11535,42706,841763,sirreal,998
Automattic/wp-calypso,503,11535,42706,670067,mattgawarecki,51
Automattic/wp-calypso,503,11535,42706,29139614,renovate[bot],790
BoostIO/Boostnote,354,17091,4714,32328362,guardrails[bot],0
BrowserSync/browser-sync,270,11190,1976,1643522,shakyShane,1627
BrowserSync/browser-sync,270,11190,1976,10914049,funnyfrontend,0
BrowserSync/browser-sync,270,11190,1976,10137,ghost,0
BrowserSync/browser-sync,270,11190,1976,13053819,KokeClassic,0
BrowserSync/browser-sync,270,11190,1976,5314030,Djuka,0
BrowserSync/browser-sync,270,11190,1976,2198200,Lajule,0
BrowserSync/browser-sync,270,11190,1976,1270662,s-a,0
BrowserSync/browser-sync,270,11190,1976,1104018,nightire,0
BrowserSync/browser-sync,270,11190,1976,3764345,thebuilder,0
BrowserSync/browser-sync,270,11190,1976,87983,jihchi,0
BrowserSync/browser-sync,270,11190,1976,22027093,snyk-community,0
BrowserSync/browser-sync,270,11190,1976,8163408,adamjaffeback,1
BrowserSync/browser-sync,270,11190,1976,3889656,soundasleep,0
BrowserSync/browser-sync,270,11190,1976,9441913,erwstout,0
BrowserSync/browser-sync,270,11190,1976,3011734,jgravois,0
BrowserSync/browser-sync,270,11190,1976,230528,april,0
BrowserSync/browser-sync,270,11190,1976,21340145,toniixyz,0
CodeSeven/toastr,355,10413,412,5094234,rohit-lakhanpal,0
ColorlibHQ/AdminLTE,2099,36006,1537,18417846,jinji-hanbin,0
ColorlibHQ/AdminLTE,2099,36006,1537,239505,guil182,0
ColorlibHQ/AdminLTE,2099,36006,1537,19510713,mwoodsy,0
DIYgod/RSSHub,276,13667,4599,4951333,imlonghao,18
DevExpress/testcafe,185,8426,2318,14822473,aleks-pro,7
DevExpress/testcafe,185,8426,2318,12034551,helen-dikareva,144
DevExpress/testcafe,185,8426,2318,25755993,igorn-beardguy,0
DevExpress/testcafe,185,8426,2318,43778016,r-s-sandbox,0
DmitryBaranovskiy/raphael,405,10726,486,1853456,RickBullotta,0
Dogfalo/materialize,1084,37959,3878,17441466,Soham3-1415,0
Dogfalo/materialize,1084,37959,3878,3199603,kunukn,0
Dogfalo/materialize,1084,37959,3878,5912680,harrysonguimaraes,0
Dogfalo/materialize,1084,37959,3878,1125046,joearcher,0
Dogfalo/materialize,1084,37959,3878,22027093,snyk-community,0
Dogfalo/materialize,1084,37959,3878,17543179,ighmouraceneb,0
FormidableLabs/webpack-dashboard,200,13680,232,703355,mschaaf,0
FortAwesome/Font-Awesome,1415,63825,70,752980,amenezes,0
FredrikNoren/ungit,260,9219,3689,20157115,DeeDeeG,0
FredrikNoren/ungit,260,9219,3689,6002787,hitochan777,1
GeekyAnts/NativeBase,265,14192,2485,13943374,iwikal,0
GeekyAnts/NativeBase,265,14192,2485,1986524,aidanw,0
GeekyAnts/NativeBase,265,14192,2485,51141,bluet,1
GitbookIO/gitbook,737,22834,2377,222763,nyxtom,0
GoogleChrome/chrome-app-samples,610,6803,1406,1775176,mdittmer,78
GoogleChrome/lighthouse,518,20628,4215,238208,ebidel,239
GoogleChrome/lighthouse,518,20628,4215,4071474,connorjclark,336
GoogleChrome/lighthouse,518,20628,4215,17653691,sripalreddyadamala,0
GoogleChrome/lighthouse,518,20628,4215,316891,brendankenny,622
GoogleChrome/lighthouse,518,20628,4215,205226,samdutton,0
GoogleChrome/lighthouse,518,20628,4215,2301202,patrickhulce,589
GoogleChrome/lighthouse,518,20628,4215,26250452,ignaciojmachado,0
GoogleChrome/lighthouse,518,20628,4215,1774060,daannijkamp,1
GoogleChrome/lighthouse,518,20628,4215,14199217,mfriesenhahn,5
GoogleChrome/workbox,183,9403,1116,326742,philipwalton,293
GoogleChromeLabs/carlo,198,9193,160,26104024,LongTengDao,0
HabitRPG/habitica,303,7790,21446,8595054,Kerstman,0
HabitRPG/habitica,303,7790,21446,22027093,snyk-community,1
HabitRPG/habitica,303,7790,21446,6287669,sirmodok,0
JedWatson/react-select,231,20831,3423,28607018,trealex2,0
KELiON/cerebro,152,6652,752,594298,KELiON,602
LeaVerou/awesomplete,137,6714,303,683911,jcbrand,0
Leaflet/Leaflet,959,28817,6854,2807999,svub,0
Leaflet/Leaflet,959,28817,6854,1125786,IvanSanchez,405
Marak/faker.js,332,24879,1186,30696340,jansplichal2,0
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,277,8500,1446,22027093,snyk-community,0
MichMich/MagicMirror,681,12643,3162,15740059,SpencerCornish,2
MichMich/MagicMirror,681,12643,3162,1313547,rejas,138
MichMich/MagicMirror,681,12643,3162,4697568,ColonelMoutarde,0
MithrilJS/mithril.js,335,12333,3516,3352923,gixxi,0
Modernizr/Modernizr,982,24512,2564,763805,victoriafrench,0
Modernizr/Modernizr,982,24512,2564,384959,mschipperheyn,0
Modernizr/Modernizr,982,24512,2564,330436,gharlan,0
NaturalNode/natural,294,9315,1258,973543,gajus,0
NervJS/taro,697,26800,6212,27213108,BUPTlhuanyu,0
NervJS/taro,697,26800,6212,5990314,SidneyLann,0
NodeBB/NodeBB,402,11310,20105,803701,pitaj,340
NodeBB/NodeBB,402,11310,20105,5513257,nodecode,0
NodeBB/NodeBB,402,11310,20105,10373748,RaceProUK,3
NodeBB/NodeBB,402,11310,20105,1625272,meyskens,0
NodeBB/NodeBB,402,11310,20105,220864,JohnMcLear,1
NodeBB/NodeBB,402,11310,20105,652068,w1ndy,0
NodeBB/NodeBB,402,11310,20105,1398375,akhoury,100
NodeBB/NodeBB,402,11310,20105,517862,Evlos,0
NodeBB/NodeBB,402,11310,20105,3368345,andrewaeva,0
OnsenUI/OnsenUI,336,8072,9238,8143945,gazhayes,0
OpenZeppelin/openzeppelin-contracts,457,8374,2118,287189,maraoz,279
OptimalBits/bull,121,9142,1874,1537324,p-j,0
OwlCarousel2/OwlCarousel2,297,7236,546,45907792,1337slash,0
PatrickJS/starter,555,10378,1803,14539,peterblazejewicz,0
ReactTraining/react-router,885,41549,4570,18295599,Legend96th,0
RocketChat/Rocket.Chat,936,28164,18621,2692247,Hudell,122
RocketChat/Rocket.Chat,936,28164,18621,8591547,sampaiodiego,1954
RocketChat/Rocket.Chat,936,28164,18621,40830821,gabriellsh,79
RocketChat/Rocket.Chat,936,28164,18621,19310978,antn89,0
RocketChat/Rocket.Chat,936,28164,18621,1462531,nickbroon,0
RocketChat/Rocket.Chat,936,28164,18621,17021819,zb471914758,0
RocketChat/Rocket.Chat,936,28164,18621,3305174,pandada8,3
RocketChat/Rocket.Chat,936,28164,18621,12853539,jhutchings1,0
RocketChat/Rocket.Chat,936,28164,18621,20923812,pakjiddat,0
RubyLouvre/avalon,477,5792,4877,1949219,rayroad,0
RubyLouvre/avalon,477,5792,4877,21294447,rocbin,0
SBoudrias/Inquirer.js,150,13103,838,266481,DannyDouglass,1
STRML/react-grid-layout,235,11792,611,20279115,DigitalMarc,0
Semantic-Org/Semantic-UI,1402,48410,6684,887952,pragmader,0
Semantic-Org/Semantic-UI,1402,48410,6684,19380562,BrendanMyers88,0
Semantic-Org/Semantic-UI,1402,48410,6684,22027093,snyk-community,0
Semantic-Org/Semantic-UI,1402,48410,6684,118847,ComLock,0
SimulatedGREG/electron-vue,267,12862,826,358930,robogeek,0
SortableJS/Sortable,418,20852,1046,6208777,Federico-G,0
Tencent/vConsole,312,11921,415,2394070,sunderls,0
Tencent/wepy,740,20616,2367,16918885,dlhandsome,126
Tencent/wepy,740,20616,2367,4847735,zhouweiming,0
TryGhost/Ghost,1110,34755,11584,101513,ErisDS,3384
TryGhost/Ghost,1110,34755,11584,415,kevinansfield,866
TryGhost/Ghost,1110,34755,11584,1196299,javorszky,64
TryGhost/Ghost,1110,34755,11584,22027093,snyk-community,0
TryGhost/Ghost,1110,34755,11584,964245,daniellockyer,288
Turfjs/turf,190,5482,3413,32314,tmcw,215
TypeStrong/ts-node,74,7361,566,1088987,blakeembrey,387
Unitech/pm2,690,33103,4821,7298656,hardog,0
Unitech/pm2,690,33103,4821,9354635,MattRiddell,0
Unitech/pm2,690,33103,4821,3337832,ngmariusz,0
Unitech/pm2,690,33103,4821,868525,tapsboy,0
Unitech/pm2,690,33103,4821,694940,Sly777,0
Unitech/pm2,690,33103,4821,2113376,chazzmoney,0
VulcanJS/Vulcan,282,7910,7502,814919,martinhbramwell,1
WordPress/gutenberg,334,6172,13965,5687778,thatdevgirl,0
WordPress/gutenberg,334,6172,13965,3314354,notnownikki,134
WordPress/gutenberg,334,6172,13965,104156,martindrapeau,0
WordPress/gutenberg,334,6172,13965,11271197,jorgefilipecosta,686
WordPress/gutenberg,334,6172,13965,5968192,foysalremon,2
WordPress/gutenberg,334,6172,13965,699132,gziolo,676
WordPress/gutenberg,334,6172,13965,1016458,ntwb,177
WordPress/gutenberg,334,6172,13965,352291,pento,82
YMFE/yapi,500,17560,5731,50605146,Stu2014,0
aFarkas/html5shiv,606,9708,274,7136615,anthaeus,0
acornjs/acorn,147,6409,1209,18124433,long76,0
adam-p/markdown-here,1081,48041,807,425687,adam-p,789
adam-p/markdown-here,1081,48041,807,32172465,Hackriderroot,0
adam-p/markdown-here,1081,48041,807,173813,tbroyer,0
adobe/brackets,1576,31825,17845,1060119,gruehle,1003
adobe/brackets,1576,31825,17845,1148713,jasonsanjose,1724
adobe/brackets,1576,31825,17845,52645,filmaj,0
adobe/brackets,1576,31825,17845,3172701,garrett85,0
adrai/flowchart.js,270,6981,203,8509449,5alt,0
aframevr/aframe,535,11772,5874,674727,ngokevin,1576
aframevr/aframe,535,11772,5874,7637832,takahirox,32
aframevr/aframe,535,11772,5874,21093657,db2crush,0
aframevr/aframe,535,11772,5874,42109,lew,0
aframevr/aframe,535,11772,5874,234804,greggman,2
ag-grid/ag-grid,198,6504,18461,995072,farrago,0
ag-grid/ag-grid,198,6504,18461,319125,vitvad,0
ag-grid/ag-grid,198,6504,18461,6214968,ofirrifo,0
agalwood/Motrix,403,22724,810,4121607,shouhuanxiaoji,0
aheckmann/gm,120,6210,631,16603429,plroebuck,0
aheckmann/gm,120,6210,631,9623677,Mochican,0
airbnb/hypernova,113,5600,162,7695067,mvcruzata,0
airbnb/javascript,3687,99329,1832,18283158,joyran,0
airbnb/lottie-web,456,21836,1988,7975158,olso,0
airbnb/react-dates,150,10837,1550,21183824,LuisSaybe,0
ajv-validator/ajv,107,7953,1586,524902,prettydiff,0
ajv-validator/ajv,107,7953,1586,8258788,v-i-n-y-a,0
akiran/react-slick,130,8721,1179,34230909,AlaguSelvan,0
akveo/blur-admin,540,11039,472,26707556,bipinsingh27,0
akveo/blur-admin,540,11039,472,5072167,ankitg1602,0
algorithm-visualizer/algorithm-visualizer,1173,31512,661,22027093,snyk-community,0
almende/vis,15,7953,3152,20109211,jaglally,0
almende/vis,15,7953,3152,38366914,williamhavercamp,0
alpinejs/alpine,167,10428,968,8427737,SimoTod,64
amejiarosario/dsa.js-data-structures-algorithms-javascript,104,5351,721,1730277,nuintun,1
ampproject/amphtml,675,13767,17096,13095865,elijahsoria,15
ampproject/amphtml,675,13767,17096,5960497,prateekbh,110
ampproject/amphtml,675,13767,17096,1492044,gmajoulet,386
ampproject/amphtml,675,13767,17096,1766447,keithwrightbos,197
ampproject/amphtml,675,13767,17096,4656974,samouri,115
ampproject/amphtml,675,13767,17096,112982,jridgewell,632
ampproject/amphtml,675,13767,17096,2647,mkhatib,188
ampproject/amphtml,675,13767,17096,1645580,zhaoqin,4
ampproject/amphtml,675,13767,17096,264920,mdmower,54
ampproject/amphtml,675,13767,17096,25519,Gregable,264
ampproject/amphtml,675,13767,17096,6611481,lusilva,2
ampproject/amphtml,675,13767,17096,89679,cramforce,1201
ampproject/amphtml,675,13767,17096,494160,alabiaga,113
ampproject/amphtml,675,13767,17096,26553114,rsimha,730
angular-fullstack/generator-angular-fullstack,276,6124,2786,794913,joshkopecek,0
angular-fullstack/generator-angular-fullstack,276,6124,2786,1847580,gintsgints,2
angular-fullstack/generator-angular-fullstack,276,6124,2786,415557,PDXIII,0
angular-fullstack/generator-angular-fullstack,276,6124,2786,1617488,tharrington,0
angular-ui/bootstrap,799,14607,2073,382106,pusherman,1
angular-ui/bootstrap,799,14607,2073,2077099,tam4s,0
angular-ui/bootstrap,799,14607,2073,6259056,c00,0
angular-ui/bootstrap,799,14607,2073,3015996,ahoereth,0
angular-ui/bootstrap,799,14607,2073,2513193,dmitriz,0
angular-ui/bootstrap,799,14607,2073,1703387,wesleycho,610
angular-ui/bootstrap,799,14607,2073,2251274,youngbob,0
angular-ui/bootstrap,799,14607,2073,8961560,unitymarc,0
angular-ui/bootstrap,799,14607,2073,2766717,RyanBard,0
angular-ui/bootstrap,799,14607,2073,1786713,marcosdemelo,0
angular-ui/bootstrap,799,14607,2073,1295139,thedmi,0
angular-ui/bootstrap,799,14607,2073,3470892,asadsahi,0
angular-ui/bootstrap,799,14607,2073,1765408,MaitreDede,0
angular-ui/bootstrap,799,14607,2073,226899,albertein,0
angular-ui/bootstrap,799,14607,2073,4419074,enricosoft,0
angular-ui/ui-grid,375,5349,4177,22798295,vijayalaya,0
angular-ui/ui-grid,375,5349,4177,1280524,mschroering,1
angular-ui/ui-grid,375,5349,4177,6343510,adamchenweitekserve,0
angular-ui/ui-grid,375,5349,4177,10817874,srinu0681,0
angular-ui/ui-grid,375,5349,4177,12286274,joeskeen,2
angular/angular-seed,731,13308,207,3806341,jamesguo33,0
angular/angular-seed,731,13308,207,34709119,divyachawla28,0
angular/angular.js,4029,59513,9020,2478262,nervgh,0
angular/angular.js,4029,59513,9020,8604205,gkalpak,415
angular/angular.js,4029,59513,9020,8535126,manishkrai,0
angular/angular.js,4029,59513,9020,64889341,veereshsg-git,0
angular/angular.js,4029,59513,9020,111951,mhevery,730
angular/angular.js,4029,59513,9020,1916280,bensgroi,0
angular/angular.js,4029,59513,9020,9416171,PhilipWallin,0
angular/angular.js,4029,59513,9020,32093769,harsharora001,0
angular/angular.js,4029,59513,9020,46647,vojtajina,365
angular/angular.js,4029,59513,9020,17746484,imanoracle,0
angular/angular.js,4029,59513,9020,15655,petebacondarwin,853
angular/angular.js,4029,59513,9020,7208,mprobst,12
angular/angular.js,4029,59513,9020,1750411,suedama1756,0
angular/angular.js,4029,59513,9020,1126481,lukaszdechovan,0
angular/angular.js,4029,59513,9020,1202714,jssebastian,0
angular/angular.js,4029,59513,9020,13050011,trevorade,0
angular/angular.js,4029,59513,9020,216296,IgorMinar,1438
angular/angular.js,4029,59513,9020,300402,mondalaci,0
angular/angular.js,4029,59513,9020,2113358,brent-morrow,7
angular/angular.js,4029,59513,9020,168137,dlongley,1
angular/angular.js,4029,59513,9020,1944061,artaommahe,0
angular/angular.js,4029,59513,9020,24697414,sumanjob1988,0
angular/angular.js,4029,59513,9020,52557385,sivasatyababu,0
angular/angular.js,4029,59513,9020,1460479,cybermerlin,0
angular/angular.js,4029,59513,9020,12085434,seanbert4,0
angular/angular.js,4029,59513,9020,29593413,SudheendraModa,0
angular/material,783,16609,4875,65741,davidshen84,0
angular/material,783,16609,4875,838736,jelbourn,166
angular/material,783,16609,4875,3791539,kimtuck,0
angular/material,783,16609,4875,13606126,instacat,0
angular/material,783,16609,4875,759279,reutopiaer,0
angular/material,783,16609,4875,4987015,devversion,296
angular/material,783,16609,4875,2865030,tsle,0
angular/material,783,16609,4875,3506071,Splaktar,353
angular/material,783,16609,4875,571363,robertmesserle,709
angular/material,783,16609,4875,13580338,tenshiAMD,0
angular/protractor,528,8622,1749,717686,ddehghan,0
angular/protractor,528,8622,1749,17563226,alan-agius4,8
ansible/awx,365,8289,27039,9753817,jakemcdermott,913
ansible/awx,365,8289,27039,42731074,urbinaalex17,0
ansible/awx,365,8289,27039,8466369,ingvaldlorentzen,0
apexcharts/apexcharts.js,119,9255,1892,1696622,Ismamai,0
appium/appium,893,11915,7155,852574,dpgraham,229
assaf/zombie,128,5459,1844,21331,mrDarcyMurphy,0
atlassian/react-beautiful-dnd,256,20533,681,744114,faiwer,0
atlassian/react-beautiful-dnd,256,20533,681,4363831,rambabusaravanan,1
atom/atom,2530,52895,37684,326587,maxbrunsfeld,2209
atom/atom,2530,52895,37684,1789,nathansobo,6221
atom/atom,2530,52895,37684,4614970,jpruiz114,0
atomiks/tippyjs,79,7858,1346,22450188,atomiks,990
aurelia/framework,464,11479,797,821415,peterver,0
auth0/node-jsonwebtoken,296,12971,433,25179888,p-brighenti,0
