user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
3950390,nodiscc,2013-03-23T16:07:49Z,1,1272,3891,1,1,537.1102544333077
121766,feross,2009-09-01T06:06:14Z,2,2470,3917,2,2,460.3267806995149
425687,adam-p,2010-10-03T21:25:48Z,1,789,807,1,3,352.2961586121437
985197,QuincyLarson,2011-08-17T04:08:08Z,1,2900,26040,1,5,186.8294930875576
8336157,IvanGoncharov,2014-08-02T07:28:17Z,1,1002,2687,1,1,157.36657982880538
3802923,tnolet,2013-03-07T22:04:11Z,1,161,191,1,1,149.19895287958116
25254,tj,2008-09-18T22:37:28Z,1,3881,5592,1,9,138.95966460022254
7756581,hackjutsu,2014-05-31T19:58:35Z,1,454,595,1,1,133.52941176470588
45845,arv,2009-01-12T00:08:56Z,1,749,1730,1,1,131.18323699421964
594298,KELiON,2011-02-01T08:22:38Z,1,602,752,1,1,121.68085106382978
2927808,xintongxia,2012-11-30T04:49:44Z,1,35,686,1,1,109.28571428571429
1789,nathansobo,2008-02-29T18:26:45Z,1,6221,37684,1,4,104.4152027385628
47108,evertonfraga,2009-01-16T15:44:48Z,1,579,2049,1,2,103.42313323572475
1162160,Rich-Harris,2011-10-31T10:36:05Z,1,4206,5893,1,5,99.0654675038181
101513,ErisDS,2009-07-03T22:21:25Z,1,3384,11584,3,10,97.27831491712708
56631,hueniverse,2009-02-21T16:45:35Z,1,3596,5619,1,3,93.8624903600878
585534,gorhill,2011-01-26T23:09:09Z,1,1978,2781,3,5,89.1913700107875
417751,JamesMGreene,2010-09-27T15:15:29Z,1,225,664,1,1,89.11897590361446
3165635,oliviertassinari,2013-01-01T23:34:22Z,1,3216,12515,3,12,86.59944067119457
326587,maxbrunsfeld,2010-07-08T16:23:58Z,1,2209,37684,2,4,74.15308884407176
1884376,raisedadead,2012-06-23T13:55:06Z,1,1107,26040,1,5,71.3173271889401
2641335,smblott-github,2012-10-24T14:26:37Z,1,2096,4391,2,4,69.69164199498975
141167,scottgonzalez,2009-10-18T02:49:54Z,1,2168,7193,1,3,67.51452801334631
674727,ngokevin,2011-03-17T08:56:11Z,1,1576,5874,4,9,63.79601256005749
810438,gaearon,2011-05-25T18:18:31Z,2,2181,16135,3,55,63.341592810660046
287189,maraoz,2010-05-26T00:32:58Z,1,279,2118,1,1,60.19971671388102
22450188,atomiks,2016-09-26T13:57:04Z,1,990,1346,1,1,58.10549777117385
2381475,brandonocasey,2012-09-19T22:44:25Z,1,154,3577,1,1,56.01174168297457
618009,mikermcneil,2011-02-14T20:51:12Z,1,4451,7045,1,8,55.9139105748758
7397134,jansiegel,2014-04-24T16:14:06Z,1,1281,6848,3,5,54.77172897196261
12637,rwjblue,2008-06-05T00:59:00Z,1,5035,20026,2,9,54.30740037950664
151263,CrossEye,2009-11-10T13:41:00Z,1,537,2884,1,1,54.18411927877947
1898413,alexlamsl,2012-06-27T12:36:42Z,1,1275,2288,2,6,52.381993006993
1270099,pfrazee,2011-12-17T20:02:32Z,1,5336,7700,2,5,51.83542857142858
