repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
0xced/XCDYouTubeKit,126,2718,1410,8177132,hectordominguez00,0
0xced/XCDYouTubeKit,126,2718,1410,16742187,JonJC,0
0xced/XCDYouTubeKit,126,2718,1410,25984871,XRadevFRT,0
0xced/XCDYouTubeKit,126,2718,1410,14343654,ansonngch,0
1and2papa/CTAssetsPickerController,77,2193,133,9064387,guakeliao,0
3lvis/Form,61,1676,2675,1088217,3lvis,1211
3lvis/Form,61,1676,2675,677629,Mutix,17
AFNetworking/AFNetworking,1641,32934,2937,10137,ghost,0
AFNetworking/AFNetworking,1641,32934,2937,8739,koke,2
AFNetworking/AFNetworking,1641,32934,2937,1454565,xjdrew,1
AFNetworking/AFNetworking,1641,32934,2937,338667,iOSDevil,0
AFNetworking/AFNetworking,1641,32934,2937,5010088,lsk2luke,0
AFNetworking/AFNetworking,1641,32934,2937,9838548,SubodhKumar1,0
AFNetworking/AFNetworking,1641,32934,2937,4326959,unkosun,0
AFNetworking/AFNetworking,1641,32934,2937,4277861,CodeLife2012,0
AFNetworking/AFNetworking,1641,32934,2937,8970351,ycy1164656,0
AFNetworking/AFOAuth2Manager,47,1176,128,74731,pieterclaerhout,0
AFNetworking/AFOAuth2Manager,47,1176,128,1631439,lyatcomit,0
Automattic/simplenote-ios,63,1707,2922,13246760,Chanryma,0
Automattic/simplenote-ios,63,1707,2922,154014,bummytime,61
Automattic/simplenote-ios,63,1707,2922,1195260,jleandroperez,2188
Automattic/simplenote-ios,63,1707,2922,789137,roundhill,95
BradLarson/GPUImage,761,19444,1082,6975855,smallstep-zzz,0
ChatSecure/ChatSecure-iOS,188,2924,3413,518687,chrisballinger,1780
ChatSecure/ChatSecure-iOS,188,2924,3413,13604424,meaz,0
ChatSecure/ChatSecure-iOS,188,2924,3413,309772,davidchiles,1237
ChatSecure/ChatSecure-iOS,188,2924,3413,2002014,channyeinthar,0
ChatSecure/ChatSecure-iOS,188,2924,3413,5418622,N-Pex,333
ChatSecure/ChatSecure-iOS,188,2924,3413,58563238,xmarkx1,0
ChatSecure/ChatSecure-iOS,188,2924,3413,7323644,fvalle1,0
ChatSecure/ChatSecure-iOS,188,2924,3413,17707852,n00b12345,0
ChatSecure/ChatSecure-iOS,188,2924,3413,29168011,Echolon,0
ChatSecure/ChatSecure-iOS,188,2924,3413,16800353,Loader23,0
ChatSecure/ChatSecure-iOS,188,2924,3413,6478584,mkuendig,0
ChatSecure/ChatSecure-iOS,188,2924,3413,84987,erikbgithub,0
ChatSecure/ChatSecure-iOS,188,2924,3413,13179926,Unip0rn,0
ChatSecure/ChatSecure-iOS,188,2924,3413,22545882,afriedmanGlacier,2
Cocoanetics/DTCoreText,208,5975,2807,2450909,bolee,0
Coding/Coding-iOS,229,3741,2050,4507629,fatjyc,9
DanTheMan827/ios-app-signer,145,3394,108,10379400,ZanderZhang,0
EddyVerbruggen/SocialSharing-PhoneGap-Plugin,108,1708,526,6881038,darkiejolie,0
Friend-LGA/LGSideMenuController,50,1757,121,3903433,arishanapalli,0
John-Lluch/SWRevealViewController,208,4585,178,4250423,QuintonC,0
John-Lluch/SWRevealViewController,208,4585,178,7226063,naujalas,0
Lyndir/MasterPassword,79,1124,1449,12400926,rolandog,1
Lyndir/MasterPassword,79,1124,1449,1313186,TimDG,0
Lyndir/MasterPassword,79,1124,1449,6824716,joelsnape,1
Lyndir/MasterPassword,79,1124,1449,4571122,Vlcoun,0
Lyndir/MasterPassword,79,1124,1449,25708557,lnxworx,0
Lyndir/MasterPassword,79,1124,1449,7829392,MrOnak,0
Lyndir/MasterPassword,79,1124,1449,1384651,ju916,0
Lyndir/MasterPassword,79,1124,1449,5463629,fallerOfFalls,0
Lyndir/MasterPassword,79,1124,1449,1118433,TerraTech,0
Lyndir/MasterPassword,79,1124,1449,2895309,MistaTwista,0
Lyndir/MasterPassword,79,1124,1449,1054516,fenghse,0
Lyndir/MasterPassword,79,1124,1449,10137,ghost,0
Lyndir/MasterPassword,79,1124,1449,24728279,zetaomegagon,0
Lyndir/MasterPassword,79,1124,1449,1171836,denisdelsol,0
Lyndir/MasterPassword,79,1124,1449,6696864,fcode520,0
Lyndir/MasterPassword,79,1124,1449,28146531,jeremiahogutu,0
MacPass/MacPass,219,5582,2404,17738797,leonvers,0
MacPass/MacPass,219,5582,2404,1297747,r0bj,0
MacPass/MacPass,219,5582,2404,598566,Govinda-Fichtner,0
MacPass/MacPass,219,5582,2404,655838,kud,1
MacPass/MacPass,219,5582,2404,14825004,elmemis,0
MacPass/MacPass,219,5582,2404,811078,coolicer,0
MacPass/MacPass,219,5582,2404,26304892,Benno-K,0
MacPass/MacPass,219,5582,2404,7355878,frankhommers,0
MacPass/MacPass,219,5582,2404,1904409,JohnTheodore,0
MacPass/MacPass,219,5582,2404,10288383,mvdve,0
MacPass/MacPass,219,5582,2404,14850058,valueff,0
MacPass/MacPass,219,5582,2404,1093593,whitehat101,0
MacPass/MacPass,219,5582,2404,2930203,woyczek,0
MacPass/MacPass,219,5582,2404,133383,macmenco,0
MacPass/MacPass,219,5582,2404,2106211,kashnoorani,0
MacPass/MacPass,219,5582,2404,42368,gokmen,0
MacPass/MacPass,219,5582,2404,3313896,DominusExult,0
MacPass/MacPass,219,5582,2404,153130,mariosangiorgio,5
MacPass/MacPass,219,5582,2404,10140561,gloryluu,0
MacPass/MacPass,219,5582,2404,1256154,fenderle,2
MacPass/MacPass,219,5582,2404,102189,frode,0
MacPass/MacPass,219,5582,2404,8793863,chmedly,0
MacPass/MacPass,219,5582,2404,1624052,dextersgenius,0
MacPass/MacPass,219,5582,2404,14956443,AmritRaj23,0
MacPass/MacPass,219,5582,2404,12877032,DeeeeLAN,0
MacPass/MacPass,219,5582,2404,6509533,That-Dude,0
MiniKeePass/MiniKeePass,94,895,1211,39283161,jamisonbennett,0
MiniKeePass/MiniKeePass,94,895,1211,3750657,joshsnelling,1
MiniKeePass/MiniKeePass,94,895,1211,32858447,richardmb,0
MiniKeePass/MiniKeePass,94,895,1211,6217990,RoderickBloem,0
MiniKeePass/MiniKeePass,94,895,1211,420197,bdunlay,0
MiniKeePass/MiniKeePass,94,895,1211,1576651,moguiyu,0
MiniKeePass/MiniKeePass,94,895,1211,5390879,elmoinstyle,0
MiniKeePass/MiniKeePass,94,895,1211,3970364,benpedd,0
MiniKeePass/MiniKeePass,94,895,1211,12086103,BertHyman,0
MiniKeePass/MiniKeePass,94,895,1211,2562438,TillvH,0
MiniKeePass/MiniKeePass,94,895,1211,15220898,cipri78,0
MiniKeePass/MiniKeePass,94,895,1211,174176,2-4601,0
MiniKeePass/MiniKeePass,94,895,1211,16502055,puglios,0
MiniKeePass/MiniKeePass,94,895,1211,58503,pheraph,0
MiniKeePass/MiniKeePass,94,895,1211,17109006,jmdoherty,0
MiniKeePass/MiniKeePass,94,895,1211,31006936,sky2828,0
MiniKeePass/MiniKeePass,94,895,1211,381316,guilhermekm,0
MugunthKumar/MKNetworkKit,234,3125,437,9838548,SubodhKumar1,0
MugunthKumar/MKNetworkKit,234,3125,437,109578,alivemedia,0
OpenEmu/OpenEmu,438,11841,6328,10137,ghost,0
RestKit/RestKit,439,10292,3509,618759,adriankierman,0
RestKit/RestKit,439,10292,3509,250343,jonozzz,0
SDWebImage/SDWebImage,842,22970,2957,14885158,qinqi777,0
SDWebImage/SDWebImage,842,22970,2957,13995368,madik05,0
SelfControlApp/selfcontrol,82,3069,310,11371440,danjenkins1,0
ShareKit/ShareKit,117,2200,1602,5549068,harveyB,0
