repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
2ndalpha/gasmask,100,3076,112,10137,ghost,0
2ndalpha/gasmask,100,3076,112,7343948,KyleApfel,0
AFNetworking/AFNetworking,1642,32916,2937,198768,kcharwood,332
AFNetworking/AFNetworking,1642,32916,2937,7659,mattt,1538
AFNetworking/AFNetworking,1642,32916,2937,26384082,stale[bot],0
AFNetworking/AFNetworking,1642,32916,2937,51363,0xced,56
AFNetworking/AFNetworking,1642,32916,2937,18162728,ceqianmyowner,0
AFNetworking/AFNetworking,1642,32916,2937,526008,ElfSundae,14
AFNetworking/AFNetworking,1642,32916,2937,8215236,sinno93,0
AFNetworking/AFNetworking,1642,32916,2937,15607355,ws752958369,0
AFNetworking/AFNetworking,1642,32916,2937,7722057,kukudas,0
AFNetworking/AFNetworking,1642,32916,2937,5351136,ethansinjin,1
AloneMonkey/MonkeyDev,146,4724,198,6356977,xfdev,0
AloneMonkey/MonkeyDev,146,4724,198,11847721,zljkevin,0
AloneMonkey/MonkeyDev,146,4724,198,5118864,AloneMonkey,0
BradLarson/GPUImage,762,19427,1082,6421230,tarikfayad,0
BradLarson/GPUImage,762,19427,1082,954279,BradLarson,610
BradLarson/GPUImage,762,19427,1082,195711,habitatus,0
ChatSecure/ChatSecure-iOS,188,2921,3413,518687,chrisballinger,1780
DanTheMan827/ios-app-signer,140,3371,108,790119,DanTheMan827,86
DanTheMan827/ios-app-signer,140,3371,108,6715938,milanhorvatovic,0
DanTheMan827/ios-app-signer,140,3371,108,18714938,owen161,0
DanTheMan827/ios-app-signer,140,3371,108,19836431,Furnan,0
DanTheMan827/ios-app-signer,140,3371,108,13628230,Sn0wCooder,0
DanTheMan827/ios-app-signer,140,3371,108,5321903,adriannabarro,0
DanTheMan827/ios-app-signer,140,3371,108,20565192,Beachiie,0
DanTheMan827/ios-app-signer,140,3371,108,20636467,LisbethC,0
DanTheMan827/ios-app-signer,140,3371,108,3817677,xavi-dev,0
DanTheMan827/ios-app-signer,140,3371,108,18056278,True-Design,0
DanTheMan827/ios-app-signer,140,3371,108,12035806,maclamont,0
DanTheMan827/ios-app-signer,140,3371,108,5413229,kmddd59,0
DanTheMan827/ios-app-signer,140,3371,108,22208436,orchiha,0
DanTheMan827/ios-app-signer,140,3371,108,22418694,ike185,0
DanTheMan827/ios-app-signer,140,3371,108,438742,chourobin,0
DanTheMan827/ios-app-signer,140,3371,108,402726,tixastronauta,0
DanTheMan827/ios-app-signer,140,3371,108,22486651,greeneggswitspam,0
DanTheMan827/ios-app-signer,140,3371,108,16783146,ady199,0
DanTheMan827/ios-app-signer,140,3371,108,22750116,light122,0
DanTheMan827/ios-app-signer,140,3371,108,24501249,Brak01,0
DanTheMan827/ios-app-signer,140,3371,108,11979927,onekeyghost,0
DanTheMan827/ios-app-signer,140,3371,108,5358768,johnalex731,0
DanTheMan827/ios-app-signer,140,3371,108,13482840,wangdetong,0
DanTheMan827/ios-app-signer,140,3371,108,1667077,ginobean,0
DanTheMan827/ios-app-signer,140,3371,108,19267035,zhao15,0
DanTheMan827/ios-app-signer,140,3371,108,2445322,frozt,0
DanTheMan827/ios-app-signer,140,3371,108,12980890,jacrave,0
DanTheMan827/ios-app-signer,140,3371,108,1914288,fragno,0
DanTheMan827/ios-app-signer,140,3371,108,43612787,Joshab1177,0
DanTheMan827/ios-app-signer,140,3371,108,3309456,wessidetempest,0
