repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
1and2papa/CTAssetsPickerController,77,2193,133,11416717,aries-zhang,0
2ndalpha/gasmask,100,3083,112,9438406,jprokos,0
AFNetworking/AFNetworking,1641,32934,2937,11982235,Asif332,0
AFNetworking/AFNetworking,1641,32934,2937,252173,flufff42,0
AFNetworking/AFNetworking,1641,32934,2937,5302709,ivan-konov,0
AloneMonkey/MonkeyDev,147,4745,198,2194299,iphone5s,0
AloneMonkey/MonkeyDev,147,4745,198,18594200,biostome,0
AloneMonkey/MonkeyDev,147,4745,198,5152503,AmeAkio,0
BradLarson/GPUImage,761,19444,1082,1179735,tomisacat,0
BradLarson/GPUImage,761,19444,1082,123584,powellmark,0
ChatSecure/ChatSecure-iOS,188,2924,3413,3890843,SuperMarioBean,0
ChatSecure/ChatSecure-iOS,188,2924,3413,26695552,wurstdog,0
DanTheMan827/ios-app-signer,145,3394,108,5715459,jackyzonewen,0
DanTheMan827/ios-app-signer,145,3394,108,1358339,joedee,0
DanTheMan827/ios-app-signer,145,3394,108,27639413,ipastuszak,0
DanTheMan827/ios-app-signer,145,3394,108,5413229,kmddd59,0
DanTheMan827/ios-app-signer,145,3394,108,22129372,Ruvici,0
DanTheMan827/ios-app-signer,145,3394,108,906276,NTag,0
DanTheMan827/ios-app-signer,145,3394,108,16181408,meinname,0
DanTheMan827/ios-app-signer,145,3394,108,12966231,JosephShenton,0
DanTheMan827/ios-app-signer,145,3394,108,46215903,JianhuisHuang,0
DanTheMan827/ios-app-signer,145,3394,108,1358969,natemac,0
Hammerspoon/hammerspoon,117,7059,5412,3311113,chdiza,0
KJCracks/Clutch,179,2964,217,4265339,azure9,0
KJCracks/Clutch,179,2964,217,5791656,lzj0718,0
KJCracks/Clutch,179,2964,217,13596540,mgfjxxiexiaolong,0
KJCracks/Clutch,179,2964,217,29150075,sidBOT,0
KJCracks/Clutch,179,2964,217,12907809,ADMNTK,0
KJCracks/Clutch,179,2964,217,4151402,W-MS,0
KJCracks/Clutch,179,2964,217,45123449,Oh-Py-God,0
KJCracks/Clutch,179,2964,217,466972,radj,0
Lyndir/MasterPassword,79,1124,1449,12400926,rolandog,1
MacPass/MacPass,219,5582,2404,3882687,MichalMMac,0
MacPass/MacPass,219,5582,2404,13298105,sub0ne,0
MiniKeePass/MiniKeePass,94,895,1211,3502419,rpunt,4
OneSignal/react-native-onesignal,30,1203,532,814410,Steffi3rd,0
OpenEmu/OpenEmu,438,11841,6328,714,lilyball,23
